,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Portugal,1247.21,2694.67,1931.68,1591.13,1140.65,897.92,885.07,970.88,1044.32,850.33
Continente,1250.75,2704.83,1934.48,1589.59,1141.82,899.3,883.1,970.12,1044.52,848.69
Norte,1145.23,2332.16,1799.4,1466.37,1066.98,873.17,861.51,918.12,944.84,830.61
Alto Minho,1057.21,2072.38,1674.21,1362.62,1036.71,832.53,848.23,925.66,977.48,830.92
Arcos de Valdevez,985.15,2324.6,1344.97,1221.65,1057.73,796.03,747.9,840.82,906.52,826.72
Caminha,918.06,1398.61,1342.06,1066.48,949.59,801.78,1016.78,851.08,885.53,765.46
Melgaço,913.56,1504.34,1471.76,1109.04,1120.32,755.57,906.73,796.33,837.9,758.88
Monção,946.53,1475.84,1300.63,1111.39,945.94,807.51,801.88,873.53,1106.24,776.07
Paredes de Coura,964.2,2223.76,1483.08,1342.1,1026.87,764.3,850.63,891.36,860.99,790.82
Ponte da Barca,902.82,1431.11,1161.05,1230.58,1011.13,759.31,805.14,865.4,923.14,748.54
Ponte de Lima,960.26,1614.66,1243.07,1302.66,1006.83,831.25,760.23,829.05,984.53,789.74
Valença,1004.89,2275.48,1488.08,1324.78,998.33,819.29,760.62,1011.75,956.4,870.97
Viana do Castelo,1153.04,2298.7,1890.75,1414.75,1054.82,869.22,932.41,988.83,986.62,861.13
Vila Nova de Cerveira,1129.99,2704.07,1555.77,1757.61,1146.53,849.4,770.75,987.48,1018.35,800.01
Cávado,1088.49,1886.23,1699.28,1391.62,1018.92,849.91,788.29,892.77,922.53,814.49
Amares,984.23,1293.12,1427.79,1082.95,959.95,749.74,761.42,860.5,1326.14,862.66
Barcelos,999.18,1801.84,1604.37,1320.89,1006.36,827.41,818.55,885.86,851.96,801.39
Braga,1186.4,2103.67,1770.91,1464.61,1032.71,882.83,762.12,931.91,986.48,827.11
Esposende,1002.53,1998.57,1500.8,1223.6,1037.24,798.43,765.71,860.42,900.15,798.63
Terras de Bouro,949.44,1320.29,1514.7,1342.22,1005.36,730.24,801.39,1002.82,784.52,743.04
Vila Verde,918,1311.06,1308.57,1137.99,975.6,789.62,775.12,805.67,882.52,787.72
Ave,1030.34,2022.61,1551.03,1364.41,1027.15,841.85,772.45,879.05,923.91,812.01
Cabeceiras de Basto,847.31,1168.26,1215.58,974.68,893.72,767.52,753.07,782.45,853.22,738.13
Fafe,883.52,1452.41,1333.75,1101.59,943.91,824.23,742.99,800.44,782.43,769.68
Guimarães,1013.72,2060.9,1580.43,1301.2,1022.75,859.16,783.08,872.22,832.27,794.38
Mondim de Basto,834.75,1162.91,1226.6,968.68,932.9,764.23,741.71,772.41,784.93,742.8
Póvoa de Lanhoso,882.69,1216.75,1426.49,1065.06,888.98,808.46,772.17,794.17,809.4,754.45
Vieira do Minho,855.3,1262.44,1155.19,980.47,933.02,782.91,706.8,765.9,856.01,756.97
Vila Nova de Famalicão,1135.77,2353.8,1614.4,1527.35,1081.24,849,784.88,938.99,1084.66,871.39
Vizela,904.89,1845.06,1244.95,1258.14,968.74,816.53,746.34,807.87,817.79,766.05
A. M. Porto,1257.11,2745.98,1895.64,1558.98,1110.62,906.76,949.59,975.99,998.25,852.5
Arouca,975.63,1538.97,1417.4,1309.82,966.9,792.69,833.62,925.5,925.53,782.73
