,"Densidade populacional 
┴, N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Portugal,112.2,-0.19,-0.44,0.25,7.7,12,2.8,1.7,35.8,5.8,1.34,40.7,60,28.4
Continente,110.7,-0.2,-0.44,0.25,7.7,12.1,2.8,1.6,35.9,5.7,1.35,40.6,60.1,28.5
Norte,168.6,-0.17,-0.34,0.18,6.9,10.3,3.2,1.8,32,4.1,1.2,41,53.7,37
Alto Minho,104.1,-0.51,-0.78,0.27,6,13.8,3.1,1.6,30.6,4.9,1.18,36.9,53.6,35.9
Arcos de Valdevez,46.3,-0.55,-1.2,0.65,5.3,17.3,2.1,1.2,30.7,x,x,32.1,52.7,20.9
Caminha,115.7,-0.44,-0.92,0.49,5.4,14.7,3.3,1.5,28.4,x,x,35.7,67.4,30.2
Melgaço,32.6,-1,-1.91,0.91,3.6,22.7,1.8,1,25.4,x,x,25.4,60.7,14.3
Monção,84.2,-0.58,-1.23,0.66,4.4,16.7,2.1,1.4,25.3,x,x,32.3,55.7,21.6
Paredes de Coura,62.4,-0.76,-1.06,0.3,4.9,15.5,1.4,0.9,27,x,x,34.6,54.8,25
Ponte da Barca,60.5,-0.81,-1.23,0.42,5.1,17.4,3.5,1.9,27.2,x,x,35.3,45.6,12.8
Ponte de Lima,128.1,-0.54,-0.5,-0.04,6.6,11.5,3.4,1.5,30.9,x,x,40,41.5,51.4
Valença,116.4,-0.27,-0.72,0.45,7.4,14.6,2,2.2,35.5,x,x,39.3,67.3,25.9
Viana do Castelo,268.4,-0.44,-0.49,0.05,6.6,11.5,3.7,1.8,32,x,x,38.9,53.4,40.3
Vila Nova de Cerveira,82.4,-0.23,-0.94,0.7,6,15.4,3.5,1.8,30.8,x,x,38.2,70.4,22.6
Cávado,334.4,-0.12,-0.1,-0.02,7.3,8.3,3.7,1.7,31.7,3.6,1.18,44.1,46.6,37.7
Amares,226.9,-0.13,-0.28,0.16,7.1,9.9,4.9,1.3,32,x,x,43.2,46.2,43.5
Barcelos,307.1,-0.52,-0.22,-0.3,6.5,8.7,3.4,1.5,28.5,x,x,43.6,43.9,50.1
Braga,1056,0.12,0.06,0.05,7.8,7.2,3.4,1.9,32.8,x,x,45,48.9,31.1
Esposende,369.3,0.08,-0.13,0.21,8,9.3,3.3,1.6,35.1,x,x,43.7,45.2,49.6
Terras de Bouro,22.8,-0.79,-0.87,0.08,5.2,13.9,4.4,1.1,28.1,x,x,35.8,48.5,0
Vila Verde,203.1,-0.16,-0.26,0.09,7.4,10,5.1,1.5,33,x,x,43,43.4,32.1
Ave,287.8,-0.32,-0.17,-0.15,7.1,8.8,2.6,1.8,31.9,2.7,1.2,42.3,48.8,37
Cabeceiras de Basto,64.1,-0.55,-0.51,-0.04,6.3,11.4,3.2,2.1,29.4,x,x,41.6,48,46.9
Fafe,220.7,-0.53,-0.33,-0.21,6.4,9.7,3,1.6,29.8,x,x,40.8,55,43.4
Guimarães,648.7,-0.39,-0.08,-0.31,7.3,8.1,2.2,2,32.9,x,x,42.6,47,26.8
Mondim de Basto,37.2,-0.36,-0.67,0.31,3.9,10.6,4.7,1.7,20.5,x,x,36.7,60,36.7
Póvoa de Lanhoso,161.9,-0.06,-0.46,0.39,6,10.5,2.1,2.2,27.8,x,x,41.1,46.2,0
Vieira do Minho,55.1,-0.69,-0.94,0.25,5.3,14.7,3.4,1.6,28.9,x,x,35.3,53.1,43.9
Vila Nova de Famalicão,662.3,-0.19,-0.08,-0.11,7.4,8.3,2.9,1.8,32.9,x,x,43.2,48.3,47.4
Vizela,968.2,0.03,0.06,-0.04,7.7,7.1,2.6,1.4,33,x,x,45,51.6,30.6
A. M. Porto,852.5,0.05,-0.26,0.31,7.3,9.9,3.2,1.8,33.2,4.3,1.23,41.5,57.1,31.9
Arouca,63.9,-0.7,-0.45,-0.24,5.9,10.5,3.1,2,28.8,x,x,39.3,46.4,42.4
Espinho,1475,-0.25,-0.6,0.35,6.4,12.4,6.2,1.9,34,x,x,35.2,63.5,22.5
Gondomar,1246,-0.12,-0.3,0.18,7.4,10.4,1.8,1.8,33.7,x,x,41.4,60.4,35.5
Maia,1638.7,0.63,-0.07,0.7,7.2,7.9,2,1.7,31.1,x,x,43.6,59.2,10.2
Matosinhos,2774.5,0.2,-0.28,0.48,6.9,9.7,2.1,1.9,31.9,x,x,40.5,59.4,34.5
Oliveira de Azeméis,410.4,-0.36,-0.37,0.02,6.5,10.2,2.4,1.9,31,x,x,40.1,54.2,48.8
Paredes,538.7,0.01,0.07,-0.06,8,7.3,2,2.1,33.3,x,x,46.1,50.7,61.2
Porto,5619.3,0.14,-0.54,0.67,7.9,13.2,5.9,1.8,36.6,x,x,39.5,56.3,23.9
Póvoa de Varzim,783.6,0.1,-0.19,0.29,7.3,9.2,5.3,1.9,32,x,x,42.6,52.9,30.3
Santa Maria da Feira,633.5,-0.14,-0.23,0.09,6.8,9.1,2.8,1.8,31.4,x,x,41.7,57,43.4
Santo Tirso,494.5,-0.52,-0.49,-0.03,6.3,11.2,3.5,1.8,30.5,x,x,39.1,52.6,49.2
São João da Madeira,2808.4,0.47,-0.35,0.82,6.9,10.4,5.4,2.1,31.6,x,x,41,63.6,27.7
Trofa,536.5,0.11,-0.08,0.19,8.1,8.9,3.5,1.8,35.7,x,x,43.3,53.7,55.6
Vale de Cambra,143.9,-0.57,-0.6,0.03,5.7,11.8,4.6,1.6,30.1,x,x,36.6,49.2,32
Valongo,1268.9,0.63,0.01,0.61,8,7.9,3.6,1.9,34.1,x,x,44.3,61.2,31.3
Vila do Conde,543.5,0.02,-0.27,0.29,7.3,10,4,2.1,32.7,x,x,42.8,47.1,30.2
Vila Nova de Gaia,1804.8,-0.06,-0.19,0.13,7.5,9.4,2.1,1.8,34,x,x,41.9,59.5,29.2
Alto Tâmega,28.8,-0.63,-1.1,0.47,4.6,15.6,2.7,1.7,27.9,4.6,1.08,31.3,60.6,28.6
Boticas,15.4,-1.16,-1.24,0.08,4.8,17.2,2.6,1.8,29.9,x,x,30.7,62.5,15.4
Chaves,63.6,-0.3,-0.88,0.58,4.6,13.4,3.2,2.2,26.3,x,x,33.2,64.7,31.6
Montalegre,11.4,-1.02,-1.29,0.27,4.8,17.6,2.8,1.2,33.2,x,x,27.7,40.9,26.9
Ribeira de Pena,27.1,-0.25,-0.73,0.47,5.1,12.4,1.7,0.7,30.2,x,x,33.3,60,30
Valpaços,26.7,-1.14,-1.61,0.48,3.9,20.1,2.2,1.2,26.9,x,x,27.7,67.2,21.2
Vila Pouca de Aguiar,27,-0.68,-1.13,0.45,4.8,16.1,2.1,1.7,29.1,x,x,31.5,56.1,32
Tâmega e Sousa,222.6,-0.39,-0.23,-0.16,6.8,9.1,3.8,1.6,29.9,4,1.14,43.4,47.1,53.5
Amarante,172.6,-0.44,-0.4,-0.04,5.8,9.8,5,1.6,26.8,x,x,40.8,45.2,50.6
Baião,99.9,-1.05,-0.83,-0.22,4.4,12.7,3,1.7,20.9,x,x,39.7,53.2,60.4
Castelo de Paiva,134.5,-0.87,-0.51,-0.36,5.4,10.5,3.6,1.2,24.9,x,x,41.7,47.6,35.7
Celorico de Basto,97.4,-0.46,-0.75,0.29,5.4,12.8,3.5,1.3,26.3,x,x,39.1,48.4,46.8
Cinfães,73.6,-1.07,-0.69,-0.38,6.1,13,2,1.7,31,x,x,37.9,63.9,54.3
Felgueiras,481.1,-0.39,-0.11,-0.29,6.8,7.8,3.7,1.6,29.4,x,x,44.1,45.4,65.8
Lousada,492.7,-0.12,0.05,-0.17,7.5,7,4.1,1.9,30.5,x,x,47.1,41.5,67.9
Marco de Canaveses,245,-0.27,-0.12,-0.15,6.9,8.2,4.3,1.6,29.9,x,x,44.2,42.4,47.1
Paços de Ferreira,783,-0.09,0.01,-0.1,7.7,7.6,2.9,1.9,32.9,x,x,45.8,51.1,58.9
Penafiel,327.5,-0.29,-0.11,-0.19,7.9,9,3.8,1.4,33.9,x,x,44.5,46.8,44
Resende,81,-1,-0.84,-0.16,5.2,13.6,3.7,1.3,26.6,x,x,37.9,63.5,38.9
Douro,45.6,-0.47,-0.89,0.42,5.5,14.4,2.9,1.7,29.6,4.3,1.16,35.6,55.1,44.9
Alijó,35,-1.03,-1.35,0.31,4.4,17.8,2.5,1.7,27.1,x,x,31.7,58.7,46.2
Armamar,48.3,-0.77,-1.2,0.42,4.9,16.9,2.6,0.9,28.1,x,x,33,53.6,33.3
Carrazeda de Ansiães,19.6,-1.06,-1.58,0.53,3.6,19.5,2.5,1.6,23.5,x,x,29.8,55,42.9
Freixo de Espada à Cinta,13.1,-1.21,-1.84,0.62,5.6,24,1.2,0.6,35,x,x,30.5,66.7,25
Lamego,146.6,-0.73,-0.92,0.19,5.1,14.3,3,1.6,26.6,x,x,36.3,54.8,43.2
Mesão Frio,132.7,-0.76,-1.16,0.39,3.9,15.5,6.2,1.9,20.5,x,x,36,50,13.6
Moimenta da Beira,42.9,-0.05,-0.69,0.64,6.8,13.7,2.3,1.4,37.2,x,x,34.8,53.1,36.4
Murça,27.6,-0.82,-1.33,0.51,4,17.3,3,1.5,25.5,x,x,30.4,66.7,68.8
Penedono,20.4,-0.91,-1.17,0.26,3.7,15.4,5.5,1.1,21,x,x,33.2,70,40
Peso da Régua,152.6,-0.8,-0.89,0.1,5.5,14.5,4.8,1.7,28.1,x,x,36.8,61.3,32.9
Sabrosa,35.4,-0.31,-1.04,0.74,3.4,13.8,2,1.9,19.3,x,x,34,31.6,54.5
Santa Marta de Penaguião,87.8,-0.92,-1.36,0.44,4.6,18.2,2.9,1.6,26.6,x,x,32.9,46.4,50
São João da Pesqueira,25.4,-0.69,-0.96,0.27,5.9,15.5,1.2,0.7,31.7,x,x,36.4,57.5,37.5
Sernancelhe,24.9,-0.26,-0.86,0.6,6,14.6,3.3,1.6,35.5,x,x,32.5,61.8,52.6
Tabuaço,37.8,0.34,-0.71,1.05,6.3,13.5,3,0.9,35.8,x,x,33.6,56.3,66.7
Tarouca,73.9,0.3,-0.55,0.85,6.5,12,2,2.8,32.2,x,x,39,56.3,60
Torre de Moncorvo,12.8,-0.34,-1.21,0.88,5.3,17.4,1.5,0.8,37.2,x,x,27,75,0
Vila Nova de Foz Côa,15.8,-0.82,-1.58,0.76,4.7,20.6,2.4,1.6,30.3,x,x,29.9,56.7,40
Vila Real,130.9,-0.11,-0.42,0.3,6.6,10.8,3,2.2,30.8,x,x,40,50.6,54.8
Terras de Trás-os-Montes,19.3,-0.75,-1.2,0.45,5.1,17.1,2.1,1.2,29.4,8.6,1.13,33.4,68.7,34.8
Alfândega da Fé,13.4,-1.29,-1.94,0.65,4.9,24.3,1.2,1.6,31.1,x,x,30.4,76.2,20
Bragança,29.5,-0.26,-0.77,0.51,5.9,13.6,2.4,0.9,29.5,x,x,38.5,70.9,33.3
Macedo de Cavaleiros,20.4,-0.39,-0.99,0.61,5.9,15.8,2.2,1.9,34.5,x,x,32.5,65.5,41.9
Miranda do Douro,13.2,-1.31,-1.8,0.49,4,22.1,1.2,0.2,26.7,x,x,29,73.1,25
Mirandela,32.3,-0.79,-1.11,0.33,4.6,15.8,2.4,1.3,25.6,x,x,34.1,62.6,30.8
Mogadouro,10.8,-1.43,-1.65,0.22,4.1,20.6,2.4,1.6,28.1,x,x,28.3,70.6,35
Vila Flor,22.7,-1.06,-1.5,0.45,4.8,19.8,1.5,1.8,28.6,x,x,32.4,75.9,66.7
Vimioso,8.6,-0.99,-1.66,0.67,3.9,20.5,2.2,0.5,28.3,x,x,26.5,75,22.2
Vinhais,11.1,-1.61,-1.81,0.19,4.4,22.4,1.5,0.5,34.9,x,x,24.6,61.8,41.7
