,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2021","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2021","Índice de envelhecimento, N.º, 2021","Índice de renovação da população em idade ativa, N.º, 2021","Índice de dependência de idosas/os, N.º, 2021","Índice de longevidade, N.º, 2021","Relação de masculinidade, N.º, 2021","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2021","Idade média das mulheres ao nascimento do primeiro filho, anos, 2021","Idade média da mulher ao primeiro casamento, anos, 2021","Idade média do homem ao primeiro casamento, anos, 2021","Esperança de vida à nascença
, anos, 2019-2021","Esperança de vida aos 65 anos, anos, 2019-2021"
Portugal,12.9,1.07,184.9,75.5,37.2,48.9,90.7,116.4,30.4,32.9,34.3,80.72,19.35
Continente,13.2,1.1,187.4,75.4,37.8,49,90.6,116.5,30.5,32.9,34.3,80.84,19.44
Norte,10,0.56,188.9,73.3,35.4,46.6,91,109.8,30.8,31.9,33.1,81.13,19.51
Alto Minho,13.1,0.75,256.6,66.2,46.9,51.2,88.6,114.1,30.4,32.7,33.7,80.64,19.66
Arcos de Valdevez,32.6,0.33,391.7,59.1,65.8,54.2,85.2,72.5,x,x,x,x,x
Caminha,5.7,0.83,275.5,60.5,50.3,50.5,87.4,158.8,x,x,x,x,x
Melgaço,14.3,0.5,565.2,42.6,85.8,55.4,80.8,69.6,x,x,x,x,x
Monção,13.5,1,357.5,52.6,61.4,51.7,85.3,102.3,x,x,x,x,x
Paredes de Coura,8.3,0.53,290.5,58,53.7,53.2,92.5,76.9,x,x,x,x,x
Ponte da Barca,10.3,0.19,292.3,67.6,50.7,53.8,87.3,200,x,x,x,x,x
Ponte de Lima,2.1,0.31,212.8,76.9,38.8,52.2,89.5,118.6,x,x,x,x,x
Valença,22.2,1.87,222,74.2,43.3,49.5,89.1,120.7,x,x,x,x,x
Viana do Castelo,16.9,0.84,214.9,67.5,40.6,48.8,89.7,105.7,x,x,x,x,x
Vila Nova de Cerveira,6.5,1.66,231.6,77.7,43.7,50.5,94.2,186.5,x,x,x,x,x
Cávado,11.5,0.78,151.6,82.4,29.7,45.4,92.1,106.8,31.4,31.5,32.9,81.73,19.93
Amares,8.7,0.37,170.5,81.7,33.2,47.7,95.5,74.4,x,x,x,x,x
Barcelos,7.6,0.3,162.8,83.4,29.9,44.6,93.2,116,x,x,x,x,x
Braga,15.8,1.21,136,83.4,27.5,43.9,91.2,100,x,x,x,x,x
Esposende,4.3,0.84,151.7,78.3,30.9,45.3,91.9,184.6,x,x,x,x,x
Terras de Bouro,3.6,0.16,296.8,57.9,48.3,51.9,93.9,25,x,x,x,x,x
Vila Verde,11.8,0.35,170.6,83.3,34.2,50.7,92.1,111.7,x,x,x,x,x
Ave,5.7,0.3,173.2,75.5,31.8,43.8,93.3,122.9,30.8,31.5,32.9,81.13,19.42
Cabeceiras de Basto,0,0.15,193.8,72.7,35.7,51.7,94.6,187.5,x,x,x,x,x
Fafe,4.1,0.19,203.1,72.4,36.2,45.2,91.1,87.8,x,x,x,x,x
Guimarães,7.6,0.31,166.2,76,30.6,42.2,93.9,104.2,x,x,x,x,x
Mondim de Basto,0,0.08,288.7,61.6,46.8,51.4,93.9,66.7,x,x,x,x,x
Póvoa de Lanhoso,4.3,0.22,187.9,69.9,34.8,46.5,92.7,161.1,x,x,x,x,x
Vieira do Minho,2.4,0.18,312.6,59.8,49.3,51.3,91.5,83.3,x,x,x,x,x
Vila Nova de Famalicão,6.3,0.41,158.8,78.6,30,42.7,93.4,150.7,x,x,x,x,x
Vizela,6.3,0.23,140.7,82.8,25.7,39.9,95.1,103.7,x,x,x,x,x
A. M. Porto,11.9,0.65,178.7,74.3,34.2,45.6,90,107.1,30.9,32.5,33.6,81.11,19.64
Arouca,1.5,0.03,195,70.4,38.3,47.6,92.7,133.3,x,x,x,x,x
Espinho,5.2,0.31,267.4,63.2,47.1,48.3,87.3,71.4,x,x,x,x,x
Gondomar,2.7,0.3,175.6,71.9,33.1,43.9,90.3,84.1,x,x,x,x,x
Maia,14.1,0.44,145.4,76.2,29.5,44.4,90.4,112.2,x,x,x,x,x
Matosinhos,7.9,0.6,187.5,68.8,36.3,44.5,89,95.3,x,x,x,x,x
Oliveira de Azeméis,5.6,0.26,205,67.1,36.2,47.5,93.7,108.5,x,x,x,x,x
Paredes,4.1,0.25,122.6,84.4,24,41.7,93.9,101.9,x,x,x,x,x
Porto,23.7,2.06,226.9,84.6,41.9,50.7,84.6,114.3,x,x,x,x,x
Póvoa de Varzim,9.1,0.76,159.7,81.2,31.7,44,89.1,104.2,x,x,x,x,x
Santa Maria da Feira,5.3,0.25,171.8,70.1,32.3,45.2,93.2,90.6,x,x,x,x,x
Santo Tirso,5.9,0.14,233.1,67.4,39.1,45,91,77.4,x,x,x,x,x
São João da Madeira,10.7,1.01,185.8,70.2,34,46.2,88.4,105.5,x,x,x,x,x
Trofa,1.5,0.44,163,78.3,30.3,42.8,92.2,194.8,x,x,x,x,x
Vale de Cambra,6.2,0.49,270.1,64.7,47,49,93.4,108,x,x,x,x,x
Valongo,9.3,0.31,148.4,78.7,29.6,43.3,90.4,87.2,x,x,x,x,x
Vila do Conde,6.1,0.59,152.2,73,31.3,44.9,92.2,157,x,x,x,x,x
Vila Nova de Gaia,14.3,0.57,171.5,72.5,33.3,44.4,90.2,97,x,x,x,x,x
Alto Tâmega,16.3,0.25,389.8,47.9,63.5,52.1,91.1,109.9,30.1,32,34.8,79.61,19.66
Boticas,7.7,0.14,437.7,38.8,70,54,91.6,133.3,x,x,x,x,x
Chaves,25,0.32,330,51.8,56.4,51,90.6,88.9,x,x,x,x,x
Montalegre,3.8,0.15,540.3,41.7,75.7,55.1,93.6,100,x,x,x,x,x
Ribeira de Pena,10,0.36,308.6,49.1,54.6,52.4,97.3,425,x,x,x,x,x
Valpaços,6.1,0.18,498.9,43.8,79.3,53,88.5,44.4,x,x,x,x,x
