,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Portugal,29057,28508,20317,8097,287,262,67187,17279,49908,111311,59885,51426,698536,359727,338809
Continente,27354,26844,19105,7649,268,242,64100,16225,47875,108967,58634,50333,683669,352363,331306
Norte,11361,11227,7040,4155,75,59,22004,6277,15727,19993,10463,9530,100084,49151,50933
Alto Minho,711,704,451,253,2,5,1628,367,1261,1743,929,814,7505,3923,3582
Arcos de Valdevez,43,43,34,9,0,0,161,24,137,69,29,40,344,150,194
Caminha,53,53,37,16,0,0,112,23,89,132,81,51,625,342,283
Melgaço,14,14,12,2,0,0,81,8,73,39,16,23,149,61,88
Monção,37,37,29,8,0,0,126,24,102,178,90,88,876,442,434
Paredes de Coura,12,12,9,3,0,0,62,8,54,46,20,26,184,93,91
Ponte da Barca,39,39,34,5,0,0,92,21,71,21,14,7,142,78,64
Ponte de Lima,141,140,68,72,0,1,249,62,187,129,70,59,548,297,251
Valença,27,27,20,7,0,0,104,29,75,256,140,116,1057,555,502
Viana do Castelo,314,308,184,124,2,4,570,152,418,724,372,352,2991,1541,1450
Vila Nova de Cerveira,31,31,24,7,0,0,71,16,55,149,97,52,589,364,225
Cávado,1525,1508,937,569,7,10,2163,690,1473,3237,1672,1565,16781,8243,8538
Amares,92,92,52,40,0,0,97,23,74,68,29,39,425,207,218
Barcelos,394,389,192,195,1,4,620,179,441,352,189,163,1704,871,833
Braga,658,650,448,202,4,4,958,354,604,2348,1174,1174,12718,6137,6581
Esposende,116,115,58,57,1,0,188,55,133,296,192,104,1093,611,482
Terras de Bouro,28,28,28,0,0,0,40,7,33,10,2,8,81,33,48
Vila Verde,237,234,159,75,1,2,260,72,188,163,86,77,760,384,376
Ave,1098,1088,685,403,6,4,2385,762,1623,1275,703,572,6803,3468,3335
Cabeceiras de Basto,49,49,26,23,0,0,103,33,70,23,15,8,164,93,71
