,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Idade, Menos de 25 anos, Nº","Idade, 25-29 anos, Nº","Idade, 30-39
 anos, Nº","Idade, 40-49 anos, Nº","Idade, 50-54 anos, Nº","Idade, 55 e mais anos, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Portugal,124015,63032,60983,11134,7357,33405,19270,20769,32080,429526,218967,210559
Continente,116336,59030,57306,10521,6773,31509,17785,19601,30147,401961,204572,197388
Norte,47133,23906,23227,3943,2633,12900,7132,8306,12219,162427,83295,79132
Alto Minho,3099,1636,1463,226,185,965,427,516,780,10714,5699,5015
Arcos de Valdevez,311,173,138,18,21,112,37,52,71,1124,627,497
Caminha,168,84,84,12,13,51,25,29,38,548,288,261
Melgaço,133,72,61,7,7,55,10,32,22,480,248,232
Monção,218,114,104,20,5,69,22,42,60,752,393,359
Paredes de Coura,110,66,44,8,8,44,17,19,14,366,209,157
Ponte da Barca,203,115,88,16,15,61,27,34,50,750,421,329
Ponte de Lima,573,301,272,29,28,143,95,108,170,1966,1039,926
Valença,138,70,68,10,12,44,20,16,36,481,235,245
Viana do Castelo,1151,589,562,106,70,351,159,171,294,3948,2065,1883
Vila Nova de Cerveira,94,52,42,0,6,35,15,13,25,300,175,126
Cávado,5407,2791,2616,452,297,1372,825,927,1534,18474,9677,8797
Amares,203,103,100,...,...,54,40,29,56,741,381,360
Barcelos,1623,924,699,121,96,460,242,275,429,5609,3203,2406
Braga,2385,1137,1248,226,128,553,365,423,690,8024,3904,4120
Esposende,424,219,205,29,25,102,70,69,129,1454,764,690
Terras de Bouro,112,56,56,...,...,30,22,19,31,410,216,194
Vila Verde,660,352,308,58,32,173,86,112,199,2238,1210,1027
Ave,5511,2805,2706,480,334,1413,848,994,1442,18232,9473,8759
Cabeceiras de Basto,255,145,110,20,16,71,45,45,58,917,532,385
Fafe,662,356,306,52,39,159,122,116,174,2245,1229,1017
Guimarães,2016,987,1029,196,118,512,305,368,517,6354,3231,3123
Mondim de Basto,107,55,52,6,5,33,18,19,26,415,213,202
Póvoa de Lanhoso,385,194,191,26,22,101,55,62,119,1387,690,696
Vieira do Minho,222,124,98,10,10,65,34,41,62,831,484,347
Vila Nova de Famalicão,1570,797,773,143,101,386,229,295,416,5172,2638,2534
Vizela,294,147,147,27,23,86,40,48,70,911,455,456
A. M. Porto,21451,10635,10816,1905,1201,5826,3260,3801,5458,73433,36756,36676
Arouca,373,185,188,36,18,84,67,70,98,1354,685,669
Espinho,483,239,244,28,19,140,76,94,126,1758,896,862
Gondomar,2127,1055,1072,222,117,577,311,389,511,7257,3517,3741
Maia,1315,630,685,137,93,334,214,211,326,4305,2093,2211
Matosinhos,1891,953,938,170,106,534,290,320,471,6182,3111,3071
Oliveira de Azeméis,884,397,487,78,42,234,141,165,224,2990,1353,1637
Paredes,1254,642,612,120,66,323,169,249,327,4306,2244,2062
Porto,2910,1572,1338,213,154,874,466,471,732,10368,5590,4778
Póvoa de Varzim,953,448,505,81,58,234,170,172,238,3429,1632,1798
Santa Maria da Feira,1770,856,914,150,90,486,265,322,457,6010,2987,3024
Santo Tirso,792,389,403,57,32,235,113,120,235,2656,1329,1326
São João da Madeira,321,163,158,21,21,72,53,59,95,1118,591,527
Trofa,415,194,221,27,29,103,61,71,124,1414,675,739
Vale de Cambra,287,131,156,30,14,78,43,49,73,918,419,498
Valongo,1156,549,607,106,64,296,178,210,302,3911,1882,2030
Vila do Conde,1293,621,672,99,88,381,173,239,313,4414,2087,2327
Vila Nova de Gaia,3227,1611,1616,330,190,841,470,590,806,11043,5668,5376
Alto Tâmega,1475,782,693,89,56,480,198,265,387,5405,2848,2557
Boticas,107,64,43,5,5,30,15,21,31,399,239,160
Chaves,575,292,283,38,21,182,83,109,142,2010,1016,993
Montalegre,181,103,78,10,8,61,28,31,43,658,375,284
Ribeira de Pena,98,52,46,4,3,40,8,14,29,356,188,168
Valpaços,307,152,155,21,5,99,36,66,80,1221,559,661
Vila Pouca de Aguiar,207,119,88,11,14,68,28,24,62,761,470,291
Tâmega e Sousa,5468,2749,2719,476,357,1418,883,927,1407,18709,9658,9051
Amarante,685,345,340,52,40,206,105,111,171,2254,1155,1099
Baião,285,134,151,22,16,77,43,56,71,983,482,501
Castelo de Paiva,252,126,126,27,16,59,42,46,62,847,420,427
Celorico de Basto,281,155,126,26,13,83,42,47,70,1066,604,462
Cinfães,259,138,121,14,8,62,45,53,77,927,513,415
Felgueiras,602,291,311,77,42,145,97,99,142,1920,948,973
Lousada,568,293,275,53,26,149,108,87,145,1964,1036,928
Marco de Canaveses,689,350,339,71,50,178,101,110,179,2387,1262,1125
Paços de Ferreira,630,303,327,56,43,158,103,108,162,2177,1047,1130
Penafiel,1001,500,501,73,86,238,167,174,263,3385,1754,1631
Resende,216,114,102,5,17,63,30,36,65,799,438,361
Douro,2982,1595,1387,206,136,861,441,560,778,11149,5907,5242
Alijó,191,112,79,8,7,55,39,37,45,617,360,257
Armamar,108,61,47,8,9,23,13,25,30,426,251,175
Carrazeda de Ansiães,120,75,45,...,...,35,15,23,36,476,282,195
Freixo de Espada à Cinta,37,18,19,...,0,11,...,12,5,159,78,81
Lamego,425,227,198,32,20,109,64,92,108,1654,848,805
Mesão Frio,64,31,33,4,3,22,9,9,17,253,122,131
Moimenta da Beira,157,91,66,14,5,43,14,33,48,627,366,261
Murça,97,52,45,6,4,26,16,21,24,399,204,195
Penedono,34,18,16,...,0,14,...,9,5,123,62,61
Peso da Régua,276,138,138,23,10,84,34,50,75,1068,499,569
Sabrosa,84,44,40,3,8,24,14,18,17,310,156,154
Santa Marta de Penaguião,102,54,48,6,6,28,23,18,21,368,200,168
São João da Pesqueira,105,63,42,10,7,30,22,6,30,371,220,151
Sernancelhe,64,42,22,...,...,26,9,14,9,233,161,73
Tabuaço,76,39,37,6,6,20,10,8,26,276,149,127
Tarouca,127,65,62,11,5,32,21,21,37,507,248,259
Torre de Moncorvo,84,47,37,...,...,29,15,12,24,304,166,137
Vila Nova de Foz Côa,105,55,50,4,3,33,17,26,22,436,227,209
Vila Real,726,363,363,49,38,217,97,126,199,2544,1308,1235
Terras de Trás-os-Montes,1740,913,827,109,67,565,250,316,433,6312,3278,3034
Alfândega da Fé,99,51,48,10,4,33,10,19,23,383,205,178
Bragança,595,300,295,35,28,181,88,106,157,2161,1081,1080
Macedo de Cavaleiros,240,113,127,15,4,82,36,43,60,900,408,492
Miranda do Douro,89,51,38,4,4,32,15,16,18,282,157,125
Mirandela,309,171,138,23,12,97,55,53,69,1103,603,500
Mogadouro,106,57,49,8,3,37,15,19,24,376,203,173
Vila Flor,97,53,44,3,8,29,11,19,27,372,199,174
Vimioso,66,35,31,...,...,32,6,10,13,214,116,97
Vinhais,139,82,57,...,...,42,14,31,42,521,306,215
Centro,26144,13407,12737,2230,1523,7189,4134,4270,6798,89748,46177,43571
Oeste,3977,2033,1944,373,238,1089,630,646,1001,13597,6902,6695
Alcobaça,567,308,259,55,39,143,88,104,138,1936,1045,891
Alenquer,417,208,209,39,26,114,64,55,119,1347,694,653
Arruda dos Vinhos,91,43,48,12,3,20,22,12,22,285,128,156
Bombarral,171,81,90,14,10,43,29,26,49,593,263,330
Cadaval,158,87,71,14,7,49,25,27,36,559,314,245
Caldas da Rainha,521,276,245,44,35,147,79,85,131,1830,970,859
Lourinhã,327,178,149,34,24,110,49,43,67,1111,602,509
Nazaré,176,92,84,13,11,43,29,23,57,633,334,299
Óbidos,133,58,75,13,10,32,16,25,37,486,215,271
Peniche,445,220,225,39,15,108,85,98,100,1579,770,810
Sobral de Monte Agraço,99,60,39,14,7,24,16,15,23,296,185,111
Torres Vedras,872,422,450,82,51,256,128,133,222,2942,1382,1560
