,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Portugal,3021730,2872999,174251,167639,2093200,2000095,754279,705265
Continente,2899735,2757072,160332,154261,2020012,1930351,719391,672460
Norte,1048919,1002002,64466,62150,728449,699336,256004,240516
Alto Minho,74226,70476,4878,4683,51077,48744,18271,17049
Arcos de Valdevez,7586,7180,455,439,5138,4893,1993,1848
Caminha,5442,5140,304,289,3813,3621,1325,1230
Melgaço,2460,2291,122,119,1809,1684,529,488
Monção,6053,5737,281,270,4218,4022,1554,1445
Paredes de Coura,2892,2734,235,222,1947,1849,710,663
Ponte da Barca,3883,3655,325,314,2569,2422,989,919
Ponte de Lima,12659,12068,1062,1017,8479,8126,3118,2925
Valença,4170,3951,212,202,2830,2698,1128,1051
Viana do Castelo,26153,24968,1740,1680,18277,17538,6136,5750
Vila Nova de Cerveira,2928,2752,142,131,1997,1891,789,730
Cávado,105703,101308,8477,8261,72859,70096,24367,22951
Amares,4849,4641,385,377,3273,3145,1191,1119
Barcelos,32668,31281,2960,2884,22052,21172,7656,7225
Braga,44242,42506,3169,3081,31438,30348,9635,9077
Esposende,8718,8315,701,686,5882,5632,2135,1997
Terras de Bouro,2462,2338,158,153,1643,1567,661,618
Vila Verde,12764,12227,1104,1080,8571,8232,3089,2915
Ave,127401,122186,10140,9871,88264,85035,28997,27280
Cabeceiras de Basto,4549,4320,403,391,2886,2745,1260,1184
Fafe,15628,14991,1569,1536,10415,10030,3644,3425
Guimarães,47903,46015,3714,3614,33976,32794,10213,9607
Mondim de Basto,2221,2120,192,184,1455,1396,574,540
Póvoa de Lanhoso,5852,5580,488,472,3870,3698,1494,1410
Vieira do Minho,4315,4091,333,326,2833,2690,1149,1075
Vila Nova de Famalicão,40231,38590,2912,2834,28067,27057,9252,8699
Vizela,6702,6479,529,514,4762,4625,1411,1340
A. M. Porto,509382,487375,26316,25193,361092,347444,121974,114738
Arouca,6639,6356,458,441,4589,4413,1592,1502
Espinho,11342,10814,493,466,8140,7803,2709,2545
Gondomar,47883,45715,2671,2533,33537,32213,11675,10969
Maia,34426,33070,1612,1551,24547,23698,8267,7821
Matosinhos,51451,49329,2249,2156,37070,35740,12132,11433
Oliveira de Azeméis,21619,20734,1082,1036,15538,14980,4999,4718
Paredes,18631,17803,1554,1482,12050,11571,5027,4750
Porto,74655,70961,3016,2864,53054,50746,18585,17351
Póvoa de Varzim,16960,16231,990,963,11659,11193,4311,4075
Santa Maria da Feira,41345,39665,2406,2321,29557,28502,9382,8842
Santo Tirso,25254,24225,1374,1319,18282,17633,5598,5273
São João da Madeira,6907,6614,358,351,5001,4816,1548,1447
Trofa,10773,10353,701,672,7601,7339,2471,2342
Vale de Cambra,7792,7469,465,451,5545,5348,1782,1670
Valongo,25146,24151,1564,1497,17525,16939,6057,5715
Vila do Conde,23166,22070,1338,1278,15977,15305,5851,5487
Vila Nova de Gaia,85393,81815,3985,3812,61420,59205,19988,18798
Alto Tâmega,30211,28592,1384,1346,20585,19557,8242,7689
Boticas,2010,1899,106,105,1369,1294,535,500
Chaves,11481,10901,524,512,7920,7551,3037,2838
Montalegre,3995,3793,163,160,2688,2550,1144,1083
Ribeira de Pena,1989,1884,130,126,1301,1231,558,527
Valpaços,6227,5838,237,226,4249,4017,1741,1595
Vila Pouca de Aguiar,4509,4277,224,217,3058,2914,1227,1146
Tâmega e Sousa,105474,100697,8374,8075,69153,66297,27947,26325
Amarante,13717,13016,837,799,9093,8678,3787,3539
Baião,5703,5411,409,393,3627,3456,1667,1562
Castelo de Paiva,4720,4513,378,367,3125,2991,1217,1155
Celorico de Basto,5304,5006,442,425,3443,3261,1419,1320
Cinfães,5941,5673,293,281,4039,3868,1609,1524
Felgueiras,14698,14084,1206,1177,10046,9657,3446,3250
Lousada,10694,10284,1067,1024,6776,6552,2851,2708
Marco de Canaveses,12042,11534,987,953,7715,7417,3340,3164
Paços de Ferreira,12581,12057,992,950,8377,8075,3212,3032
Penafiel,16815,16045,1579,1530,10752,10293,4484,4222
Resende,3259,3074,184,176,2160,2049,915,849
Douro,60390,57227,3318,3191,40387,38409,16685,15627
