,"Total, Total (milhares de euros)","Total, Pensões em 31 dez. (milhares de euros)","Invalidez, Total (milhares de euros)","Invalidez, Pensões em 31 dez. (milhares de euros)","Velhice, Total (milhares de euros)","Velhice, Pensões em 31 dez. (milhares de euros)","Sobrevivência, Total (milhares de euros)","Sobrevivência, Pensões em 31 dez. (milhares de euros)"
Portugal,17660994,17373883,981664,967947,14059146,13845901,2620183,2560035
Continente,17029092,16753636,901403,888633,13616609,13411381,2511080,2453622
Norte,5697926,5611788,335580,331093,4530944,4467351,831402,813345
Alto Minho,334257,328344,23905,23605,259141,254795,51212,49945
Arcos de Valdevez,27884,27257,1947,1917,20940,20506,4997,4834
Caminha,25942,25489,1459,1443,20647,20301,3837,3744
Melgaço,8949,8696,477,469,7227,7021,1244,1207
Monção,23392,22887,1230,1214,18266,17884,3895,3789
Paredes de Coura,11441,11227,1070,1042,8609,8463,1762,1722
Ponte da Barca,15357,15035,1394,1380,11331,11099,2632,2556
Ponte de Lima,54875,53992,5103,5034,41483,40852,8290,8106
Valença,17271,16971,947,934,13343,13127,2981,2910
Viana do Castelo,136836,134736,9660,9566,107730,106156,19446,19014
Vila Nova de Cerveira,12311,12055,618,606,9565,9386,2128,2063
Cávado,537145,529709,44556,44133,420807,415292,71783,70284
Amares,20910,20550,1820,1806,16023,15751,3067,2993
Barcelos,162220,159892,15536,15377,125009,123287,21676,21228
Braga,247579,244569,17668,17500,198635,196412,31277,30656
Esposende,41632,41001,3646,3629,32125,31652,5860,5720
Terras de Bouro,10741,10530,762,749,8140,7988,1839,1793
Vila Verde,54063,53167,5123,5071,40876,40201,8064,7894
Ave,677171,668061,54923,54333,532141,525466,90106,88262
Cabeceiras de Basto,18558,18220,1844,1823,13482,13230,3231,3167
Fafe,70562,69411,8136,8006,52606,51795,9820,9610
Guimarães,270880,267568,20772,20570,216910,214491,33197,32507
Mondim de Basto,8953,8825,834,816,6617,6533,1502,1476
Póvoa de Lanhoso,24969,24519,2242,2209,18698,18377,4030,3933
Vieira do Minho,17919,17555,1412,1401,13419,13141,3088,3013
Vila Nova de Famalicão,228135,225163,16653,16488,180764,178568,30717,30107
Vizela,37194,36800,3029,3020,29645,29331,4521,4450
A. M. Porto,3142494,3096769,142992,140632,2552071,2518140,447432,437996
Arouca,29260,28776,2161,2127,22796,22459,4302,4190
Espinho,66519,65447,2779,2703,54025,53227,9715,9517
Gondomar,279011,274594,13907,13634,223444,220182,41659,40778
Maia,229331,226288,9550,9427,188003,185716,31779,31146
Matosinhos,362779,357882,13648,13428,298400,294667,50731,49787
Oliveira de Azeméis,122369,120893,5987,5916,100106,98991,16276,15987
Paredes,89779,88471,7439,7318,67498,66577,14843,14576
Porto,540522,531265,17207,16753,440645,433885,82670,80627
Póvoa de Varzim,88299,87100,4961,4924,69950,69027,13388,13148
Santa Maria da Feira,221767,218873,12338,12209,180136,177944,29293,28721
Santo Tirso,138666,136783,7457,7362,112639,111249,18571,18172
São João da Madeira,40852,40240,1904,1894,33612,33131,5336,5216
Trofa,65628,64709,3999,3915,53131,52469,8498,8325
Vale de Cambra,43263,42607,2636,2610,35060,34561,5567,5437
Valongo,147055,145133,8232,8122,117578,116187,21244,20824
Vila do Conde,128908,126971,7147,7040,103100,101684,18661,18246
Vila Nova de Gaia,548488,540734,21639,21250,451950,446184,74899,73300
Alto Tâmega,115166,112876,5817,5759,87954,86276,21394,20841
Boticas,7158,7007,465,464,5406,5286,1288,1257
Chaves,45777,44974,2219,2196,35409,34860,8149,7918
Montalegre,15535,15226,674,671,11728,11480,3133,3076
Ribeira de Pena,7402,7256,572,567,5434,5316,1395,1373
Valpaços,22596,22017,962,945,17283,16862,4352,4211
Vila Pouca de Aguiar,16697,16395,926,916,12693,12472,3078,3007
Tâmega e Sousa,499782,492118,40918,40447,378744,373256,80120,78415
Amarante,63113,62074,3918,3859,48442,47715,10754,10501
Baião,26301,25884,1894,1863,19600,19310,4808,4711
Castelo de Paiva,23380,23013,1970,1953,17721,17445,3690,3614
Celorico de Basto,21317,20903,2038,2003,15751,15463,3528,3437
Cinfães,26445,26052,1468,1448,20523,20229,4454,4374
Felgueiras,70856,69948,6059,6019,55037,54362,9760,9567
Lousada,52061,51370,5232,5153,38341,37869,8488,8348
Marco de Canaveses,59496,58570,4822,4761,44915,44249,9759,9561
Paços de Ferreira,57670,56832,4753,4717,43796,43197,9121,8918
Penafiel,86101,84707,7936,7858,64748,63746,13416,13103
Resende,13040,12766,828,814,9871,9669,2341,2282
Douro,251069,245924,15094,14877,190706,186914,45269,44134
Alijó,16457,16087,1148,1125,12255,11981,3054,2982
Armamar,8880,8725,437,432,6761,6651,1682,1642
Carrazeda de Ansiães,8702,8512,346,336,6625,6487,1731,1690
Freixo de Espada à Cinta,5276,5152,236,232,4132,4041,909,879
Lamego,32298,31573,1550,1531,24757,24215,5991,5828
Mesão Frio,6009,5914,447,446,4488,4416,1074,1052
Moimenta da Beira,12474,12200,536,530,9645,9450,2293,2220
Murça,8175,7987,518,498,6193,6061,1464,1427
Penedono,3182,3114,194,193,2390,2341,598,580
Peso da Régua,24081,23600,1890,1871,18043,17692,4149,4037
Sabrosa,9200,9056,702,698,6925,6806,1573,1552
Santa Marta de Penaguião,10918,10708,977,960,7982,7839,1958,1909
São João da Pesqueira,8797,8616,494,478,6584,6456,1719,1682
Sernancelhe,6904,6719,263,255,5264,5133,1377,1331
Tabuaço,7148,7018,428,424,5333,5239,1388,1356
Tarouca,9217,9033,438,437,7032,6886,1747,1710
Torre de Moncorvo,11150,10869,385,378,8752,8542,2013,1949
Vila Nova de Foz Côa,8081,7906,439,434,6014,5890,1628,1583
Vila Real,54118,53133,3665,3616,41529,40788,8924,8729
Terras de Trás-os-Montes,140841,137987,7375,7307,109380,107213,24086,23468
Alfândega da Fé,6862,6678,291,290,5386,5240,1185,1148
Bragança,37460,36742,2783,2750,28775,28239,5903,5754
Macedo de Cavaleiros,19009,18628,892,881,14664,14371,3453,3376
Miranda do Douro,10157,9939,374,373,8002,7842,1781,1725
Mirandela,27470,26992,1066,1056,21421,21065,4983,4870
Mogadouro,12272,11945,545,542,9484,9232,2243,2171
Vila Flor,7774,7639,337,333,6132,6029,1305,1277
Vimioso,5855,5755,304,301,4497,4424,1055,1029
Vinhais,13982,13670,783,780,11020,10772,2179,2118
Centro,3744458,3679031,232703,229871,2941172,2892651,570583,556509
Oeste,613964,602845,44022,43518,477628,469395,92313,89932
Alcobaça,105458,103585,9708,9672,80646,79207,15104,14706
Alenquer,71471,70109,5194,5149,55112,54050,11165,10910
Arruda dos Vinhos,22014,21514,1201,1155,17200,16851,3614,3508
Bombarral,20301,19878,1299,1257,15732,15432,3271,3189
Cadaval,23932,23428,1633,1617,18660,18280,3639,3531
Caldas da Rainha,85028,83565,5606,5541,67176,66088,12245,11936
Lourinhã,42176,41427,3426,3373,32839,32312,5911,5742
Nazaré,27321,26849,1947,1916,21131,20786,4244,4147
Óbidos,19550,19232,1035,1027,15603,15367,2912,2838
Peniche,46703,45876,2526,2476,36797,36217,7380,7182
Sobral de Monte Agraço,16983,16674,1311,1286,13061,12856,2611,2532
Torres Vedras,133025,130710,9137,9048,103671,101949,20217,19713
Região de Aveiro,602636,593121,22578,22182,490277,483223,89782,87716
Águeda,90035,88770,3106,3060,74978,74005,11950,11705
Albergaria-a-Velha,39003,38281,1727,1704,31257,30703,6018,5875
Anadia,49567,48707,1545,1533,40250,39601,7772,7573
Aveiro,127434,125459,4119,3996,104853,103424,18462,18039
Estarreja,46320,45518,1814,1790,36870,36281,7636,7447
Ílhavo,63933,63022,2413,2377,51627,50970,9893,9675
Murtosa,11742,11468,490,477,9023,8822,2229,2169
Oliveira do Bairro,30682,30131,1222,1194,24843,24461,4616,4477
Ovar,96573,95225,4105,4023,78587,77600,13881,13601
Sever do Vouga,19393,19048,828,822,15666,15393,2899,2833
Vagos,27954,27492,1208,1207,22320,21963,4426,4322
Região de Coimbra,742190,729953,42870,42433,587401,578283,111918,109238
Arganil,21564,21093,1383,1359,16714,16383,3467,3350
Cantanhede,51618,50715,2939,2910,40640,39945,8039,7861
Coimbra,224275,220994,11526,11396,181406,178970,31343,30629
Condeixa-a-Nova,22827,22480,1483,1468,18216,17952,3128,3060
Figueira da Foz,120022,118142,6775,6723,95618,94233,17629,17187
Góis,8595,8402,646,642,6425,6273,1524,1487
Lousã,27438,27088,2048,2026,21122,20876,4269,4187
Mealhada,33226,32696,1350,1336,26677,26274,5199,5087
Mira,16957,16622,702,687,13659,13410,2596,2525
Miranda do Corvo,19847,19494,1456,1454,15269,15004,3122,3036
Montemor-o-Velho,42303,41512,3023,2997,32556,31977,6724,6538
Mortágua,14680,14431,510,506,11766,11575,2404,2349
Oliveira do Hospital,34329,33703,2470,2455,26665,26170,5194,5078
Pampilhosa da Serra,9015,8782,390,376,6926,6754,1699,1652
Penacova,21485,21104,1543,1529,16510,16230,3432,3345
Penela,9142,8939,613,612,7045,6888,1484,1440
Soure,35718,35109,2267,2230,27510,27063,5941,5816
Tábua,19282,18932,1090,1085,15149,14881,3043,2966
Vila Nova de Poiares,9868,9715,654,643,7529,7425,1684,1646
Região de Leiria,489504,481555,45361,44897,374931,369177,69212,67482
Alvaiázere,12224,11891,1006,992,9131,8881,2086,2018
Ansião,20873,20515,1900,1894,15686,15411,3287,3210
Batalha,24029,23692,2020,2012,18830,18569,3179,3110
Castanheira de Pêra,7150,7035,544,538,5407,5327,1198,1170
Figueiró dos Vinhos,10563,10366,867,844,7837,7695,1859,1827
Leiria,203139,200210,18130,17989,158083,155920,26926,26300
Marinha Grande,89414,87958,10325,10226,67589,66532,11500,11200
Pedrógão Grande,6991,6854,643,633,4988,4905,1360,1316
Pombal,74957,73629,6665,6552,56223,55312,12070,11765
Porto de Mós,40165,39407,3261,3218,31157,30625,5747,5564
Viseu Dão Lafões,363748,357090,13703,13481,291405,286411,58641,57198
Aguiar da Beira,7790,7561,480,472,5982,5807,1328,1282
Carregal do Sal,14564,14324,583,577,11452,11278,2529,2469
Castro Daire,22988,22574,966,957,18174,17856,3848,3762
Mangualde,30127,29600,909,898,24462,24049,4757,4653
Nelas,21937,21561,837,832,17335,17042,3765,3687
Oliveira de Frades,14273,13994,546,526,11521,11325,2206,2142
Penalva do Castelo,10681,10443,410,407,8394,8215,1877,1822
Santa Comba Dão,19258,18931,704,699,15404,15153,3150,3080
São Pedro do Sul,24725,24252,943,931,19805,19455,3978,3866
Sátão,13534,13226,579,569,10618,10391,2337,2266
Tondela,42952,42043,1690,1655,34328,33641,6933,6747
Vila Nova de Paiva,5428,5304,216,214,4145,4054,1068,1035
Viseu,119387,117418,4346,4255,96632,95184,18410,17979
Vouzela,16104,15860,495,490,13154,12963,2455,2407
Beira Baixa,139652,136982,7560,7442,109428,107451,22663,22089
Castelo Branco,81848,80333,4831,4759,64244,63118,12774,12455
Idanha-a-Nova,16304,15943,626,608,12860,12599,2819,2737
Oleiros,10638,10434,597,594,8148,8002,1893,1838
Penamacor,7962,7790,386,386,6173,6033,1403,1371
Proença-a-Nova,14002,13695,716,696,10932,10696,2354,2303
Vila Velha de Ródão,8898,8788,405,400,7072,7004,1421,1385
Médio Tejo,432693,424456,38810,38391,325922,319857,67960,66207
Abrantes,76599,75160,7461,7355,56659,55661,12480,12145
Alcanena,26722,26175,2300,2292,20763,20347,3658,3536
Constância,6558,6428,655,601,4873,4812,1029,1015
Entroncamento,34305,33576,2753,2725,26080,25496,5472,5355
Ferreira do Zêzere,14939,14663,1865,1853,10761,10556,2312,2254
Mação,14706,14402,770,760,11404,11178,2532,2464
Ourém,62015,60884,6335,6306,46290,45468,9391,9109
Sardoal,7685,7576,947,941,5493,5415,1245,1220
Sertã,25283,24825,1609,1588,19264,18920,4411,4316
Tomar,73732,72245,6891,6813,55044,53952,11798,11480
Torres Novas,69739,68573,5761,5730,53808,52907,10170,9937
Vila de Rei,7306,7111,390,360,5662,5530,1255,1221
Vila Nova da Barquinha,13103,12837,1073,1067,9823,9616,2207,2154
Beiras e Serra da Estrela,360071,353029,17799,17527,284179,278854,58093,56648
Almeida,9374,9154,404,398,7378,7226,1592,1530
Belmonte,10331,10156,562,556,8164,8036,1604,1563
Celorico da Beira,9643,9418,431,424,7418,7234,1794,1761
