,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Portugal,262206,125908,136298,108156,42252,56292,55506,324260
Continente,237164,113494,123670,97148,37348,50978,51690,297505
Norte,93464,44410,49054,34299,13845,21550,23770,118869
Alto Minho,2725,1412,1313,864,363,582,916,3588
Arcos de Valdevez,197,105,92,29,21,39,108,266
Caminha,178,105,73,40,21,40,77,246
Melgaço,63,37,26,6,3,17,37,83
Monção,151,79,72,28,6,37,80,199
Paredes de Coura,68,39,29,6,4,10,48,91
Ponte da Barca,84,42,42,12,8,18,46,105
Ponte de Lima,323,147,176,69,23,86,145,411
Valença,304,156,148,121,43,60,80,403
Viana do Castelo,1273,650,623,537,226,249,261,1669
Vila Nova de Cerveira,84,52,32,16,8,26,34,114
Cávado,3455,1712,1743,1296,489,777,893,4173
Amares,206,102,104,82,28,41,55,229
Barcelos,480,249,231,164,53,101,162,612
Braga,2273,1124,1149,878,346,533,516,2761
Esposende,137,56,81,32,14,33,58,173
Terras de Bouro,66,43,23,18,5,20,23,60
Vila Verde,293,138,155,122,43,49,79,338
Ave,4536,2301,2235,1621,576,1069,1270,5644
Cabeceiras de Basto,351,171,180,120,24,97,110,401
Fafe,567,275,292,208,90,120,149,715
Guimarães,1281,680,601,455,158,312,356,1576
Mondim de Basto,203,104,99,62,22,46,73,212
Póvoa de Lanhoso,237,115,122,57,26,65,89,303
Vieira do Minho,242,127,115,63,17,70,92,332
Vila Nova de Famalicão,1538,758,780,629,228,333,348,1966
Vizela,117,71,46,27,11,26,53,139
A. M. Porto,59317,27771,31546,22331,9029,13647,14310,76377
Arouca,222,105,117,49,18,53,102,291
Espinho,1005,457,548,366,149,226,264,1264
Gondomar,6350,2959,3391,2507,1009,1470,1364,7662
Maia,3695,1653,2042,1454,537,801,903,4749
Matosinhos,5925,2685,3240,2265,929,1266,1465,7539
Oliveira de Azeméis,532,257,275,167,59,133,173,685
Paredes,2372,1123,1249,835,306,565,666,3025
Porto,15145,7318,7827,5720,2516,3480,3429,20319
Póvoa de Varzim,1241,608,633,398,174,298,371,1664
Santa Maria da Feira,2226,1066,1160,745,289,568,624,2956
Santo Tirso,1279,632,647,458,181,287,353,1743
São João da Madeira,365,162,203,133,60,80,92,439
Trofa,599,249,350,226,69,144,160,671
Vale de Cambra,159,66,93,28,12,39,80,249
Valongo,3492,1556,1936,1374,488,813,817,4418
Vila do Conde,1064,569,495,404,184,221,255,1316
