,"Rendimento bruto declarado por habitante, €","IRS liquidado por habitante, €","Rendimento bruto declarado deduzido do IRS liquidado por habitante, €","Rendimento bruto declarado por agregado fiscal, €","Valor mediano do rendimento bruto declarado por agregado fiscal, €","IRS liquidado por agregado fiscal, €","Rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal, €"
Portugal,9807,1222,8585,19065,12568,2377,16688
Continente,9869,1243,8626,19096,12591,2406,16690
Norte,8869,993,7876,17566,11782,1967,15599
Alto Minho,8157,773,7384,15968,11222,1513,14455
Arcos de Valdevez,6781,551,6230,13690,9942,1112,12578
Caminha,8897,1004,7893,16791,11437,1895,14896
Melgaço,6651,582,6069,14165,10534,1239,12926
Monção,7191,629,6562,14739,10700,1289,13450
Paredes de Coura,7144,506,6638,13902,10480,985,12917
Ponte da Barca,6890,511,6380,13423,9793,995,12428
Ponte de Lima,7223,563,6660,14771,10665,1151,13620
Valença,7757,590,7167,14398,10875,1094,13303
Viana do Castelo,9490,1032,8457,18119,12500,1971,16148
Vila Nova de Cerveira,8227,718,7509,15558,11524,1359,14199
Cávado,8898,947,7951,17742,12002,1888,15854
Amares,7487,606,6881,15329,11196,1241,14088
Barcelos,7589,622,6967,15366,11111,1260,14107
Braga,10513,1305,9207,20287,13423,2519,17768
Esposende,8958,1015,7943,17673,11686,2003,15670
Terras de Bouro,6653,490,6163,13699,10200,1009,12691
Vila Verde,6642,497,6145,14479,10624,1083,13396
Ave,8349,746,7603,16076,11515,1437,14639
Cabeceiras de Basto,6174,449,5726,13814,10021,1004,12811
Fafe,7536,585,6951,14640,10500,1137,13503
Guimarães,8905,850,8055,16600,11741,1584,15016
Mondim de Basto,5689,399,5290,12993,9618,910,12082
Póvoa de Lanhoso,6484,489,5995,14336,10621,1081,13255
Vieira do Minho,6386,486,5900,13630,10048,1038,12592
Vila Nova de Famalicão,8967,836,8131,16995,12245,1585,15411
Vizela,7884,572,7311,14858,11161,1078,13779
A. M. Porto,9968,1275,8693,19222,12584,2458,16764
Arouca,7258,560,6698,14689,10813,1133,13556
Espinho,10337,1312,9026,18824,12313,2389,16435
Gondomar,8719,885,7834,17268,12197,1753,15515
Maia,10548,1403,9145,21587,14516,2871,18715
Matosinhos,10994,1556,9437,21447,14024,3036,18411
Oliveira de Azeméis,9111,881,8229,17092,12188,1653,15439
Paredes,6838,528,6310,14015,10192,1082,12933
Porto,14477,2742,11735,24795,13761,4696,20099
Póvoa de Varzim,8848,957,7891,17106,11486,1850,15256
Santa Maria da Feira,8369,801,7568,16629,11796,1592,15037
Santo Tirso,8773,819,7954,16517,11781,1542,14975
São João da Madeira,9736,1072,8664,17513,11784,1928,15585
Trofa,8700,816,7884,16698,12135,1566,15132
Vale de Cambra,9143,873,8270,17422,12528,1663,15759
Valongo,8632,865,7767,17510,12529,1755,15755
Vila do Conde,9304,1044,8260,18188,12343,2041,16147
Vila Nova de Gaia,9858,1236,8622,19265,12816,2416,16850
Alto Tâmega,6730,617,6113,14797,10224,1357,13440
Boticas,5934,408,5526,13058,9585,898,12160
Chaves,7479,789,6690,16591,11104,1751,14840
Montalegre,6482,549,5933,13411,9654,1137,12274
Ribeira de Pena,6195,473,5722,13451,9861,1026,12425
Valpaços,5608,407,5201,12636,9427,917,11719
Vila Pouca de Aguiar,6436,520,5916,14063,9988,1135,12928
Tâmega e Sousa,6560,482,6077,13800,10042,1015,12785
Amarante,6781,578,6203,14372,10010,1225,13147
Baião,5576,379,5197,13306,10040,905,12401
Castelo de Paiva,6620,420,6200,13480,10332,855,12625
Celorico de Basto,5288,361,4927,13019,9643,888,12130
Cinfães,5272,345,4928,12113,9183,792,11321
Felgueiras,7105,511,6593,13982,10199,1006,12976
Lousada,6931,452,6479,13623,10194,888,12736
Marco de Canaveses,5941,429,5512,13305,9780,960,12344
Paços de Ferreira,6665,463,6201,13714,10043,954,12761
Penafiel,7155,584,6571,14667,10540,1197,13470
Resende,5533,402,5131,12589,9100,914,11675
Douro,7276,712,6564,16098,10810,1576,14522
Alijó,6409,456,5954,13185,9622,937,12248
Armamar,5783,443,5340,13861,9849,1061,12800
Carrazeda de Ansiães,6154,489,5665,14296,10019,1136,13160
Freixo de Espada à Cinta,7030,534,6496,14370,10449,1091,13279
Lamego,7759,822,6936,16756,10918,1776,14980
Mesão Frio,5859,418,5440,13154,9768,939,12215
Moimenta da Beira,6132,514,5618,15246,11087,1277,13969
Murça,6152,473,5680,13583,9886,1044,12539
Penedono,6638,578,6060,13535,//,1178,12357
Peso da Régua,6938,645,6293,15533,10653,1443,14090
Sabrosa,6362,468,5895,14054,10477,1033,13021
Santa Marta de Penaguião,6122,407,5715,12428,9161,827,11601
São João da Pesqueira,6018,500,5518,13759,9798,1144,12616
Sernancelhe,5656,422,5234,13738,10179,1025,12714
Tabuaço,4574,342,4232,13487,9678,1009,12479
Tarouca,5447,410,5037,14416,10531,1086,13330
Torre de Moncorvo,6449,552,5897,14764,10570,1263,13500
Vila Nova de Foz Côa,6845,604,6240,14452,10428,1276,13176
Vila Real,9539,1157,8382,19924,12857,2417,17507
Terras de Trás-os-Montes,8053,830,7223,16851,11247,1738,15114
Alfândega da Fé,6794,579,6216,14483,10090,1233,13249
Bragança,9783,1190,8594,19760,13156,2403,17357
Macedo de Cavaleiros,6877,632,6245,15089,10106,1387,13701
Miranda do Douro,8026,815,7212,16826,11873,1708,15119
Mirandela,7720,763,6957,16726,11283,1653,15073
Mogadouro,7509,711,6798,15310,10362,1450,13861
Vila Flor,6454,528,5926,14515,10347,1187,13328
Vimioso,7194,602,6592,14339,10115,1200,13139
Vinhais,6717,474,6243,13518,9824,954,12564
Centro,9103,983,8120,18080,12536,1953,16128
Oeste,9012,943,8069,17411,12060,1822,15589
Alcobaça,8708,801,7907,16564,12066,1524,15040
Alenquer,9176,950,8226,18142,12990,1878,16264
Arruda dos Vinhos,9889,1291,8597,21846,14569,2853,18993
Bombarral,7997,765,7232,16108,11302,1541,14567
Cadaval,7603,706,6896,16140,11500,1500,14641
Caldas da Rainha,9001,987,8015,17423,11839,1910,15513
Lourinhã,8521,867,7654,16656,11660,1694,14961
Nazaré,8724,803,7920,15697,11396,1445,14252
Óbidos,8618,920,7698,17306,11657,1848,15459
Peniche,8504,811,7693,16605,11791,1583,15021
Sobral de Monte Agraço,9092,1011,8081,18477,12430,2054,16422
Torres Vedras,9803,1097,8706,17915,12027,2005,15911
Região de Aveiro,9441,1047,8393,18414,12666,2043,16371
Águeda,9049,864,8185,17299,12064,1652,15648
Albergaria-a-Velha,8836,788,8048,17028,12651,1518,15510
Anadia,9056,987,8069,17290,11752,1885,15406
Aveiro,11592,1619,9973,21857,14402,3053,18804
Estarreja,8805,851,7955,17198,12475,1662,15537
Ílhavo,9885,1169,8715,19289,13181,2282,17007
Murtosa,7349,717,6632,16134,11480,1575,14559
Oliveira do Bairro,7727,674,7053,16784,12071,1464,15319
Ovar,9307,968,8339,17802,12504,1852,15951
Sever do Vouga,8070,685,7386,16036,11753,1361,14675
Vagos,7615,714,6901,16053,11433,1505,14548
Região de Coimbra,10046,1231,8815,19738,13309,2420,17319
Arganil,7098,489,6609,14601,10930,1007,13594
Cantanhede,7959,762,7197,16596,11610,1590,15007
Coimbra,13499,2147,11352,24631,15931,3918,20713
Condeixa-a-Nova,9208,1021,8187,20316,14530,2252,18064
Figueira da Foz,10247,1231,9016,19786,13782,2377,17409
Góis,7370,525,6845,14544,10989,1036,13508
Lousã,8421,810,7611,17581,12910,1691,15891
Mealhada,8932,862,8070,17988,13136,1735,16253
Mira,8182,823,7359,16544,11688,1664,14879
Miranda do Corvo,7484,626,6858,16250,12072,1360,14890
Montemor-o-Velho,8619,804,7815,17970,13371,1676,16294
Mortágua,8121,688,7433,15789,11552,1337,14451
Oliveira do Hospital,7263,520,6743,14862,10921,1064,13797
Pampilhosa da Serra,6412,428,5984,14649,11370,979,13670
Penacova,7332,535,6797,14925,11438,1089,13836
Penela,7782,663,7119,15433,10968,1315,14118
Soure,8882,790,8092,17441,13190,1551,15890
Tábua,7105,536,6569,14731,10327,1111,13620
Vila Nova de Poiares,7575,589,6985,14937,11178,1162,13775
Região de Leiria,9303,978,8325,18185,13070,1912,16273
Alvaiázere,6449,492,5957,14235,10651,1086,13149
Ansião,7201,572,6629,15476,11403,1230,14246
Batalha,8795,829,7966,17776,13152,1675,16101
Castanheira de Pêra,7650,537,7113,14112,//,992,13121
Figueiró dos Vinhos,7142,580,6562,14653,10651,1190,13464
Leiria,10369,1222,9148,19755,13850,2327,17427
Marinha Grande,10189,1100,9088,18682,13814,2018,16664
Pedrógão Grande,7182,524,6658,13661,10137,996,12665
Pombal,7917,696,7221,16469,12322,1449,15020
Porto de Mós,8398,742,7656,16650,12267,1472,15178
Viseu Dão Lafões,8174,832,7342,17557,12159,1787,15770
Aguiar da Beira,7009,525,6484,14989,10892,1122,13867
Carregal do Sal,6773,545,6229,15529,11281,1249,14280
Castro Daire,5814,405,5410,13444,10029,936,12507
Mangualde,7785,701,7085,16851,12448,1516,15335
Nelas,8152,787,7365,16991,12162,1640,15351
Oliveira de Frades,7223,575,6648,15539,11380,1238,14301
Penalva do Castelo,6430,446,5984,14435,10921,1001,13434
Santa Comba Dão,7929,677,7252,15953,11722,1361,14591
São Pedro do Sul,6908,589,6319,15274,10902,1302,13972
Sátão,6573,535,6039,15147,10940,1232,13915
Tondela,7670,688,6981,16473,12076,1478,14995
Vila Nova de Paiva,5978,492,5486,14857,10759,1223,13634
Viseu,9760,1189,8571,20365,13649,2482,17884
Vouzela,7096,582,6514,15407,11341,1264,14143
Beira Baixa,9074,956,8118,17823,12475,1878,15945
Castelo Branco,9960,1143,8818,19273,13401,2212,17062
Idanha-a-Nova,7677,584,7092,14433,10701,1098,13334
Oleiros,6955,537,6418,14513,10509,1121,13392
