,"Quintis do rendimento bruto declarado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, 32 500 € ou mais, N.º"
Portugal,5830,8854,11772,18474,1109405,2563514,1290619,995089,924194,484804
Continente,5848,8859,11792,18484,1055744,2451348,1232842,956154,882371,465661
Norte,5406,8210,10633,16180,442715,996747,434420,300887,261465,130992
Alto Minho,5065,7746,10166,14813,32735,65774,29203,18722,14886,6101
Arcos de Valdevez,4414,6569,9048,12640,3832,5995,2294,1272,926,354
Caminha,5040,7727,10435,15696,2347,4461,1987,1301,1197,555
Melgaço,4618,7180,9504,13605,1208,2168,856,537,404,131
Monção,4792,7306,9618,13623,2649,5095,2073,1217,950,355
Paredes de Coura,4772,6853,9231,12443,1432,2760,1116,559,347,124
Ponte da Barca,4349,6477,9071,12340,2149,3311,1241,649,543,168
Ponte de Lima,4843,7279,9460,13107,6278,12526,4929,2811,1978,714
Valença,5200,7746,10027,13614,1868,4076,1961,1151,661,222
Viana do Castelo,5679,8637,11340,17214,9856,22771,11434,8360,7342,3293
Vila Nova de Cerveira,5470,8252,10539,14738,1116,2611,1312,865,538,185
Cávado,5602,8459,10700,16162,46174,114808,51254,34081,30051,14331
Amares,5118,7659,9730,13686,2483,5555,2232,1312,1054,298
Barcelos,5460,8037,9724,13427,13671,37674,14978,8452,5739,2092
Braga,6181,9025,12169,19742,17871,46116,24051,18091,18457,9984
Esposende,5333,8220,10444,15773,4387,9810,4138,2894,2382,1219
Terras de Bouro,4599,6915,9233,12801,1034,1880,700,415,296,75
Vila Verde,4844,7248,9303,12907,6728,13773,5155,2917,2123,663
Ave,5692,8171,10017,14089,47051,136462,56201,32584,24626,9653
Cabeceiras de Basto,4506,6713,8912,12434,2563,4456,1419,926,604,208
Fafe,5004,7318,9191,12992,7074,16479,5232,3078,2595,943
Guimarães,6028,8416,10109,14192,15613,53276,21883,12223,9311,4237
Mondim de Basto,4386,6244,8802,11997,1239,1821,607,335,275,65
Póvoa de Lanhoso,4759,7255,9242,12691,3097,6253,2345,1320,889,263
Vieira do Minho,4445,6488,8924,12703,2091,3320,1172,727,523,157
Vila Nova de Famalicão,6112,8611,10668,15146,12893,41782,20169,12304,9353,3384
Vizela,5891,8208,9584,12654,2481,9075,3374,1671,1076,396
A. M. Porto,5840,8745,11603,18200,187196,451624,219356,165437,150759,84813
Arouca,4983,7236,9320,13028,3023,6783,2424,1476,968,338
Espinho,5704,8530,11216,18181,3412,8487,3829,2655,2639,1596
Gondomar,5644,8524,11107,16450,18705,44502,21928,15898,13102,4902
Maia,6560,9592,13428,21424,11727,29614,17259,15144,15341,8136
Matosinhos,6440,9352,13028,21130,15517,39975,22210,18397,18184,11353
Oliveira de Azeméis,5967,8533,10873,15143,6820,20521,10348,6980,4505,1639
Paredes,4520,6954,9047,12694,15092,25592,9181,5475,3871,1351
Porto,6365,9684,15041,27837,21800,46891,23039,20791,26760,25711
Póvoa de Varzim,5121,8012,10401,15976,8861,17726,7306,5337,4695,2249
Santa Maria da Feira,5553,8166,10504,14948,16109,40794,18903,12220,8864,3574
Santo Tirso,5875,8207,10195,14529,6862,23368,9538,5828,4263,1749
São João da Madeira,5946,8536,11011,16589,2259,6742,3095,2079,1818,875
Trofa,5886,8549,10758,14916,4082,11615,5877,3719,2583,890
Vale de Cambra,5859,8438,11079,15572,2246,6383,3190,2340,1486,631
Valongo,5859,8773,11473,16800,10171,24623,12874,9944,8027,2721
Vila do Conde,5712,8475,11065,16729,8962,22588,10065,7745,6240,3048
Vila Nova de Gaia,5893,8862,11844,18507,31548,75420,38290,29409,27413,14050
Alto Tâmega,4391,6507,9149,13763,15352,21842,7891,5378,4520,1857
Boticas,4294,6178,8768,11609,939,1406,447,264,172,56
Chaves,4675,7320,10147,16040,5920,9232,3824,2771,2602,1231
Montalegre,4002,6076,8890,12690,1885,2383,843,556,419,141
Ribeira de Pena,4305,6214,8890,12654,1171,1605,529,367,270,74
Valpaços,3868,5593,8107,11515,3162,3943,1203,711,505,160
Vila Pouca de Aguiar,4326,6350,8890,12809,2275,3273,1045,709,552,195
Tâmega e Sousa,4591,6843,8917,12165,69387,130935,40348,23367,17007,5829
Amarante,4462,6570,8980,12858,9479,15422,4866,3060,2590,1031
Baião,4480,6341,8791,11957,3116,5164,1579,995,588,169
Castelo de Paiva,4713,6881,9009,11900,2575,5116,1736,942,554,166
Celorico de Basto,4459,6438,8836,11566,2926,5143,1385,822,592,211
Cinfães,3915,5573,8012,10959,3829,4989,1274,780,562,160
Felgueiras,5055,7426,9068,12008,8048,20598,6064,3246,2307,840
Lousada,4744,7215,8936,12021,7774,16229,5200,2852,1965,521
Marco de Canaveses,4391,6346,8772,11997,9179,14616,4427,2726,1905,616
Paços de Ferreira,4731,7110,8890,11787,9063,19392,5508,2997,2197,747
Penafiel,4764,7155,9174,12998,11077,21703,7568,4514,3415,1228
Resende,3600,5485,8015,11329,2321,2563,741,433,332,140
Douro,4693,7154,9750,15021,28761,48260,18454,12935,11649,5183
Alijó,4397,6320,8751,12226,2075,3177,1005,619,459,125
Armamar,4457,6441,8836,12185,933,1545,485,269,202,94
Carrazeda de Ansiães,4445,6567,9009,13289,911,1446,486,334,257,99
Freixo de Espada à Cinta,4976,7234,9407,13120,//,//,//,//,//,//
Lamego,4670,7182,9987,15833,3937,6139,2404,1767,1658,864
Mesão Frio,4360,6099,8731,11998,734,1094,361,196,133,48
Moimenta da Beira,4639,7117,9444,13559,1337,2433,913,558,463,153
Murça,4229,5991,8663,12313,1083,1467,495,303,236,77
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,4789,7151,9658,14782,2238,4060,1443,1151,915,331
Sabrosa,4788,6893,9228,12556,864,1732,613,368,238,66
Santa Marta de Penaguião,3808,5859,8132,11465,1442,2021,584,345,248,71
São João da Pesqueira,4301,6233,8790,12282,1267,1900,610,384,284,97
Sernancelhe,4548,6678,8893,11994,844,1460,470,283,149,76
Tabuaço,4287,6076,8558,12150,915,1265,376,219,213,57
Tarouca,4574,6892,9185,12906,1048,1875,635,372,346,84
Torre de Moncorvo,4610,6967,9429,13918,1173,1865,761,478,382,146
Vila Nova de Foz Côa,4397,6953,9219,13670,1108,1738,676,455,334,108
Vila Real,5459,8757,12061,20100,5873,11255,5513,4449,4902,2587
Terras de Trás-os-Montes,4823,7526,10364,16105,16059,27042,11713,8383,7967,3225
Alfândega da Fé,4488,6253,8890,13364,830,1275,405,280,242,85
Bragança,5756,9004,12334,19752,3677,7443,4212,3317,3477,1592
Macedo de Cavaleiros,4391,6405,9101,14007,2652,3675,1285,821,870,341
Miranda do Douro,5224,7825,10269,15365,881,1930,779,587,478,153
Mirandela,4792,7533,10353,15948,3225,5219,2406,1635,1564,580
Mogadouro,4560,6766,9385,14004,1472,2359,879,559,486,222
Vila Flor,4440,6253,8890,13209,1095,1620,525,395,266,102
Vimioso,4496,6680,9127,13244,742,1195,437,300,191,68
Vinhais,4515,6260,8902,12457,1485,2326,785,489,393,82
Centro,5859,8758,11407,16955,231093,583812,298821,221123,180260,78156
Oeste,5765,8637,11231,16632,39310,97143,48523,35687,28891,11684
Alcobaça,6055,8732,11037,15320,5237,15604,8234,5408,3699,1273
Alenquer,6253,9102,12005,17178,4014,10850,6529,5170,3875,1269
