,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Portugal,5775,8752,11187,16399,1125342,2729827,1384542,1032196,852713,243005
Continente,5789,8756,11194,16385,1071282,2612532,1325246,990820,811910,232330
Norte,5372,8111,10212,14669,448691,1055154,457638,304188,239042,62513
Alto Minho,5026,7639,9790,13618,33191,69839,30249,18458,13129,2555
Arcos de Valdevez,4391,6516,8960,11916,3885,6298,2364,1160,829,137
Caminha,4970,7613,9973,14168,2388,4741,2076,1315,1056,272
Melgaço,4585,7099,9315,12490,1230,2333,841,544,313,43
Monção,4792,7175,9324,12653,2691,5428,2103,1182,798,137
Paredes de Coura,4758,6795,9137,11764,1442,2931,1099,521,290,55
Ponte da Barca,4340,6432,8985,11743,2171,3484,1224,657,450,75
Ponte de Lima,4804,7212,9316,12322,6350,13158,5068,2672,1670,318
Valença,5125,7649,9652,12746,1901,4347,1998,1076,532,85
Viana do Castelo,5633,8514,10817,15492,10000,24318,12115,8522,6740,1361
Vila Nova de Cerveira,5418,8171,10068,13524,1133,2801,1361,809,451,72
Cávado,5576,8361,10302,14684,46818,121520,53526,34730,27593,6512
Amares,5080,7572,9405,12767,2518,5838,2328,1301,839,110
Barcelos,5420,7949,9424,12535,13883,39687,15309,8144,4680,903
Braga,6133,8947,11557,17372,18087,49168,25623,19143,17885,4664
Esposende,5303,8139,10043,14351,4465,10364,4363,2842,2222,574
Terras de Bouro,4586,6854,9107,12050,1050,1998,686,411,234,21
Vila Verde,4820,7157,9213,12173,6815,14465,5217,2889,1733,240
Ave,5663,8096,9683,13107,47592,144355,57492,31915,20920,4303
Cabeceiras de Basto,4487,6669,8890,11781,2585,4639,1514,849,506,83
Fafe,4972,7261,9126,12250,7160,17179,5348,3081,2260,373
Guimarães,5998,8343,9767,13195,15792,56315,22331,11919,8176,2010
Mondim de Basto,4380,6212,8731,11324,1254,1920,596,325,221,26
Póvoa de Lanhoso,4726,7174,9157,11914,3130,6586,2418,1207,725,101
Vieira do Minho,4445,6440,8890,11930,2113,3525,1183,668,444,57
Vila Nova de Famalicão,6076,8535,10283,13908,13047,44604,20779,12268,7706,1481
Vizela,5859,8135,9320,11992,2511,9587,3323,1598,882,172
A. M. Porto,5783,8641,11039,16156,189915,480619,235534,169205,141309,42603
Arouca,4944,7159,9207,12217,3065,7130,2501,1373,826,117
Espinho,5656,8411,10715,16110,3467,9040,4053,2716,2603,739
Gondomar,5610,8416,10615,14860,18930,47244,23544,16107,11099,2113
Maia,6494,9315,12533,18552,11897,31680,18960,16127,14721,3836
Matosinhos,6386,9205,12211,18300,15748,42919,24176,19336,17448,6009
Oliveira de Azeméis,5920,8426,10405,13890,6929,21948,10952,6601,3656,727
Paredes,4515,6895,8986,11957,15246,26834,9469,5136,3294,583
Porto,6288,9315,13683,22785,22204,50299,25420,23027,29379,14663
Póvoa de Varzim,5077,7907,10012,14552,8988,18694,7770,5343,4382,997
Santa Maria da Feira,5519,8066,10095,13734,16316,43291,19941,11695,7594,1627
