,"Taxa quinquenal de mortalidade 
infantil (2016/2020),  ‰, 2020 (‰)","Taxa quinquenal de mortalidade 
neonatal (2016/2020),  ‰, 2020 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2020 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2020 (‰)"
Portugal,2.9,2,3.3,2.8
Continente,2.9,2,3.4,2.8
Norte,2.6,1.9,2.9,2.5
Alto Minho,4.2,2.7,4.3,3.3
Arcos de Valdevez,0,0,5.2,3.7
Caminha,1.9,1.9,6.3,3.6
Melgaço,6,0,7.3,4.4
Monção,6.3,6.3,8.3,3.7
Paredes de Coura,6.9,6.9,5.9,4.5
Ponte da Barca,2.9,0,4.6,3.6
Ponte de Lima,4.3,0.7,2.9,2.9
Valença,6.9,2.3,4.7,4.5
Viana do Castelo,4.7,4.1,3.1,3
Vila Nova de Cerveira,0,0,4.7,2.6
Cávado,1.6,0.9,2.4,2.2
Amares,2.9,0,3.3,1.9
Barcelos,2.1,0.7,2.5,2
Braga,1.3,1.1,2,2.1
Esposende,2.1,1.4,2.2,2.8
Terras de Bouro,0,0,3.6,3.2
Vila Verde,1.1,1.1,3.4,2.5
Ave,1.9,1.4,2.4,2.2
Cabeceiras de Basto,2,0,3.7,2.4
Fafe,1.8,0.6,2.7,2.2
Guimarães,1.1,0.9,2.2,2.1
Mondim de Basto,5.8,5.8,4.8,3.3
Póvoa de Lanhoso,1.4,0,2.7,2.5
Vieira do Minho,6.3,6.3,3.2,2.4
Vila Nova de Famalicão,2.6,2.1,2.3,2.3
Vizela,1.9,1.9,1.5,1.8
A. M. Porto,2.8,2.1,2.7,2.5
Arouca,0,0,2.6,1.5
Espinho,3.8,3.8,3.8,2.9
Gondomar,2.8,2.3,2.5,2.4
Maia,1.8,1.3,2,2.2
Matosinhos,1.5,0.8,2.3,2.7
Oliveira de Azeméis,0.4,0.4,2.9,2.4
Paredes,3.2,2.3,1.9,1.9
Porto,3.1,2.2,3.7,3.3
Póvoa de Varzim,5.5,4.3,2.9,3
Santa Maria da Feira,3.2,2.3,2.2,2.1
Santo Tirso,4.5,2.7,3.2,2.5
São João da Madeira,2.6,2.6,2.5,2.7
Trofa,2.5,2.5,2.2,1.6
Vale de Cambra,2.9,2.9,3.9,2.1
Valongo,2.8,2.3,2.4,2.1
Vila do Conde,2.3,1.5,2.5,2.6
Vila Nova de Gaia,3.4,2.7,2.7,2.5
Alto Tâmega,2.5,2.1,4.5,3.8
Boticas,0,0,4.2,6.2
Chaves,1.7,1.7,3.4,3.3
Montalegre,4.7,4.7,5.8,4.5
Ribeira de Pena,5.5,0,3.8,3
Valpaços,2.6,2.6,5.8,4.5
Vila Pouca de Aguiar,3.4,3.4,6.5,3.8
Tâmega e Sousa,2.4,2,2.7,2.2
Amarante,0,0,2.9,2.1
Baião,0,0,3.4,2.6
Castelo de Paiva,0,0,2.8,3
Celorico de Basto,3.4,3.4,4.7,2.2
Cinfães,3.1,3.1,3.9,2.9
Felgueiras,3.9,3.1,2.1,1.8
Lousada,3.5,2.5,2.3,2.2
Marco de Canaveses,5,3.9,2.7,1.8
Paços de Ferreira,3,2.6,2.1,1.9
Penafiel,0.4,0.4,2.4,2.3
Resende,3.1,3.1,4,4.5
Douro,3,1.6,4.2,2.9
Alijó,0,0,4,2.8
Armamar,0,0,6.1,4.2
Carrazeda de Ansiães,0,0,5.7,3.9
Freixo de Espada à Cinta,9.6,9.6,12.2,3.7
Lamego,0,0,3.1,2.9
Mesão Frio,10.8,0,2.5,3.5
Moimenta da Beira,3.2,3.2,4.4,2.8
Murça,0,0,6.1,3.3
Penedono,0,0,3.5,3.1
Peso da Régua,5.9,2,3.8,2.9
Sabrosa,0,0,3.4,3.9
Santa Marta de Penaguião,0,0,4.6,2.6
São João da Pesqueira,9.9,5,3.8,3.5
Sernancelhe,21.4,14.3,3,2.4
Tabuaço,0,0,2.2,3.2
Tarouca,0,0,4.1,3.1
Torre de Moncorvo,5.4,0,7.3,3.8
Vila Nova de Foz Côa,5.9,5.9,7,4.2
Vila Real,2.3,1.1,3.7,2.2
Terras de Trás-os-Montes,2.2,1.6,5,3.4
Alfândega da Fé,15.5,7.8,5.5,3.5
Bragança,0.8,0.8,4,3
Macedo de Cavaleiros,0,0,5,3.6
Miranda do Douro,0,0,5.6,2.8
Mirandela,1.5,1.5,4.8,3.4
Mogadouro,4.9,4.9,7.1,3.4
Vila Flor,5.3,5.3,4.5,3.2
Vimioso,8.1,0,4.5,6.8
Vinhais,0,0,7.2,3.3
Centro,2.4,1.8,4,3
Oeste,2.9,2.4,3.8,2.8
Alcobaça,1.6,1.1,3.7,2.7
Alenquer,2.6,2.6,3.8,2.3
