,"Farmácias e postos farmacêuticos móveis, Total (N.º)","Farmácias e postos farmacêuticos móveis, Farmácias (N.º)","Farmácias e postos farmacêuticos móveis, Postos farmacêuticos móveis  (N.º)","Farmacêuticos de oficina, Postos farmacêuticos móveis  (N.º)","Técnicos de farmácia, Postos farmacêuticos móveis  (N.º)"
Portugal,3112,2921,191,10120,4632
Continente,2975,2803,172,9803,4524
Norte,927,907,20,3453,2198
Alto Minho,69,66,3,246,137
Arcos de Valdevez,6,6,0,23,14
Caminha,5,5,0,17,12
Melgaço,3,3,0,11,7
Monção,6,6,0,16,5
Paredes de Coura,3,3,0,8,3
Ponte da Barca,3,3,0,8,8
Ponte de Lima,10,9,1,42,12
Valença,3,3,0,13,6
Viana do Castelo,27,25,2,100,65
Vila Nova de Cerveira,3,3,0,8,5
Cávado,90,90,0,357,226
Amares,4,4,0,16,25
Barcelos,26,26,0,104,37
Braga,38,38,0,166,121
Esposende,8,8,0,35,13
Terras de Bouro,3,3,0,4,3
Vila Verde,11,11,0,32,27
Ave,92,91,1,332,176
Cabeceiras de Basto,4,4,0,13,10
Fafe,9,9,0,35,28
Guimarães,35,35,0,144,70
Mondim de Basto,2,2,0,5,3
Póvoa de Lanhoso,5,5,0,15,10
Vieira do Minho,4,4,0,8,3
Vila Nova de Famalicão,29,28,1,94,46
Vizela,4,4,0,18,6
A. M. Porto,433,432,1,1853,1033
Arouca,7,7,0,20,11
Espinho,10,10,0,41,18
Gondomar,33,33,0,151,118
Maia,26,26,0,128,88
Matosinhos,36,36,0,202,103
Oliveira de Azeméis,16,16,0,54,32
Paredes,16,16,0,56,40
Porto,109,109,0,484,185
Póvoa de Varzim,15,15,0,61,35
Santa Maria da Feira,27,27,0,115,42
Santo Tirso,18,17,1,58,31
São João da Madeira,5,5,0,25,27
Trofa,8,8,0,24,20
Vale de Cambra,6,6,0,21,21
Valongo,18,18,0,73,67
Vila do Conde,17,17,0,68,47
Vila Nova de Gaia,66,66,0,272,148
Alto Tâmega,32,31,1,84,115
Boticas,2,2,0,6,5
Chaves,12,12,0,31,67
Montalegre,5,4,1,9,1
