,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Portugal,5845,5634,6717,3474,3200,3364,3074,1211,178,174,182,64
Continente,5873,5622,6741,3491,3215,3384,3085,1193,178,173,182,63
Norte,5432,5206,6220,3248,3171,3354,3036,1101,181,176,185,63
Alto Minho,4503,4901,5074,2803,2742,2816,2684,1335,158,149,165,77
Arcos de Valdevez,3676,4280,4075,2507,2673,2823,2576,1232,163,165,162,80
Caminha,4767,4799,5415,2895,2973,3142,2851,1444,173,171,175,74
Melgaço,3638,3912,3995,2351,2744,2797,2707,1049,156,148,161,70
Monção,3864,4378,4331,2507,2643,2800,2558,1202,160,159,161,75
Paredes de Coura,3956,4552,4422,2482,2646,2608,2678,1493,157,146,166,90
Ponte da Barca,3955,4289,4410,2662,2546,2851,2336,1257,156,162,151,82
Ponte de Lima,4335,4805,4892,2659,2739,2744,2736,1192,166,156,173,74
Valença,4142,4467,4715,2642,2629,2712,2572,1182,160,160,160,72
Viana do Castelo,5232,5551,5894,3169,2779,2843,2718,1482,151,139,163,80
Vila Nova de Cerveira,4204,4354,4789,2697,2767,2697,2821,1147,163,151,173,68
Cávado,5082,5256,5776,2946,3214,3406,3089,975,182,177,185,57
Amares,4312,4728,4895,2575,2975,3405,2727,897,171,176,169,60
Barcelos,4966,5248,5669,2831,3287,3402,3204,1042,188,176,196,63
Braga,5596,5575,6318,3246,3269,3449,3153,965,182,177,185,52
Esposende,4775,5202,5462,2745,3184,3406,3038,1068,179,177,180,65
Terras de Bouro,4363,4825,4954,2782,2399,2759,2136,753,161,169,155,58
Vila Verde,4236,4640,4769,2611,3023,3316,2854,811,178,178,179,55
Ave,5315,5416,6029,3107,3271,3479,3138,1059,191,186,194,63
Cabeceiras de Basto,4079,4576,4672,2564,2942,3044,2865,958,177,169,183,65
Fafe,4515,5186,5051,2695,3267,3383,3198,1229,199,193,203,77
Guimarães,5655,5593,6384,3251,3291,3457,3186,1015,193,190,195,61
Mondim de Basto,4031,4344,4548,2616,2863,2977,2743,1064,180,185,176,76
Póvoa de Lanhoso,4267,4593,4832,2697,3379,3717,3120,967,194,187,199,66
Vieira do Minho,4153,4241,4737,2688,3049,3701,2574,930,182,191,175,66
