,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Portugal,660364,279519,380845,42260857,17623621,24637236,799427,374826,424601
Continente,632398,266942,365456,39973140,16636329,23336811,754200,352218,401981
Norte,269065,116858,152207,16854734,7319629,9535105,296200,141305,154895
Alto Minho,16815,6916,9899,1301375,504825,796550,22440,9414,13026
Arcos de Valdevez,1214,492,722,97202,35330,61872,1496,558,938
Caminha,1135,458,677,83853,33173,50680,1639,717,922
Melgaço,364,151,213,25604,10610,14994,382,174,208
Monção,917,371,546,68822,26783,42039,1102,463,639
Paredes de Coura,710,290,420,63749,22884,40865,1060,388,672
Ponte da Barca,712,281,431,58528,20466,38062,895,304,591
Ponte de Lima,3300,1378,1922,244360,100000,144360,3932,1676,2256
Valença,1074,430,644,76947,26345,50602,1269,445,824
Viana do Castelo,6533,2687,3846,523926,207385,316541,9684,4306,5378
Vila Nova de Cerveira,856,378,478,58384,21849,36535,982,384,598
Cávado,31499,13285,18214,1798921,746155,1052766,30716,13680,17036
Amares,1210,528,682,73199,31247,41952,1086,524,562
Barcelos,10078,4294,5784,638153,269933,368220,10505,4883,5622
Braga,14029,5846,8183,723006,291108,431898,13539,5709,7830
Esposende,2298,983,1315,149614,62920,86694,2455,1110,1346
Terras de Bouro,341,153,188,19844,8646,11198,257,123,134
Vila Verde,3543,1481,2062,195105,82301,112804,2874,1331,1543
Ave,34663,15499,19164,2182477,963816,1218661,36715,17770,18945
Cabeceiras de Basto,962,456,506,62919,30512,32407,922,502,420
Fafe,3794,1691,2103,292254,126612,165642,4663,2167,2497
Guimarães,13054,5710,7344,794442,335848,458594,13251,5913,7338
Mondim de Basto,342,168,174,25875,13086,12789,364,197,166
Póvoa de Lanhoso,1447,609,838,95482,40366,55116,1399,631,769
Vieira do Minho,517,273,244,33911,18400,15511,481,274,206
Vila Nova de Famalicão,12147,5531,6616,729812,337654,392158,13228,6996,6232
Vizela,2400,1061,1339,147782,61338,86444,2407,1089,1318
A. M. Porto,137594,59425,78169,7949122,3450039,4499083,148916,71790,77127
Arouca,1802,899,903,123955,63596,60359,1991,1121,870
Espinho,2548,1192,1356,152938,69796,83142,2856,1437,1419
Gondomar,13583,5851,7732,706980,318935,388045,12666,6325,6341
Maia,10368,4476,5892,523581,229810,293771,10400,5069,5331
