,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Regular education (N.º)","Public primary education, 1st cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, Total, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Regular education (N.º)","Public primary education, 2nd cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, of which, Regular education (N.º)","Public lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Public lower secondary education, 2nd cycle, of which, Vocational courses (N.º)","Public lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Portugal,321632,320762,0,183489,181390,958,6,287659,280631,1101,0,3604
Continente,306366,306349,0,173690,172186,958,0,272050,266277,1101,0,3083
Norte,103625,103625,0,60512,60164,271,0,96007,94958,349,0,391
Alto Minho,6922,6922,0,3822,3822,0,0,6158,6132,0,0,12
Arcos de Valdevez,530,530,0,278,278,0,0,494,494,0,0,0
Caminha,486,486,0,254,254,0,0,375,375,0,0,0
Melgaço,163,163,0,105,105,0,0,167,167,0,0,0
Monção,422,422,0,252,252,0,0,443,443,0,0,0
Paredes de Coura,237,237,0,131,131,0,0,231,231,0,0,0
Ponte da Barca,316,316,0,171,171,0,0,267,267,0,0,0
Ponte de Lima,1306,1306,0,742,742,0,0,1145,1133,0,0,12
Valença,465,465,0,232,232,0,0,353,353,0,0,0
Viana do Castelo,2711,2711,0,1498,1498,0,0,2398,2384,0,0,0
Vila Nova de Cerveira,286,286,0,159,159,0,0,285,285,0,0,0
Cávado,12599,12599,0,7161,7058,100,0,11558,11389,145,0,0
Amares,521,521,0,288,288,0,0,537,537,0,0,0
Barcelos,3542,3542,0,1962,1962,0,0,3061,3061,0,0,0
Braga,5704,5704,0,3260,3160,100,0,5440,5280,145,0,0
Esposende,1292,1292,0,708,708,0,0,1067,1067,0,0,0
Terras de Bouro,157,157,0,89,89,0,0,174,174,0,0,0
Vila Verde,1383,1383,0,854,851,0,0,1279,1270,0,0,0
Ave,12589,12589,0,7107,7041,56,0,11112,11056,48,0,0
Cabeceiras de Basto,530,530,0,275,275,0,0,500,500,0,0,0
Fafe,1390,1390,0,821,821,0,0,1262,1262,0,0,0
Guimarães,4560,4560,0,2595,2595,0,0,4047,4047,0,0,0
Mondim de Basto,173,173,0,102,102,0,0,172,172,0,0,0
Póvoa de Lanhoso,747,747,0,431,431,0,0,640,640,0,0,0
Vieira do Minho,302,302,0,190,190,0,0,288,288,0,0,0
Vila Nova de Famalicão,4075,4075,0,2234,2168,56,0,3466,3410,48,0,0
Vizela,812,812,0,459,459,0,0,737,737,0,0,0
A. M. Porto,49459,49459,0,29302,29130,115,0,46179,45572,156,0,273
Arouca,716,716,0,431,431,0,0,670,670,0,0,0
Espinho,1056,1056,0,773,773,0,0,1329,1296,0,0,33
Gondomar,4224,4224,0,2378,2378,0,0,3740,3730,0,0,0
Maia,4203,4203,0,2545,2545,0,0,3926,3903,0,0,23
Matosinhos,4708,4708,0,2821,2808,0,0,4546,4507,0,0,18
Oliveira de Azeméis,1834,1834,0,1079,1079,0,0,1641,1641,0,0,0
Paredes,2570,2570,0,1546,1546,0,0,2506,2506,0,0,0
Porto,5867,5867,0,3484,3335,115,0,5542,5221,156,0,90
Póvoa de Varzim,2078,2078,0,1342,1342,0,0,2237,2237,0,0,0
Santa Maria da Feira,3893,3893,0,2066,2066,0,0,3189,3163,0,0,26
Santo Tirso,1656,1656,0,1179,1179,0,0,1781,1772,0,0,9
São João da Madeira,1116,1116,0,668,668,0,0,1072,1072,0,0,0
Trofa,1085,1085,0,655,655,0,0,951,935,0,0,16
Vale de Cambra,663,663,0,356,356,0,0,540,540,0,0,0
Valongo,2646,2646,0,1640,1640,0,0,2671,2611,0,0,28
Vila do Conde,2566,2566,0,1505,1505,0,0,2135,2121,0,0,14
Vila Nova de Gaia,8578,8578,0,4834,4824,0,0,7703,7647,0,0,16
Alto Tâmega,1986,1986,0,1183,1182,0,0,1905,1894,0,0,0
Boticas,111,111,0,58,58,0,0,109,109,0,0,0
Chaves,924,924,0,573,572,0,0,958,947,0,0,0
