,"Public secondary education, Lower, Total (N.º)","Public secondary education, Lower, of which, Recurrent education (N.º)","Public secondary education, Lower, of which, Adult Education and Training Courses (N.º)","Public secondary education, Lower, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public secondary education, Upper, of which, Recurrent education (N.º)","Public secondary education, Upper, of which, Adult Education and Training Courses (N.º)","Public secondary education, Upper, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,12854,12,8120,4239,35571,633,21852,12108
Continente,11615,0,7720,3716,33802,580,20894,11700
Norte,3505,0,2075,1385,8681,181,5022,3334
Alto Minho,37,0,14,22,362,0,247,108
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,34,0,34,0
Valença,5,0,0,5,28,0,0,28
Viana do Castelo,32,0,14,17,300,0,213,80
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,267,0,115,149,899,0,392,501
Amares,8,0,0,8,46,0,15,28
Barcelos,28,0,28,0,55,0,55,0
Braga,196,0,87,106,678,0,269,408
Esposende,35,0,0,35,94,0,27,65
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,26,0,26,0
Ave,209,0,57,152,806,0,493,296
Cabeceiras de Basto,0,0,0,0,16,0,16,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,75,0,8,67,258,0,135,109
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,35,0,16,19,36,0,15,21
Vieira do Minho,0,0,0,0,24,0,24,0
Vila Nova de Famalicão,86,0,33,53,406,0,270,136
Vizela,13,0,0,13,66,0,33,30
A. M. Porto,2047,0,1383,632,4386,96,2765,1473
Arouca,11,0,11,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0
Gondomar,125,0,52,73,248,56,29,155
Maia,38,0,12,26,165,0,118,45
Matosinhos,278,0,251,24,481,12,376,82
Oliveira de Azeméis,83,0,66,17,173,0,103,68
Paredes,66,0,23,42,112,0,28,84
Porto,299,0,260,39,1040,0,773,253
Póvoa de Varzim,81,0,0,80,232,0,75,156
Santa Maria da Feira,337,0,245,90,574,28,420,122
Santo Tirso,56,0,27,27,210,0,137,72
São João da Madeira,80,0,48,31,222,0,115,105
Trofa,37,0,10,26,72,0,39,33
Vale de Cambra,0,0,0,0,27,0,27,0
Valongo,49,0,49,0,82,0,82,0
Vila do Conde,20,0,9,11,54,0,14,39
Vila Nova de Gaia,487,0,320,146,694,0,429,259
Alto Tâmega,123,0,88,35,305,18,201,84
Boticas,0,0,0,0,0,0,0,0
Chaves,71,0,56,15,193,18,135,38
Montalegre,0,0,0,0,15,0,15,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,27,0,21,6,55,0,36,19
Vila Pouca de Aguiar,25,0,11,14,42,0,15,27
Tâmega e Sousa,493,0,267,220,994,6,483,466
Amarante,85,0,48,36,173,0,74,77
Baião,0,0,0,0,40,0,40,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,14,0,0,14,32,0,12,20
Cinfães,6,0,0,6,47,0,27,19
Felgueiras,78,0,31,47,184,0,66,116
Lousada,21,0,0,20,157,6,64,83
Marco de Canaveses,49,0,19,30,80,0,51,27
Paços de Ferreira,112,0,112,0,48,0,48,0
Penafiel,128,0,57,67,200,0,68,124
Resende,0,0,0,0,33,0,33,0
Douro,178,0,56,120,570,61,214,292
Alijó,17,0,0,15,23,0,0,23
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,100,0,43,57,240,0,146,94
Mesão Frio,0,0,0,0,15,0,15,0
Moimenta da Beira,11,0,0,11,76,0,0,74
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
