,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Recurrent education (N.º)","Public primary education, 1st cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 1st cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, Total, Procedure of Recognition, Validation and Certification of Competences (N.º)","Public primary education, 2nd cycle, of which, Recurrent education (N.º)","Public primary education, 2nd cycle, of which, Adult Education and Training Courses (N.º)","Public primary education, 2nd cycle, of which, Procedure of Recognition, Validation and Certification of Competences (N.º)"
Portugal,2101,572,1397,107,3669,0,2978,425
Continente,1487,0,1387,75,3411,0,2889,351
Norte,445,0,413,27,1328,0,1143,141
Alto Minho,2,0,0,2,19,0,14,5
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,14,0,14,0
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,2,0,0,2,5,0,0,5
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,46,0,43,3,68,0,59,7
Amares,0,0,0,0,4,0,0,4
Barcelos,0,0,0,0,0,0,0,0
Braga,27,0,27,0,50,0,48,0
Esposende,3,0,0,3,3,0,0,3
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,16,0,16,0,11,0,11,0
Ave,24,0,14,9,92,0,66,26
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,1,0,0,1,22,0,19,3
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,22,0,14,8,69,0,47,22
Vizela,1,0,0,0,1,0,0,1
A. M. Porto,259,0,252,3,812,0,769,33
Arouca,0,0,0,0,0,0,0,0
Espinho,15,0,15,0,24,0,24,0
Gondomar,12,0,11,1,40,0,37,3
Maia,0,0,0,0,0,0,0,0
Matosinhos,42,0,40,0,120,0,115,2
Oliveira de Azeméis,0,0,0,0,14,0,13,1
Paredes,0,0,0,0,16,0,13,3
Porto,27,0,25,0,129,0,119,6
Póvoa de Varzim,0,0,0,0,16,0,15,1
Santa Maria da Feira,12,0,12,0,185,0,181,1
Santo Tirso,21,0,19,2,3,0,0,3
São João da Madeira,0,0,0,0,27,0,27,0
Trofa,0,0,0,0,13,0,12,1
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,2,0,2,0
Vila do Conde,0,0,0,0,2,0,2,0
Vila Nova de Gaia,130,0,130,0,221,0,209,12
Alto Tâmega,12,0,10,2,44,0,38,3
Boticas,0,0,0,0,0,0,0,0
Chaves,10,0,10,0,43,0,38,2
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,1,0,0,1,0,0,0,0
Vila Pouca de Aguiar,1,0,0,1,1,0,0,1
Tâmega e Sousa,63,0,61,2,226,0,151,48
Amarante,1,0,0,1,53,0,34,19
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,6,0,0,6
Cinfães,0,0,0,0,2,0,0,2
Felgueiras,0,0,0,0,28,0,17,11
Lousada,0,0,0,0,20,0,17,3
Marco de Canaveses,1,0,0,1,29,0,0,7
Paços de Ferreira,32,0,32,0,48,0,48,0
Penafiel,29,0,29,0,40,0,35,0
Resende,0,0,0,0,0,0,0,0
Douro,4,0,0,4,15,0,0,15
Alijó,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,7,0,0,7
Mesão Frio,0,0,0,0,0,0,0,0
Moimenta da Beira,1,0,0,1,0,0,0,0
Murça,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,2,0,0,2,5,0,0,5
Sabrosa,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
