,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, With less than 21 students (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Secondary education, Lower, Total (N.º)","Secondary education, Lower, Public (N.º)","Secondary education, Lower, Private (N.º)","Secondary education, Upper, Total (N.º)","Secondary education, Upper, Public (N.º)","Secondary education, Upper, Private (N.º)"
Portugal,5767,3475,2292,4045,x,3534,511,1179,915,264,1430,1128,302,963,588,375
Continente,5462,3277,2185,3814,165,3333,481,1114,858,256,1366,1070,296,899,548,351
Norte,1936,1284,652,1344,19,1212,132,387,306,81,489,378,111,337,199,138
Alto Minho,112,81,31,85,0,82,3,26,24,2,34,28,6,31,19,12
Arcos de Valdevez,10,6,4,4,0,4,0,2,2,0,3,3,0,2,1,1
Caminha,11,8,3,10,0,10,0,2,2,0,3,2,1,4,2,2
Melgaço,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Monção,6,5,1,5,0,4,1,3,2,1,5,3,2,2,1,1
Paredes de Coura,5,2,3,1,0,1,0,1,1,0,1,1,0,2,1,1
Ponte da Barca,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Ponte de Lima,19,18,1,14,0,14,0,4,4,0,6,6,0,4,3,1
Valença,8,8,0,7,0,7,0,1,1,0,1,1,0,2,1,1
Viana do Castelo,42,26,16,36,0,34,2,10,9,1,12,9,3,10,7,3
Vila Nova de Cerveira,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Cávado,249,187,62,189,3,175,14,45,33,12,60,44,16,32,16,16
Amares,7,6,1,6,0,6,0,1,1,0,2,2,0,1,1,0
Barcelos,81,70,11,64,2,62,2,11,8,3,16,11,5,11,6,5
Braga,101,63,38,75,0,64,11,22,13,9,27,18,9,15,6,9
Esposende,23,15,8,19,0,19,0,4,4,0,6,5,1,2,1,1
Terras de Bouro,7,5,2,3,0,3,0,2,2,0,2,2,0,1,1,0
Vila Verde,30,28,2,22,1,21,1,5,5,0,7,6,1,2,1,1
Ave,225,140,85,159,2,152,7,43,35,8,50,38,12,30,15,15
Cabeceiras de Basto,10,9,1,7,0,7,0,3,2,1,3,2,1,2,1,1
Fafe,28,18,10,21,1,20,1,6,5,1,6,5,1,3,1,2
Guimarães,85,48,37,60,1,58,2,17,14,3,19,14,5,11,5,6
Mondim de Basto,4,3,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Póvoa de Lanhoso,10,9,1,5,0,5,0,2,2,0,3,3,0,2,1,1
Vieira do Minho,5,4,1,4,0,4,0,1,1,0,1,1,0,1,1,0
Vila Nova de Famalicão,73,40,33,50,0,46,4,11,8,3,14,9,5,8,3,5
Vizela,10,9,1,10,0,10,0,2,2,0,3,3,0,2,2,0
A. M. Porto,874,512,362,590,5,501,89,177,126,51,225,162,63,156,84,72
Arouca,13,12,1,12,1,12,0,2,2,0,2,2,0,2,2,0
Espinho,10,6,4,7,0,6,1,5,4,1,6,4,2,6,3,3
Gondomar,72,47,25,49,1,42,7,12,9,3,16,13,3,8,5,3
Maia,66,35,31,39,0,35,4,10,7,3,10,8,2,8,6,2
Matosinhos,70,30,40,40,0,32,8,15,12,3,21,16,5,10,6,4
Oliveira de Azeméis,39,26,13,28,0,26,2,8,8,0,8,8,0,4,4,0
Paredes,32,27,5,17,0,15,2,8,7,1,10,9,1,9,8,1
Porto,134,41,93,78,1,46,32,39,20,19,52,27,25,52,18,34
Póvoa de Varzim,33,16,17,21,0,20,1,6,5,1,8,7,1,4,3,1
Santa Maria da Feira,82,57,25,53,0,50,3,13,10,3,13,11,2,6,3,3
Santo Tirso,40,30,10,36,2,31,5,10,7,3,13,8,5,9,4,5
São João da Madeira,15,10,5,11,0,9,2,4,3,1,5,4,1,6,4,2
Trofa,20,16,4,17,0,16,1,4,3,1,5,4,1,3,2,1
Vale de Cambra,13,12,1,10,0,10,0,2,2,0,2,2,0,1,1,0
Valongo,47,29,18,34,0,28,6,10,7,3,13,9,4,6,4,2
Vila do Conde,46,32,14,35,0,33,2,6,5,1,8,7,1,3,2,1
Vila Nova de Gaia,142,86,56,103,0,90,13,23,15,8,33,23,10,19,9,10
Alto Tâmega,45,32,13,29,2,25,4,13,13,0,13,13,0,9,8,1
Boticas,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Chaves,18,11,7,16,2,12,4,4,4,0,4,4,0,4,3,1
Montalegre,3,3,0,3,0,3,0,2,2,0,2,2,0,2,2,0
Ribeira de Pena,4,2,2,2,0,2,0,2,2,0,2,2,0,1,1,0
Valpaços,8,6,2,4,0,4,0,2,2,0,2,2,0,1,1,0
Vila Pouca de Aguiar,9,8,1,3,0,3,0,2,2,0,2,2,0,1,1,0
Tâmega e Sousa,266,221,45,197,2,189,8,45,39,6,58,51,7,37,26,11
Amarante,27,22,5,18,0,17,1,6,4,2,7,5,2,5,1,4
Baião,14,9,5,5,0,5,0,3,3,0,3,3,0,1,1,0
Castelo de Paiva,18,16,2,12,1,12,0,2,2,0,2,2,0,1,1,0
Celorico de Basto,16,15,1,4,0,4,0,3,3,0,4,4,0,2,2,0
Cinfães,11,11,0,11,0,11,0,2,2,0,2,2,0,2,1,1
Felgueiras,37,27,10,29,0,27,2,6,6,0,8,8,0,6,5,1
Lousada,29,25,4,27,0,25,2,7,5,2,8,6,2,6,4,2
Marco de Canaveses,45,42,3,35,0,35,0,4,4,0,7,7,0,4,4,0
Paços de Ferreira,22,14,8,16,0,14,2,6,4,2,9,6,3,5,3,2
Penafiel,43,37,6,37,1,36,1,5,5,0,7,7,0,4,3,1
Resende,4,3,1,3,0,3,0,1,1,0,1,1,0,1,1,0
Douro,103,68,35,57,1,53,4,24,22,2,31,27,4,27,20,7
Alijó,9,5,4,6,0,6,0,2,2,0,2,2,0,1,1,0
Armamar,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Carrazeda de Ansiães,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Freixo de Espada à Cinta,3,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0
Lamego,10,5,5,6,0,5,1,3,2,1,4,3,1,4,3,1
Mesão Frio,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Moimenta da Beira,5,3,2,3,0,3,0,1,1,0,1,1,0,2,1,1
Murça,2,1,1,1,0,1,0,1,1,0,2,1,1,2,1,1
Penedono,2,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Peso da Régua,8,4,4,2,0,2,0,1,1,0,2,2,0,2,2,0
