,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Portugal,372410,371540,0,208510,205735,1615,6,324827,314197,1738,337,6191
Continente,353848,353831,0,197868,195688,1615,0,308040,298665,1738,337,5670
Norte,117676,117676,0,67701,66982,642,0,106807,103933,741,277,1547
Alto Minho,7190,7190,0,3940,3940,0,0,6422,6293,0,73,42
Arcos de Valdevez,530,530,0,278,278,0,0,494,494,0,0,0
Caminha,486,486,0,254,254,0,0,382,375,0,0,7
Melgaço,163,163,0,105,105,0,0,167,167,0,0,0
Monção,503,503,0,293,293,0,0,481,464,0,0,17
Paredes de Coura,237,237,0,131,131,0,0,231,231,0,0,0
Ponte da Barca,316,316,0,171,171,0,0,267,267,0,0,0
Ponte de Lima,1306,1306,0,742,742,0,0,1145,1133,0,0,12
Valença,465,465,0,232,232,0,0,353,353,0,0,0
Viana do Castelo,2898,2898,0,1575,1575,0,0,2617,2524,0,73,6
Vila Nova de Cerveira,286,286,0,159,159,0,0,285,285,0,0,0
Cávado,14920,14920,0,8497,8308,186,0,13337,12960,194,0,159
Amares,521,521,0,288,288,0,0,537,537,0,0,0
Barcelos,3714,3714,0,2197,2111,86,0,3382,3301,49,0,32
Braga,7729,7729,0,4361,4261,100,0,6866,6611,145,0,95
Esposende,1292,1292,0,708,708,0,0,1090,1067,0,0,23
Terras de Bouro,157,157,0,89,89,0,0,174,174,0,0,0
Vila Verde,1507,1507,0,854,851,0,0,1288,1270,0,0,9
Ave,13415,13415,0,7519,7453,56,0,11737,11506,48,46,129
Cabeceiras de Basto,530,530,0,280,280,0,0,505,505,0,0,0
Fafe,1510,1510,0,880,880,0,0,1350,1350,0,0,0
Guimarães,4967,4967,0,2815,2815,0,0,4346,4305,0,0,41
Mondim de Basto,173,173,0,102,102,0,0,172,172,0,0,0
Póvoa de Lanhoso,747,747,0,431,431,0,0,640,640,0,0,0
Vieira do Minho,302,302,0,190,190,0,0,288,288,0,0,0
Vila Nova de Famalicão,4374,4374,0,2362,2296,56,0,3699,3509,48,46,88
Vizela,812,812,0,459,459,0,0,737,737,0,0,0
A. M. Porto,58841,58841,0,33958,33501,400,0,53298,51512,499,90,1019
Arouca,716,716,0,431,431,0,0,670,670,0,0,0
Espinho,1081,1081,0,813,773,40,0,1394,1296,0,47,51
Gondomar,4918,4918,0,2695,2695,0,0,4196,4151,0,0,35
Maia,4702,4702,0,2823,2823,0,0,4261,4197,0,0,64
Matosinhos,5534,5534,0,3008,2995,0,0,4976,4746,0,0,209
Oliveira de Azeméis,1927,1927,0,1079,1079,0,0,1641,1641,0,0,0
Paredes,2769,2769,0,1621,1621,0,0,2622,2622,0,0,0
