,"Taxa bruta de 
pré-escolarização  (%)","Taxa bruta de escolarização, Ensino básico (%)","Taxa bruta de escolarização, Ensino secundário (%)","Taxa de retenção e desistência no ensino básico, Total (%)","Taxa de retenção e desistência no ensino básico, 1º Ciclo (%)","Taxa de retenção e desistência no ensino básico, 2º Ciclo (%)","Taxa de retenção e desistência no ensino básico, 3º Ciclo (%)","Taxa de transição/conclusão no ensino secundário, Total (%)","Taxa de transição/conclusão no ensino secundário, Cursos gerais/
científico-humanísticos (%)","Taxa de transição/conclusão no ensino secundário, Cursos tecnológicos / profissionais  (%)","Taxa de participação em cursos de dupla certificação nas modalidades do ensino secundário orientadas para jovens, Cursos tecnológicos / profissionais  (%)","Proporção de mulheres no ensino secundário, Cursos tecnológicos / profissionais  (%)"
Portugal,98.3,110.4,126.9,3.1,1.8,3.1,4.5,91.4,91.7,91,39.6,49.9
Continente,98.3,110.3,127.5,3,1.7,3.2,4.4,91.6,91.8,91.3,39.6,49.9
Norte,98.6,108.2,126.4,1.7,0.9,1.6,2.7,94.4,94.7,93.9,41.2,50.3
Alto Minho,104.6,107.9,138,1,0.7,0.9,1.5,95.3,96.5,93.4,43.5,49.8
Arcos de Valdevez,109.7,106.4,126.2,0.3,0.2,0,0.6,94,97.3,89.4,42.2,51.8
Caminha,112.3,102.4,113.8,1.2,1.2,0.4,1.6,94.1,95,92.2,33.3,45.5
Melgaço,111.7,109,134.1,1.1,1.2,0,1.8,97.1,98.1,95.5,38.7,39.9
Monção,114.8,113.7,143.1,0.7,1,1,0.2,95.1,96.1,93.7,42.5,49.8
Paredes de Coura,96.1,98.2,111.1,1.8,1.7,1.5,2.2,96.7,98,95.8,59,44.8
Ponte da Barca,92.9,111.2,158.7,0.4,0.3,0,0.7,95.1,95.5,94.3,38.7,55.4
Ponte de Lima,104.1,104.1,125.6,0,0,0,0.1,96.5,97.6,95.1,44.9,49.9
Valença,99.4,98.1,83.6,3.2,2.6,3.9,3.7,89,91,86.2,41.1,47.4
Viana do Castelo,102.6,111.5,164.3,1.3,0.7,1.2,2,95.5,96.6,93.3,45.5,49.6
Vila Nova de Cerveira,115.5,112.3,78.6,1.4,0,1.3,2.8,96.9,96.1,100,21,60
Cávado,101.7,107.6,123.8,1.1,0.7,0.9,1.6,94,94.3,93.5,36.2,49.3
Amares,88.7,89.6,89.4,1.9,0.4,3.8,2.2,95.3,95.5,94.6,35.3,47.4
Barcelos,99.2,102,106.5,0.6,0.5,0.3,0.9,96.2,96.6,95.5,41.8,49.3
Braga,105,115.8,149.9,1.1,0.7,0.8,1.7,92.4,92.8,91.3,32.2,49.4
Esposende,99.6,102.3,97.7,0.8,0.8,1.1,0.7,95.3,96.1,93.8,31.5,49.1
Terras de Bouro,109.6,101.4,41.9,2.6,1.9,1.1,4,97.6,97.6,//,0,61.4
Vila Verde,98.8,97.3,102.3,1.7,0.5,0.9,3.5,96.5,96.6,96.4,50.8,48.7
Ave,100.2,103.3,110.4,1,0.6,0.8,1.6,96,96.6,94.8,37.7,49.2
Cabeceiras de Basto,102.5,106.8,104.9,1.4,1.3,0,2.2,98.3,98.6,97.7,42,52.3
Fafe,105.6,106.4,109.5,0.3,0.1,0.1,0.6,97.4,98.4,94.4,24,52
Guimarães,100.1,103,108.4,0.7,0.9,0.4,0.7,96.4,96.8,95.5,33.2,49.9
Mondim de Basto,101.6,104.4,96,0.4,0,0,1.2,96.4,97.2,94.8,34.7,55.7
Póvoa de Lanhoso,95.2,105.2,104.3,0.8,0.7,1.4,0.5,92.5,92.4,92.5,49.3,49.3
Vieira do Minho,100,102.8,80.3,1.8,0.7,0.5,3.8,93.1,92.7,94.6,17.1,53.8
Vila Nova de Famalicão,99.9,100.1,115.1,1.5,0.6,1.5,2.7,95.5,96,94.8,46.6,46.6
Vizela,96.7,113.5,123.6,1.2,0.1,0.9,2.7,95.8,97,92.6,34,49.9
A. M. Porto,97,108.6,129,2.1,1.1,2.1,3.4,93.8,93.8,93.6,42.5,50.5
Arouca,98.3,104.6,105.3,0.9,0.4,0.2,1.9,94.7,95.4,93.2,32.6,51.9
Espinho,126.8,157.4,234.9,1.9,0.8,1.8,2.9,93.5,95,91.4,45.9,52.5
Gondomar,87.3,92.3,86.8,2.4,1.6,2.1,3.4,93.9,93.6,95.1,27.6,49.2
Maia,93,99,86.6,2,0.5,2.5,3.3,92.9,92.6,94.4,23.7,50.1
Matosinhos,91.2,103.2,109.8,2.4,0.9,2.2,4.2,91.6,91.6,91.7,39.9,48.4
Oliveira de Azeméis,93.1,97.6,104.4,1.1,0.7,0.4,2.1,96.4,97.1,95.7,45.5,51.5
Paredes,86.7,97.6,86.6,1,0.4,1,1.7,94.3,94.6,93.1,27.5,53.1
Porto,124.9,152.5,277.3,2.8,1.2,3.4,4.3,93.3,94.2,91.9,47.1,51.8
Póvoa de Varzim,99.9,112.5,135,2,0.9,1.6,3.2,91.4,91.8,90.2,28.3,47.6
Santa Maria da Feira,96.9,98.7,81,1.3,0.9,1,2.1,95.8,97.2,92.9,38,53.1
Santo Tirso,101.9,121,158.8,1.6,0.5,2.6,1.9,96,96.8,95.2,50,49.6
São João da Madeira,160.4,174.8,267.3,0.9,0.6,0.8,1.3,96.7,97.3,95.6,37.4,51.3
Trofa,83.4,99.2,100.2,2.4,1.6,2,3.6,93.9,94.2,91.9,23.9,57.6
Vale de Cambra,109.4,107.1,115,2.4,1.5,2,3.7,96.3,97.6,93,34,47.4
Valongo,87.8,97.4,94.8,2.3,1.3,2.6,3.1,94,94.7,92.6,39,50.6
Vila do Conde,89.3,91.1,83.6,1.9,1,1.3,3.5,94.3,92.8,96.3,43.8,50.7
Vila Nova de Gaia,89.3,102.8,127.3,2.6,1.5,2.2,4.1,93.7,91.7,95.4,59,48.2
Alto Tâmega,97.9,112.4,125.5,2.5,1.4,1.9,4.2,95,94.6,95.6,35.8,52.1
Boticas,95.2,103,0,1.1,1.8,0,0.9,//,//,//,//,//
Chaves,92.7,117,161.5,2.1,0.9,2.3,3.5,96.5,96,97.4,40,50.2
Montalegre,99.4,112.4,108,3,3.1,0,4.7,89.9,89.9,89.8,26.1,53.2
Ribeira de Pena,103.5,104.3,109.6,2.4,1.8,2,3.4,95.3,96.3,92.3,26.4,56.1
Valpaços,105.2,109.2,84.5,5.7,2.9,3.8,9.9,90.8,91.3,89.5,26.3,56.6
Vila Pouca de Aguiar,106.1,108.3,122.6,0.6,0,0,1.7,94.3,94.2,94.6,35,55
Tâmega e Sousa,95.6,108.8,121.7,1.2,0.9,1.2,1.7,95.7,96.4,94.9,45.7,52.3
Amarante,95.9,108.3,139.8,1,1,1,1.1,97.9,97.9,97.9,63.1,49.8
Baião,87.4,96.9,97,1,0.7,1.1,1.3,93.9,96.2,91.5,48.4,55.6
Castelo de Paiva,106.1,135.9,151.2,1.9,0.4,0.9,4,94.7,93.9,96.8,45.8,53.3
Celorico de Basto,85.7,89.5,88.4,0.3,0,0,0.9,98.2,99.1,97,45.9,48.9
Cinfães,94.8,103.8,115.9,2.3,2.2,4.3,1.2,94.9,97.7,92.7,56.1,54.7
Felgueiras,95.1,112.2,128.9,0.9,0.4,0.8,1.5,95.4,96.9,93.7,46.5,50.6
Lousada,94.1,105.7,101.2,1.5,1.8,0.6,1.9,93.8,94.7,91.9,34.7,51.5
Marco de Canaveses,102.1,106.7,108.6,1,0.6,0.9,1.4,96.6,97.4,95.3,38,52.5
Paços de Ferreira,94.9,116,117.1,1.5,0.6,2.2,2,95.2,95.7,94.4,37.8,52.6
Penafiel,95.4,107.1,140.2,1.2,1,0.3,1.9,95.6,96,94.9,47,54.5
Resende,98.1,109.2,111.7,2,0,4.7,2.4,93.5,96.7,88,37.1,51.9
Douro,101.3,110.5,130.2,1.9,1.2,2,2.6,94.3,95.3,92.3,35.3,49
