,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Portugal,17260,10174,7086,31149,27625,3524,23415,21139,2276
Continente,16062,9257,6805,28608,25374,3234,21613,19400,2213
Norte,5721,3647,2074,10128,9234,894,7862,7185,677
Alto Minho,340,257,83,632,616,16,574,557,17
Arcos de Valdevez,21,12,9,45,45,0,43,43,0
Caminha,25,19,6,54,54,0,40,40,0
Melgaço,8,6,2,15,15,0,16,16,0
Monção,24,20,4,41,36,5,36,31,5
Paredes de Coura,12,6,6,18,18,0,16,16,0
Ponte da Barca,16,13,3,23,23,0,22,22,0
Ponte de Lima,60,56,4,115,115,0,108,108,0
Valença,18,18,0,42,42,0,36,36,0
Viana do Castelo,145,98,47,252,241,11,240,228,12
Vila Nova de Cerveira,11,9,2,27,27,0,17,17,0
Cávado,733,484,249,1284,1157,127,926,807,119
Amares,25,23,2,42,42,0,34,34,0
Barcelos,194,163,31,341,326,15,229,209,20
Braga,366,185,181,617,513,104,482,383,99
Esposende,59,38,21,119,119,0,71,71,0
Terras de Bouro,14,12,2,13,13,0,11,11,0
Vila Verde,75,63,12,152,144,8,99,99,0
Ave,614,362,252,1100,1056,44,856,813,43
Cabeceiras de Basto,24,20,4,49,49,0,36,35,1
Fafe,84,49,35,143,137,6,117,110,7
Guimarães,230,121,109,407,386,21,315,294,21
Mondim de Basto,9,6,3,17,17,0,17,17,0
Póvoa de Lanhoso,25,22,3,57,57,0,51,51,0
Vieira do Minho,15,14,1,25,25,0,26,26,0
Vila Nova de Famalicão,192,100,92,340,323,17,247,233,14
Vizela,35,30,5,62,62,0,47,47,0
A. M. Porto,2699,1474,1225,4549,3927,622,3608,3168,440
Arouca,31,26,5,65,65,0,51,51,0
Espinho,50,37,13,83,80,3,88,82,6
Gondomar,234,148,86,369,333,36,267,243,24
Maia,214,119,95,351,324,27,288,260,28
Matosinhos,261,126,135,409,361,48,320,296,24
Oliveira de Azeméis,81,50,31,164,157,7,129,129,0
Paredes,115,92,23,228,212,16,183,176,7
Porto,466,128,338,760,468,292,627,422,205
