,"Estabelecimentos, Total, 2022/2023 (N.º)","Estabelecimentos, Público, 2022/2023 (N.º)","Estabelecimentos, Privado, 2022/2023 (N.º)","Docentes, Total, 2022/2023 (N.º)","Docentes, Público, 2022/2023 (N.º)","Docentes, Privado, 2022/2023 (N.º)","Alunas/os inscritas/os, Total, 2022/2023 (N.º)","Alunas/os inscritas/os, Público, 2022/2023 (N.º)","Alunas/os inscritas/os, Privado, 2022/2023 (N.º)","Alunas/os diplomadas/os, Total, 2021/2022 (N.º)","Alunas/os diplomadas/os, Público, 2021/2022 (N.º)","Alunas/os diplomadas/os, Privado, 2021/2022 (N.º)"
Portugal,287,190,97,40183,31737,8446,446028,359397,86631,89640,72126,17514
Continente,271,176,95,39416,31033,8383,439056,352847,86209,88402,70938,17464
Norte,95,48,47,13349,9786,3563,149623,111347,38276,32181,23618,8563
Alto Minho,6,6,0,461,461,0,4928,4928,0,1018,1018,0
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,1,1,0,36,36,0,348,348,0,95,95,0
Monção,0,0,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,55,55,0,523,523,0,125,125,0
Valença,1,1,0,48,48,0,524,524,0,136,136,0
Viana do Castelo,3,3,0,322,322,0,3533,3533,0,662,662,0
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,10,7,3,1619,1514,105,28138,26892,1246,7183,6911,272
Amares,1,0,1,52,0,52,389,0,389,57,0,57
Barcelos,4,4,0,513,513,0,4555,4555,0,747,747,0
Braga,5,3,2,1054,1001,53,23194,22337,857,6379,6164,215
Esposende,0,0,0,0,0,0,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0,0,0,0,0
Ave,4,0,4,687,540,147,2438,0,2438,616,0,616
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Fafe,2,0,2,72,0,72,827,0,827,198,0,198
Guimarães,0,0,0,540,540,0,0,0,0,0,0,0
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0,0,0,0,0
