,"Educação pré-escolar, Dependente do Estado (N.º)","Educação pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,73689,45123,6572,44315,5894,19862,9441,32835,7923,90873
Continente,69155,44555,4228,43363,5215,19698,8359,32736,6329,88839
Norte,23768,11985,828,13291,776,6980,1055,13149,1272,40069
Alto Minho,1559,78,0,270,0,162,0,466,0,2255
Arcos de Valdevez,190,0,0,0,0,7,0,11,0,169
Caminha,111,0,0,0,0,5,0,15,0,133
Melgaço,46,0,0,0,0,0,0,0,0,0
Monção,95,0,0,81,0,41,0,71,0,238
Paredes de Coura,97,0,0,0,0,0,0,0,0,161
Ponte da Barca,55,0,0,2,0,21,0,58,0,220
Ponte de Lima,57,0,0,0,0,9,0,19,0,258
Valença,0,0,0,0,0,0,0,0,0,54
Viana do Castelo,875,78,0,187,0,79,0,292,0,981
Vila Nova de Cerveira,33,0,0,0,0,0,0,0,0,41
Cávado,3289,1423,0,2323,38,1322,49,2073,0,5389
Amares,29,0,0,0,0,0,0,0,0,107
Barcelos,600,0,0,172,38,211,49,421,0,1101
Braga,2127,1233,0,2025,0,1101,0,1538,0,3346
Esposende,249,179,0,0,0,0,0,23,0,187
Terras de Bouro,23,11,0,0,0,0,0,0,0,0
Vila Verde,261,0,0,126,0,10,0,91,0,648
Ave,4262,1000,0,845,0,430,0,838,0,2754
Cabeceiras de Basto,80,0,0,2,0,7,0,42,0,257
Fafe,453,242,0,128,0,59,0,154,0,342
Guimarães,2005,265,0,416,0,221,0,343,0,725
Mondim de Basto,56,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,80,0,0,0,0,0,0,18,0,196
Vieira do Minho,24,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,1446,493,0,299,0,128,0,247,0,1054
Vizela,118,0,0,0,0,15,0,34,0,180
A. M. Porto,11022,8445,401,9005,395,4357,476,7799,162,23896
Arouca,87,0,0,0,0,0,0,22,0,91
Espinho,176,40,0,25,40,2,0,127,0,594
Gondomar,486,792,0,694,0,318,0,506,0,1078
Maia,966,697,0,499,0,300,0,417,0,705
Matosinhos,1407,711,189,645,0,198,0,541,0,1437
Oliveira de Azeméis,563,18,0,93,0,0,0,16,0,11
Paredes,222,156,0,204,0,109,0,239,0,676
Porto,1995,2993,212,3921,183,2038,250,3391,162,9477
Póvoa de Varzim,796,260,0,240,0,128,0,146,0,393
Santa Maria da Feira,1025,244,0,347,0,249,0,428,0,906
Santo Tirso,270,262,0,355,0,190,0,317,0,739
São João da Madeira,260,71,0,95,0,50,0,48,0,232
Trofa,128,81,0,72,0,50,0,110,0,430
Vale de Cambra,49,0,0,0,0,0,0,0,0,39
Valongo,299,456,0,338,0,175,0,365,0,736
Vila do Conde,663,81,0,129,0,25,0,49,0,372
Vila Nova de Gaia,1630,1583,0,1348,172,525,226,1077,0,5980
Alto Tâmega,394,124,63,61,0,8,0,71,0,298
Boticas,28,0,0,0,0,0,0,0,0,0
Chaves,188,104,63,61,0,8,0,56,0,283
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,58,0,0,0,0,0,0,0,0,0
Valpaços,72,20,0,0,0,0,0,15,0,0
Vila Pouca de Aguiar,48,0,0,0,0,0,0,0,0,15
Tâmega e Sousa,1452,644,240,507,343,340,530,1133,1110,3288
Amarante,157,144,165,0,343,0,530,0,1110,141
Baião,175,0,0,0,0,0,0,15,0,65
Castelo de Paiva,87,0,0,0,0,80,0,222,0,299
Celorico de Basto,25,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,16,0,117
