,"Museus , Visitantes por museu , N.º","Museus , Proporção de visitantes escolares, %","Despesa total das câmaras municipais em atividades culturais e criativas por habitante, Proporção de visitantes escolares, €","Despesa total das câmaras municipais em atividades e equipamentos desportivos por habitante, Proporção de visitantes escolares, €","Despesa das câmaras municipais em cultura e desporto no total de despesas , Proporção de visitantes escolares, %"
Portugal,37177,7.6,55.7,35.2,9
Continente,39307,7.5,56.2,35.9,9.1
Norte,47950,5.7,46.7,37.2,9.4
Alto Minho,15788,9.3,69.1,40.2,9.8
Arcos de Valdevez,18352,1.4,98.8,91.4,14.1
Caminha,2911,45.7,52.8,16.8,6.1
Melgaço,8931,6.8,152.1,218.8,14.9
Monção,…,…,103.1,31,9.9
Paredes de Coura,…,…,106.5,36.3,9
Ponte da Barca,//,//,56.3,21.7,6.3
Ponte de Lima,4876,20.5,42.3,35.6,9.2
Valença,15842,…,74.7,44.8,11.6
Viana do Castelo,38357,10.4,35.4,19.9,5.9
Vila Nova de Cerveira,2954,6.4,303.8,64,25.5
Cávado,27406,6,34.8,22.6,8
Amares,//,//,17,11.9,3.5
Barcelos,12190,12.4,38.5,27.3,9.8
Braga,46352,4.9,29.6,20.2,7.6
Esposende,…,…,68,36.6,13
Terras de Bouro,…,…,25.9,9.6,1.7
Vila Verde,//,//,30.2,16.5,5.9
Ave,45143,9.6,47.2,38.5,10.5
Cabeceiras de Basto,//,//,15.9,22.4,3.4
Fafe,//,//,47.8,34.6,10.6
Guimarães,114249,7.4,54.3,32.6,12.4
Mondim de Basto,//,//,89.8,26.3,6.2
Póvoa de Lanhoso,11837,5.3,80.4,49.9,14
Vieira do Minho,//,//,34.6,17.6,3.4
Vila Nova de Famalicão,4624,46.7,40.2,51.1,11.5
Vizela,//,//,22.6,28.2,6.3
A. M. Porto,109149,4.6,38.1,35.3,9.3
Arouca,26144,18.6,74.7,95.3,17.6
Espinho,5358,6.8,30.5,48.6,7.7
Gondomar,…,…,10.7,20.5,4.7
Maia,9326,32.9,26.9,64.9,14.1
Matosinhos,…,…,42.7,50.5,11.4
Oliveira de Azeméis,…,…,42.7,15.3,9
Paredes,//,//,15,27.1,4.5
Porto,232274,3.5,98,59.6,13
Póvoa de Varzim,19473,32.9,49.6,48.4,10.7
Santa Maria da Feira,26012,22,20.5,3.9,4.1
Santo Tirso,//,//,19.5,6.5,3.9
São João da Madeira,10424,30.3,46.9,72,11.7
Trofa,//,//,47.3,12.6,6.2
Vale de Cambra,980,28.5,74.4,56.7,14.6
Valongo,2185,20.6,46,36.9,12
Vila do Conde,//,//,42.5,16,7.3
Vila Nova de Gaia,9124,11.5,13.8,24.7,6.5
Alto Tâmega,9221,6.4,83.6,84.9,10.3
Boticas,1061,5.8,86,62.2,6.2
Chaves,13013,5.7,75.8,30.6,8.3
Montalegre,//,//,146.6,179.1,15.5
Ribeira de Pena,//,//,99,291,15.1
Valpaços,//,//,72.9,45,7.3
Vila Pouca de Aguiar,2212,22.8,63.8,140.2,12.2
Tâmega e Sousa,7873,20.7,47.9,42.8,10.6
Amarante,17733,15.1,83.5,34.4,12.5
Baião,…,…,133.2,32.1,14.7
Castelo de Paiva,//,//,22.9,19.4,4.5
Celorico de Basto,//,//,102.3,68.5,16.1
Cinfães,//,//,60.4,61.5,12.5
Felgueiras,//,//,11.7,20.8,3.5
Lousada,…,…,24.9,22.5,5.5
Marco de Canaveses,2327,17.2,24.3,34.9,7.7
Paços de Ferreira,884,38.7,6.2,47.4,9.6
Penafiel,26154,10.5,74.7,72.6,19.1
Resende,//,//,109.8,86.6,12.5
Douro,19440,5.2,82.4,48.1,8.6
Alijó,…,…,88.5,31.6,8.2
Armamar,//,//,135,225.3,21.4
Carrazeda de Ansiães,//,//,229.8,45.7,12.9
