,"Cinema, Spectators per inhabitant, No., 2022","Cinema, Occupancy rate, %, 2022","Art facilities, Rooms average capacity  , No., 2021","Live shows, Spectators per inhabitant, No., 2022","Live shows, Mean value of tickets sold, €, 2022","Periodical publications Ʇ , Proportion of copies offered , %, 2022"
Portugal,0.9,9.6,464.6,1.4,22.2,69.1
Continente,0.9,9.7,466.6,1.4,22.4,70.2
Norte,0.9,9.7,521.9,1.4,16.3,63.9
Alto Minho,0.4,10.2,505.8,1.1,39.4,20.2
Arcos de Valdevez,x,x,234,…,…,…
Caminha,x,x,132,…,…,…
Melgaço,x,x,107.5,0,//,//
Monção,x,x,300,0.7,4.4,…
Paredes de Coura,x,x,324.5,…,…,…
Ponte da Barca,x,x,//,…,…,…
Ponte de Lima,x,x,305,1.3,6.2,…
Valença,x,x,//,3,//,//
Viana do Castelo,x,x,1058.8,0.8,30.5,12.5
Vila Nova de Cerveira,x,x,//,3.3,5,…
Cávado,1.1,10.3,1075.2,0.7,24.9,67.8
Amares,x,x,//,…,…,…
Barcelos,x,x,115.3,0.2,5.5,…
Braga,x,x,2010.8,1,27.8,69
Esposende,x,x,226,2.2,7.5,…
Terras de Bouro,x,x,150,0,//,//
Vila Verde,x,x,//,…,…,…
Ave,0.4,5.7,1075.9,1.4,17,97.8
Cabeceiras de Basto,x,x,//,0,//,…
Fafe,x,x,1312.7,5.8,15.1,…
Guimarães,x,x,2633.7,0.6,18.1,97.4
Mondim de Basto,x,x,100,…,…,//
Póvoa de Lanhoso,x,x,50,0.7,6.5,//
Vieira do Minho,x,x,254,…,…,…
Vila Nova de Famalicão,x,x,222.7,1.4,3.9,100
Vizela,x,x,//,0.1,//,…
A. M. Porto,1.2,10.2,468,1.8,15.1,34
Arouca,x,x,204,3.2,4,…
Espinho,x,x,136,2.1,9.2,72.3
Gondomar,x,x,3381.7,0.1,7.4,…
Maia,x,x,//,0.4,15.3,…
Matosinhos,x,x,155.7,2,10.2,4.6
Oliveira de Azeméis,x,x,300,0.1,7.9,…
Paredes,x,x,213.5,0.2,5.4,…
Porto,x,x,410.4,5.7,18.1,22.9
Póvoa de Varzim,x,x,206.4,2.2,9.9,46
Santa Maria da Feira,x,x,513.5,4.1,6.3,4.7
Santo Tirso,x,x,174,1.6,1.2,95.5
São João da Madeira,x,x,571,4.2,7.8,…
Trofa,x,x,//,…,…,…
Vale de Cambra,x,x,151,…,…,//
