,Museums in activity (N.º),"Museums that fulfilled the selection criteria, Number (N.º)","Museums that fulfilled the selection criteria, Visitors, Total (N.º)","Museums that fulfilled the selection criteria, Visitors, School visitors (N.º)","Museums that fulfilled the selection criteria, Visitors, Foreign visitors  (N.º)","Museums that fulfilled the selection criteria, Goods, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Number, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Temporary exhibitions, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Pieces exhibited, Foreign visitors  (N.º)","Art galleries and other temporary exhibition spaces, Represented authors, Foreign visitors  (N.º)"
Portugal,658,424,15762948,1191381,7666210,20332895,977,6178,236029,52719
Continente,600,387,15211756,1133432,7384284,19870436,913,5675,222819,48192
Norte,169,109,5226560,299525,3000873,2871229,278,1892,73653,15738
Alto Minho,18,12,189450,17574,72253,100727,28,164,5223,1448
Arcos de Valdevez,1,1,18352,248,4356,…,2,8,300,69
Caminha,1,1,2911,1329,…,36382,2,15,464,150
Melgaço,4,1,8931,607,3713,13007,2,10,391,59
Monção,2,2,…,…,…,…,2,22,553,78
Paredes de Coura,1,1,…,1470,…,15801,1,8,383,92
Ponte da Barca,1,0,0,0,0,0,1,1,1,1
Ponte de Lima,1,1,4876,1000,799,4255,6,22,941,101
Valença,3,1,15842,…,10496,328,1,4,84,12
Viana do Castelo,3,3,115072,12017,43953,30481,6,29,1041,352
Vila Nova de Cerveira,1,1,2954,188,297,204,5,45,1065,534
Cávado,19,12,328867,19831,186081,287838,21,120,3372,735
Amares,0,0,0,0,0,0,3,8,358,86
Barcelos,5,3,36571,4553,14257,21582,3,20,816,191
Braga,9,6,278110,13671,168857,242101,10,76,1623,347
Esposende,3,2,…,…,…,…,2,3,201,11
Terras de Bouro,1,1,…,…,…,…,1,2,42,2
Vila Verde,1,0,0,0,0,0,2,11,332,98
Ave,19,11,496576,47461,252774,292434,26,106,2957,455
Cabeceiras de Basto,1,0,0,0,0,0,3,6,132,14
Fafe,3,0,0,0,0,0,2,8,98,21
Guimarães,6,4,456995,33879,250180,90809,8,43,994,259
Mondim de Basto,0,0,0,0,0,0,1,5,198,6
Póvoa de Lanhoso,1,1,11837,633,2083,3892,2,8,360,50
Vieira do Minho,1,0,0,0,0,0,2,17,345,49
Vila Nova de Famalicão,7,6,27744,12949,511,197733,8,19,830,56
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,50,34,3711060,169879,2295189,1373047,128,1107,45494,10311
Arouca,4,1,26144,4850,2254,4,2,13,318,70
Espinho,1,1,5358,366,340,1522,3,47,791,114
Gondomar,3,1,…,…,…,…,7,36,1646,596
Maia,1,1,9326,3071,116,218,5,30,1868,721
Matosinhos,3,2,…,…,…,…,8,30,1475,554
Oliveira de Azeméis,3,1,…,…,…,…,4,68,1295,521
Paredes,0,0,0,0,0,0,3,42,836,159
Porto,20,15,3484107,123567,2271336,1053483,53,360,23329,3060
Póvoa de Varzim,1,1,19473,6412,530,57628,5,40,667,119
Santa Maria da Feira,3,3,78037,17157,6206,26388,3,10,789,919
Santo Tirso,1,0,0,0,0,0,5,50,1014,87
São João da Madeira,2,2,20847,6311,804,62231,6,52,3110,652
Trofa,0,0,0,0,0,0,1,4,80,4
Vale de Cambra,1,1,980,279,18,1259,2,19,423,47
Valongo,1,1,2185,450,32,15359,7,222,3640,2161
Vila do Conde,1,0,0,0,0,0,8,63,3411,358
Vila Nova de Gaia,5,4,36495,4209,13342,89435,6,21,802,169
Alto Tâmega,8,6,55326,3550,15575,1325,9,64,2649,259
Boticas,1,1,1061,62,185,133,1,16,132,32
Chaves,5,4,52053,2984,15363,815,4,15,749,122
Montalegre,1,0,0,0,0,0,2,22,616,84
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,1,4,110,4
Vila Pouca de Aguiar,1,1,2212,504,27,377,1,7,1042,17
Tâmega e Sousa,14,8,62986,13044,7111,93826,14,90,4480,681
Amarante,3,1,17733,2676,2724,2105,1,7,378,60
Baião,2,1,…,…,…,…,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,1,20,720,20
Cinfães,1,0,0,0,0,0,1,15,1847,234
Felgueiras,0,0,0,0,0,0,2,15,343,109
Lousada,2,2,…,…,…,…,2,6,142,12
Marco de Canaveses,2,1,2327,400,235,865,1,1,144,1
Paços de Ferreira,2,2,1767,683,290,13132,2,6,193,7
Penafiel,1,1,26154,2740,2672,563,3,13,492,217
