,"Nurses per 1 000 inhabitants , No., 2022","Medical doctors per 1 000 inhabitants, No., 2022","Pharmacies and mobile medicine depots per 1000 inhabitants, No., 2022","Hospitalisations in hospitals per 1 000 inhabitants , No., 2021 Po","Surgeries (except minor surgeries) per day in hospitals, No., 2021 Po","Medical appointments in hospitals per inhabitant, No., 2021 Po","Beds (practised allotment) per 1 000 inhabitants in hospitals, No., 2021 Po","Annual bed-occupancy rate in hospitals, %, 2021 Po"
Portugal,7.8,5.8,0.3,106.3,2778.8,2.1,3.5,74.7
Continente,7.7,5.8,0.3,105.9,2685.8,2.1,3.3,74.6
Norte,7.9,5.9,0.3,108,1168,2.4,3.4,71.6
Alto Minho,7.4,4.3,0.3,...,...,...,...,...
Arcos de Valdevez,5.2,2.4,0.3,0,0,0,0,//
Caminha,3.7,5.5,0.3,0,0,0,0,//
Melgaço,3.9,2.8,0.4,0,0,0,0,//
Monção,4.6,3.5,0.3,0,0,0,0,//
Paredes de Coura,3.2,1.7,0.3,0,0,0,0,//
Ponte da Barca,4.9,2.6,0.3,0,0,0,0,//
Ponte de Lima,5.2,3.1,0.2,0,0,0,0,//
Valença,2.8,2,0.2,0,0,0,0,//
Viana do Castelo,12.4,6.4,0.3,...,...,...,...,...
Vila Nova de Cerveira,3.6,3.1,0.3,0,0,0,0,//
Cávado,6.9,5.7,0.2,103.8,162.8,2.8,5,78.6
Amares,6.4,3,0.2,...,...,...,...,...
Barcelos,5.8,3.3,0.2,50.3,17,0.9,6.1,85.4
Braga,8.7,8.5,0.2,183.1,133,4.8,6.4,79.9
Esposende,4,4.7,0.2,...,...,...,...,...
Terras de Bouro,3.8,1.7,0.5,0,0,0,0,//
Vila Verde,4.8,2.2,0.2,...,...,...,...,...
Ave,5.8,3.9,0.2,63.7,76.2,1.1,1.9,62.9
Cabeceiras de Basto,5,2.8,0.3,0,0,0,0,//
Fafe,6,4.1,0.2,0,0,0,0,//
Guimarães,7.2,4.5,0.2,...,...,...,...,...
Mondim de Basto,5.3,1.7,0.3,0,0,0,0,//
Póvoa de Lanhoso,3.9,1.9,0.2,...,...,...,...,...
Vieira do Minho,5.3,1.8,0.3,0,0,0,0,//
Vila Nova de Famalicão,5,3.9,0.2,...,...,...,...,...
Vizela,4.2,3.2,0.2,0,0,0,0,//
A. M. Porto,8.9,7.8,0.2,137.3,729.4,3.1,4.1,68.9
Arouca,2.5,1.5,0.3,...,...,...,...,...
Espinho,2.5,7.3,0.3,...,...,...,...,...
Gondomar,3.9,4.6,0.2,0,0,0,0,//
Maia,3.7,7.3,0.2,0,0,0,0,//
Matosinhos,6.7,9.9,0.2,...,...,...,...,...
Oliveira de Azeméis,3.4,2.7,0.2,0,0,0,0,//
Paredes,4,2.4,0.2,...,...,...,...,...
Porto,32.9,22.1,0.4,586.8,418.7,11.7,17.3,74.2
Póvoa de Varzim,7.3,6,0.2,...,...,...,...,...
Santa Maria da Feira,5.6,3.4,0.2,130,64,2.2,2.8,88.5
Santo Tirso,6.2,4.5,0.3,140.8,23.4,2.3,3.8,83
São João da Madeira,4.7,4.1,0.2,0,0,0,0,//
Trofa,4,3.7,0.2,...,...,...,...,...
Vale de Cambra,3,4,0.3,0,0,0,0,//
Valongo,4.1,3.8,0.2,...,...,...,...,...
Vila do Conde,4,5,0.2,...,...,...,...,...
Vila Nova de Gaia,7,6.5,0.2,125.5,113,3.2,2.7,76.6
Alto Tâmega,8.9,3.9,0.4,0,0,0,0,//
Boticas,8.2,1.4,0.4,0,0,0,0,//
Chaves,13.1,6.1,0.3,0,0,0,0,//
Montalegre,5.7,2.1,0.5,0,0,0,0,//
Ribeira de Pena,5.8,1.4,0.3,0,0,0,0,//
Valpaços,4.8,2.2,0.5,0,0,0,0,//
Vila Pouca de Aguiar,5.3,2.9,0.3,0,0,0,0,//
Tâmega e Sousa,5.5,2.4,0.2,...,...,...,...,...
Amarante,6.3,3.1,0.3,0,0,0,0,//
Baião,3.7,1.5,0.3,0,0,0,0,//
Castelo de Paiva,1.7,1.4,0.3,0,0,0,0,//
Celorico de Basto,4.4,1.8,0.3,0,0,0,0,//
Cinfães,2,1.2,0.5,0,0,0,0,//
Felgueiras,3.8,2.5,0.2,...,...,...,...,...
Lousada,4.3,1.7,0.2,0,0,0,0,//
Marco de Canaveses,3.9,2,0.2,...,...,...,...,...
Paços de Ferreira,4.1,2.7,0.2,0,0,0,0,//
Penafiel,12.4,3.3,0.2,302.6,70.4,4.7,7.3,95.3
Resende,2.8,1.8,0.3,0,0,0,0,//
Douro,9,4,0.4,...,...,...,...,...
Alijó,4.4,1.1,0.8,0,0,0,0,//
Armamar,5.4,1.1,0.4,0,0,0,0,//
Carrazeda de Ansiães,4.8,1.5,0.4,0,0,0,0,//
Freixo de Espada à Cinta,5.7,0.9,0.3,0,0,0,0,//
Lamego,7.8,5.1,0.5,0,0,0,0,//
Mesão Frio,3.1,3.4,0.9,0,0,0,0,//
Moimenta da Beira,3.5,2.7,0.3,0,0,0,0,//
Murça,7.5,1.7,0.4,0,0,0,0,//
Penedono,3.9,1.1,0.4,0,0,0,0,//
Peso da Régua,6.6,2.9,0.5,0,0,0,0,//
Sabrosa,4.8,1.3,0.4,0,0,0,0,//
Santa Marta de Penaguião,3.8,1.8,0.3,0,0,0,0,//
São João da Pesqueira,3.1,1.5,0.4,0,0,0,0,//
Sernancelhe,3.7,1.4,0.3,0,0,0,0,//
Tabuaço,2.8,1.2,0.6,0,0,0,0,//
Tarouca,3.5,2,0.3,0,0,0,0,//
Torre de Moncorvo,4.7,2.1,0.4,0,0,0,0,//
Vila Nova de Foz Côa,3.8,2.2,0.6,0,0,0,0,//
Vila Real,19.3,8.2,0.3,...,...,...,...,...
Terras de Trás-os-Montes,11.2,4.1,0.3,...,...,...,...,...
Alfândega da Fé,6.2,2.4,0.5,0,0,0,0,//
Bragança,18.2,6.1,0.3,267.8,21.5,2.7,11.7,66.1
Macedo de Cavaleiros,11.2,3.5,0.3,0,0,0,0,//
Miranda do Douro,6.3,2.5,0.3,0,0,0,0,//
