,"Total, Hospitals (N.º)","Public and Public-private partnerships, Hospitals (N.º)","Private, Hospitals (N.º)","Total, Beds (N.º)","General hospital, Beds (N.º)","Specialized hospital, Beds (N.º)","Surgery rooms, Beds (N.º)","Hospitalisations , In-patient flow  (N.º)","Days of hospitalisation , In-patient flow  (N.º)"
Portugal,240,112,128,36249,28179,8070,903,1101434,9879790
Continente,221,106,115,32563,26398,6165,865,1045338,8865638
Norte,79,34,45,12173,9877,2296,326,387971,3182494
Alto Minho,3,2,1,...,...,...,...,...,...
Arcos de Valdevez,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0,0
Viana do Castelo,2,1,1,...,...,...,...,...,...
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0
Cávado,14,2,12,2085,1109,976,34,43257,598155
Amares,1,0,1,...,...,...,...,...,...
Barcelos,4,1,3,709,133,576,5,5873,220951
Braga,6,1,5,1238,838,400,22,35441,361068
Esposende,2,0,2,...,...,...,...,...,...
Terras de Bouro,0,0,0,0,0,0,0,0,0
Vila Verde,1,0,1,...,...,...,...,...,...
Ave,5,2,3,810,810,0,21,26654,186045
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0
Guimarães,2,1,1,...,...,...,...,...,...
Mondim de Basto,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,1,...,...,...,...,...,...
Vieira do Minho,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,1,1,...,...,...,...,...,...
Vizela,0,0,0,0,0,0,0,0,0
A. M. Porto,44,20,24,7117,5797,1320,218,238865,1789312
Arouca,1,0,1,...,...,...,...,...,...
Espinho,2,1,1,...,...,...,...,...,...
Gondomar,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0
Matosinhos,3,2,1,...,...,...,...,...,...
Oliveira de Azeméis,1,1,0,0,0,0,0,0,0
Paredes,1,0,1,...,...,...,...,...,...
Porto,19,7,12,4020,2750,1270,121,136491,1089191
Póvoa de Varzim,2,1,1,...,...,...,...,...,...
Santa Maria da Feira,1,1,0,381,381,0,12,17795,123118
Santo Tirso,1,1,0,260,260,0,8,9530,78774
São João da Madeira,1,1,0,0,0,0,0,0,0
Trofa,1,0,1,...,...,...,...,...,...
Vale de Cambra,0,0,0,0,0,0,0,0,0
Valongo,3,1,2,...,...,...,...,...,...
Vila do Conde,2,1,1,...,...,...,...,...,...
Vila Nova de Gaia,6,3,3,809,781,28,32,38183,226226
Alto Tâmega,1,1,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0,0
Chaves,1,1,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,4,2,2,...,...,...,...,...,...
Amarante,1,1,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0
Felgueiras,1,0,1,...,...,...,...,...,...
Lousada,0,0,0,0,0,0,0,0,0
