,"Local do parto, Total (N.º)","Local do parto, Domicílio (N.º)","Local do parto, Estabelecimento hospitalar (N.º)","Local do parto, Outro local (N.º)"
Portugal,82676,857,80465,1354
Continente,78889,817,76755,1317
Norte,26042,255,25446,341
Alto Minho,1541,20,1501,20
Arcos de Valdevez,109,3,105,1
Caminha,92,2,89,1
Melgaço,20,1,19,0
Monção,118,1,117,0
Paredes de Coura,44,0,44,0
Ponte da Barca,84,0,84,0
Ponte de Lima,286,4,279,3
Valença,104,3,99,2
Viana do Castelo,626,6,610,10
Vila Nova de Cerveira,58,0,55,3
Cávado,3335,26,3233,76
Amares,120,1,118,1
Barcelos,833,13,801,19
Braga,1658,7,1607,44
Esposende,333,2,327,4
Terras de Bouro,35,0,35,0
Vila Verde,356,3,345,8
Ave,3190,41,3115,34
Cabeceiras de Basto,92,2,90,0
Fafe,344,4,339,1
Guimarães,1179,23,1142,14
Mondim de Basto,39,0,39,0
Póvoa de Lanhoso,163,2,157,4
Vieira do Minho,66,0,63,3
Vila Nova de Famalicão,1090,10,1069,11
Vizela,217,0,216,1
A. M. Porto,13006,121,12709,176
Arouca,140,0,140,0
Espinho,222,3,218,1
Gondomar,1171,8,1142,21
Maia,1048,12,1022,14
Matosinhos,1232,10,1194,28
Oliveira de Azeméis,459,5,451,3
Paredes,652,8,638,6
Porto,1899,24,1844,31
Póvoa de Varzim,514,5,503,6
Santa Maria da Feira,1048,6,1031,11
Santo Tirso,416,1,408,7
São João da Madeira,147,7,139,1
Trofa,263,4,256,3
Vale de Cambra,124,0,124,0
Valongo,708,9,684,15
Vila do Conde,641,7,631,3
Vila Nova de Gaia,2322,12,2284,26
Alto Tâmega,396,3,391,2
Boticas,32,0,32,0
Chaves,187,2,184,1
Montalegre,38,0,38,0
Ribeira de Pena,34,0,34,0
Valpaços,60,0,59,1
Vila Pouca de Aguiar,45,1,44,0
Tâmega e Sousa,2916,37,2860,19
Amarante,351,3,345,3
Baião,72,3,69,0
Castelo de Paiva,96,4,92,0
Celorico de Basto,101,2,99,0
Cinfães,94,2,91,1
Felgueiras,418,2,414,2
Lousada,402,4,394,4
Marco de Canaveses,334,3,330,1
Paços de Ferreira,440,11,424,5
Penafiel,541,1,537,3
Resende,67,2,65,0
Douro,1054,5,1043,6
Alijó,54,1,53,0
Armamar,26,0,26,0
Carrazeda de Ansiães,25,0,25,0
Freixo de Espada à Cinta,21,0,21,0
Lamego,126,1,122,3
Mesão Frio,17,0,17,0
Moimenta da Beira,67,0,65,2
Murça,16,0,16,0
Penedono,15,0,15,0
Peso da Régua,85,0,85,0
Sabrosa,33,0,33,0
Santa Marta de Penaguião,25,0,25,0
São João da Pesqueira,39,0,39,0
Sernancelhe,23,0,23,0
Tabuaço,28,0,28,0
Tarouca,37,0,36,1
Torre de Moncorvo,36,1,35,0
Vila Nova de Foz Côa,32,0,32,0
Vila Real,349,2,347,0
Terras de Trás-os-Montes,604,2,594,8
Alfândega da Fé,27,0,27,0
Bragança,239,1,234,4
Macedo de Cavaleiros,75,0,74,1
Miranda do Douro,23,0,23,0
Mirandela,114,0,113,1
Mogadouro,39,0,39,0
Vila Flor,33,1,31,1
Vimioso,20,0,19,1
Vinhais,34,0,34,0
Centro,15549,211,15189,149
Oeste,2971,60,2861,50
Alcobaça,433,12,419,2
Alenquer,386,2,375,9
Arruda dos Vinhos,129,3,121,5
Bombarral,98,0,97,1
Cadaval,86,4,81,1
Caldas da Rainha,373,7,364,2
Lourinhã,219,6,213,0
Nazaré,109,2,107,0
Óbidos,100,1,95,4
Peniche,241,4,234,3
Sobral de Monte Agraço,92,1,87,4
Torres Vedras,705,18,668,19
Região de Aveiro,2771,31,2720,20
Águeda,343,2,335,6
Albergaria-a-Velha,168,2,166,0
Anadia,179,3,174,2
Aveiro,645,6,635,4
Estarreja,200,6,192,2
Ílhavo,318,1,316,1
Murtosa,66,0,66,0
Oliveira do Bairro,175,2,172,1
Ovar,414,9,401,4
Sever do Vouga,69,0,69,0
Vagos,194,0,194,0
Região de Coimbra,2934,47,2866,21
Arganil,66,2,64,0
Cantanhede,247,4,241,2
Coimbra,1033,10,1014,9
Condeixa-a-Nova,127,3,124,0
Figueira da Foz,378,8,369,1
Góis,15,0,15,0
Lousã,107,4,103,0
Mealhada,122,0,120,2
Mira,88,1,86,1
Miranda do Corvo,72,0,72,0
Montemor-o-Velho,173,1,170,2
Mortágua,57,2,55,0
Oliveira do Hospital,129,5,122,2
Pampilhosa da Serra,17,1,16,0
Penacova,57,3,53,1
Penela,41,2,39,0
Soure,90,0,90,0
Tábua,63,1,62,0
Vila Nova de Poiares,52,0,51,1
Região de Leiria,2141,31,2093,17
Alvaiázere,23,1,22,0
Ansião,68,10,57,1
Batalha,114,1,112,1
Castanheira de Pêra,6,0,6,0
Figueiró dos Vinhos,23,1,22,0
Leiria,1107,4,1090,13
Marinha Grande,298,5,293,0
Pedrógão Grande,15,4,11,0
Pombal,341,2,338,1
Porto de Mós,146,3,142,1
Viseu Dão Lafões,1616,12,1594,10
Aguiar da Beira,28,0,28,0
Carregal do Sal,57,1,55,1
Castro Daire,60,1,59,0
Mangualde,117,2,114,1
Nelas,78,1,77,0
Oliveira de Frades,71,0,71,0
Penalva do Castelo,31,0,31,0
Santa Comba Dão,60,0,60,0
São Pedro do Sul,70,1,69,0
Sátão,76,1,75,0
Tondela,164,1,161,2
Vila Nova de Paiva,22,0,22,0
Viseu,730,4,721,5
Vouzela,52,0,51,1
Beira Baixa,533,8,518,7
Castelo Branco,391,3,382,6
Idanha-a-Nova,39,0,38,1
Oleiros,25,3,22,0
Penamacor,25,1,24,0
Proença-a-Nova,34,0,34,0
Vila Velha de Ródão,19,1,18,0
Médio Tejo,1446,8,1426,12
Abrantes,194,1,192,1
Alcanena,76,0,76,0
Constância,24,0,24,0
Entroncamento,148,0,146,2
Ferreira do Zêzere,47,2,45,0
Mação,23,2,21,0
Ourém,315,0,314,1
Sardoal,16,0,15,1
Sertã,89,0,89,0
Tomar,210,3,203,4
Torres Novas,221,0,219,2
Vila de Rei,27,0,27,0
Vila Nova da Barquinha,56,0,55,1
Beiras e Serra da Estrela,1137,14,1111,12
Almeida,20,0,20,0
Belmonte,46,1,45,0
Celorico da Beira,38,0,38,0
Covilhã,291,2,287,2
Figueira de Castelo Rodrigo,33,0,33,0
Fornos de Algodres,22,0,22,0
Fundão,148,3,144,1
Gouveia,63,1,60,2
Guarda,243,1,240,2
Manteigas,14,0,14,0
Mêda,15,0,14,1
Pinhel,31,1,30,0
Sabugal,45,3,41,1
Seia,87,2,83,2
Trancoso,41,0,40,1
A. M. Lisboa,27956,192,27005,759
Alcochete,158,2,153,3
Almada,1692,16,1631,45
Amadora,1820,7,1772,41
Barreiro,721,9,704,8
Cascais,1713,15,1634,64
Lisboa,5429,25,5196,208
Loures,2148,9,2092,47
Mafra,780,12,743,25
Moita,707,3,698,6
Montijo,558,8,540,10
Odivelas,1713,8,1667,38
Oeiras,1427,10,1353,64
Palmela,590,6,571,13
Seixal,1649,8,1607,34
Sesimbra,500,13,477,10
Setúbal,1018,4,998,16
Sintra,4059,28,3930,101
Vila Franca de Xira,1274,9,1239,26
Alentejo,5308,85,5170,53
Alentejo Litoral,777,22,738,17
Alcácer do Sal,80,2,78,0
Grândola,109,0,107,2
Odemira,236,15,219,2
Santiago do Cacém,217,3,209,5
Sines,135,2,125,8
Baixo Alentejo,918,15,894,9
Aljustrel,75,0,74,1
Almodôvar,45,3,42,0
Alvito,16,0,16,0
Barrancos,11,0,11,0
Beja,306,3,302,1
Castro Verde,50,3,45,2
Cuba,38,0,37,1
Ferreira do Alentejo,45,0,45,0
Mértola,24,1,23,0
Moura,118,0,117,1
Ourique,34,2,32,0
Serpa,111,3,107,1
Vidigueira,45,0,43,2
Lezíria do Tejo,1832,9,1808,15
Almeirim,177,1,175,1
Alpiarça,54,0,54,0
Azambuja,163,0,162,1
Benavente,288,2,282,4
Cartaxo,181,0,178,3
Chamusca,48,0,48,0
Coruche,100,1,97,2
Golegã,36,0,35,1
Rio Maior,167,1,166,0
Salvaterra de Magos,157,0,157,0
Santarém,461,4,454,3
Alto Alentejo,691,12,671,8
Alter do Chão,22,0,22,0
Arronches,23,0,22,1
Avis,29,1,28,0
Campo Maior,61,1,59,1
Castelo de Vide,15,0,15,0
Crato,21,0,21,0
Elvas,136,5,129,2
Fronteira,19,0,19,0
Gavião,13,0,13,0
Marvão,15,0,15,0
Monforte,21,1,20,0
Nisa,32,0,32,0
Ponte de Sor,115,0,113,2
Portalegre,145,2,141,2
Sousel,24,2,22,0
Alentejo Central,1090,27,1059,4
Alandroal,22,5,17,0
Arraiolos,38,0,38,0
Borba,44,1,43,0
Estremoz,89,3,85,1
Évora,419,2,415,2
Montemor-o-Novo,103,5,98,0
Mora,18,1,17,0
Mourão,24,0,24,0
Portel,45,5,39,1
Redondo,50,0,50,0
Reguengos de Monsaraz,73,1,72,0
Vendas Novas,91,2,89,0
Viana do Alentejo,35,1,34,0
Vila Viçosa,39,1,38,0
Algarve,4034,74,3945,15
Albufeira,429,4,423,2
Alcoutim,8,0,8,0
Aljezur,61,10,51,0
Castro Marim,48,1,47,0
Faro,587,6,578,3
Lagoa,190,0,188,2
Lagos,279,6,271,2
Loulé,616,14,602,0
Monchique,35,6,29,0
Olhão,381,3,378,0
Portimão,627,2,621,4
São Brás de Alportel,75,2,73,0
Silves,316,6,310,0
Tavira,188,3,184,1
Vila do Bispo,52,11,41,0
Vila Real de Santo António,142,0,141,1
R. A. Açores,2045,30,1988,27
Santa Maria,38,0,38,0
Vila do Porto,38,0,38,0
São Miguel,1244,19,1203,22
Lagoa (R.A.A.),137,5,131,1
Nordeste,35,1,34,0
Ponta Delgada,613,6,588,19
Povoação,36,2,32,2
Ribeira Grande,344,2,342,0
Vila Franca do Campo,79,3,76,0
Terceira,414,5,406,3
Angra do Heroísmo,262,3,257,2
Vila da Praia da Vitória,152,2,149,1
Graciosa,41,0,41,0
Santa Cruz da Graciosa,41,0,41,0
São Jorge,64,2,62,0
Calheta (R.A.A.),27,0,27,0
Velas,37,2,35,0
Pico,109,1,106,2
Lajes do Pico,29,0,29,0
Madalena,53,1,50,2
São Roque do Pico,27,0,27,0
Faial,111,2,109,0
Horta,111,2,109,0
Flores,20,1,19,0
Lajes das Flores,10,1,9,0
Santa Cruz das Flores,10,0,10,0
Corvo,4,0,4,0
Corvo,4,0,4,0
R. A. Madeira,1742,10,1722,10
Calheta (R.A.M.),76,2,74,0
Câmara de Lobos,266,1,264,1
Funchal,722,2,715,5
Machico,104,0,103,1
Ponta do Sol,51,2,49,0
Porto Moniz,13,0,13,0
Ribeira Brava,70,1,69,0
Santa Cruz,339,2,335,2
Santana,39,0,39,0
São Vicente,23,0,23,0
Porto Santo,39,0,38,1
