,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Portugal,1289.5,854.73,931.63,980.15,1012.07,1160.85,1205.03,1956.5,1936.72,2064.25,2790.85
Continente,1294.11,849.53,928.18,978.3,1013.3,1163.52,1207.83,1957.13,1938.6,2062.14,2797.56
Norte,1187.19,840.28,907.5,947.46,973.84,1099.34,1127.11,1804.45,1763.23,1879.48,2684.21
Alto Minho,1094.98,850.9,895.02,935.67,959.2,1013.81,1231.83,1561.86,1638.27,1753.72,1854
Arcos de Valdevez,1004.4,773.26,842.59,849.36,874.16,950.67,1434.68,1542.43,1497.91,1936.7,//
Caminha,952.78,1173.72,814.68,836.25,914.71,885.26,1120.13,1415.5,1332.94,1364.83,…
Melgaço,992.05,//,836.11,833.44,868.64,931.38,…,2005.91,1359.78,1393.07,…
Monção,990.74,869.99,849.65,892.42,934.53,962.32,1216.55,1546.24,1309.13,1234.86,//
Paredes de Coura,1029.14,…,801,1022.12,933.81,963.29,//,1525.98,1445.18,1951.55,//
Ponte da Barca,902.45,840.78,854.49,826.79,852.15,882.51,1170.97,1272.14,1216.95,981.98,//
Ponte de Lima,994.66,863.26,862,885.86,919.53,964.53,1043.93,1441.45,1409.29,1401.58,1514.98
Valença,1034.76,802.47,896.16,912.04,920.57,1039.53,…,1135.61,1468.75,1414.46,1136.79
Viana do Castelo,1195.78,808.72,951.74,978.63,1014.29,1058.43,1267.87,1648.82,1781.3,1880.61,2330.77
Vila Nova de Cerveira,1152.13,776.97,985.86,1060.74,982.5,1113.16,1086.53,1450.49,1890.78,1885.73,1993.51
Cávado,1134.32,792.57,915.46,981.32,965.54,1049.93,974.79,1572.09,1609.52,1761.54,2341.29
Amares,1044.96,762.56,960.89,974.62,959.36,1022.08,…,1330.37,1412.7,1679.8,2257.7
Barcelos,1033.09,782.36,890.61,944.99,950.15,997.59,890.81,1564.14,1499.23,1532.98,1853.8
Braga,1234.49,808.45,941.56,1062.33,1000.34,1097.48,1019.1,1587.17,1672.66,1850.7,2400.41
Esposende,1064.23,776.94,927.89,894.02,944.48,1015.21,936.44,1658.65,1594.99,1468.84,1789.26
Terras de Bouro,994.06,759.7,812.75,837.24,855.34,991.66,//,2165.26,1347.45,1677.79,//
Vila Verde,950.09,727.55,863.51,894.04,880.11,932.77,916.27,1257.87,1313.75,1210.25,1237.51
Ave,1080.78,836.15,884.1,909.51,953.23,1088.04,1206.17,1640.87,1616.07,1644.94,2416.57
Cabeceiras de Basto,873.38,735.9,815.48,810.17,829.23,868.34,…,1113.17,1136.2,1168.22,…
Fafe,925.18,761.67,829.8,833.32,859.72,927.3,1125.43,1519.78,1315.89,1426.44,2079.21
Guimarães,1061.8,819.3,873.49,911.24,940.25,1026.59,1257.28,1545.22,1595.59,1596.26,2563.25
Mondim de Basto,869.54,…,804.43,796.73,802.37,881.39,//,1047.14,1283.72,1100.22,//
Póvoa de Lanhoso,920.14,831.58,826.45,827.46,845.97,896.77,…,1157.71,1305.85,1137.64,1216.67
Vieira do Minho,897.1,740.38,823.1,823.64,834.11,932.87,…,989.49,1253.34,1265.56,…
Vila Nova de Famalicão,1193.51,865.32,933.96,955.77,1038.41,1223.48,1234.89,1934.68,1768.71,1787.8,2212.99
Vizela,978.23,820.6,865.02,873.13,869.45,1077.13,1101.89,1201.15,1509.59,1255.65,1583.91
A. M. Porto,1301.06,839.69,934.67,979.49,1010.99,1170.61,1149.51,1930.1,1884.43,1965.65,2812.03
Arouca,1022.53,820.54,888.65,949.35,961.69,995.58,1116.14,1469.71,1409.8,1448.39,1207.47
Espinho,1094.98,793.93,897.86,904.4,940.62,1003.52,…,1855.28,1619.98,1665.75,2208.21
Gondomar,1080.76,821.26,890.29,957.14,943.84,1040.65,1036.03,1572.24,1490.32,1570.02,1966.9
Maia,1366.55,870.54,903.13,1033.76,1048.23,1230.93,1228.27,2109.65,2021.55,1987.99,2702.8
Matosinhos,1423.73,862.74,948.82,994.08,1051.92,1206.9,1020.55,2023.21,1986.29,2095.28,2910.23
Oliveira de Azeméis,1144.22,861.53,959.24,1009.33,1061.26,1136.3,995.24,1598.99,1738.03,1656.13,2826.34
Paredes,997.68,781.26,869.93,894.14,913.73,968.79,831.7,1403.04,1436.68,1434.56,2657.38
Porto,1555.37,844.2,944.41,984.78,1026.06,1313.15,1274.2,2035.71,1972.33,2068.07,2802.94
Póvoa de Varzim,1067.82,813.21,922.41,919.8,930.97,1024.29,1243.37,1553.15,1551.72,1601.49,1838.73
Santa Maria da Feira,1155.77,892.16,978.81,984.93,996.46,1119.14,1119.92,1704.93,1811.11,1740.7,2496.49
Santo Tirso,1102.1,795.52,893.09,906.75,982.13,1109.91,1330.39,1920.11,1762.39,1653.94,2773.68
São João da Madeira,1146.67,783.7,925.83,942.29,986.05,1080.23,1053.93,1890.46,1772.34,1817.49,2488.85
Trofa,1211.49,900.46,946.55,1030.07,1015.65,1096.95,987.75,1768.99,1950.84,2167.75,4672.6
Vale de Cambra,1221.79,838.8,1010.25,1020.74,1062.2,1093.93,922.5,2186.73,1987.98,1631.24,2582.15
