,Total (€),"Main occupation, Managers (€)","Main occupation, Professionals (€)","Main occupation, Technicians and associate professionals (€)","Main occupation, Clerical support workers (€)","Main occupation, Service and sale workers (€)","Main occupation, Skilled agricultural, forestry, and fishery workers (€)","Main occupation, Craft and related trades workers (€)","Main occupation, Plant and machine operators, and assemblers (€)","Main occupation, Elementary occupations (€)"
Portugal,1289.5,2766.64,1992.42,1607.89,1171.53,935.13,942.72,1005.12,1078.17,896.27
Continente,1294.11,2777.23,1994.66,1608.11,1173.21,936.3,942.8,1004.57,1078.25,895.67
Norte,1187.19,2395.29,1846.6,1496.05,1099.6,908.82,886.13,955.45,983.31,872.98
Alto Minho,1094.98,2080.81,1714.61,1381.02,1066.25,867.1,857.17,959.11,1016.61,858.59
Arcos de Valdevez,1004.4,2291.98,1364.21,1253.75,1049.93,821.09,768.76,911.95,878.6,848.92
Caminha,952.78,1449.77,1316.62,1001.08,983.07,838.21,856.28,993.08,913.42,797.5
Melgaço,992.05,1636.9,1433.07,1118.72,1273.45,810.59,1162.32,808.25,948.93,825.08
Monção,990.74,1532.14,1327.32,1140.49,974.01,859.77,853.73,906.77,1132.9,819.5
Paredes de Coura,1029.14,2191.32,1422.42,1298.96,1089.85,792.74,893.72,910.79,1048.68,804.51
Ponte da Barca,902.45,1349.59,1218.07,1188.11,981.68,768.82,837.25,859.67,964.12,786.75
Ponte de Lima,994.66,1669.61,1282.05,1353.19,1045.63,868.61,781.39,880.81,938.19,830.24
Valença,1034.76,1963.53,1522.08,1329.08,1072.65,839.68,781.54,1078.51,1005.63,856.88
Viana do Castelo,1195.78,2367.88,1937.89,1428.47,1079.32,906.27,951.81,999.69,1054.73,896.39
Vila Nova de Cerveira,1152.13,2605.04,1630.06,1806.31,1143.52,878.34,786.45,1002.88,1078.2,847.47
Cávado,1134.32,1996.85,1756.71,1406.62,1046.71,890.46,827.67,940.54,978.16,857.51
Amares,1044.96,1679.92,1511.83,1258.69,966.32,786.27,804.11,901.16,1327.93,908.44
Barcelos,1033.09,1938.69,1597.1,1274.27,1027.41,866.56,849.79,924.46,892.61,839.04
Braga,1234.49,2193.26,1839.74,1503.78,1064.92,921.39,781.47,981.17,1066.12,870.2
Esposende,1064.23,2026.39,1550.43,1278.25,1052.65,845.44,866.66,942.02,954.28,847.59
Terras de Bouro,994.06,1594.12,1657.05,1315.37,969.89,770.01,828.62,995.96,1126.53,841.1
Vila Verde,950.09,1386.22,1312.27,1111.12,1000.74,829.82,806.8,856.83,921.66,821.7
Ave,1080.78,2112.96,1618.89,1427.83,1052.74,888.04,825.24,916.51,972.06,850
Cabeceiras de Basto,873.38,1189.79,1209.33,997.48,912.27,805.69,950.53,789.34,900.92,781.69
Fafe,925.18,1542.13,1390.82,1167.4,973.95,849.63,780.83,834.25,822.87,811.6
Guimarães,1061.8,2141.2,1644.43,1333.99,1053.14,906.44,828.2,910.28,879.9,842.75
Mondim de Basto,869.54,1289.22,1371.3,964.4,945.72,801.91,780.26,817.82,796.77,760.17
Póvoa de Lanhoso,920.14,1500.03,1394.13,1068.29,918.65,843.72,816.74,821.03,789.04,792.32
Vieira do Minho,897.1,1330,1252.21,998.06,1014.2,844.49,742.75,806.93,875.27,776.34
Vila Nova de Famalicão,1193.51,2401.76,1698.46,1593.71,1095.89,903.05,814.14,984.71,1146.45,897.65
Vizela,978.23,1896.91,1308.54,1694.01,1006.14,850.78,769.39,844.51,863.47,806.31
A. M. Porto,1301.06,2804.02,1945.67,1595.89,1148.91,940.53,1001.83,1003.64,1030.31,901.92
Arouca,1022.53,1630.4,1399.27,1381.74,994.39,827.08,858.18,967.34,1025.58,806.06
Espinho,1094.98,2793.26,1476.71,1324.68,1027.59,869.37,865.3,935.22,900.27,825.27
Gondomar,1080.76,2075.51,1476.36,1326.34,1011.05,913.26,814.82,928,972.82,846.68
Maia,1366.55,3469.58,2040.64,1620.96,1234.8,932.19,947.41,1081.72,1043.68,956.21
Matosinhos,1423.73,3052,2100.63,1627.39,1193,988.55,937.18,1078.38,1210.86,899.1
Oliveira de Azeméis,1144.22,2430.93,1761.82,1504.43,1135.34,892.27,911.75,1086.48,989.79,879.15
Paredes,997.68,1803.81,1509.48,1220.99,983,844.49,833.81,863.46,935.95,833.38
Porto,1555.37,3126.83,2053.93,1877.74,1234.01,950.97,884.19,1045.58,1218.71,953.13
Póvoa de Varzim,1067.82,1907.22,1577.2,1276.62,1074.59,892.14,1394.24,913.8,858.35,819.65
Santa Maria da Feira,1155.77,2762.97,1705.98,1463.37,1114.01,928.95,831.21,1008.09,972.48,879.14
Santo Tirso,1102.1,2176.33,1697.56,1415.86,1113.49,885.49,798.31,928.03,950.14,885.91
São João da Madeira,1146.67,2710.73,1783.83,1449.95,1093.63,938.66,760.4,1045.97,892.19,915.65
Trofa,1211.49,2613.76,2288.25,1252.39,1033.95,923.75,749.5,1041.54,1065.46,877.11
Vale de Cambra,1221.79,2740.11,1891.81,1554.21,1108.43,876.47,804.45,1082.97,1085.02,837.32
Valongo,1157.58,2161.22,1791.97,1388.02,1083.44,928.77,832.48,999.58,1066.8,883.81
Vila do Conde,1215.5,2593.8,1789.26,1650.94,1104.95,945.2,1033.96,995.67,1052.28,907.93
Vila Nova de Gaia,1241.29,2726.19,1768.13,1423.89,1090.75,965.08,926.1,1002.63,1061.3,877.61
Alto Tâmega,995.06,1531.04,1490.93,1264.92,961.39,828.16,827.69,896.36,931.94,851.87
Boticas,912.52,1603.98,1436.9,944.79,937.61,789.9,812.06,794.55,848.55,785.53
Chaves,1027.91,1638.48,1567.33,1353.4,957.92,842.7,820.87,918.22,925.31,919.21
Montalegre,959.32,1150.78,1168.37,1194.21,1074.78,836.64,834.61,960.32,982.23,777.38
Ribeira de Pena,1158.34,2300.61,1771.56,1387.94,1022.1,817.35,1059.66,986.49,1196.31,796.88
Valpaços,892.54,1369.95,1301.45,973.16,934.15,784.49,790.11,823.59,853.47,789.26
Vila Pouca de Aguiar,924.59,1336.73,1300,1137.55,941.34,815.84,769.42,838.56,861.02,795.62
Tâmega e Sousa,980.68,1570.92,1567.92,1226.35,991.07,855.43,794.96,906.18,864.17,837.83
Amarante,1001.34,1544.64,1498.52,1184.57,973.22,826.52,766.26,915.59,934.7,859.47
Baião,957.82,1086.35,1377.28,1000.44,948.03,786.71,811.27,962.13,1062.53,833.95
Castelo de Paiva,927.32,1684.24,1411.68,1186.51,1021.79,828.94,789.39,835.21,833.93,826.5
Celorico de Basto,881.43,1280.58,1238.15,1071.33,964.56,806,855.74,816.3,838.48,804.29
