,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proporção de TCO em estabelecimentos de empresas com 250 ou mais trabalhadores, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Portugal,19.8,30,1289.5,25,10.6,x,8.5,16.8,5.3,31.3,37.4
Continente,19.8,30.1,1294.1,25.3,10.8,0,8.6,16.7,5.5,31.3,37.5
Norte,21,24.9,1187.2,22.3,9.9,0.2,8.5,16.9,5.1,28.7,33.9
Alto Minho,23.9,28.9,1095,17.7,10.5,0.8,7.1,15.1,3,23.8,28
Arcos de Valdevez,25.3,36.6,1004.4,15.1,9.9,4.1,5.1,12.8,3.3,24.7,28.5
Caminha,38.7,11.4,952.8,14.6,10,0.7,2.9,14.8,2.8,17.2,19.1
Melgaço,32.2,10.6,992,19.5,8.6,-4.1,7.8,18.6,1.9,22.3,25.1
Monção,34.6,7.8,990.7,15.1,9.6,3,7.4,12.3,3.4,14.3,18.2
Paredes de Coura,27.4,7.8,1029.1,14.7,9.1,-0.3,8.4,19.6,2.7,20.4,26.5
Ponte da Barca,41.9,5.7,902.4,12.3,8.6,-1.6,4.8,16.6,2.6,12.9,18
Ponte de Lima,29.1,24.5,994.7,13.5,8,0.3,6.3,12.5,3.1,19.1,20.6
Valença,30.2,32.2,1034.8,12.6,19.2,-6.1,9.8,11.8,11.5,17,23.5
Viana do Castelo,18.3,32.2,1195.8,22.5,10.6,1,6.4,18.1,1.8,26.8,32.6
Vila Nova de Cerveira,12.1,51.6,1152.1,13.1,10.6,4.3,10.6,13.9,3.3,24,30.2
Cávado,21.3,20.4,1134.3,21.3,10,0.6,8.1,16.8,3.4,24,29.7
Amares,32.3,8.4,1045,13.1,10.1,0.9,8.8,22.3,1.3,16.1,24.1
Barcelos,22.2,11.6,1033.1,13.7,8.7,-0.2,6.9,14.7,2.9,18.5,25.9
Braga,17.5,30.2,1234.5,28,10.3,0.4,8.4,16.1,1.6,25.1,31.5
Esposende,26.7,8.4,1064.2,17.2,12.4,3.2,9.1,16.9,3,22.6,27.5
Terras de Bouro,29.9,6.6,994.1,17,6.8,-0.6,16.2,40.9,17.5,23.6,28
Vila Verde,34.6,3.7,950.1,12.6,11.3,2.2,4.7,10.6,3.9,14.3,17.8
Ave,20.4,19.4,1080.8,15.1,8.4,-0.1,8.6,17.2,2,23.2,27.8
Cabeceiras de Basto,33.4,4.8,873.4,12.6,7.8,-1.5,2,11.2,7.4,11.6,14.4
Fafe,28.5,7.4,925.2,11.3,8.9,2.2,3.5,10.8,4.6,17.7,20.9
Guimarães,19.2,17.6,1061.8,16.2,8.4,-0.2,4.7,13.6,4.9,24.6,29.6
Mondim de Basto,33.2,2.6,869.5,10.4,7.3,1.6,1.1,12.4,4.5,15.5,17.9
Póvoa de Lanhoso,27,17,920.1,14.7,7.3,0.6,0.5,11.9,2.4,16.4,20.8
Vieira do Minho,38.5,5.2,897.1,9.3,7.1,-6.5,1.2,20.5,6.2,13.3,16.7
Vila Nova de Famalicão,17.7,27.5,1193.5,16,8.6,-0.3,13.5,20.2,4.3,23.5,28.6
Vizela,21.9,11,978.2,8.9,6.8,-0.5,10.5,15.8,8.2,18.2,29.1
A. M. Porto,18.7,30.8,1301.1,27.5,10.3,0,9.1,16,4.3,30.5,37.2
Arouca,28.1,1.9,1022.5,13.3,6.8,-0.6,8.3,14.2,2.8,15.4,21.1
Espinho,29.5,17.1,1095,20.1,8.9,0.7,8.4,16.3,3.1,25.6,40.1
Gondomar,28.2,14.7,1080.8,19.2,8.6,-1.6,5,13.2,2.5,19.8,26.8
Maia,12.9,41.2,1366.5,28,11,-1,9.8,12.9,1.7,31.3,41.2
Matosinhos,15.4,36.8,1423.7,34.3,10.6,-0.6,11.6,14.6,4.1,31.4,37.9
Oliveira de Azeméis,16.3,20.9,1144.2,12.7,7.4,0.6,12.1,10.8,4.4,20.1,28.4
Paredes,25.9,6,997.7,13.7,9.7,-0.2,4.1,14.9,5.4,22.3,24.6
Porto,16.3,43.2,1555.4,45.1,11.8,-0.3,12.5,17.8,1.8,29.1,37.9
Póvoa de Varzim,28.1,15.2,1067.8,17.6,8.7,1.1,6.9,14.5,5.8,21.7,26.7
