,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Idade, Menos de 25 anos, Nº","Idade, 25-29 anos, Nº","Idade, 30-39
 anos, Nº","Idade, 40-49 anos, Nº","Idade, 50-54 anos, Nº","Idade, 55 e mais anos, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Portugal,136858,68815,68043,13624,7626,39309,19840,22643,33816,472145,237885,234261
Continente,128486,64446,64040,12815,7011,37159,18351,21381,31769,442296,222372,219924
Norte,52266,26198,26068,4628,2728,15408,7339,9144,13019,180160,91128,89032
Alto Minho,3449,1810,1639,268,182,1131,442,559,867,11709,6190,5519
Arcos de Valdevez,340,184,156,20,15,124,44,62,75,1198,662,536
Caminha,201,101,100,16,10,69,29,29,48,631,322,309
Melgaço,139,77,62,5,8,66,12,24,24,509,272,237
Monção,244,132,112,30,8,80,21,44,61,822,436,387
Paredes de Coura,118,70,48,8,7,50,18,20,15,372,217,155
Ponte da Barca,209,119,90,15,6,67,33,32,56,788,440,348
Ponte de Lima,633,329,304,39,28,170,99,111,186,2154,1153,1001
Valença,158,79,79,12,10,55,17,22,42,523,257,265
Viana do Castelo,1296,657,639,118,83,414,154,199,328,4371,2235,2136
Vila Nova de Cerveira,111,62,49,5,7,36,15,16,32,342,196,146
Cávado,5938,3043,2895,523,313,1637,829,1031,1605,20211,10468,9743
Amares,221,118,103,12,15,56,38,44,56,814,437,377
Barcelos,1785,1006,779,134,100,547,247,316,441,6047,3419,2628
Braga,2641,1242,1399,256,138,680,365,464,738,8870,4235,4635
Esposende,446,229,217,32,26,116,72,68,132,1549,802,747
Terras de Bouro,117,61,56,10,3,34,18,17,35,429,236,194
Vila Verde,728,387,341,79,31,204,89,122,203,2502,1339,1163
Ave,6100,3058,3042,547,327,1682,867,1090,1587,20438,10335,10103
Cabeceiras de Basto,273,149,124,24,13,83,46,43,64,997,558,439
Fafe,778,403,375,77,36,184,127,130,224,2766,1435,1331
Guimarães,2245,1093,1152,207,123,622,309,434,550,7238,3585,3653
Mondim de Basto,123,65,58,6,4,34,22,25,32,452,228,224
Póvoa de Lanhoso,415,209,206,28,19,121,53,67,127,1486,741,746
Vieira do Minho,229,127,102,12,10,75,35,38,59,872,496,376
Vila Nova de Famalicão,1704,845,859,161,99,455,232,305,452,5545,2744,2801
Vizela,333,167,166,32,23,108,43,48,79,1083,549,533
A. M. Porto,23719,11589,12130,2223,1245,7006,3360,4162,5723,80738,39859,40879
Arouca,416,202,214,41,22,102,64,81,106,1468,742,726
Espinho,533,257,276,31,21,164,72,109,136,1908,954,953
Gondomar,2360,1144,1216,252,127,686,311,422,562,8148,3917,4231
Maia,1484,704,780,155,94,404,235,237,359,4819,2285,2534
Matosinhos,2053,1029,1024,197,101,649,304,333,469,6796,3406,3389
Oliveira de Azeméis,975,429,546,95,45,285,141,173,236,3225,1452,1773
Paredes,1427,741,686,154,66,402,175,281,349,5034,2590,2443
Porto,3143,1683,1460,234,167,1001,483,512,746,11309,6016,5293
Póvoa de Varzim,1020,473,547,83,62,283,171,184,237,3568,1674,1895
Santa Maria da Feira,1911,918,993,176,91,591,265,322,466,6422,3155,3267
Santo Tirso,877,410,467,60,34,282,111,135,255,2860,1383,1477
São João da Madeira,347,166,181,22,19,89,53,73,91,1178,592,587
Trofa,460,209,251,31,25,124,61,80,139,1546,723,823
Vale de Cambra,309,144,165,34,15,93,44,51,72,961,442,518
Valongo,1314,614,700,131,73,359,181,247,323,4378,2057,2321
Vila do Conde,1388,656,732,109,81,454,170,247,327,4719,2219,2500
Vila Nova de Gaia,3702,1810,1892,418,202,1038,519,675,850,12400,6252,6148
Alto Tâmega,1647,880,767,128,61,566,209,286,397,6119,3216,2903
Boticas,115,69,46,5,5,32,16,27,30,432,256,176
Chaves,661,337,324,70,22,216,92,111,150,2294,1157,1137
Montalegre,190,109,81,10,7,65,27,37,44,720,416,304
Ribeira de Pena,104,55,49,3,4,44,7,20,26,375,194,181
Valpaços,350,178,172,24,11,130,41,61,83,1448,679,770
Vila Pouca de Aguiar,227,132,95,16,12,79,26,30,64,849,514,335
Tâmega e Sousa,6321,3128,3193,583,383,1755,947,1103,1550,21947,11127,10820
Amarante,768,380,388,62,40,245,115,116,190,2590,1313,1277
Baião,322,151,171,33,17,92,39,63,78,1156,549,607
Castelo de Paiva,288,140,148,31,21,81,41,46,68,998,485,512
Celorico de Basto,301,168,133,29,15,90,43,53,71,1178,683,495
Cinfães,290,149,141,19,9,77,45,52,88,1079,586,493
Felgueiras,706,329,377,74,52,188,106,125,161,2268,1084,1184
Lousada,682,339,343,67,31,183,118,113,170,2338,1190,1148
Marco de Canaveses,805,397,408,86,49,218,119,149,184,2807,1449,1358
Paços de Ferreira,742,353,389,72,49,203,105,132,181,2572,1215,1357
Penafiel,1160,586,574,103,82,299,182,206,288,3963,2030,1933
Resende,257,136,121,7,18,79,34,48,71,997,542,455
Douro,3246,1716,1530,229,148,1001,441,609,818,12268,6447,5822
Alijó,214,123,91,11,5,63,39,39,57,713,403,310
Armamar,121,70,51,8,7,28,17,27,34,497,302,194
Carrazeda de Ansiães,124,78,46,10,3,34,14,27,36,510,310,201
Freixo de Espada à Cinta,39,18,21,…,0,12,…,13,7,167,85,82
Lamego,452,234,218,30,23,135,59,86,119,1781,908,873
Mesão Frio,67,33,34,5,3,24,10,9,16,284,137,147
Moimenta da Beira,168,94,74,15,8,52,14,31,48,670,391,279
Murça,109,55,54,5,5,34,18,30,17,476,233,243
Penedono,33,17,16,…,0,18,…,7,3,121,59,62
Peso da Régua,302,148,154,25,13,97,33,56,78,1162,539,623
Sabrosa,97,51,46,3,6,31,18,17,22,351,173,178
Santa Marta de Penaguião,102,56,46,8,3,30,19,16,26,375,210,165
São João da Pesqueira,127,76,51,11,10,34,26,14,32,433,259,174
Sernancelhe,70,45,25,…,…,31,8,14,10,247,163,84
Tabuaço,86,44,42,6,7,26,10,12,25,309,152,156
Tarouca,138,68,70,11,8,41,20,18,40,576,278,298
Torre de Moncorvo,83,47,36,…,…,27,…,14,26,309,169,140
Vila Nova de Foz Côa,104,52,52,…,…,35,19,26,17,444,224,220
Vila Real,810,407,403,64,41,249,98,153,205,2843,1451,1392
Terras de Trás-os-Montes,1846,974,872,127,69,630,244,304,472,6731,3487,3244
Alfândega da Fé,101,53,48,12,4,36,11,14,24,391,216,175
Bragança,635,320,315,42,32,207,76,100,178,2297,1117,1180
Macedo de Cavaleiros,251,121,130,15,6,94,33,41,62,955,438,517
Miranda do Douro,100,57,43,…,…,35,18,18,22,312,175,137
Mirandela,329,178,151,29,10,102,56,56,76,1196,644,551
Mogadouro,107,60,47,…,…,42,16,16,22,371,206,165
Vila Flor,105,60,45,4,8,33,14,18,28,420,232,188
Vimioso,66,36,30,…,…,32,6,8,15,229,133,96
Vinhais,152,89,63,8,3,49,14,33,45,560,327,233
Centro,28702,14555,14147,2797,1564,8381,4245,4634,7081,97212,49399,47813
Oeste,4454,2249,2205,478,228,1295,667,709,1077,15144,7521,7623
Alcobaça,628,334,294,62,37,180,93,103,153,2132,1136,996
Alenquer,472,237,235,52,26,128,72,65,129,1537,786,751
Arruda dos Vinhos,112,55,57,21,4,22,20,20,25,333,151,183
Bombarral,185,86,99,15,9,48,32,32,49,636,273,363
Cadaval,178,97,81,18,8,53,27,31,41,629,345,283
Caldas da Rainha,600,308,292,50,35,182,87,107,139,2087,1078,1009
Lourinhã,362,195,167,41,23,123,53,49,73,1229,663,566
Nazaré,190,92,98,19,10,54,26,28,53,669,327,342
Óbidos,146,69,77,19,6,38,19,24,40,539,241,298
Peniche,496,241,255,54,17,131,85,97,112,1723,801,922
Sobral de Monte Agraço,117,69,48,17,7,31,19,16,27,369,218,151
Torres Vedras,968,466,502,110,46,305,134,137,236,3260,1501,1759
Região de Aveiro,5080,2495,2585,538,319,1364,742,861,1256,17075,8527,8548
Águeda,562,286,276,63,38,157,73,108,123,1794,898,896
Albergaria-a-Velha,360,177,183,42,16,99,52,56,95,1215,602,613
Anadia,384,190,194,36,25,103,61,62,97,1261,615,646
Aveiro,951,476,475,89,62,239,166,167,228,3215,1646,1569
Estarreja,399,209,190,36,21,126,45,72,99,1277,674,603
Ílhavo,575,288,287,69,41,158,84,88,135,1959,1011,948
Murtosa,164,79,85,21,11,40,21,26,45,517,258,259
Oliveira do Bairro,304,157,147,48,27,50,54,48,77,1100,573,527
Ovar,899,400,499,84,49,276,116,159,215,3058,1416,1642
Sever do Vouga,153,77,76,19,7,29,14,27,57,532,273,259
Vagos,329,156,173,31,22,87,56,48,85,1147,562,585
Região de Coimbra,5270,2673,2597,481,293,1495,752,864,1385,17417,8900,8517
Arganil,145,81,64,16,8,40,14,27,40,452,274,178
Cantanhede,416,198,218,31,17,127,75,75,91,1465,689,776
Coimbra,1461,794,667,153,77,389,201,246,395,4825,2636,2189
Condeixa-a-Nova,320,92,228,26,16,116,42,47,73,1020,312,709
Figueira da Foz,624,308,316,42,40,192,79,103,168,2120,1050,1070
Góis,36,20,16,…,…,14,5,…,9,116,71,45
