,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Dias processados, HM, Nº","Dias processados, H, Nº","Dias processados, M, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Portugal,167958,78917,89041,12595212,2731089,9864123,404972,112944,292028
Continente,159725,75070,84655,11981781,2599632,9382149,386053,107926,278127
Norte,55886,26652,29234,4168164,938215,3229949,130940,36836,94104
Alto Minho,3271,1533,1738,242809,52146,190663,6952,1828,5123
Arcos de Valdevez,231,109,122,17220,3849,13371,460,104,356
Caminha,222,104,118,15381,3264,12117,467,103,364
Melgaço,49,20,29,3931,752,3179,109,19,91
Monção,236,106,130,18694,3735,14959,545,124,422
Paredes de Coura,98,50,48,6788,1545,5243,188,53,135
Ponte da Barca,156,73,83,11702,2401,9301,276,69,207
Ponte de Lima,615,290,325,45922,10289,35633,1297,388,909
Valença,210,97,113,15205,2922,12283,377,95,282
Viana do Castelo,1315,623,692,97292,21108,76184,2931,800,2131
Vila Nova de Cerveira,139,61,78,10674,2281,8393,301,74,227
Cávado,7098,3411,3687,527709,120969,406740,16968,4708,12260
Amares,283,133,150,21066,4432,16634,584,152,431
Barcelos,1836,897,939,135053,32164,102889,3855,1153,2701
Braga,3482,1670,1812,259379,58563,200816,9208,2504,6704
Esposende,670,316,354,50756,11428,39328,1655,433,1222
Terras de Bouro,61,28,33,4569,1035,3534,93,26,67
Vila Verde,766,367,399,56886,13347,43539,1574,440,1134
Ave,7205,3500,3705,540461,130045,410416,16455,4753,11702
Cabeceiras de Basto,189,87,102,14750,3061,11689,366,95,271
Fafe,754,350,404,56041,12902,43139,1503,422,1082
Guimarães,2703,1327,1376,202925,48955,153970,6246,1687,4560
Mondim de Basto,77,35,42,5777,1096,4681,136,28,107
Póvoa de Lanhoso,352,172,180,26535,6197,20338,759,200,559
Vieira do Minho,127,56,71,9350,1884,7466,253,62,191
Vila Nova de Famalicão,2520,1246,1274,186316,47134,139182,6065,1957,4108
Vizela,483,227,256,38767,8816,29951,1127,303,823
A. M. Porto,27775,13217,14558,2075273,463893,1611380,70287,20162,50125
Arouca,328,164,164,24312,5593,18719,611,186,426
Espinho,456,213,243,34613,7580,27033,1229,334,896
Gondomar,2645,1238,1407,194959,41937,153022,5908,1650,4258
Maia,2265,1100,1165,171950,39977,131973,6351,2013,4338
Matosinhos,2600,1240,1360,191040,43354,147686,7409,2086,5324
Oliveira de Azeméis,1035,501,534,79199,18975,60224,2337,728,1609
Paredes,1500,721,779,108382,24817,83565,2893,859,2035
Porto,3507,1637,1870,266186,57892,208294,11468,3200,8268
Póvoa de Varzim,1024,492,532,75933,17581,58352,2191,666,1525
Santa Maria da Feira,2340,1128,1212,179193,39818,139375,5372,1462,3910
Santo Tirso,967,476,491,69993,17159,52834,2267,693,1574
São João da Madeira,311,143,168,22004,4866,17138,698,190,508
Trofa,649,320,329,46563,11373,35190,1386,432,953
Vale de Cambra,266,130,136,20310,4606,15704,594,193,401
Valongo,1580,743,837,117092,25432,91660,3707,974,2733
Vila do Conde,1384,660,724,103002,23084,79918,3420,983,2437
Vila Nova de Gaia,4918,2311,2607,370542,79849,290693,12445,3515,8930
Alto Tâmega,818,372,446,61853,12222,49631,1590,384,1205
Boticas,46,19,27,3931,659,3272,101,21,81
Chaves,409,187,222,31066,6256,24810,834,219,616
Montalegre,79,36,43,5587,1206,4381,127,29,98
Ribeira de Pena,71,32,39,5386,950,4436,131,30,101
Valpaços,128,56,72,9800,1762,8038,223,43,181
Vila Pouca de Aguiar,85,42,43,6083,1389,4694,173,43,130
Tâmega e Sousa,6364,3027,3337,474016,106338,367678,12105,3344,8760
Amarante,716,343,373,53700,12545,41155,1476,443,1034
Baião,161,77,84,10146,2352,7794,256,74,182
Castelo de Paiva,189,87,102,13520,2770,10750,327,101,226
Celorico de Basto,236,114,122,17457,3662,13795,393,99,294
Cinfães,187,92,95,13982,2990,10992,326,87,238
Felgueiras,933,443,490,71053,17259,53794,1821,510,1311
Lousada,897,438,459,65860,15369,50491,1637,478,1159
Marco de Canaveses,703,337,366,53016,11560,41456,1263,356,907
Paços de Ferreira,1020,477,543,75988,17139,58849,2078,532,1547
Penafiel,1219,571,648,91757,19167,72590,2361,619,1742
Resende,103,48,55,7537,1525,6012,167,46,121
Douro,2109,1005,1104,153548,32226,121322,4069,988,3081
Alijó,103,46,57,7742,1654,6088,169,41,128
Armamar,65,32,33,4324,881,3443,133,26,108
Carrazeda de Ansiães,49,26,23,3404,798,2606,69,17,52
Freixo de Espada à Cinta,36,21,15,2224,625,1599,42,16,26
Lamego,270,125,145,21115,4106,17009,561,127,434
Mesão Frio,21,12,9,1472,355,1117,30,11,19
Moimenta da Beira,130,62,68,9511,2063,7448,229,56,173
Murça,28,14,14,2139,648,1491,63,21,42
Penedono,26,9,17,2238,225,2013,50,6,44
Peso da Régua,169,80,89,12231,2479,9752,303,74,229
Sabrosa,55,28,27,3598,819,2779,91,24,68
Santa Marta de Penaguião,57,25,32,4237,749,3488,108,24,84
São João da Pesqueira,85,37,48,6024,1038,4986,153,26,128
Sernancelhe,58,29,29,3882,796,3086,77,21,56
Tabuaço,61,29,32,4386,935,3451,88,22,66
Tarouca,83,40,43,5609,1433,4176,130,43,87
Torre de Moncorvo,77,36,41,5742,1031,4711,129,32,97
Vila Nova de Foz Côa,58,28,30,4143,883,3260,103,23,80
Vila Real,678,326,352,49527,10708,38819,1541,378,1162
Terras de Trás-os-Montes,1246,587,659,92495,20376,72119,2516,668,1848
Alfândega da Fé,43,24,19,3024,866,2158,82,32,50
Bragança,471,214,257,35694,7600,28094,1049,270,779
Macedo de Cavaleiros,167,76,91,11807,2380,9427,272,72,201
Miranda do Douro,58,31,27,4249,1115,3134,102,27,74
Mirandela,231,109,122,17730,3772,13958,490,115,375
Mogadouro,100,50,50,7230,1783,5447,174,46,128
Vila Flor,60,25,35,4501,881,3620,120,42,78
Vimioso,40,19,21,3019,635,2384,76,21,55
Vinhais,76,39,37,5241,1344,3897,152,44,108
Centro,33441,16165,17276,2473236,558479,1914757,73801,21430,52371
Oeste,6293,3009,3284,469537,102984,366553,13650,3831,9819
Alcobaça,971,468,503,71621,15861,55760,1992,579,1413
Alenquer,836,406,430,62804,14000,48804,1811,539,1272
Arruda dos Vinhos,268,122,146,19885,4166,15719,742,189,553
Bombarral,200,97,103,14637,3511,11126,429,127,302
Cadaval,191,88,103,15000,3062,11938,411,109,302
Caldas da Rainha,722,346,376,54427,11503,42924,1582,426,1156
Lourinhã,452,220,232,32804,7417,25387,834,232,601
Nazaré,221,97,124,16929,3330,13599,459,133,327
Óbidos,222,107,115,16159,3393,12766,494,135,358
Peniche,510,236,274,37941,8266,29675,989,270,719
Sobral de Monte Agraço,187,91,96,14293,3386,10907,521,165,356
Torres Vedras,1513,731,782,113037,25089,87948,3387,928,2460
Região de Aveiro,6107,2958,3149,449774,101422,348352,13680,4168,9512
Águeda,731,341,390,53804,11221,42583,1468,405,1063
Albergaria-a-Velha,364,175,189,26553,6002,20551,728,202,527
Anadia,378,184,194,27799,6065,21734,776,208,568
Aveiro,1340,653,687,99027,21921,77106,3396,1036,2360
Estarreja,450,221,229,31500,7342,24158,858,290,568
Ílhavo,712,345,367,52732,12017,40715,1668,531,1138
Murtosa,172,84,88,11787,2446,9341,308,85,223
Oliveira do Bairro,384,186,198,28135,6474,21661,791,226,565
Ovar,1001,493,508,74492,18111,56381,2406,808,1599
Sever do Vouga,159,77,82,11860,2641,9219,352,94,258
Vagos,416,199,217,32085,7182,24903,928,284,644
Região de Coimbra,6267,3059,3208,465688,107620,358068,14992,4355,10637
Arganil,135,65,70,10607,2350,8257,273,98,175
Cantanhede,511,253,258,38442,9260,29182,1123,353,770
Coimbra,2156,1048,1108,158397,36677,121720,6266,1743,4523
Condeixa-a-Nova,313,159,154,22527,6144,16383,688,241,447
Figueira da Foz,764,363,401,58275,12024,46251,1736,459,1277
Góis,24,12,12,1749,360,1389,42,10,33
Lousã,223,101,122,16632,3513,13119,469,132,337
Mealhada,276,137,139,19825,4689,15136,597,189,408
Mira,190,91,99,14785,3748,11037,399,121,278
Miranda do Corvo,154,80,74,11357,2928,8429,323,105,218
Montemor-o-Velho,408,200,208,31208,7242,23966,978,300,678
Mortágua,120,56,64,8892,1783,7109,252,60,193
Oliveira do Hospital,274,136,138,19494,4749,14745,466,147,318
Pampilhosa da Serra,38,19,19,2998,588,2410,85,20,65
Penacova,141,70,71,10248,2291,7957,256,73,183
Penela,95,45,50,7232,1643,5589,201,59,143
Soure,191,91,100,14731,3333,11398,389,117,272
Tábua,136,71,65,9316,2212,7104,209,62,147
Vila Nova de Poiares,118,62,56,8973,2086,6887,239,68,171
Região de Leiria,4643,2286,2357,342692,81840,260852,10379,3276,7103
Alvaiázere,75,38,37,5224,1303,3921,144,41,102
Ansião,153,70,83,12357,2736,9621,322,86,235
Batalha,273,135,138,20015,5001,15014,616,217,400
Castanheira de Pêra,14,6,8,1013,215,798,22,4,18
Figueiró dos Vinhos,42,19,23,3286,638,2648,73,14,59
Leiria,2343,1160,1183,172974,42086,130888,5543,1764,3779
Marinha Grande,599,293,306,44766,10521,34245,1281,415,866
Pedrógão Grande,26,13,13,1861,463,1398,43,12,31
Pombal,738,361,377,53489,12001,41488,1505,434,1071
Porto de Mós,380,191,189,27707,6876,20831,830,287,543
Viseu Dão Lafões,3466,1666,1800,256510,56979,199531,7261,1959,5302
Aguiar da Beira,63,27,36,5035,894,4141,119,25,93
Carregal do Sal,115,50,65,8940,1509,7431,223,48,175
Castro Daire,117,53,64,8384,1683,6701,205,45,160
Mangualde,256,130,126,17815,4316,13499,480,139,340
Nelas,175,84,91,12942,2900,10042,393,106,287
Oliveira de Frades,144,76,68,10161,2517,7644,262,83,179
Penalva do Castelo,65,30,35,5257,1242,4015,146,44,102
Santa Comba Dão,135,67,68,8791,2156,6635,245,69,176
São Pedro do Sul,139,61,78,10850,1940,8910,267,59,207
Sátão,163,78,85,13189,2913,10276,321,98,223
Tondela,370,177,193,27757,6502,21255,836,223,613
Vila Nova de Paiva,40,17,23,2922,681,2241,71,19,52
Viseu,1557,755,802,115908,25785,90123,3467,942,2525
Vouzela,127,61,66,8559,1941,6618,226,57,169
Beira Baixa,1082,503,579,81112,17554,63558,2350,665,1685
Castelo Branco,816,378,438,61803,13125,48678,1859,507,1353
Idanha-a-Nova,77,33,44,5645,1099,4546,114,29,86
Oleiros,46,23,23,3491,901,2590,93,29,64
Penamacor,34,17,17,2369,507,1862,60,15,45
Proença-a-Nova,63,30,33,4753,1190,3563,132,48,85
Vila Velha de Ródão,46,22,24,3051,732,2319,91,38,53
Médio Tejo,3059,1461,1598,224180,48792,175388,6401,1765,4636
Abrantes,400,183,217,29456,5946,23510,797,215,582
Alcanena,151,67,84,10943,2293,8650,288,77,212
Constância,55,28,27,3521,947,2574,109,35,74
Entroncamento,288,135,153,21048,4447,16601,587,168,420
Ferreira do Zêzere,101,47,54,7457,1570,5887,202,49,153
Mação,61,34,27,3999,1065,2934,93,31,62
Ourém,700,334,366,50665,11028,39637,1457,409,1049
Sardoal,47,22,25,3787,806,2981,112,26,87
Sertã,185,83,102,14412,2696,11716,355,80,275
Tomar,437,215,222,31090,7197,23893,915,260,655
Torres Novas,456,226,230,34134,7887,26247,1078,309,770
Vila de Rei,66,32,34,4788,1055,3733,139,31,108
Vila Nova da Barquinha,112,55,57,8880,1855,7025,269,77,192
Beiras e Serra da Estrela,2524,1223,1301,183743,41288,142455,5089,1411,3678
Almeida,47,25,22,3435,939,2496,88,27,60
Belmonte,99,50,49,7372,1627,5745,183,48,134
Celorico da Beira,72,34,38,5041,1003,4038,114,33,82
Covilhã,644,313,331,46452,10831,35621,1424,413,1011
Figueira de Castelo Rodrigo,70,36,34,4667,1154,3513,100,30,70
Fornos de Algodres,35,19,16,2475,516,1959,48,14,34
Fundão,293,139,154,22641,4637,18004,570,141,429
Gouveia,122,57,65,9355,1795,7560,217,53,164
Guarda,553,262,291,41366,8970,32396,1290,343,946
Manteigas,33,19,14,2195,669,1526,61,24,37
Mêda,27,11,16,2012,477,1535,60,21,39
Pinhel,71,33,38,5109,1016,4093,144,37,107
Sabugal,98,45,53,7002,1653,5349,165,45,120
Seia,246,124,122,16731,4091,12640,422,126,296
Trancoso,114,56,58,7890,1910,5980,204,55,149
A. M. Lisboa,51080,23372,27708,3899860,813204,3086656,141352,39141,102211
Alcochete,319,150,169,24816,5567,19249,1006,303,703
Almada,2899,1296,1603,227211,45275,181936,7563,2029,5534
Amadora,3189,1430,1759,239005,46093,192912,7081,1848,5233
Barreiro,1315,598,717,100246,20448,79798,2872,806,2065
Cascais,3097,1417,1680,235681,49680,186001,9190,2435,6754
Lisboa,9636,4362,5274,742168,155152,587016,35364,9862,25501
Loures,3993,1880,2113,299143,63665,235478,9835,2782,7053
Mafra,1679,809,870,123594,29095,94499,4644,1385,3259
Moita,1254,556,698,98631,17914,80717,2507,651,1856
Montijo,1089,512,577,80021,17806,62215,2835,844,1991
Odivelas,2928,1378,1550,222300,47728,174572,8005,2262,5743
Oeiras,2821,1289,1532,219367,46981,172386,10095,2798,7297
Palmela,1193,571,622,91184,21061,70123,3046,962,2084
Seixal,2975,1343,1632,232381,48654,183727,7732,2166,5567
Sesimbra,965,455,510,73009,16208,56801,2261,680,1580
Setúbal,1889,862,1027,140333,28632,111701,4492,1267,3225
Sintra,7146,3208,3938,548800,108209,440591,16240,4215,12025
Vila Franca de Xira,2693,1256,1437,201970,45036,156934,6585,1844,4741
Alentejo,11517,5373,6144,854130,177611,676519,24262,6726,17536
Alentejo Litoral,1553,744,809,117044,23927,93117,3583,1102,2481
Alcácer do Sal,167,79,88,12569,2401,10168,307,78,230
Grândola,191,89,102,13903,2609,11294,357,92,266
Odemira,482,232,250,36240,7221,29019,995,263,732
Santiago do Cacém,443,218,225,33195,7206,25989,1221,406,815
Sines,270,126,144,21137,4490,16647,703,264,439
Baixo Alentejo,1943,906,1037,141289,28678,112611,3889,1109,2780
Aljustrel,144,66,78,11358,2140,9218,333,93,240
Almodôvar,87,39,48,6910,1468,5442,256,97,159
Alvito,26,10,16,1884,281,1603,51,7,43
Barrancos,18,8,10,1238,190,1048,21,4,17
Beja,627,296,331,44788,9365,35423,1341,357,984
Castro Verde,112,58,54,8409,2242,6167,313,139,174
Cuba,80,37,43,5580,971,4609,153,28,126
Ferreira do Alentejo,97,43,54,6762,1181,5581,162,38,124
Mértola,76,40,36,5279,1188,4091,130,48,82
Moura,273,122,151,19774,3632,16142,416,95,321
Ourique,63,31,32,4745,1133,3612,153,69,84
Serpa,236,112,124,17072,3407,13665,373,94,279
Vidigueira,104,44,60,7490,1480,6010,187,40,146
Lezíria do Tejo,3904,1820,2084,288458,61174,227284,8336,2298,6038
Almeirim,381,186,195,26267,5811,20456,704,209,495
Alpiarça,112,50,62,7566,1381,6185,171,39,131
Azambuja,322,151,171,23971,5269,18702,665,200,465
Benavente,596,279,317,44228,8968,35260,1406,355,1051
Cartaxo,370,161,209,28208,5406,22802,803,200,603
Chamusca,120,58,62,9662,2364,7298,263,74,189
Coruche,222,96,126,16558,3068,13490,420,98,322
Golegã,85,39,46,6584,1306,5278,213,45,168
Rio Maior,399,193,206,28945,6311,22634,833,248,585
Salvaterra de Magos,371,173,198,27276,5759,21517,712,195,516
Santarém,926,434,492,69193,15531,53662,2148,635,1513
