,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Portugal,832999,1238912,813201,12892,13225,17025,7906,1792
Continente,784510,1162786,762456,11987,12267,15729,7153,1580
Norte,288881,421211,258804,5085,5194,6658,2416,534
Alto Minho,17558,26106,15102,209,213,275,301,66
Arcos de Valdevez,1435,2115,1232,12,12,15,55,12
Caminha,1214,1774,1056,8,8,12,10,2
Melgaço,388,561,335,5,5,7,24,5
Monção,1239,1781,1011,18,20,26,30,7
Paredes de Coura,703,1042,568,7,8,10,11,2
Ponte da Barca,894,1317,758,12,12,16,14,3
Ponte de Lima,3526,5352,2953,39,39,48,36,8
Valença,1163,1686,1062,7,7,9,6,1
Viana do Castelo,6260,9397,5502,93,94,121,108,24
Vila Nova de Cerveira,736,1081,626,8,8,11,7,2
Cávado,32822,49898,28262,550,564,728,143,32
Amares,1645,2502,1409,18,18,24,3,1
Barcelos,9665,14582,7924,132,134,176,27,6
Braga,13907,21167,12360,266,273,346,75,17
Esposende,2923,4487,2493,35,35,47,17,4
Terras de Bouro,480,712,430,11,11,14,3,1
Vila Verde,4202,6448,3647,88,93,122,18,4
Ave,33972,50163,28564,580,594,763,129,29
Cabeceiras de Basto,1509,2280,1341,24,25,32,...,...
Fafe,4147,5947,3533,58,60,77,24,5
Guimarães,12519,18565,10516,211,219,283,39,9
Mondim de Basto,515,775,468,7,7,9,...,...
Póvoa de Lanhoso,1757,2694,1549,29,30,38,12,3
Vieira do Minho,829,1223,743,19,19,25,8,2
Vila Nova de Famalicão,10430,15449,8627,199,201,257,32,7
Vizela,2266,3230,1788,33,33,42,8,2
A. M. Porto,135580,195918,125707,2723,2783,3568,1047,231
Arouca,1869,2885,1592,31,32,42,13,3
Espinho,2245,3265,2129,30,30,37,20,4
Gondomar,14105,20121,13188,291,298,382,99,22
Maia,9922,14372,8852,221,226,288,86,19
Matosinhos,11957,17208,11246,271,276,354,92,20
Oliveira de Azeméis,4853,7076,4077,58,58,73,42,9
Paredes,9001,12843,8158,193,198,252,79,17
Porto,13859,20423,15510,348,351,453,148,33
Póvoa de Varzim,5670,8442,5133,90,95,120,56,12
Santa Maria da Feira,11247,16152,9603,163,167,212,35,8
Santo Tirso,4928,6943,4091,118,120,153,27,6
São João da Madeira,1774,2576,1587,12,12,15,9,2
Trofa,3226,4661,2783,58,59,78,18,4
Vale de Cambra,1380,1959,1095,19,19,25,19,4
Valongo,8433,12043,7784,160,166,213,54,12
Vila do Conde,6662,9792,5833,140,145,184,44,10
Vila Nova de Gaia,24449,35157,23046,520,531,686,206,45
Alto Tâmega,5761,8530,5371,82,84,109,179,40
Boticas,303,436,252,7,7,9,14,3
Chaves,2692,3945,2527,35,35,45,73,16
Montalegre,533,813,515,6,6,8,16,4
Ribeira de Pena,435,681,404,6,6,8,14,3
Valpaços,1028,1556,1024,14,15,19,39,9
Vila Pouca de Aguiar,770,1099,650,14,15,19,23,5
Tâmega e Sousa,40772,58456,35882,651,662,841,314,69
Amarante,4769,6851,4265,68,68,85,50,11
Baião,1633,2255,1404,24,26,32,12,3
Castelo de Paiva,1486,2159,1213,26,26,33,16,4
Celorico de Basto,1495,2278,1352,14,14,17,13,3
Cinfães,1697,2384,1576,12,12,16,9,2
Felgueiras,5411,7794,4581,70,71,92,23,5
Lousada,5193,7412,4431,90,91,116,34,7
Marco de Canaveses,5052,7164,4566,110,113,142,44,10
Paços de Ferreira,6047,8722,5317,85,87,110,42,9
Penafiel,7061,10124,6262,140,142,181,65,14
Resende,928,1313,916,12,12,16,6,1
Douro,13773,20091,12394,191,195,249,171,38
Alijó,750,1127,683,9,9,12,4,1
Armamar,428,612,370,9,9,12,4,1
Carrazeda de Ansiães,392,580,398,...,...,...,11,2
Freixo de Espada à Cinta,238,351,233,...,...,...,...,...
Lamego,1953,2728,1705,39,40,55,20,4
Mesão Frio,291,418,265,...,...,...,5,1
Moimenta da Beira,819,1241,808,10,10,11,6,1
Murça,388,547,326,6,6,8,7,2
Penedono,177,273,170,...,...,...,...,...
Peso da Régua,1184,1710,1076,22,22,27,11,2
Sabrosa,423,634,365,...,3,...,3,1
Santa Marta de Penaguião,448,658,405,6,7,9,8,2
São João da Pesqueira,575,834,496,8,9,12,7,2
Sernancelhe,348,559,346,...,...,...,...,...
Tabuaço,358,523,334,7,7,9,7,2
Tarouca,654,957,596,10,10,13,3,1
Torre de Moncorvo,424,629,438,3,3,4,19,4
Vila Nova de Foz Côa,390,570,342,3,3,3,...,...
Vila Real,3533,5140,3038,50,50,62,48,11
Terras de Trás-os-Montes,8643,12049,7522,99,99,125,132,29
Alfândega da Fé,320,494,325,6,6,8,0,0
Bragança,3357,4395,2604,34,34,44,44,10
Macedo de Cavaleiros,1044,1552,1034,14,14,19,27,6
Miranda do Douro,386,559,348,9,9,11,11,2
Mirandela,1816,2561,1636,23,23,28,25,5
Mogadouro,554,816,502,7,7,8,8,2
Vila Flor,490,693,446,...,...,...,9,2
Vimioso,258,365,213,...,...,...,4,1
Vinhais,418,614,415,...,...,...,4,1
Centro,166328,247985,150945,2204,2252,2899,2001,442
Oeste,30875,46239,29544,480,489,639,290,64
Alcobaça,4324,6506,3940,48,48,61,24,5
Alenquer,4157,6293,4181,88,90,118,25,5
Arruda dos Vinhos,1127,1721,1098,18,18,25,11,2
Bombarral,1098,1634,1042,13,13,16,15,3
Cadaval,1054,1581,997,14,15,17,30,7
Caldas da Rainha,4123,6038,3816,39,39,49,25,5
Lourinhã,2500,3681,2379,56,58,76,31,7
Nazaré,1270,1865,1220,6,6,8,10,2
Óbidos,965,1480,912,15,16,22,9,2
Peniche,2430,3797,2542,35,35,45,17,4
Sobral de Monte Agraço,909,1391,902,11,11,16,5,1
Torres Vedras,6918,10252,6516,137,140,186,88,20
Região de Aveiro,28487,42585,26231,240,242,320,404,90
Águeda,3678,5464,3286,27,27,36,43,9
Albergaria-a-Velha,1977,2979,1730,18,18,22,30,7
Anadia,1969,2869,1674,10,10,13,37,8
Aveiro,5681,8372,5289,35,35,52,77,17
