,"Total, No","Sex, M, No","Sex, F, No","Age, Under 25 years, No","Age, 25-39 years, No","Age, 40-54 years, No","Age, 55 years and over, No","Values paid, 55 years and over, thousand euros"
Portugal,262545,122358,140187,108348,43567,53387,57243,312881
Continente,241443,112034,129409,99275,39540,48932,53696,291426
Norte,91914,42932,48982,33578,13999,20169,24168,114306
Alto Minho,2841,1432,1409,930,420,594,897,3597
Arcos de Valdevez,176,98,78,23,13,45,95,235
Caminha,237,113,124,61,42,50,84,298
Melgaço,64,32,32,13,6,15,30,83
Monção,142,76,66,31,7,32,72,170
Paredes de Coura,74,45,29,12,5,9,48,102
Ponte da Barca,114,55,59,23,10,27,54,134
Ponte de Lima,297,138,159,64,24,79,130,366
Valença,275,143,132,98,45,58,74,367
Viana do Castelo,1360,680,680,576,257,252,275,1708
Vila Nova de Cerveira,102,52,50,29,11,27,35,133
Cávado,3835,1787,2048,1498,580,801,956,4298
Amares,215,104,111,78,...,...,69,263
Barcelos,564,264,300,200,84,111,169,619
Braga,2374,1097,1277,951,361,506,556,2722
Esposende,302,143,159,111,60,61,70,314
Terras de Bouro,53,32,21,15,...,...,18,54
Vila Verde,327,147,180,143,45,65,74,326
Ave,4553,2228,2325,1600,636,1017,1300,5393
Cabeceiras de Basto,340,161,179,114,25,93,108,408
Fafe,564,274,290,209,84,104,167,640
Guimarães,1342,662,680,466,205,305,366,1513
Mondim de Basto,192,101,91,54,21,51,66,198
Póvoa de Lanhoso,203,101,102,46,21,44,92,265
Vieira do Minho,208,110,98,45,19,50,94,286
Vila Nova de Famalicão,1563,748,815,630,249,333,351,1905
Vizela,141,71,70,36,12,37,56,178
A. M. Porto,57653,26594,31059,21565,8995,12520,14573,72992
Arouca,239,101,138,56,23,48,112,311
Espinho,969,429,540,338,149,207,275,1145
Gondomar,5940,2727,3213,2356,957,1251,1376,7135
Maia,3547,1535,2012,1378,527,742,900,4519
Matosinhos,5655,2531,3124,2129,878,1170,1478,7030
Oliveira de Azeméis,589,283,306,186,69,138,196,747
Paredes,2322,1088,1234,840,309,521,652,2915
Porto,14769,7094,7675,5499,2523,3256,3491,19453
Póvoa de Varzim,1324,599,725,443,192,317,372,1752
Santa Maria da Feira,2273,1081,1192,778,300,517,678,2940
Santo Tirso,1321,642,679,509,189,284,339,1723
São João da Madeira,432,185,247,161,67,97,107,485
Trofa,684,287,397,256,97,147,184,813
Vale de Cambra,189,82,107,41,24,39,85,249
Valongo,3369,1469,1900,1304,497,738,830,4323
Vila do Conde,1119,564,555,446,186,231,256,1391
Vila Nova de Gaia,12912,5897,7015,4845,2008,2817,3242,16062
Alto Tâmega,2704,1432,1272,815,372,572,945,3334
Boticas,82,45,37,13,7,19,43,110
Chaves,1254,655,599,433,205,250,366,1630
Montalegre,234,135,99,59,23,53,99,274
Ribeira de Pena,217,111,106,49,17,44,107,251
Valpaços,581,298,283,172,78,134,197,679
Vila Pouca de Aguiar,336,188,148,89,42,72,133,390
Tâmega e Sousa,10874,4686,6188,3832,1398,2552,3092,13003
Amarante,1691,702,989,596,215,412,468,2048
Baião,711,286,425,243,95,171,202,813
Castelo de Paiva,273,124,149,97,29,61,86,309
Celorico de Basto,421,195,226,107,36,89,189,529
Cinfães,677,293,384,189,82,172,234,889
Felgueiras,884,411,473,330,109,223,222,1118
Lousada,740,337,403,262,89,177,212,852
Marco de Canaveses,1886,732,1154,674,262,446,504,2341
Paços de Ferreira,1310,622,688,485,187,283,355,1555
Penafiel,1745,723,1022,674,210,381,480,2004
Resende,536,261,275,175,84,137,140,543
Douro,6755,3375,3380,2269,1099,1545,1842,8385
Alijó,367,204,163,90,49,96,132,491
Armamar,172,89,83,49,22,43,58,186
Carrazeda de Ansiães,154,82,72,64,28,35,27,164
Freixo de Espada à Cinta,149,74,75,59,36,41,13,206
Lamego,764,378,386,254,106,176,228,1044
Mesão Frio,160,68,92,44,22,33,61,196
Moimenta da Beira,582,275,307,245,105,119,113,731
Murça,340,170,170,92,66,73,109,366
Penedono,95,55,40,36,12,24,23,96
Peso da Régua,915,448,467,341,146,224,204,1085
Sabrosa,189,87,102,60,23,47,59,198
Santa Marta de Penaguião,375,191,184,103,63,92,117,472
São João da Pesqueira,85,52,33,22,11,22,30,96
Sernancelhe,145,72,73,54,22,25,44,200
Tabuaço,249,119,130,96,43,51,59,293
Tarouca,237,116,121,74,31,59,73,306
Torre de Moncorvo,137,72,65,51,24,24,38,152
Vila Nova de Foz Côa,125,64,61,40,24,30,31,120
Vila Real,1515,759,756,495,266,331,423,1981
Terras de Trás-os-Montes,2699,1398,1301,1069,499,568,563,3306
Alfândega da Fé,173,90,83,79,26,37,31,171
Bragança,615,295,320,249,126,123,117,751
Macedo de Cavaleiros,471,246,225,198,103,94,76,556
Miranda do Douro,125,63,62,56,27,22,20,132
Mirandela,583,311,272,225,101,126,131,717
Mogadouro,279,133,146,99,39,73,68,390
Vila Flor,111,62,49,32,23,19,37,124
Vimioso,78,53,25,27,9,18,24,102
Vinhais,264,145,119,104,45,56,59,364
Centro,42508,20187,22321,16670,7121,8619,10098,50202
Oeste,4941,2203,2738,2062,823,981,1075,5278
Alcobaça,725,351,374,312,142,126,145,797
Alenquer,629,264,365,284,109,126,110,749
Arruda dos Vinhos,154,66,88,68,23,34,29,171
Bombarral,167,72,95,65,21,25,56,175
Cadaval,181,84,97,75,23,38,45,196
Caldas da Rainha,671,270,401,262,111,143,155,657
Lourinhã,495,189,306,199,73,102,121,507
Nazaré,173,76,97,61,37,35,40,152
Óbidos,91,53,38,27,14,17,33,95
Peniche,461,224,237,233,88,65,75,385
Sobral de Monte Agraço,105,52,53,43,11,30,21,112
Torres Vedras,1089,502,587,433,171,240,245,1281
Região de Aveiro,6713,3210,3503,2860,1148,1226,1479,8135
Águeda,663,299,364,289,124,112,138,795
Albergaria-a-Velha,453,210,243,189,71,82,111,538
Anadia,264,123,141,70,39,35,120,339
Aveiro,1506,703,803,631,272,309,294,1781
Estarreja,793,413,380,395,147,116,135,1081
Ílhavo,827,388,439,359,139,151,178,997
Murtosa,98,50,48,33,15,31,19,90
Oliveira do Bairro,430,188,242,199,68,77,86,524
Ovar,1236,605,631,532,192,239,273,1465
Sever do Vouga,104,60,44,31,14,19,40,133
Vagos,339,171,168,132,67,55,85,391
Região de Coimbra,8482,4130,4352,2779,1445,1912,2346,10439
Arganil,162,86,76,47,20,36,59,173
Cantanhede,487,219,268,147,70,104,166,597
Coimbra,3420,1706,1714,1143,616,823,838,4356
Condeixa-a-Nova,150,73,77,59,26,26,39,157
Figueira da Foz,1791,804,987,654,330,365,442,2166
Góis,90,46,44,26,13,24,27,88
Lousã,380,184,196,117,64,86,113,420
Mealhada,202,94,108,59,41,34,68,241
Mira,147,78,69,43,19,36,49,176
Miranda do Corvo,175,84,91,50,30,32,63,231
Montemor-o-Velho,238,121,117,96,35,50,57,298
Mortágua,98,49,49,33,12,22,31,118
Oliveira do Hospital,300,163,137,68,53,74,105,384
Pampilhosa da Serra,92,48,44,26,16,24,26,106
Penacova,161,78,83,41,22,32,66,176
Penela,58,28,30,24,8,7,19,66
Soure,179,94,85,49,26,49,55,268
Tábua,237,123,114,62,28,62,85,297
Vila Nova de Poiares,115,52,63,35,16,26,38,122
Região de Leiria,4861,2147,2714,1951,842,983,1085,5738
Alvaiázere,114,54,60,35,11,31,37,163
Ansião,226,113,113,63,35,55,73,251
Batalha,190,71,119,81,23,40,46,238
Castanheira de Pêra,64,34,30,18,14,11,21,76
Figueiró dos Vinhos,129,63,66,45,25,27,32,156
Leiria,1951,833,1118,799,358,403,391,2294
Marinha Grande,919,402,517,403,167,169,180,1045
Pedrógão Grande,121,54,67,31,17,28,45,161
Pombal,845,379,466,350,138,168,189,988
Porto de Mós,302,144,158,126,54,51,71,365
Viseu Dão Lafões,5444,2612,2832,2004,860,1125,1455,6533
Aguiar da Beira,96,51,45,32,12,14,38,100
Carregal do Sal,177,90,87,52,22,50,53,213
Castro Daire,375,187,188,111,46,100,118,441
Mangualde,494,239,255,185,80,93,136,588
Nelas,242,121,121,88,35,55,64,323
Oliveira de Frades,54,17,37,16,7,12,19,60
Penalva do Castelo,144,70,74,53,13,31,47,169
Santa Comba Dão,202,105,97,69,33,43,57,244
São Pedro do Sul,249,121,128,69,36,38,106,289
Sátão,298,139,159,121,63,46,68,367
Tondela,317,162,155,87,42,69,119,391
Vila Nova de Paiva,108,57,51,39,17,20,32,110
Viseu,2619,1218,1401,1065,449,541,564,3176
