,"Gross reported income per taxable person, €","Median value of gross reported income per taxable person, €","Personal income paid tax per taxable person, €","Gross reported income less personal income paid tax per taxable person, €","Personal income paid tax in the overall gross reported income, %"
Portugal,14360,10540,1857,12503,12.9
Continente,14386,10555,1883,12503,13.1
Norte,12991,9706,1519,11472,11.7
Alto Minho,11800,9427,1171,10629,9.9
Arcos de Valdevez,10100,8359,860,9241,8.5
Caminha,12536,9456,1484,11053,11.8
Melgaço,10521,8928,974,9547,9.3
Monção,11033,9215,1005,10028,9.1
Paredes de Coura,10148,8637,786,9362,7.7
Ponte da Barca,9868,8290,736,9132,7.5
Ponte de Lima,10836,9102,921,9915,8.5
Valença,10913,9390,872,10041,8
Viana do Castelo,13332,10363,1505,11827,11.3
Vila Nova de Cerveira,11662,9661,1051,10611,9
Cávado,13044,9897,1469,11575,11.3
Amares,11179,9310,979,10200,8.8
Barcelos,11327,9390,1000,10327,8.8
Braga,14999,10993,1965,13034,13.1
Esposende,12934,9704,1524,11410,11.8
Terras de Bouro,10092,8616,794,9298,7.9
Vila Verde,10494,9022,844,9651,8
Ave,11863,9506,1121,10742,9.5
Cabeceiras de Basto,9931,8424,744,9187,7.5
Fafe,10725,8991,897,9828,8.4
Guimarães,12316,9655,1238,11078,10.1
Mondim de Basto,9486,8093,705,8781,7.4
Póvoa de Lanhoso,10436,9046,814,9622,7.8
Vieira do Minho,9954,8277,773,9181,7.8
Vila Nova de Famalicão,12522,10038,1234,11288,9.9
Vizela,11200,9432,900,10300,8
A. M. Porto,14384,10443,1914,12471,13.3
Arouca,10646,8949,897,9749,8.4
Espinho,14086,10161,1823,12262,12.9
Gondomar,12763,10075,1354,11409,10.6
Maia,15898,11892,2209,13690,13.9
Matosinhos,16048,11460,2357,13691,14.7
Oliveira de Azeméis,12347,10059,1229,11118,10
Paredes,10310,8824,851,9459,8.3
Porto,19878,12322,3899,15979,19.6
Póvoa de Varzim,12689,9549,1415,11274,11.2
Santa Maria da Feira,12291,9696,1264,11028,10.3
Santo Tirso,12135,9574,1193,10941,9.8
São João da Madeira,13311,10096,1528,11783,11.5
Trofa,12311,9944,1226,11085,10
Vale de Cambra,12595,10160,1265,11330,10
Valongo,12993,10466,1366,11627,10.5
Vila do Conde,13493,10073,1598,11896,11.8
Vila Nova de Gaia,14403,10634,1866,12537,13
Alto Tâmega,10512,8350,981,9531,9.3
Boticas,9392,7796,684,8708,7.3
Chaves,11855,9290,1267,10587,10.7
Montalegre,9577,7620,838,8738,8.8
Ribeira de Pena,9542,7826,745,8797,7.8
Valpaços,8845,7082,641,8205,7.2
Vila Pouca de Aguiar,9916,8039,830,9087,8.4
Tâmega e Sousa,10103,8657,798,9305,7.9
Amarante,10386,8407,930,9457,9
Baião,9361,7980,672,8690,7.2
Castelo de Paiva,9786,8549,674,9112,6.9
Celorico de Basto,9566,8187,712,8854,7.4
Cinfães,8784,7224,593,8192,6.7
Felgueiras,10407,9111,819,9588,7.9
Lousada,10020,8932,713,9307,7.1
Marco de Canaveses,9764,8158,768,8996,7.9
Paços de Ferreira,10160,8929,758,9402,7.5
Penafiel,10688,8981,933,9755,8.7
Resende,9080,7064,688,8392,7.6
Douro,11562,9073,1166,10396,10.1
Alijó,9534,7775,718,8816,7.5
Armamar,9995,8153,795,9200,8
Carrazeda de Ansiães,10180,8105,811,9369,8
Freixo de Espada à Cinta,10385,8900,793,9592,7.6
Lamego,12013,9197,1306,10707,10.9
Mesão Frio,9533,7753,737,8796,7.7
Moimenta da Beira,10612,8700,931,9681,8.8
Murça,9671,7703,781,8890,8.1
Penedono,9646,//,787,8859,8.2
Peso da Régua,11244,9038,1077,10167,9.6
Sabrosa,10061,8632,719,9343,7.1
Santa Marta de Penaguião,9081,7431,641,8439,7.1
São João da Pesqueira,9693,7843,813,8880,8.4
Sernancelhe,9662,8435,704,8958,7.3
Tabuaço,9591,7678,748,8843,7.8
Tarouca,10235,8855,800,9434,7.8
Torre de Moncorvo,10544,8623,943,9601,8.9
Vila Nova de Foz Côa,10507,8468,996,9511,9.5
Vila Real,14383,10634,1794,12589,12.5
Terras de Trás-os-Montes,12045,9310,1268,10777,10.5
Alfândega da Fé,10329,8129,905,9424,8.8
Bragança,14270,11004,1767,12503,12.4
Macedo de Cavaleiros,10820,8243,1034,9786,9.6
Miranda do Douro,11438,9331,1102,10336,9.6
Mirandela,11997,9310,1228,10769,10.2
Mogadouro,10862,8736,1039,9823,9.6
Vila Flor,10145,7966,849,9296,8.4
Vimioso,10103,8468,856,9247,8.5
Vinhais,9675,7887,704,8971,7.3
Centro,13314,10362,1496,11818,11.2
Oeste,13058,10188,1428,11629,10.9
