,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Portugal,45.7,3.5,8.2,41.1,3.1,6.9
Continente,45.7,3.5,8.2,41.1,3.1,6.9
Norte,44.6,3.3,7.6,40.2,3,6.5
Alto Minho,42.6,3.3,7.3,39,3,6.5
Arcos de Valdevez,42.8,3.4,8,39.5,3.2,7.3
Caminha,45.3,3.6,8.6,41,3.3,7.4
Melgaço,40.5,3.2,7.3,37.2,2.9,6.6
Monção,41,3,7,37.6,2.8,6.4
Paredes de Coura,39.9,3.1,6.3,36.9,3,5.9
Ponte da Barca,41.5,3.2,7.4,38.6,3,6.7
Ponte de Lima,40.8,2.9,6.1,37.4,2.8,5.6
Valença,39.8,3.1,7,36.9,3,6.4
Viana do Castelo,43.1,3.4,7.7,39.2,3.1,6.6
Vila Nova de Cerveira,41,3.1,7.2,37.8,2.9,6.5
Cávado,43.7,3.2,7.3,39.5,2.9,6.3
Amares,40.2,2.9,6.4,36.9,2.8,5.8
Barcelos,39.6,2.8,5.6,36.1,2.6,5.1
Braga,45.4,3.6,8.4,41,3.2,7
Esposende,44.6,3.2,7.4,40.1,3,6.4
Terras de Bouro,40.1,3,6.8,37.1,2.9,6.2
Vila Verde,40,2.9,6.6,37,2.8,6
Ave,41,2.9,6.1,37.3,2.7,5.5
Cabeceiras de Basto,40.5,3,6.9,37.5,2.8,6.3
Fafe,41.3,2.9,6.8,38,2.8,6.2
Guimarães,41.3,2.8,5.8,37.3,2.6,5.1
Mondim de Basto,40,3.1,6.8,37,3,6.2
Póvoa de Lanhoso,39.9,2.8,6.6,37,2.7,6.1
Vieira do Minho,40.5,3.1,6.7,37.5,2.9,6.1
Vila Nova de Famalicão,40.7,2.9,6.1,37.1,2.7,5.4
Vizela,38,2.5,5,34.7,2.4,4.6
A. M. Porto,46.1,3.5,8.2,41.3,3.1,6.9
Arouca,39.3,2.8,5.8,35.9,2.7,5.4
Espinho,44.9,3.3,7.7,40.2,3,6.5
Gondomar,42.3,3.2,7.3,38.5,2.9,6.3
Maia,45.6,3.8,8.5,41.1,3.3,7.1
Matosinhos,46.7,3.7,8.7,41.8,3.2,7.2
Oliveira de Azeméis,40.5,2.9,5.9,36.8,2.7,5.2
Paredes,41.8,3,7.6,38.5,2.9,7
Porto,53.6,4.8,12.8,47.6,4,10.1
Póvoa de Varzim,44.6,3.5,8.1,40.5,3.2,7.1
Santa Maria da Feira,42,3,6.5,38.1,2.8,5.7
Santo Tirso,40.6,2.7,5.7,36.7,2.6,5
São João da Madeira,44.1,3.2,7.4,39.8,3,6.4
Trofa,40.5,2.9,6,36.8,2.7,5.4
Vale de Cambra,40.7,3.1,6.1,37,2.8,5.4
Valongo,42.1,3.3,7.4,38.5,3,6.5
Vila do Conde,44.2,3.3,7.4,39.8,3,6.3
Vila Nova de Gaia,45.4,3.4,8.1,40.9,3.1,6.9
Alto Tâmega,43.2,3.4,8.1,39.8,3.2,7.3
Boticas,41.3,3.2,7.2,38.4,3.1,6.6
Chaves,44.6,3.7,8.7,40.7,3.4,7.7
Montalegre,42.1,3.4,7.7,38.8,3.2,7.1
Ribeira de Pena,40.1,3,6.8,37.1,2.9,6.4
Valpaços,40.9,3.2,7.6,38,3,6.9
Vila Pouca de Aguiar,41.5,3.1,7.3,38.3,2.9,6.6
Tâmega e Sousa,40.5,2.9,6.7,37.2,2.7,6.1
Amarante,42.9,3.2,7.9,39.4,3,7.1
Baião,38.3,2.8,6.2,35.4,2.7,5.8
Castelo de Paiva,37.7,2.8,5.8,34.9,2.6,5.3
Celorico de Basto,39.8,2.9,6.6,36.7,2.8,6.1
Cinfães,40.7,3,7.5,37.8,2.9,7
Felgueiras,39.1,2.7,5.6,35.7,2.6,5.1
Lousada,39,2.8,6.2,36.1,2.6,5.7
Marco de Canaveses,41.8,3.1,8.1,38.6,3,7.4
Paços de Ferreira,39,2.6,5.6,35.8,2.6,5.2
Penafiel,41.5,3,7,38.1,2.8,6.3
Resende,44,3.2,9,40.9,3.1,8.3
Douro,43.8,3.5,7.9,40.1,3.2,6.9
Alijó,40.5,3.2,7,37.5,3,6.4
Armamar,41.5,3.1,6.8,38.3,2.9,6.1
Carrazeda de Ansiães,41.5,3.2,7.4,38.3,3,6.6
Freixo de Espada à Cinta,38.5,3,5.5,35.5,2.9,5
