,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Portugal,7887,10936,16223,27483,547549,1318889,906717,808859,991277,808883
Continente,7898,10955,16249,27517,521787,1259833,863139,775460,948000,774313
Norte,7657,10445,15035,25102,192157,489678,321890,277505,318913,232681
Alto Minho,7120,10164,14131,23195,14094,32385,22349,17751,20241,12583
Arcos de Valdevez,5782,9266,12054,19674,1683,3374,1949,1354,1443,784
Caminha,6792,10220,14566,24379,1080,2198,1530,1223,1458,998
Melgaço,6405,9587,12905,20216,550,1142,738,585,558,294
Monção,7038,9890,13440,21345,1076,2497,1717,1340,1369,774
Paredes de Coura,6576,9723,12958,20702,571,1284,877,631,726,298
Ponte da Barca,6028,9246,11685,19015,890,1990,1047,737,756,411
Ponte de Lima,7215,9869,13207,21173,2246,6157,4115,2991,3297,1675
Valença,6821,9928,13365,21343,959,2019,1467,1107,1240,554
Viana do Castelo,7980,11152,16149,26756,4451,10494,7981,6995,8537,6348
Vila Nova de Cerveira,7332,10325,14322,22849,588,1230,928,788,857,447
Cávado,7980,10649,15456,25542,20190,53850,36964,31730,38137,26846
Amares,7673,10185,14055,22445,951,2552,1776,1406,1599,835
Barcelos,7959,10170,13980,22007,5258,17279,11423,9170,10305,4976
Braga,8370,11602,17656,29862,8986,21416,15823,14633,19058,16803
Esposende,7691,10392,14954,24744,1902,4819,3156,2736,3120,2245
Terras de Bouro,6516,9461,12683,19734,435,1006,575,498,465,210
Vila Verde,7185,9750,13199,21070,2658,6778,4211,3287,3590,1777
Ave,8002,10382,14398,22843,20356,60820,41729,35646,37736,21530
Cabeceiras de Basto,6629,9313,12249,19664,935,2439,1231,1018,1008,518
Fafe,7031,9582,12862,20504,3077,8038,4691,3725,3725,2078
Guimarães,8337,10598,14696,23115,6954,22687,16137,14134,14551,8505
Mondim de Basto,6041,9229,11411,18750,442,1136,528,399,412,194
Póvoa de Lanhoso,7221,9700,13052,20289,1230,3094,1938,1585,1616,694
Vieira do Minho,6404,9310,12350,20021,767,1824,1034,775,829,391
Vila Nova de Famalicão,8425,10978,15428,24668,5887,17764,13502,11836,13357,8164
Vizela,8400,10257,13885,21349,1064,3838,2668,2174,2238,986
A. M. Porto,7980,11010,16200,27551,89888,221401,154636,139334,165089,137570
Arouca,7532,9947,13494,21141,1022,3172,2049,1648,1651,859
Espinho,8061,10914,15728,26925,1504,4091,2895,2586,2777,2429
Gondomar,7939,10812,15505,25389,8503,21216,15378,13267,15800,10571
Maia,8643,12250,19139,32555,5892,14387,10511,10254,13926,13792
Matosinhos,8419,11962,18145,31049,8275,19400,14343,14197,17709,16881
Oliveira de Azeméis,8345,10997,15169,24424,2897,8969,7114,5951,6715,3872
Paredes,6651,9410,12598,20187,5714,13678,7641,6218,6155,3245
Porto,7537,11339,18537,35909,14852,28846,17797,16735,21216,29096
Póvoa de Varzim,7224,10176,14889,24965,3851,9059,5511,4917,5695,4180
Santa Maria da Feira,7959,10640,14851,24142,6671,18626,13514,11591,12597,7826
Santo Tirso,8357,10638,14478,22951,2882,9999,7448,6294,6146,3717
São João da Madeira,7759,10611,14787,25074,1220,3230,2346,1876,2043,1571
Trofa,8283,10844,15327,24202,1793,5235,3810,3525,3891,2182
Vale de Cambra,8276,11180,15623,25263,881,2799,2149,1939,2154,1338
