,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Portugal,5382174,7445658,106920587,78597003,13826175,93094412
Continente,5142532,7113791,102341452,75259197,13395610,88945842
Norte,1832824,2594770,33708503,24037688,3941460,29767044
Alto Minho,119403,169543,2000644,1388303,198558,1802086
Arcos de Valdevez,10587,14940,150901,99526,12847,138053
Caminha,8487,11980,150187,107135,17776,132411
Melgaço,3867,5372,56516,38621,5231,51285
Monção,8773,12412,136941,93977,12470,124471
Paredes de Coura,4387,6368,64622,42141,5003,59619
Ponte da Barca,5831,8192,80835,52397,6029,74806
Ponte de Lima,20481,29544,320140,214567,27202,292938
Valença,7346,10134,110590,74147,8839,101751
Viana do Castelo,44806,63831,850963,611703,96050,754913
Vila Nova de Cerveira,4838,6770,78949,54087,7112,71837
Cávado,207717,296269,3864580,2753458,435348,3429233
Amares,9119,13255,148182,100688,12979,135202
Barcelos,58411,83772,948845,638866,83762,865084
Braga,96719,136809,2051934,1522266,268800,1783134
Esposende,17978,25515,330007,235814,38884,291123
Terras de Bouro,3189,4521,45626,29898,3590,42035
Vila Verde,22301,32397,339987,225926,27333,312655
Ave,217817,310861,3687611,2511161,348495,3339116
Cabeceiras de Basto,7149,10362,102901,67374,7705,95196
Fafe,25334,36104,387227,256064,32390,354837
Guimarães,82968,117847,1451405,994753,145899,1305506
Mondim de Basto,3111,4425,41974,26862,3119,38855
Póvoa de Lanhoso,10157,14593,152289,99948,11875,140414
Vieira do Minho,5620,8090,80528,53214,6253,74275
Vila Nova de Famalicão,70510,101033,1265123,877518,124682,1140441
Vizela,12968,18407,206165,135429,16573,189592
A. M. Porto,907918,1269337,18258429,13414488,2428967,15829462
Arouca,10401,15218,162013,107644,13658,148355
Espinho,16282,22651,319054,232524,41297,277757
Gondomar,84735,119806,1529097,1080561,162176,1366920
Maia,68762,97732,1553780,1173481,215853,1337927
Matosinhos,90805,126251,2026118,1533038,297607,1728511
Oliveira de Azeméis,35518,51088,630759,435871,62788,567971
Paredes,42651,61209,631082,417550,52086,578996
Porto,128542,166552,3310775,2637354,649388,2661387
Póvoa de Varzim,33213,47012,596552,425795,66522,530030
Santa Maria da Feira,70825,101702,1250052,869289,128504,1121548
Santo Tirso,36486,51892,629684,430037,61908,567775
São João da Madeira,12286,16918,225202,159749,25851,199351
Trofa,20436,29169,359104,249080,35771,323333
Vale de Cambra,11260,16287,205130,143129,20604,184526
Valongo,48681,68993,896399,637287,94219,802179
Vila do Conde,41636,59353,800874,576127,94820,706055
Vila Nova de Gaia,155399,217504,3132755,2305971,405915,2726840
Alto Tâmega,39993,57885,608480,413278,56785,551695
Boticas,2335,3363,31585,20186,2301,29284
Chaves,18126,26052,308837,218258,33015,275821
Montalegre,4454,6367,60976,40176,5339,55637
Ribeira de Pena,2777,4018,38341,25000,2995,35346
Valpaços,6712,9894,87516,55669,6341,81176
Vila Pouca de Aguiar,5589,8191,81226,53989,6795,74431
Tâmega e Sousa,200874,289834,2928156,1913495,231215,2696942
Amarante,25501,36899,383249,256986,34309,348940
Baião,7862,11637,108938,70325,7816,101122
Castelo de Paiva,7696,11180,109404,70050,7534,101870
Celorico de Basto,7898,11232,107440,68686,7996,99444
Cinfães,7969,11656,102390,64669,6908,95482
Felgueiras,29066,41435,431217,278571,33918,397298
Lousada,24258,34947,350159,225566,24906,325254
Marco de Canaveses,23548,33997,331949,219016,26096,305853
Paços de Ferreira,28177,40432,410809,263830,30664,380145
Penafiel,34462,49943,533798,358473,46610,487188
Resende,4437,6476,58803,37322,4457,54346
Douro,87196,126111,1458100,1008929,147076,1311024
Alijó,5167,7467,71191,45610,5358,65832
Armamar,2447,3560,35583,23301,2830,32752
Carrazeda de Ansiães,2473,3562,36263,23903,2890,33373
Freixo de Espada à Cinta,1601,2288,23762,15504,1814,21948
Lamego,11636,16841,202308,142339,21993,180315
Mesão Frio,1750,2529,24109,15305,1865,22244
Moimenta da Beira,4031,5973,63387,42993,5562,57825
Murça,2502,3697,35753,23428,2886,32867
Penedono,1290,1826,17613,11639,1437,16177
Peso da Régua,7078,10142,114036,77617,10927,103109
Sabrosa,2724,3933,39570,25396,2826,36744
Santa Marta de Penaguião,3187,4651,42234,26446,2983,39251
São João da Pesqueira,3148,4573,44326,28940,3716,40610
Sernancelhe,2255,3302,31904,20521,2324,29580
Tabuaço,2059,3051,29261,18743,2282,26979
Tarouca,3065,4469,45738,30296,3576,42163
Torre de Moncorvo,3367,4814,50761,34050,4540,46221
Vila Nova de Foz Côa,3030,4349,45695,31132,4333,41363
Vila Real,24386,35084,504605,371767,62933,441671
Terras de Trás-os-Montes,51906,74930,902503,634576,95015,807488
Alfândega da Fé,2106,3065,31658,20833,2773,28885
Bragança,17125,24289,346614,254684,42920,303694
Macedo de Cavaleiros,6686,9716,105126,72347,10046,95080
Miranda do Douro,3233,4768,54535,37609,5253,49282
Mirandela,10175,14753,176990,124339,18111,158879
Mogadouro,4057,5900,64085,43812,6128,57957
Vila Flor,2706,4013,40712,27199,3406,37306
Vimioso,2026,2942,29723,19748,2519,27204
Vinhais,3792,5484,53059,34004,3860,49199
Centro,1138085,1611145,21451165,15338362,2410646,19040519
Oeste,190268,265184,3462648,2470454,378758,3083890
Alcobaça,28754,40034,496335,344545,47847,448489
Alenquer,22823,32128,429436,307591,46070,383367
Arruda dos Vinhos,7189,10244,163494,123334,21956,141538
Bombarral,6443,8998,108633,76463,11021,97612
Cadaval,6602,9373,112049,78108,11009,101041
Caldas da Rainha,27362,37234,497578,358276,56931,440647
Lourinhã,13664,19128,238953,169637,25560,213393
Nazaré,8040,11223,133293,92014,13070,120223
Óbidos,6128,8624,110564,79194,11922,98642
Peniche,13885,19505,241896,169868,24478,217417
Sobral de Monte Agraço,5332,7505,102458,74040,11697,90761
Torres Vedras,44046,61188,827958,597384,97197,730761
Região de Aveiro,191130,270048,3695792,2667557,425916,3269876
Águeda,24577,34919,447106,312430,44989,402117
Albergaria-a-Velha,12804,18386,231295,162057,22187,209108
Anadia,14499,20536,260734,182572,28479,232255
Aveiro,43035,59548,976440,741949,140069,836371
Estarreja,13581,19369,244578,172595,23859,220719
Ílhavo,20449,28612,412990,304192,51076,361913
Murtosa,4737,6831,80008,56734,7909,72099
Oliveira do Bairro,11582,16587,205797,143303,19099,186698
Ovar,28999,40993,550772,395254,60972,489800
Sever do Vouga,5717,8255,96400,65393,8448,87953
Vagos,11150,16012,189673,131078,18828,170844
Região de Coimbra,224158,318251,4594027,3364419,583391,4010635
Arganil,5388,7722,82458,53906,6157,76302
Cantanhede,17096,24705,296790,206277,29602,267187
Coimbra,74748,103635,1900886,1476179,310749,1590137
Condeixa-a-Nova,8234,11967,174542,127817,20112,154429
Figueira da Foz,30819,43618,637248,471835,79152,558096
Góis,1936,2733,29120,18898,2187,26934
Lousã,8427,12034,154086,108862,15509,138577
Mealhada,10063,14433,189534,134390,19271,170262
Mira,5974,8510,103960,73198,11091,92869
Miranda do Corvo,5901,8523,99451,67502,8869,90582
Montemor-o-Velho,12197,17987,228821,160656,22211,206610
Mortágua,4596,6591,75111,51119,6484,68627
Oliveira do Hospital,9501,13752,147609,95720,11310,136299
Pampilhosa da Serra,1774,2503,26511,16994,1953,24558
Penacova,6771,9923,104266,68280,7766,96500
Penela,2732,3863,45040,30430,4710,40330
Soure,8821,12830,158985,110647,14713,144271
Tábua,5596,7918,83717,54250,6937,76780
Vila Nova de Poiares,3584,5004,55892,37459,4608,51285
Região de Leiria,148626,210121,2821530,2019027,308647,2512884
Alvaiázere,3030,4234,45470,29697,3675,41795
Ansião,5763,8206,92017,61286,7674,84343
Batalha,8058,11563,150408,106077,14939,135469
Castanheira de Pêra,1432,2002,20813,13104,1534,19279
Figueiró dos Vinhos,2715,3784,41617,27474,3592,38024
Leiria,67177,94911,1384250,1016356,169705,1214545
Marinha Grande,21550,29957,415791,300016,45731,370061
Pedrógão Grande,1784,2479,26277,17207,2099,24178
Pombal,25188,36191,434883,302055,39856,395027
Porto de Mós,11929,16794,210004,145756,19842,190162
Viseu Dão Lafões,119788,173973,2197553,1551069,234416,1963137
