,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Portugal,582039877,492451946,88020001,52798186,75420214,59325934,128945143,44689842,23614897,15961632,148735140,80991773
Continente,559690124,472917103,86439683,51392326,72957905,57196101,121761770,42833542,22131839,15421978,142667144,77452975
Norte,169101875,136016166,21336451,13750069,24591060,17730106,29542860,10265833,5207773,2820491,44925910,26698940
Alto Minho,16025497,13302865,2519507,1965906,2919164,2054074,3108974,1283794,370819,463716,3481834,2882986
Arcos de Valdevez,2044678,1754304,406639,251608,191359,85529,629820,354089,32590,117719,444033,207575
Caminha,846454,846454,133258,133258,312108,188291,131989,112336,0,0,75270,75270
Melgaço,1163623,1163623,306829,293914,205942,129431,148720,67281,29996,0,226945,226945
Monção,1841702,1381570,194554,38647,247437,112683,343328,93316,25943,0,393349,323146
Paredes de Coura,923870,818028,109110,54193,201974,111152,195510,16143,0,86637,204679,184581
Ponte da Barca,623116,623116,62521,28747,93591,55692,259818,202023,0,0,160650,160650
Ponte de Lima,1737809,1719899,341197,326872,304948,166318,540997,121644,34281,259360,485983,485983
Valença,1034992,998902,200222,200222,317759,225729,196500,176500,0,0,216950,160350
Viana do Castelo,3047680,2642334,568050,441318,786471,786471,460977,0,212077,0,741160,741160
Vila Nova de Cerveira,2761573,1354635,197127,197127,257575,192778,201315,140462,35932,0,532815,317326
Cávado,14657857,14077260,1090296,875491,1834012,1426984,3998718,931732,409549,0,3755695,2203135
Amares,324341,253831,0,0,169121,169121,4200,0,4200,0,0,0
Barcelos,4488721,4488721,642891,614566,554280,389400,1211302,644578,11993,0,924425,389759
Braga,5807227,5807227,81108,81108,452095,396832,1597692,60482,393356,0,2378271,1360377
Esposende,2447272,1939138,280215,93735,295625,214585,551687,226672,0,0,252371,252371
Terras de Bouro,164841,164841,59303,59303,29358,29358,30000,0,0,0,25000,25000
Vila Verde,1425455,1423502,26779,26779,333533,227688,603837,0,0,0,175628,175628
Ave,19781568,18367962,2857094,1004305,3107589,1833534,4036185,1394321,1000551,238227,6428745,6331908
Cabeceiras de Basto,246572,229372,99538,99538,52984,36594,75000,0,0,0,0,0
Fafe,2309148,1747831,61351,2860,308365,181952,1114929,218181,634070,54740,142500,142500
Guimarães,8492683,8427502,672648,21997,1414058,864844,563729,419711,0,0,5563558,5563558
Mondim de Basto,576646,465369,21350,0,44565,26365,104771,34885,4651,0,145682,89582
Póvoa de Lanhoso,1785354,1321397,84375,17328,195758,31326,401605,102093,93265,73811,40737,0
Vieira do Minho,415080,415080,34225,34225,90003,90003,17531,17531,0,0,44628,44628
Vila Nova de Famalicão,5408701,5214027,1883607,828357,996027,596621,1470063,601920,0,109676,250199,250199
Vizela,547384,547384,0,0,5829,5829,288557,0,268565,0,241441,241441
A. M. Porto,67177177,54042788,9453994,6250082,10902955,8262707,9076618,3108377,1904225,1265861,20542859,8849050
Arouca,1567357,1548450,410082,70768,221101,176360,335529,156173,34188,0,433045,200498
Espinho,963914,901788,337172,337172,287173,287173,104098,75000,0,0,35812,35812
Gondomar,1772949,1772949,0,0,91182,91182,335213,185230,0,19251,1336812,644403
Maia,3727533,3328417,186539,186539,488271,471731,1015636,328255,486273,0,1207506,127681
Matosinhos,7492814,6651491,584710,381336,964032,679021,2478166,1242134,595052,0,1908441,1162173
Oliveira de Azeméis,2847590,1118621,100425,21829,448484,270244,468492,208412,0,0,0,0
Paredes,1279295,866789,20857,124,146055,106624,340856,215469,48615,0,0,0
Porto,23359932,19260508,3960069,3051860,3594259,2531237,937865,189293,61109,0,9819209,4238210
Póvoa de Varzim,3251919,3251919,378209,335630,762284,453608,1136864,127909,0,603125,749835,227276
Santa Maria da Feira,2831727,1687234,419969,419969,776443,685791,89727,0,0,0,401095,401095
Santo Tirso,1317648,1317648,273100,270600,123115,99883,148442,42827,100415,0,534197,103692
São João da Madeira,1080437,1080437,184388,184388,249035,249035,402597,0,0,402597,0,0
Trofa,1856651,1694190,85990,7560,4248,2260,51515,44371,2770,0,1537305,92043
Vale de Cambra,1582046,934068,97041,97041,363671,262061,215940,52516,0,143717,255571,49439
Valongo,4481996,1337679,22779,15103,296208,170494,18937,53,0,0,993169,245130
Vila do Conde,3516350,3471539,915581,581723,830989,469598,561694,0,528687,33007,838900,838900
Vila Nova de Gaia,4247019,3819061,1477083,288440,1256405,1256405,435047,240735,47116,64164,491962,482698
Alto Tâmega,6988831,6201578,1557881,1266484,887724,754855,1474993,693261,433717,33184,1606942,901842
Boticas,422800,375100,89400,56300,84000,84000,69300,32000,0,29500,56700,37000
Chaves,2830955,2412958,658028,535466,248055,170663,693207,415092,123687,58,577829,323525
Montalegre,1344299,1344299,310198,310198,150867,149157,580355,195776,283293,0,255308,255308
Ribeira de Pena,578314,566103,195960,195960,158640,116087,38416,26500,0,3626,119709,86255
Valpaços,1061263,1040299,126781,126781,154716,154716,19063,8165,0,0,502140,133194
Vila Pouca de Aguiar,751200,462819,177514,41779,91446,80232,74652,15728,26737,0,95256,66560
Tâmega e Sousa,19576366,10966883,1564417,1154830,2196496,1519353,1892387,1015774,206168,161912,3864884,2612233
