,"Art facilities, Total, No., 2021","Art facilities, Rooms, No., 2021","Art facilities, Capacity, No., 2021","Art facilities, Seats, No., 2021","Live shows, Performances, No., 2022","Live shows, Spectators, No., 2022","Live shows, Tickets sold, No., 2022","Live shows, Revenues, Euros, 2022"
Portugal,404,600,278782,208491,41388,14878403,6638311,147301506
Continente,378,558,260350,196331,39257,14396536,6506991,145606979
Norte,96,161,84033,55523,11734,5085323,2240778,36530903
Alto Minho,9,12,6070,4537,793,259520,70424,2776526
Arcos de Valdevez,1,1,234,232,54,…,…,…
Caminha,1,1,132,132,29,…,…,…
Melgaço,1,2,215,215,0,0,0,0
Monção,1,1,300,300,61,11952,2343,10298
Paredes de Coura,1,2,649,504,48,…,…,…
Ponte da Barca,0,0,0,0,1,…,…,…
Ponte de Lima,1,1,305,305,208,52105,5075,31625
Valença,0,0,0,0,44,41672,0,0
Viana do Castelo,3,4,4235,2849,295,66110,27505,838079
Vila Nova de Cerveira,0,0,0,0,53,30366,168,840
Cávado,6,12,12902,5370,1099,299076,121978,3033868
Amares,0,0,0,0,20,…,…,…
Barcelos,2,4,461,461,172,22884,10693,58852
Braga,2,6,12065,4533,769,191224,105691,2933907
Esposende,1,1,226,226,134,78857,4661,35072
Terras de Bouro,1,1,150,150,0,0,0,0
Vila Verde,0,0,0,0,4,…,…,…
Ave,8,12,12911,5927,789,581259,46372,788899
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,2,3,3938,1674,94,281961,1859,28122
Guimarães,2,3,7901,3181,318,87059,41280,747739
Mondim de Basto,1,1,100,100,46,…,…,…
Póvoa de Lanhoso,1,1,50,50,40,16620,148,962
Vieira do Minho,1,1,254,254,11,…,…,…
Vila Nova de Famalicão,1,3,668,668,267,189540,839,3269
Vizela,0,0,0,0,13,2000,0,0
A. M. Porto,40,74,34632,26407,7559,3137045,1962879,29664613
Arouca,1,1,204,204,175,67174,12872,51613
Espinho,2,2,272,272,112,67336,10571,97077
Gondomar,2,3,10145,5725,80,14238,6818,50207
Maia,0,0,0,0,129,54103,26233,401564
Matosinhos,2,3,467,454,467,350372,190480,1949665
Oliveira de Azeméis,1,1,300,280,60,7712,5126,40289
Paredes,2,2,427,423,52,14164,640,3433
Porto,16,37,15184,12049,4919,1354476,1031441,18648027
Póvoa de Varzim,2,5,1032,1032,163,141474,12839,126662
Santa Maria da Feira,2,4,2054,2054,350,561031,459338,2915612
Santo Tirso,1,1,174,130,124,110451,49040,60790
São João da Madeira,1,2,1142,655,331,97828,11419,89087
Trofa,0,0,0,0,4,…,…,…
Vale de Cambra,1,2,302,302,29,…,…,…
Valongo,1,1,302,302,150,88041,1805,10627
Vila do Conde,2,6,1305,1203,115,22401,8307,79344
Vila Nova de Gaia,4,4,1322,1322,299,181057,135690,5139486
Alto Tâmega,4,9,5208,3204,229,203660,3346,63556
Boticas,1,1,130,130,35,35150,0,0
Chaves,1,6,4633,2631,161,155785,2380,32066
Montalegre,0,0,0,0,4,…,…,…
Ribeira de Pena,1,1,195,193,0,0,0,0
Valpaços,1,1,250,250,5,…,…,…
Vila Pouca de Aguiar,0,0,0,0,24,10700,0,0
Tâmega e Sousa,3,5,943,651,494,374175,4318,28972
Amarante,1,2,176,176,69,9785,432,2056
Baião,0,0,0,0,31,5007,0,0
Castelo de Paiva,0,0,0,0,7,6515,385,1925
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,48,…,…,…
Felgueiras,1,2,567,275,126,236378,723,4745
Lousada,1,1,200,200,19,…,…,…
Marco de Canaveses,0,0,0,0,105,80299,90,510
Paços de Ferreira,0,0,0,0,16,1169,769,2409
Penafiel,0,0,0,0,33,2094,1180,14490
Resende,0,0,0,0,40,19810,0,0
Douro,17,26,8675,6790,520,179771,17608,91571
Alijó,2,2,498,348,16,…,…,…
Armamar,0,0,0,0,35,8525,0,0
Carrazeda de Ansiães,1,1,196,192,43,…,…,…
Freixo de Espada à Cinta,1,1,176,176,0,0,0,0
Lamego,2,4,3230,1708,68,11979,6895,24754
Mesão Frio,1,1,103,103,1,103,0,0
Moimenta da Beira,0,0,0,0,7,…,…,…
Murça,1,1,193,192,0,0,0,0
Penedono,1,3,850,650,2,…,…,…
Peso da Régua,0,0,0,0,8,1054,739,7105
Sabrosa,1,3,645,645,2,…,…,…
Santa Marta de Penaguião,1,1,212,206,0,0,0,0
São João da Pesqueira,1,1,400,400,7,10000,0,0
Sernancelhe,1,1,137,137,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,1,1,196,194,1,65,0,0
Torre de Moncorvo,2,2,400,400,26,4900,0,0
Vila Nova de Foz Côa,0,0,0,0,1,…,…,…
Vila Real,1,4,1439,1439,303,102776,9554,56692
Terras de Trás-os-Montes,9,11,2692,2637,251,50817,13853,82898
Alfândega da Fé,1,1,213,213,1,90,0,0
Bragança,2,4,650,620,148,24885,11511,71841
Macedo de Cavaleiros,1,1,302,302,2,…,…,…
Miranda do Douro,1,1,60,35,19,1809,0,0
Mirandela,0,0,0,0,35,7613,1407,7035
Mogadouro,2,2,998,998,1,…,…,…
Vila Flor,1,1,300,300,8,2150,0,0
