,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Continente,1.3,1.4,1.2,1.1,1.6,1.4,1.4,1.3,1.2,1.6
Norte,1.3,1.3,1.2,1.1,1.5,1.3,1.3,1.2,1.1,1.6
Alto Minho,1.1,1.2,1.1,0.9,1.3,1.2,1.2,1.1,1,1.4
Arcos de Valdevez,0.9,1.2,0.9,0.8,0.9,0.9,1.2,0.9,0.8,0.9
Caminha,1.1,1.3,1.1,1,1.2,1.1,1.3,1.1,1,1.2
Melgaço,1.1,1.5,1.1,1,1,1.1,1.5,1.1,1,1
Monção,1.1,1.1,1.1,0.9,1.1,1.1,1.1,1.2,1,1.1
Paredes de Coura,1.3,1.2,1.6,1,1.5,1.6,1.5,2.3,1.4,1.8
Ponte da Barca,1.1,1,1,0.9,1.4,1.1,1,1,0.9,1.4
Ponte de Lima,1.1,1.1,1.1,0.9,1.5,1.2,1.1,1.2,0.9,1.8
Valença,1.2,1.4,1,1,1.1,1.2,1.5,1,1.1,1.2
Viana do Castelo,1.1,1.2,1.1,1,1.4,1.2,1.2,1.1,1,1.5
Vila Nova de Cerveira,1,1,1.2,1,1,1.1,1,1.2,1,1
Cávado,1.2,1.2,1.1,1.1,1.5,1.3,1.3,1.2,1.1,1.6
Amares,1,1.2,1.1,0.9,0.9,1,1.2,1.1,0.9,0.9
Barcelos,1.3,1.1,1.2,1.2,1.8,1.3,1.1,1.2,1.3,1.9
Braga,1.3,1.3,1.2,1.1,1.5,1.4,1.4,1.2,1.2,1.6
Esposende,1.1,1,1,1,1.4,1.1,1,1,1,1.4
Terras de Bouro,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7
Vila Verde,1.1,1.3,0.9,0.9,1.2,1.1,1.4,1,0.9,1.2
Ave,1.2,1.2,1.1,1,1.4,1.2,1.2,1.2,1,1.4
Cabeceiras de Basto,1.1,1,0.9,1,2,1.1,1,0.9,1,2
Fafe,1.2,1.3,1.2,0.9,1.4,1.2,1.4,1.2,1,1.5
Guimarães,1.2,1.3,1.1,1,1.5,1.2,1.3,1.1,1,1.5
Mondim de Basto,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.8
Póvoa de Lanhoso,0.9,0.9,0.9,0.9,1.1,0.9,0.9,0.9,0.9,1.1
Vieira do Minho,1.4,1.1,1.7,1.3,1.8,1.6,1.2,2.2,1.6,2.4
Vila Nova de Famalicão,1.3,1.3,1.3,1.1,1.4,1.3,1.3,1.4,1.1,1.4
Vizela,1,0.9,1,1,1.2,1,0.9,1,1,1.2
A. M. Porto,1.4,1.4,1.3,1.2,1.6,1.4,1.4,1.3,1.2,1.7
Arouca,1.4,1.4,1.4,1.2,2,1.4,1.5,1.4,1.2,2
Espinho,1.4,1.5,1.4,1.2,1.4,1.4,1.5,1.4,1.2,1.5
Gondomar,1.3,1.3,1.3,1.2,1.7,1.4,1.3,1.3,1.2,1.7
Maia,1.4,1.3,1.4,1.3,1.7,1.4,1.3,1.4,1.3,1.7
Matosinhos,1.3,1.3,1.3,1.2,1.5,1.4,1.4,1.3,1.3,1.6
Oliveira de Azeméis,1,1.1,0.8,0.8,1.2,1.1,1.2,0.9,0.9,1.4
Paredes,1.3,1.3,1.2,1.2,1.6,1.3,1.4,1.2,1.3,1.7
Porto,1.8,2,1.6,1.6,2,1.9,2.1,1.7,1.6,2.2
Póvoa de Varzim,1.2,1.4,1.1,1,1.4,1.2,1.4,1.1,1,1.6
Santa Maria da Feira,1,1,1,1,1.3,1,1,1,1,1.3
Santo Tirso,1.1,1.3,1.2,0.9,1.1,1.1,1.3,1.2,1,1.1
São João da Madeira,1.2,1.2,1.2,1,1.4,1.2,1.3,1.2,1,1.4
Trofa,1.3,1.4,1.2,1,1.6,1.3,1.4,1.2,1,1.6
Vale de Cambra,1.7,3.5,1.3,1.3,1.5,1.8,3.5,1.5,1.4,1.5
Valongo,1.2,1.2,1.1,1.1,1.4,1.2,1.3,1.2,1.1,1.4
Vila do Conde,1.3,1.3,1.2,1.1,1.9,1.3,1.4,1.2,1.1,2
Vila Nova de Gaia,1.4,1.4,1.3,1.2,1.8,1.4,1.4,1.3,1.2,1.8
Alto Tâmega,1.1,1.3,1,0.9,1.2,1.1,1.3,1,1,1.3
Boticas,0.9,1.7,0.7,0.7,//,0.9,1.7,0.7,0.7,//
Chaves,1.3,1.5,1.1,1.1,1.4,1.3,1.5,1.1,1.1,1.5
Montalegre,0.8,0.9,0.8,0.9,0.7,0.8,0.9,0.8,0.9,0.7
Ribeira de Pena,1,1.3,0.8,1,0.9,1.2,1.5,1,1.1,1
Valpaços,0.9,1,0.8,0.8,0.9,0.9,1.1,0.9,0.8,1
Vila Pouca de Aguiar,1.1,1.1,1.2,1,1.4,1.1,1.1,1.2,1,1.4
Tâmega e Sousa,1.2,1.3,1.1,1,1.5,1.3,1.3,1.1,1.1,1.5
Amarante,1.6,1.4,1.3,1.2,2.6,1.6,1.4,1.4,1.2,2.6
Baião,1.2,1.2,1.1,1,1.5,1.2,1.2,1.1,1,1.5
Castelo de Paiva,1.1,1.2,1,0.9,1.2,1.1,1.2,1,0.9,1.3
Celorico de Basto,1.5,1.8,1.4,1.4,1.5,1.7,1.8,1.4,1.5,2.1
Cinfães,0.9,1.2,0.7,0.7,1,0.9,1.3,0.7,0.7,1
Felgueiras,1.2,1.3,1,1.1,1.4,1.3,1.4,1.1,1.1,1.4
Lousada,1.2,1.1,1.2,1,1.4,1.2,1.3,1.2,1,1.4
Marco de Canaveses,1.2,1.3,1.1,1.1,1.3,1.2,1.3,1.1,1.1,1.3
Paços de Ferreira,1.5,1.7,1.4,1.2,2,1.5,1.7,1.4,1.2,2
Penafiel,1.1,1.1,0.9,0.9,1.3,1.1,1.1,1,1,1.4
Resende,1.1,0.9,0.9,1.2,1.3,1.1,0.9,0.9,1.2,1.3
Douro,1.1,1.2,1,1,1.2,1.2,1.3,1.1,1.1,1.3
Alijó,1.1,1.2,1,1,1.1,1.1,1.2,1,1,1.1
Armamar,1,1,1,0.9,1.3,1,1,1,0.9,1.3
Carrazeda de Ansiães,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7
Freixo de Espada à Cinta,0.8,1,0.7,0.7,//,0.8,1.1,0.7,0.7,//
Lamego,1.3,1.1,1.1,1.2,1.8,1.3,1.1,1.1,1.2,1.9
Mesão Frio,0.8,1.1,0.7,0.7,0.8,0.8,1.1,0.7,0.7,0.8
Moimenta da Beira,1,1.2,0.9,0.8,1.1,1,1.2,0.9,0.8,1.1
Murça,1.1,1.2,0.8,1,1.3,1.1,1.2,0.8,1,1.4
Penedono,0.9,1.1,0.8,0.8,//,0.9,1.1,0.8,0.8,//
Peso da Régua,1,1.1,1.1,1,0.9,1.1,1.1,1.1,1.1,1.1
Sabrosa,1.2,1.3,1.1,1,1.3,2.1,1.6,2.2,2,3.2
Santa Marta de Penaguião,0.9,1.3,0.8,0.7,//,0.9,1.3,0.8,0.7,//
São João da Pesqueira,1.1,1.3,1.4,1,0.9,1.1,1.6,1.4,1,0.9
Sernancelhe,1.3,1.4,1.1,1.1,1.5,1.3,1.4,1.1,1.1,1.5
Tabuaço,0.8,0.8,0.8,0.8,0.9,1.7,1.6,1.7,1.7,2.1
Tarouca,1,1.3,0.9,0.9,1,1,1.3,0.9,0.9,1
Torre de Moncorvo,1.2,1.7,1.1,0.8,1.4,1.2,1.7,1.1,0.8,1.4
Vila Nova de Foz Côa,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.8
Vila Real,1.5,1.6,1.2,1.4,1.5,1.5,1.6,1.2,1.4,1.5
Terras de Trás-os-Montes,1.1,1.1,1,0.9,1.2,1.1,1.2,1,0.9,1.3
Alfândega da Fé,1.1,1.8,0.8,0.9,1,1.1,1.8,0.8,0.9,1
Bragança,1.2,1.2,1,1.1,1.6,1.3,1.2,1.1,1.1,1.6
Macedo de Cavaleiros,0.9,0.9,1.1,0.8,0.9,0.9,0.9,1.2,0.8,0.9
Miranda do Douro,0.6,0.8,0.6,0.5,0.5,0.6,0.8,0.6,0.5,0.5
Mirandela,1.4,1.2,1.5,1.3,1.7,1.4,1.2,1.5,1.3,1.7
Mogadouro,1,1.2,0.9,0.9,1,1.2,1.4,1.1,1.1,1.3
Vila Flor,0.8,1.3,0.7,0.7,0.7,0.8,1.4,0.7,0.7,0.7
Vimioso,0.6,1.1,0.4,0.4,//,0.6,1.1,0.4,0.4,//
Vinhais,0.9,1,0.7,0.8,0.9,0.9,1,0.7,0.8,0.9
Centro,1.2,1.3,1.2,1.1,1.4,1.3,1.3,1.2,1.1,1.5
Oeste,1.4,1.3,1.3,1.2,1.9,1.4,1.3,1.4,1.3,1.9
Alcobaça,1.3,1.4,1.2,1.2,1.3,1.3,1.4,1.2,1.2,1.4
Alenquer,1.4,1.4,1.2,1.1,2.4,1.4,1.4,1.3,1.2,2.4
Arruda dos Vinhos,1.5,1,1.7,2,1.9,1.6,1,1.9,2.2,2.1
Bombarral,1.3,1.4,1.2,1.2,1.5,1.4,1.4,1.3,1.3,1.5
Cadaval,0.9,1,0.7,1,0.8,1,1,0.8,1.2,1
Caldas da Rainha,1.5,1.4,1.5,1.3,1.9,1.5,1.4,1.5,1.3,1.9
Lourinhã,1.2,1.5,1.2,1,1.1,1.3,1.5,1.4,1.1,1.1
Nazaré,1.6,1.4,1.3,1.4,2.8,1.6,1.5,1.3,1.4,2.8
Óbidos,1.3,1.3,1.3,1.2,1.7,1.4,1.3,1.4,1.2,1.7
Peniche,1.2,1.2,1.1,0.9,2.2,1.2,1.2,1.1,0.9,2.2
Sobral de Monte Agraço,1.1,1.1,1.2,1,1.3,1.1,1.1,1.2,1,1.3
Torres Vedras,1.7,1.3,1.8,1.5,2.5,1.7,1.3,1.8,1.5,2.5
