,"Public upper secondary education, Total (N.º)","Public upper secondary education, of which, Regular education, Total (N.º)","Public upper secondary education, of which, Regular education, General courses/ scientific-humanistic (N.º)","Public upper secondary education, of which, Regular education, Technological courses (N.º)","Public upper secondary education, of which, Artistic education, Technological courses (N.º)","Public upper secondary education, of which, Vocational courses, Technological courses (N.º)","Public upper secondary education, of which, Apprenticeship courses, Technological courses (N.º)","Public upper secondary education, of which, Education and training courses, Technological courses (N.º)"
Portugal,262733,185860,185860,0,2710,66894,6981,288
Continente,248857,175845,175845,0,2704,64394,5907,7
Norte,84900,60345,60345,0,1037,22372,1141,5
Alto Minho,6143,4266,4266,0,0,1773,104,0
Arcos de Valdevez,486,337,337,0,0,149,0,0
Caminha,313,282,282,0,0,31,0,0
Melgaço,173,106,106,0,0,67,0,0
Monção,336,280,280,0,0,56,0,0
Paredes de Coura,100,100,100,0,0,0,0,0
Ponte da Barca,264,223,223,0,0,41,0,0
Ponte de Lima,1331,794,794,0,0,537,0,0
Valença,228,166,166,0,0,62,0,0
Viana do Castelo,2758,1824,1824,0,0,830,104,0
Vila Nova de Cerveira,154,154,154,0,0,0,0,0
Cávado,10447,8056,8056,0,65,2326,0,0
Amares,406,332,332,0,0,74,0,0
Barcelos,2827,1989,1989,0,13,825,0,0
Braga,5424,4319,4319,0,52,1053,0,0
Esposende,795,662,662,0,0,133,0,0
Terras de Bouro,83,83,83,0,0,0,0,0
Vila Verde,912,671,671,0,0,241,0,0
Ave,10370,7647,7647,0,0,2723,0,0
Cabeceiras de Basto,303,252,252,0,0,51,0,0
Fafe,1207,1025,1025,0,0,182,0,0
Guimarães,4051,3018,3018,0,0,1033,0,0
Mondim de Basto,167,109,109,0,0,58,0,0
Póvoa de Lanhoso,490,331,331,0,0,159,0,0
Vieira do Minho,216,179,179,0,0,37,0,0
Vila Nova de Famalicão,3249,2235,2235,0,0,1014,0,0
Vizela,687,498,498,0,0,189,0,0
A. M. Porto,38045,26897,26897,0,938,9468,737,5
Arouca,585,394,394,0,0,191,0,0
Espinho,1410,1026,1026,0,0,384,0,0
Gondomar,2931,2128,2128,0,0,752,51,0
Maia,2952,2380,2380,0,0,572,0,0
Matosinhos,3427,2620,2620,0,2,805,0,0
Oliveira de Azeméis,1689,920,920,0,0,769,0,0
Paredes,1847,1472,1472,0,0,375,0,0
Porto,6178,3744,3744,0,936,1085,408,5
Póvoa de Varzim,2235,1727,1727,0,0,508,0,0
Santa Maria da Feira,1808,1242,1242,0,0,524,42,0
Santo Tirso,1869,1177,1177,0,0,692,0,0
São João da Madeira,1326,926,926,0,0,400,0,0
Trofa,636,487,487,0,0,149,0,0
Vale de Cambra,540,382,382,0,0,158,0,0
Valongo,2031,1434,1434,0,0,597,0,0
Vila do Conde,1755,1149,1149,0,0,606,0,0
Vila Nova de Gaia,4826,3689,3689,0,0,901,236,0
Alto Tâmega,1892,1349,1349,0,0,526,17,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1076,770,770,0,0,289,17,0
Montalegre,188,139,139,0,0,49,0,0
Ribeira de Pena,148,109,109,0,0,39,0,0
Valpaços,217,160,160,0,0,57,0,0
Vila Pouca de Aguiar,263,171,171,0,0,92,0,0
Tâmega e Sousa,10897,7033,7033,0,34,3830,0,0
Amarante,835,500,500,0,0,335,0,0
Baião,413,213,213,0,0,200,0,0
Castelo de Paiva,463,310,310,0,29,124,0,0
Celorico de Basto,434,235,235,0,0,199,0,0
Cinfães,448,214,214,0,0,234,0,0
Felgueiras,1622,1017,1017,0,0,605,0,0
Lousada,1252,808,808,0,5,439,0,0
Marco de Canaveses,1656,1042,1042,0,0,614,0,0
Paços de Ferreira,1523,1096,1096,0,0,427,0,0
Penafiel,1960,1415,1415,0,0,545,0,0
Resende,291,183,183,0,0,108,0,0
Douro,4785,3490,3490,0,0,1107,188,0
Alijó,212,144,144,0,0,68,0,0
Armamar,94,94,94,0,0,0,0,0
Carrazeda de Ansiães,125,90,90,0,0,35,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,794,577,577,0,0,217,0,0
Mesão Frio,147,87,87,0,0,60,0,0
Moimenta da Beira,297,207,207,0,0,90,0,0
Murça,120,87,87,0,0,33,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,579,334,334,0,0,245,0,0
Sabrosa,148,105,105,0,0,43,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,113,113,113,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,79,58,58,0,0,21,0,0
Tarouca,201,153,153,0,0,48,0,0
Torre de Moncorvo,121,77,77,0,0,44,0,0
Vila Nova de Foz Côa,75,75,75,0,0,0,0,0
Vila Real,1680,1289,1289,0,0,203,188,0
Terras de Trás-os-Montes,2321,1607,1607,0,0,619,95,0
Alfândega da Fé,77,63,63,0,0,14,0,0
Bragança,902,671,671,0,0,136,95,0
Macedo de Cavaleiros,308,227,227,0,0,81,0,0
Miranda do Douro,99,82,82,0,0,17,0,0
Mirandela,593,309,309,0,0,284,0,0
Mogadouro,151,96,96,0,0,55,0,0
Vila Flor,95,63,63,0,0,32,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,96,96,96,0,0,0,0,0
Centro,54705,38904,38904,0,122,14643,1036,0
Oeste,8239,5840,5840,0,0,2399,0,0
Alcobaça,1106,677,677,0,0,429,0,0
Alenquer,962,751,751,0,0,211,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,356,237,237,0,0,119,0,0
Cadaval,170,142,142,0,0,28,0,0
Caldas da Rainha,1751,1222,1222,0,0,529,0,0
Lourinhã,558,411,411,0,0,147,0,0
Nazaré,161,161,161,0,0,0,0,0
Óbidos,188,142,142,0,0,46,0,0
Peniche,602,415,415,0,0,187,0,0
Sobral de Monte Agraço,237,191,191,0,0,46,0,0
Torres Vedras,2148,1491,1491,0,0,657,0,0
Região de Aveiro,9235,6300,6300,0,0,2771,164,0
Águeda,1285,767,767,0,0,466,52,0
Albergaria-a-Velha,450,280,280,0,0,170,0,0
Anadia,604,426,426,0,0,178,0,0
Aveiro,2825,2155,2155,0,0,558,112,0
Estarreja,748,342,342,0,0,406,0,0
Ílhavo,795,524,524,0,0,271,0,0
Murtosa,122,122,122,0,0,0,0,0
Oliveira do Bairro,448,367,367,0,0,81,0,0
Ovar,1156,841,841,0,0,315,0,0
Sever do Vouga,273,215,215,0,0,58,0,0
Vagos,529,261,261,0,0,268,0,0
Região de Coimbra,10385,7464,7464,0,0,2651,270,0
Arganil,344,124,124,0,0,166,54,0
Cantanhede,591,548,548,0,0,43,0,0
Coimbra,4679,3145,3145,0,0,1318,216,0
Condeixa-a-Nova,378,329,329,0,0,49,0,0
Figueira da Foz,1677,1263,1263,0,0,414,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,344,282,282,0,0,62,0,0
Mealhada,229,229,229,0,0,0,0,0
Mira,278,214,214,0,0,64,0,0
Miranda do Corvo,231,148,148,0,0,83,0,0
Montemor-o-Velho,302,212,212,0,0,90,0,0
Mortágua,162,110,110,0,0,52,0,0
Oliveira do Hospital,335,296,296,0,0,39,0,0
Pampilhosa da Serra,35,35,35,0,0,0,0,0
Penacova,186,149,149,0,0,37,0,0
Penela,0,0,0,0,0,0,0,0
Soure,288,189,189,0,0,99,0,0
Tábua,204,118,118,0,0,86,0,0
Vila Nova de Poiares,122,73,73,0,0,49,0,0
Região de Leiria,7179,5257,5257,0,122,1716,84,0
Alvaiázere,76,76,76,0,0,0,0,0
Ansião,293,234,234,0,0,59,0,0
Batalha,375,262,262,0,0,113,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,106,106,106,0,0,0,0,0
Leiria,3475,2528,2528,0,122,741,84,0
Marinha Grande,1254,890,890,0,0,364,0,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,1178,862,862,0,0,316,0,0
Porto de Mós,422,299,299,0,0,123,0,0
Viseu Dão Lafões,7211,5043,5043,0,0,1931,237,0
Aguiar da Beira,136,128,128,0,0,8,0,0
Carregal do Sal,207,138,138,0,0,69,0,0
Castro Daire,314,226,226,0,0,88,0,0
Mangualde,473,319,319,0,0,154,0,0
Nelas,354,206,206,0,0,148,0,0
Oliveira de Frades,249,163,163,0,0,86,0,0
Penalva do Castelo,195,126,126,0,0,69,0,0
Santa Comba Dão,256,192,192,0,0,64,0,0
São Pedro do Sul,353,245,245,0,0,108,0,0
Sátão,257,187,187,0,0,70,0,0
Tondela,615,488,488,0,0,127,0,0
Vila Nova de Paiva,120,76,76,0,0,44,0,0
Viseu,3481,2429,2429,0,0,815,237,0
Vouzela,201,120,120,0,0,81,0,0
Beira Baixa,1887,1349,1349,0,0,422,116,0
Castelo Branco,1531,1042,1042,0,0,373,116,0
Idanha-a-Nova,87,87,87,0,0,0,0,0
Oleiros,57,47,47,0,0,10,0,0
Penamacor,70,70,70,0,0,0,0,0
Proença-a-Nova,142,103,103,0,0,39,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,5867,4190,4190,0,0,1550,127,0
Abrantes,1115,780,780,0,0,335,0,0
Alcanena,358,258,258,0,0,100,0,0
Constância,120,80,80,0,0,40,0,0
Entroncamento,621,455,455,0,0,166,0,0
Ferreira do Zêzere,119,93,93,0,0,26,0,0
Mação,191,90,90,0,0,101,0,0
Ourém,580,419,419,0,0,161,0,0
Sardoal,87,51,51,0,0,36,0,0
Sertã,324,260,260,0,0,64,0,0
Tomar,1194,772,772,0,0,295,127,0
Torres Novas,940,760,760,0,0,180,0,0
Vila de Rei,57,57,57,0,0,0,0,0
Vila Nova da Barquinha,161,115,115,0,0,46,0,0
Beiras e Serra da Estrela,4702,3461,3461,0,0,1203,38,0
Almeida,76,58,58,0,0,18,0,0
Belmonte,84,54,54,0,0,30,0,0
Celorico da Beira,130,95,95,0,0,35,0,0
Covilhã,1340,865,865,0,0,475,0,0
Figueira de Castelo Rodrigo,85,61,61,0,0,24,0,0
Fornos de Algodres,100,85,85,0,0,15,0,0
Fundão,631,423,423,0,0,208,0,0
Gouveia,247,193,193,0,0,54,0,0
Guarda,977,824,824,0,0,115,38,0
Manteigas,47,47,47,0,0,0,0,0
Mêda,59,59,59,0,0,0,0,0
Pinhel,190,147,147,0,0,43,0,0
Sabugal,152,116,116,0,0,36,0,0
Seia,453,303,303,0,0,150,0,0
Trancoso,131,131,131,0,0,0,0,0
A. M. Lisboa,76575,54418,54418,0,1473,17545,3139,0
Alcochete,718,541,541,0,0,177,0,0
Almada,5099,3597,3597,0,0,1502,0,0
Amadora,3890,2100,2100,0,0,1281,509,0
Barreiro,3083,2390,2390,0,0,693,0,0
Cascais,5550,3782,3782,0,66,1385,317,0
Lisboa,16828,11458,11458,0,1407,3121,842,0
Loures,3888,2714,2714,0,0,1174,0,0
Mafra,1949,1510,1510,0,0,439,0,0
Moita,1040,684,684,0,0,356,0,0
Montijo,1346,1099,1099,0,0,247,0,0
Odivelas,3625,2801,2801,0,0,824,0,0
Oeiras,4731,4377,4377,0,0,354,0,0
Palmela,1677,1369,1369,0,0,308,0,0
Seixal,4023,2733,2733,0,0,938,352,0
Sesimbra,1367,1094,1094,0,0,273,0,0
Setúbal,3792,2627,2627,0,0,833,332,0
Sintra,9514,6878,6878,0,0,2338,298,0
Vila Franca de Xira,4455,2664,2664,0,0,1302,489,0
Alentejo,17930,12983,12983,0,0,4506,439,2
Alentejo Litoral,1921,1513,1513,0,0,408,0,0
Alcácer do Sal,264,223,223,0,0,41,0,0
Grândola,386,246,246,0,0,140,0,0
Odemira,348,301,301,0,0,47,0,0
Santiago do Cacém,566,461,461,0,0,105,0,0
Sines,357,282,282,0,0,75,0,0
Baixo Alentejo,2877,1945,1945,0,0,804,128,0
Aljustrel,165,109,109,0,0,56,0,0
Almodôvar,151,104,104,0,0,47,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1280,881,881,0,0,271,128,0
Castro Verde,177,135,135,0,0,42,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,87,78,78,0,0,9,0,0
Mértola,138,101,101,0,0,37,0,0
Moura,344,284,284,0,0,60,0,0
Ourique,93,75,75,0,0,18,0,0
Serpa,442,178,178,0,0,264,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,6089,4574,4574,0,0,1401,114,0
Almeirim,572,355,355,0,0,217,0,0
Alpiarça,161,86,86,0,0,75,0,0
Azambuja,401,326,326,0,0,75,0,0
Benavente,798,606,606,0,0,192,0,0
Cartaxo,601,459,459,0,0,142,0,0
Chamusca,134,109,109,0,0,25,0,0
Coruche,302,302,302,0,0,0,0,0
Golegã,122,96,96,0,0,26,0,0
Rio Maior,677,502,502,0,0,175,0,0
Salvaterra de Magos,462,319,319,0,0,143,0,0
Santarém,1859,1414,1414,0,0,331,114,0
Alto Alentejo,2831,1776,1776,0,0,1027,26,2
Alter do Chão,202,64,64,0,0,138,0,0
Arronches,6,0,0,0,0,6,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,208,143,143,0,0,65,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,692,442,442,0,0,250,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,30,0,0,0,0,30,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,91,48,48,0,0,43,0,0
Ponte de Sor,405,300,300,0,0,105,0,0
Portalegre,1063,779,779,0,0,256,26,2
Sousel,134,0,0,0,0,134,0,0
Alentejo Central,4212,3175,3175,0,0,866,171,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,111,86,86,0,0,25,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,472,410,410,0,0,62,0,0
Évora,1870,1303,1303,0,0,396,171,0
Montemor-o-Novo,373,296,296,0,0,77,0,0
Mora,65,41,41,0,0,24,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,3,0,0,0,0,3,0,0
Redondo,113,84,84,0,0,29,0,0
Reguengos de Monsaraz,343,252,252,0,0,91,0,0
Vendas Novas,356,295,295,0,0,61,0,0
Viana do Alentejo,171,132,132,0,0,39,0,0
Vila Viçosa,335,276,276,0,0,59,0,0
Algarve,14747,9195,9195,0,72,5328,152,0
Albufeira,1632,1068,1068,0,0,564,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2669,1753,1753,0,71,832,13,0
Lagoa,412,206,206,0,0,206,0,0
Lagos,1291,705,705,0,0,586,0,0
Loulé,2144,1335,1335,0,1,808,0,0
Monchique,0,0,0,0,0,0,0,0
Olhão,1188,777,777,0,0,411,0,0
Portimão,2612,1527,1527,0,0,946,139,0
São Brás de Alportel,295,220,220,0,0,75,0,0
Silves,973,569,569,0,0,404,0,0
Tavira,752,534,534,0,0,218,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,779,501,501,0,0,278,0,0
R. A. Açores,6379,4521,4521,0,6,938,914,0
Santa Maria,170,104,104,0,0,56,10,0
Vila do Porto,170,104,104,0,0,56,10,0
São Miguel,3812,2630,2630,0,0,872,310,0
Lagoa (R.A.A.),431,254,254,0,0,177,0,0
Nordeste,90,82,82,0,0,8,0,0
Ponta Delgada,2243,1629,1629,0,0,456,158,0
Povoação,119,119,119,0,0,0,0,0
Ribeira Grande,642,345,345,0,0,231,66,0
Vila Franca do Campo,287,201,201,0,0,0,86,0
Terceira,1323,940,940,0,6,0,377,0
Angra do Heroísmo,903,637,637,0,6,0,260,0
Vila da Praia da Vitória,420,303,303,0,0,0,117,0
Graciosa,107,53,53,0,0,10,44,0
Santa Cruz da Graciosa,107,53,53,0,0,10,44,0
São Jorge,201,144,144,0,0,0,57,0
Calheta (R.A.A.),83,73,73,0,0,0,10,0
