,"Teaching staff, Lower and upper secondary education, Total (N.º)","Teaching staff, Lower and upper secondary education, Public (N.º)","Teaching staff, Lower and upper secondary education, Private (N.º)","Teaching staff, Trainers  (vocational schools), Total (N.º)","Teaching staff, Trainers  (vocational schools), Public (N.º)","Teaching staff, Trainers  (vocational schools), Private (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Total (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Public (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Private (N.º)"
Portugal,78825,72195,6630,8549,1549,7000,84560,59464,25096
Continente,73845,67386,6459,7752,1284,6468,77032,53822,23210
Norte,26734,24437,2297,2982,464,2518,27014,19960,7054
Alto Minho,1748,1702,46,313,58,255,1884,1567,317
Arcos de Valdevez,134,134,0,20,0,20,140,90,50
Caminha,101,101,0,28,0,28,85,60,25
Melgaço,54,54,0,0,0,0,67,58,9
Monção,120,111,9,29,0,29,116,96,20
Paredes de Coura,50,50,0,28,0,28,70,40,30
Ponte da Barca,76,76,0,27,0,27,108,93,15
Ponte de Lima,308,308,0,45,27,18,394,381,13
Valença,96,96,0,10,0,10,78,75,3
Viana do Castelo,760,723,37,112,31,81,747,599,148
Vila Nova de Cerveira,49,49,0,14,0,14,79,75,4
Cávado,3253,2943,310,314,0,314,3165,2284,881
Amares,121,121,0,0,0,0,109,107,2
Barcelos,768,712,56,94,0,94,747,587,160
Braga,1776,1522,254,158,0,158,1612,1008,604
Esposende,237,237,0,34,0,34,264,213,51
Terras de Bouro,43,43,0,0,0,0,67,61,6
Vila Verde,308,308,0,28,0,28,366,308,58
Ave,2861,2730,131,280,0,280,3281,2445,836
Cabeceiras de Basto,114,93,21,0,0,0,117,99,18
Fafe,319,301,18,22,0,22,414,318,96
Guimarães,1086,1039,47,124,0,124,1332,979,353
Mondim de Basto,55,55,0,0,0,0,42,39,3
Póvoa de Lanhoso,163,163,0,29,0,29,175,150,25
Vieira do Minho,73,73,0,0,0,0,65,63,2
Vila Nova de Famalicão,870,825,45,105,0,105,957,629,328
Vizela,181,181,0,0,0,0,179,168,11
A. M. Porto,12758,11187,1571,1341,172,1169,12723,8553,4170
Arouca,164,164,0,0,0,0,160,152,8
Espinho,344,329,15,110,0,110,261,178,83
Gondomar,961,875,86,25,0,25,1071,866,205
Maia,910,861,49,14,0,14,825,590,235
Matosinhos,1182,1138,44,124,0,124,1298,912,386
Oliveira de Azeméis,466,466,0,0,0,0,395,315,80
Paredes,560,538,22,0,0,0,535,468,67
Porto,2610,1839,771,664,115,549,2692,1119,1573
Póvoa de Varzim,567,531,36,0,0,0,573,384,189
Santa Maria da Feira,680,624,56,24,0,24,778,563,215
Santo Tirso,511,442,69,147,57,90,569,427,142
São João da Madeira,355,311,44,0,0,0,233,189,44
Trofa,247,212,35,0,0,0,203,166,37
Vale de Cambra,149,149,0,0,0,0,116,114,2
Valongo,655,619,36,36,0,36,559,431,128
Vila do Conde,514,512,2,30,0,30,616,474,142
Vila Nova de Gaia,1883,1577,306,167,0,167,1839,1205,634
Alto Tâmega,651,651,0,28,0,28,601,539,62
Boticas,26,26,0,0,0,0,31,29,2
Chaves,333,333,0,28,0,28,282,235,47
Montalegre,74,74,0,0,0,0,81,81,0
Ribeira de Pena,51,51,0,0,0,0,33,27,6
Valpaços,81,81,0,0,0,0,85,80,5
Vila Pouca de Aguiar,86,86,0,0,0,0,89,87,2
Tâmega e Sousa,3085,2880,205,283,100,183,3050,2653,397
Amarante,399,269,130,72,0,72,536,412,124
Baião,119,119,0,0,0,0,144,134,10
Castelo de Paiva,114,114,0,0,0,0,132,123,9
Celorico de Basto,101,101,0,41,41,0,140,138,2
Cinfães,148,148,0,26,0,26,168,162,6
Felgueiras,477,477,0,33,0,33,401,331,70
Lousada,370,329,41,0,0,0,309,257,52
Marco de Canaveses,355,355,0,59,59,0,318,307,11
Paços de Ferreira,463,429,34,26,0,26,379,306,73
Penafiel,452,452,0,26,0,26,427,391,36
Resende,87,87,0,0,0,0,96,92,4
Douro,1559,1525,34,244,93,151,1503,1239,264
Alijó,80,80,0,0,0,0,85,77,8
Armamar,31,31,0,0,0,0,66,62,4
Carrazeda de Ansiães,39,39,0,0,0,0,39,33,6
Freixo de Espada à Cinta,20,20,0,0,0,0,39,36,3
Lamego,218,195,23,41,41,0,191,164,27
Mesão Frio,49,49,0,0,0,0,28,28,0
Moimenta da Beira,113,113,0,30,0,30,116,88,28
Murça,57,57,0,27,0,27,38,22,16
Penedono,20,20,0,0,0,0,27,25,2
Peso da Régua,136,136,0,52,52,0,113,90,23
Sabrosa,53,53,0,0,0,0,32,27,5
Santa Marta de Penaguião,23,23,0,0,0,0,45,35,10
São João da Pesqueira,51,51,0,32,0,32,58,42,16
Sernancelhe,21,21,0,30,0,30,45,33,12
Tabuaço,40,40,0,0,0,0,32,32,0
Tarouca,51,51,0,0,0,0,47,41,6
Torre de Moncorvo,47,47,0,0,0,0,41,40,1
Vila Nova de Foz Côa,42,42,0,0,0,0,60,60,0
Vila Real,468,457,11,32,0,32,401,304,97
Terras de Trás-os-Montes,819,819,0,179,41,138,807,680,127
Alfândega da Fé,30,30,0,0,0,0,28,27,1
Bragança,325,325,0,68,0,68,329,270,59
Macedo de Cavaleiros,114,114,0,29,0,29,82,61,21
Miranda do Douro,43,43,0,0,0,0,57,56,1
Mirandela,144,144,0,82,41,41,154,119,35
Mogadouro,60,60,0,0,0,0,51,45,6
Vila Flor,44,44,0,0,0,0,36,34,2
Vimioso,19,19,0,0,0,0,25,25,0
Vinhais,40,40,0,0,0,0,45,43,2
Centro,16123,15055,1068,2071,286,1785,16497,12132,4365
Oeste,2449,2147,302,356,106,250,2609,1778,831
Alcobaça,336,261,75,43,43,0,482,324,158
Alenquer,279,279,0,7,0,7,291,268,23
Arruda dos Vinhos,69,0,69,46,0,46,124,25,99
Bombarral,102,102,0,0,0,0,55,47,8
Cadaval,78,78,0,0,0,0,126,115,11
Caldas da Rainha,425,385,40,81,44,37,295,183,112
Lourinhã,191,191,0,0,0,0,192,168,24
Nazaré,72,59,13,15,0,15,63,32,31
Óbidos,71,71,0,19,19,0,91,82,9
Peniche,191,191,0,13,0,13,229,183,46
Sobral de Monte Agraço,81,81,0,0,0,0,90,71,19
Torres Vedras,554,449,105,132,0,132,571,280,291
Região de Aveiro,2663,2507,156,381,60,321,2561,1731,830
Águeda,310,296,14,0,0,0,329,247,82
Albergaria-a-Velha,162,141,21,77,0,77,204,133,71
Anadia,200,169,31,38,0,38,222,105,117
Aveiro,724,691,33,101,0,101,608,381,227
Estarreja,218,218,0,0,0,0,179,140,39
Ílhavo,291,291,0,0,0,0,229,192,37
Murtosa,55,55,0,0,0,0,84,71,13
Oliveira do Bairro,131,131,0,15,0,15,75,45,30
Ovar,353,340,13,15,0,15,369,246,123
Sever do Vouga,78,78,0,75,0,75,117,74,43
Vagos,141,97,44,60,60,0,145,97,48
Região de Coimbra,3248,3041,207,411,59,352,3297,2381,916
Arganil,90,90,0,0,0,0,98,94,4
Cantanhede,254,212,42,47,0,47,260,192,68
Coimbra,1341,1194,147,125,59,66,1155,674,481
Condeixa-a-Nova,103,103,0,0,0,0,75,70,5
Figueira da Foz,398,398,0,59,0,59,452,335,117
Góis,16,16,0,0,0,0,17,15,2
Lousã,104,104,0,17,0,17,131,110,21
Mealhada,105,105,0,34,0,34,134,103,31
Mira,89,89,0,0,0,0,102,99,3
Miranda do Corvo,95,95,0,0,0,0,76,68,8
Montemor-o-Velho,118,118,0,36,0,36,162,118,44
Mortágua,56,56,0,0,0,0,54,51,3
Oliveira do Hospital,137,137,0,39,0,39,192,146,46
Pampilhosa da Serra,26,26,0,0,0,0,29,23,6
Penacova,68,68,0,26,0,26,78,68,10
Penela,21,21,0,15,0,15,40,33,7
Soure,114,96,18,0,0,0,115,71,44
Tábua,66,66,0,13,0,13,76,68,8
Vila Nova de Poiares,47,47,0,0,0,0,51,43,8
Região de Leiria,1950,1754,196,201,0,201,1869,1341,528
