,"Upper secondary education, Total (N.º)","Upper secondary education, Public (N.º)","Upper secondary education, Private (N.º)","Post-secondary non-tertiary education, Total (N.º)","Post-secondary non-tertiary education, Public (N.º)","Post-secondary non-tertiary education, Private (N.º)"
Portugal,347018,262733,84285,5412,5389,23
Continente,329532,248857,80675,5412,5389,23
Norte,118235,84900,33335,1098,1098,0
Alto Minho,7810,6143,1667,110,110,0
Arcos de Valdevez,583,486,97,0,0,0
Caminha,423,313,110,0,0,0
Melgaço,173,173,0,0,0,0
Monção,487,336,151,0,0,0
Paredes de Coura,244,100,144,0,0,0
Ponte da Barca,364,264,100,0,0,0
Ponte de Lima,1442,1331,111,0,0,0
Valença,282,228,54,0,0,0
Viana do Castelo,3617,2758,859,110,110,0
Vila Nova de Cerveira,195,154,41,0,0,0
Cávado,15044,10447,4597,0,0,0
Amares,513,406,107,0,0,0
Barcelos,3740,2827,913,0,0,0
Braga,8376,5424,2952,0,0,0
Esposende,967,795,172,0,0,0
Terras de Bouro,83,83,0,0,0,0
Vila Verde,1365,912,453,0,0,0
Ave,12648,10370,2278,0,0,0
Cabeceiras de Basto,510,303,207,0,0,0
Fafe,1406,1207,199,0,0,0
Guimarães,4656,4051,605,0,0,0
Mondim de Basto,167,167,0,0,0,0
Póvoa de Lanhoso,653,490,163,0,0,0
Vieira do Minho,216,216,0,0,0,0
Vila Nova de Famalicão,4286,3249,1037,0,0,0
Vizela,754,687,67,0,0,0
A. M. Porto,58443,38045,20398,720,720,0
Arouca,585,585,0,0,0,0
Espinho,1897,1410,487,0,0,0
Gondomar,3862,2931,931,0,0,0
Maia,3509,2952,557,111,111,0
Matosinhos,4671,3427,1244,0,0,0
Oliveira de Azeméis,1689,1689,0,0,0,0
Paredes,2153,1847,306,0,0,0
Porto,14786,6178,8608,388,388,0
Póvoa de Varzim,2628,2235,393,0,0,0
Santa Maria da Feira,2472,1808,664,33,33,0
Santo Tirso,2608,1869,739,0,0,0
São João da Madeira,1558,1326,232,188,188,0
Trofa,1050,636,414,0,0,0
Vale de Cambra,579,540,39,0,0,0
Valongo,2488,2031,457,0,0,0
Vila do Conde,2044,1755,289,0,0,0
Vila Nova de Gaia,9864,4826,5038,0,0,0
Alto Tâmega,2100,1892,208,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1284,1076,208,0,0,0
Montalegre,188,188,0,0,0,0
Ribeira de Pena,148,148,0,0,0,0
Valpaços,217,217,0,0,0,0
Vila Pouca de Aguiar,263,263,0,0,0,0
Tâmega e Sousa,13974,10897,3077,0,0,0
Amarante,2048,835,1213,0,0,0
Baião,413,413,0,0,0,0
Castelo de Paiva,626,463,163,0,0,0
Celorico de Basto,434,434,0,0,0,0
Cinfães,488,448,40,0,0,0
Felgueiras,1901,1622,279,0,0,0
Lousada,1463,1252,211,0,0,0
