,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 1º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 1º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, Total, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino recorrente (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de Educação e Formação de Adultos (N.º)","Ensino básico, 2º Ciclo, das quais, Sistema de Reconhecimento, Validação e Certificação de Competências (N.º)"
Portugal,2210,572,1397,213,4404,0,2997,1125
Continente,1596,0,1387,181,4146,0,2908,1051
Norte,513,0,413,93,1895,0,1162,680
Alto Minho,4,0,0,4,63,0,14,48
Arcos de Valdevez,0,0,0,0,7,0,0,6
Caminha,0,0,0,0,5,0,0,5
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,2,0,0,2,21,0,0,21
Ponte de Lima,0,0,0,0,23,0,14,9
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,2,0,0,2,7,0,0,7
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,48,0,43,4,92,0,59,31
Amares,0,0,0,0,4,0,0,4
Barcelos,0,0,0,0,14,0,0,14
Braga,27,0,27,0,50,0,48,0
Esposende,3,0,0,3,3,0,0,3
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,18,0,16,1,21,0,11,10
Ave,43,0,14,28,110,0,66,44
Cabeceiras de Basto,2,0,0,2,2,0,0,2
Fafe,8,0,0,8,0,0,0,0
Guimarães,10,0,0,10,23,0,19,4
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,22,0,14,8,69,0,47,22
Vizela,1,0,0,0,16,0,0,16
A. M. Porto,283,0,252,26,908,0,788,109
Arouca,0,0,0,0,0,0,0,0
Espinho,15,0,15,0,26,0,24,1
Gondomar,12,0,11,1,41,0,37,4
Maia,0,0,0,0,22,0,19,3
Matosinhos,50,0,40,8,131,0,115,13
Oliveira de Azeméis,0,0,0,0,14,0,13,1
Paredes,5,0,0,5,50,0,13,37
Porto,30,0,25,3,138,0,119,15
Póvoa de Varzim,0,0,0,0,16,0,15,1
Santa Maria da Feira,12,0,12,0,185,0,181,1
Santo Tirso,21,0,19,2,3,0,0,3
São João da Madeira,0,0,0,0,27,0,27,0
Trofa,0,0,0,0,13,0,12,1
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,1,0,0,1,6,0,2,4
Vila do Conde,0,0,0,0,7,0,2,5
Vila Nova de Gaia,137,0,130,6,229,0,209,20
Alto Tâmega,12,0,10,2,52,0,38,11
Boticas,0,0,0,0,0,0,0,0
Chaves,10,0,10,0,51,0,38,10
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,1,0,0,1,0,0,0,0
Vila Pouca de Aguiar,1,0,0,1,1,0,0,1
