,"Ensino pré-escolar, Dependente do Estado (N.º)","Ensino pré-escolar, Independente do Estado  (N.º)","Ensino básico, 1º Ciclo, Dependente do Estado (N.º)","Ensino básico, 1º Ciclo, Independente do Estado  (N.º)","Ensino básico, 2º Ciclo, Dependente do Estado (N.º)","Ensino básico, 2º Ciclo, Independente do Estado  (N.º)","Ensino básico, 3º Ciclo, Dependente do Estado (N.º)","Ensino básico, 3º Ciclo, Independente do Estado  (N.º)","Ensino secundário, 3º Ciclo, Dependente do Estado (N.º)","Ensino secundário, 3º Ciclo, Independente do Estado  (N.º)"
Portugal,1323,969,68,443,49,215,45,257,30,345
Continente,1225,960,47,434,44,212,40,256,24,327
Norte,418,234,8,124,7,74,6,105,4,134
Alto Minho,29,2,0,3,0,2,0,6,0,12
Arcos de Valdevez,4,0,0,0,0,0,0,0,0,1
Caminha,3,0,0,0,0,0,0,1,0,2
Melgaço,1,0,0,0,0,0,0,0,0,0
Monção,1,0,0,1,0,1,0,2,0,1
Paredes de Coura,3,0,0,0,0,0,0,0,0,1
Ponte da Barca,1,0,0,0,0,0,0,0,0,1
Ponte de Lima,1,0,0,0,0,0,0,0,0,1
Valença,0,0,0,0,0,0,0,0,0,1
Viana do Castelo,14,2,0,2,0,1,0,3,0,3
Vila Nova de Cerveira,1,0,0,0,0,0,0,0,0,1
Cávado,46,16,0,14,1,11,1,15,0,16
Amares,1,0,0,0,0,0,0,0,0,0
Barcelos,11,0,0,2,1,2,1,4,0,5
Braga,27,11,0,11,0,9,0,9,0,9
Esposende,4,4,0,0,0,0,0,1,0,1
Terras de Bouro,1,1,0,0,0,0,0,0,0,0
Vila Verde,2,0,0,1,0,0,0,1,0,1
Ave,70,15,0,7,0,8,0,12,0,15
Cabeceiras de Basto,1,0,0,0,0,1,0,1,0,1
Fafe,8,2,0,1,0,1,0,1,0,2
Guimarães,33,4,0,2,0,3,0,5,0,6
Mondim de Basto,1,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,0,0,0,0,0,0,0,0,1
Vieira do Minho,1,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,24,9,0,4,0,3,0,5,0,5
Vizela,1,0,0,0,0,0,0,0,0,0
A. M. Porto,190,172,3,86,4,47,3,60,2,70
Arouca,1,0,0,0,0,0,0,0,0,0
Espinho,3,1,0,1,1,0,0,2,0,3
Gondomar,8,17,0,7,0,3,0,3,0,3
Maia,16,15,0,4,0,3,0,2,0,2
Matosinhos,22,18,1,7,0,3,0,5,0,4
Oliveira de Azeméis,12,1,0,2,0,0,0,0,0,0
Paredes,2,3,0,2,0,1,0,1,0,1
Porto,40,53,2,30,2,17,2,23,2,32
Póvoa de Varzim,13,4,0,1,0,1,0,1,0,1
Santa Maria da Feira,21,4,0,3,0,3,0,2,0,3
Santo Tirso,5,5,0,5,0,3,0,5,0,5
São João da Madeira,3,2,0,2,0,1,0,1,0,2
Trofa,2,2,0,1,0,1,0,1,0,1
Vale de Cambra,1,0,0,0,0,0,0,0,0,0
Valongo,5,13,0,6,0,3,0,4,0,2
Vila do Conde,11,3,0,2,0,1,0,1,0,1
Vila Nova de Gaia,25,31,0,13,1,7,1,9,0,10
Alto Tâmega,8,5,1,3,0,0,0,0,0,1
Boticas,1,0,0,0,0,0,0,0,0,0
Chaves,3,4,1,3,0,0,0,0,0,1
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,2,0,0,0,0,0,0,0,0,0
Valpaços,1,1,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,1,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,30,15,2,6,2,4,2,5,2,9
Amarante,3,2,1,0,2,0,2,0,2,2
Baião,5,0,0,0,0,0,0,0,0,0
Castelo de Paiva,2,0,0,0,0,0,0,0,0,0
Celorico de Basto,1,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,1
Felgueiras,6,4,0,2,0,0,0,0,0,1
Lousada,2,2,0,2,0,2,0,2,0,2
Marco de Canaveses,1,2,0,0,0,0,0,0,0,0
Paços de Ferreira,4,4,0,2,0,2,0,3,0,2
Penafiel,5,1,1,0,0,0,0,0,0,1
Resende,1,0,0,0,0,0,0,0,0,0
Douro,29,6,1,3,0,2,0,4,0,7
Alijó,4,0,0,0,0,0,0,0,0,0
Armamar,0,1,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,1,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,2,0,0,0,0,0,0,0,0,0
Lamego,4,1,0,1,0,1,0,1,0,1
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,2,0,0,0,0,0,0,0,0,1
Murça,1,0,0,0,0,0,0,1,0,1
Penedono,1,0,0,0,0,0,0,0,0,0
Peso da Régua,3,1,0,0,0,0,0,0,0,0
Sabrosa,1,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,3,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,1,0,1
Sernancelhe,1,0,0,0,0,0,0,0,0,1
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,1,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,1,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0
Vila Real,4,3,1,2,0,1,0,1,0,2
Terras de Trás-os-Montes,16,3,1,2,0,0,0,3,0,4
Alfândega da Fé,1,0,0,0,0,0,0,0,0,0
Bragança,6,3,0,2,0,0,0,2,0,2
Macedo de Cavaleiros,2,0,0,0,0,0,0,0,0,1
Miranda do Douro,1,0,0,0,0,0,0,0,0,0
Mirandela,3,0,1,0,0,0,0,1,0,1
Mogadouro,1,0,0,0,0,0,0,0,0,0
Vila Flor,1,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0
Vinhais,1,0,0,0,0,0,0,0,0,0
Centro,356,125,10,48,24,18,24,38,13,69
Oeste,48,15,3,7,3,3,4,6,3,11
Alcobaça,13,1,0,1,0,0,1,0,1,0
Alenquer,2,3,0,0,0,0,0,0,0,1
Arruda dos Vinhos,1,0,0,0,1,0,1,1,1,1
Bombarral,1,0,0,0,0,0,0,0,0,0
Cadaval,1,0,0,0,0,0,0,0,0,0
Caldas da Rainha,7,4,2,2,1,1,1,1,0,2
Lourinhã,3,0,0,0,0,0,0,0,0,0
