,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Portugal,259030,140218,118812,374620,323733,50887,212914,187158,25756,342789,300513,42276
Continente,246235,132525,113710,355444,307853,47591,202014,177101,24913,324760,283665,41095
Norte,85386,49633,35753,118189,104070,14119,69596,61840,7756,113716,99512,14204
Alto Minho,5232,3595,1637,7194,6924,270,4003,3841,162,6661,6195,466
Arcos de Valdevez,394,204,190,530,530,0,285,278,7,505,494,11
Caminha,375,264,111,486,486,0,259,254,5,390,375,15
Melgaço,105,59,46,163,163,0,105,105,0,167,167,0
Monção,372,277,95,503,422,81,293,252,41,514,443,71
Paredes de Coura,172,75,97,237,237,0,131,131,0,231,231,0
Ponte da Barca,210,155,55,318,316,2,192,171,21,325,267,58
Ponte de Lima,908,851,57,1306,1306,0,765,756,9,1164,1145,19
Valença,331,331,0,465,465,0,232,232,0,358,358,0
Viana do Castelo,2126,1173,953,2900,2713,187,1582,1503,79,2722,2430,292
Vila Nova de Cerveira,239,206,33,286,286,0,159,159,0,285,285,0
Cávado,11122,6410,4712,14968,12645,2323,8589,7229,1360,13947,11825,2122
Amares,410,381,29,521,521,0,292,292,0,545,545,0
Barcelos,2816,2216,600,3714,3542,172,2211,1962,249,3559,3089,470
Braga,5651,2291,3360,7756,5731,2025,4411,3310,1101,7174,5636,1538
Esposende,961,533,428,1295,1295,0,711,711,0,1125,1102,23
Terras de Bouro,137,103,34,157,157,0,89,89,0,174,174,0
Vila Verde,1147,886,261,1525,1399,126,875,865,10,1370,1279,91
Ave,10288,5026,5262,13458,12613,845,7629,7199,430,12159,11321,838
Cabeceiras de Basto,330,250,80,532,530,2,282,275,7,542,500,42
Fafe,1157,462,695,1518,1390,128,880,821,59,1416,1262,154
Guimarães,3964,1694,2270,4977,4561,416,2838,2617,221,4465,4122,343
Mondim de Basto,124,68,56,173,173,0,102,102,0,172,172,0
Póvoa de Lanhoso,458,378,80,747,747,0,431,431,0,693,675,18
Vieira do Minho,199,175,24,302,302,0,190,190,0,288,288,0
Vila Nova de Famalicão,3392,1453,1939,4396,4097,299,2431,2303,128,3799,3552,247
Vizela,664,546,118,813,813,0,475,460,15,784,750,34
A. M. Porto,41906,22439,19467,59124,49718,9406,34866,30114,4752,56501,48226,8275
Arouca,473,386,87,716,716,0,431,431,0,703,681,22
Espinho,805,589,216,1096,1071,25,839,797,42,1456,1329,127
Gondomar,3443,2165,1278,4930,4236,694,2736,2418,318,4371,3865,506
Maia,3342,1679,1663,4702,4203,499,2845,2545,300,4381,3964,417
Matosinhos,4066,1948,2118,5584,4750,834,3139,2941,198,5365,4824,541
Oliveira de Azeméis,1422,841,581,1927,1834,93,1093,1093,0,1740,1724,16
Paredes,1915,1537,378,2774,2570,204,1671,1562,109,2811,2572,239
Porto,6888,1900,4988,10027,5894,4133,5834,3613,2221,9482,5841,3641
Póvoa de Varzim,1572,516,1056,2318,2078,240,1486,1358,128,2464,2318,146
