,"Ensino secundário, Total (N.º)","Ensino secundário, Público (N.º)","Ensino secundário, Privado  (N.º)","Ensino pós-secundário não superior , Total (N.º)","Ensino pós-secundário não superior , Público (N.º)","Ensino pós-secundário não superior , Privado  (N.º)"
Portugal,397100,298304,98796,5412,5389,23
Continente,377827,282659,95168,5412,5389,23
Norte,134922,93581,41341,1098,1098,0
Alto Minho,8760,6505,2255,110,110,0
Arcos de Valdevez,655,486,169,0,0,0
Caminha,446,313,133,0,0,0
Melgaço,173,173,0,0,0,0
Monção,574,336,238,0,0,0
Paredes de Coura,261,100,161,0,0,0
Ponte da Barca,484,264,220,0,0,0
Ponte de Lima,1623,1365,258,0,0,0
Valença,310,256,54,0,0,0
Viana do Castelo,4039,3058,981,110,110,0
Vila Nova de Cerveira,195,154,41,0,0,0
Cávado,16735,11346,5389,0,0,0
Amares,559,452,107,0,0,0
Barcelos,3983,2882,1101,0,0,0
Braga,9448,6102,3346,0,0,0
Esposende,1076,889,187,0,0,0
Terras de Bouro,83,83,0,0,0,0
Vila Verde,1586,938,648,0,0,0
Ave,13930,11176,2754,0,0,0
Cabeceiras de Basto,576,319,257,0,0,0
Fafe,1549,1207,342,0,0,0
Guimarães,5034,4309,725,0,0,0
Mondim de Basto,167,167,0,0,0,0
Póvoa de Lanhoso,722,526,196,0,0,0
Vieira do Minho,240,240,0,0,0,0
Vila Nova de Famalicão,4709,3655,1054,0,0,0
Vizela,933,753,180,0,0,0
A. M. Porto,66489,42431,24058,720,720,0
Arouca,676,585,91,0,0,0
Espinho,2004,1410,594,0,0,0
Gondomar,4257,3179,1078,0,0,0
Maia,3822,3117,705,111,111,0
Matosinhos,5345,3908,1437,0,0,0
Oliveira de Azeméis,1873,1862,11,0,0,0
Paredes,2635,1959,676,0,0,0
Porto,16857,7218,9639,388,388,0
Póvoa de Varzim,2860,2467,393,0,0,0
Santa Maria da Feira,3288,2382,906,33,33,0
Santo Tirso,2818,2079,739,0,0,0
São João da Madeira,1780,1548,232,188,188,0
Trofa,1138,708,430,0,0,0
Vale de Cambra,606,567,39,0,0,0
Valongo,2849,2113,736,0,0,0
Vila do Conde,2181,1809,372,0,0,0
Vila Nova de Gaia,11500,5520,5980,0,0,0
Alto Tâmega,2495,2197,298,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1552,1269,283,0,0,0
Montalegre,203,203,0,0,0,0
Ribeira de Pena,148,148,0,0,0,0
Valpaços,272,272,0,0,0,0
Vila Pouca de Aguiar,320,305,15,0,0,0
Tâmega e Sousa,16289,11891,4398,0,0,0
Amarante,2259,1008,1251,0,0,0
Baião,518,453,65,0,0,0
Castelo de Paiva,762,463,299,0,0,0
Celorico de Basto,466,466,0,0,0,0
Cinfães,612,495,117,0,0,0
Felgueiras,2219,1806,413,0,0,0
Lousada,1653,1409,244,0,0,0
Marco de Canaveses,1873,1736,137,0,0,0
Paços de Ferreira,2228,1571,657,0,0,0
Penafiel,3375,2160,1215,0,0,0
Resende,324,324,0,0,0,0
Douro,6419,5355,1064,160,160,0
Alijó,235,235,0,0,0,0
Armamar,94,94,0,0,0,0
Carrazeda de Ansiães,125,125,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0
Lamego,1081,1034,47,121,121,0
Mesão Frio,162,162,0,0,0,0
Moimenta da Beira,473,373,100,0,0,0
Murça,219,120,99,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,632,632,0,0,0,0
Sabrosa,148,148,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,327,113,214,0,0,0
Sernancelhe,135,0,135,0,0,0
Tabuaço,79,79,0,0,0,0
Tarouca,201,201,0,0,0,0
Torre de Moncorvo,121,121,0,0,0,0
Vila Nova de Foz Côa,75,75,0,0,0,0
Vila Real,2312,1843,469,39,39,0
Terras de Trás-os-Montes,3805,2680,1125,108,108,0
Alfândega da Fé,77,77,0,0,0,0
Bragança,1444,1117,327,108,108,0
Macedo de Cavaleiros,470,358,112,0,0,0
Miranda do Douro,99,99,0,0,0,0
Mirandela,1254,687,567,0,0,0
Mogadouro,270,151,119,0,0,0
Vila Flor,95,95,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,96,96,0,0,0,0
Centro,81788,62392,19396,889,866,23
Oeste,13530,9729,3801,106,106,0
Alcobaça,1852,1284,568,0,0,0
Alenquer,1479,1165,314,0,0,0
Arruda dos Vinhos,722,0,722,0,0,0
Bombarral,439,439,0,0,0,0
Cadaval,208,208,0,0,0,0
Caldas da Rainha,2714,2170,544,63,63,0
Lourinhã,750,714,36,0,0,0
Nazaré,471,177,294,0,0,0
Óbidos,188,188,0,43,43,0
Peniche,737,675,62,0,0,0
Sobral de Monte Agraço,261,261,0,0,0,0
Torres Vedras,3709,2448,1261,0,0,0
Região de Aveiro,13775,10756,3019,149,126,23
Águeda,1707,1706,1,61,61,0
Albergaria-a-Velha,873,479,394,0,0,0
Anadia,1117,702,415,0,0,0
Aveiro,4320,3361,959,88,65,23
Estarreja,864,844,20,0,0,0
Ílhavo,945,945,0,0,0,0
Murtosa,131,122,9,0,0,0
Oliveira do Bairro,581,448,133,0,0,0
Ovar,1806,1216,590,0,0,0
Sever do Vouga,596,368,228,0,0,0
Vagos,835,565,270,0,0,0
Região de Coimbra,15763,11820,3943,357,357,0
Arganil,535,535,0,22,22,0
Cantanhede,998,691,307,0,0,0
Coimbra,7073,5373,1700,335,335,0
Condeixa-a-Nova,378,378,0,0,0,0
Figueira da Foz,2210,1778,432,0,0,0
Góis,0,0,0,0,0,0
Lousã,628,376,252,0,0,0
Mealhada,602,252,350,0,0,0
Mira,296,278,18,0,0,0
Miranda do Corvo,247,247,0,0,0,0
Montemor-o-Velho,442,302,140,0,0,0
Mortágua,162,162,0,0,0,0
Oliveira do Hospital,707,452,255,0,0,0
Pampilhosa da Serra,35,35,0,0,0,0
Penacova,441,186,255,0,0,0
Penela,26,0,26,0,0,0
Soure,484,399,85,0,0,0
Tábua,281,239,42,0,0,0
Vila Nova de Poiares,218,137,81,0,0,0
Região de Leiria,10785,7787,2998,79,79,0
Alvaiázere,136,86,50,0,0,0
Ansião,627,328,299,0,0,0
Batalha,472,472,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,106,106,0,0,0,0
Leiria,4592,3738,854,79,79,0
Marinha Grande,1739,1374,365,0,0,0
Pedrógão Grande,267,0,267,0,0,0
Pombal,2076,1261,815,0,0,0
Porto de Mós,770,422,348,0,0,0
Viseu Dão Lafões,9557,8097,1460,90,90,0
Aguiar da Beira,136,136,0,0,0,0
Carregal do Sal,233,233,0,0,0,0
Castro Daire,469,397,72,0,0,0
Mangualde,567,549,18,0,0,0
Nelas,368,368,0,0,0,0
Oliveira de Frades,249,249,0,0,0,0
Penalva do Castelo,195,195,0,0,0,0
Santa Comba Dão,269,269,0,0,0,0
São Pedro do Sul,644,465,179,0,0,0
Sátão,268,268,0,0,0,0
Tondela,998,635,363,0,0,0
Vila Nova de Paiva,120,120,0,0,0,0
Viseu,4632,4012,620,90,90,0
Vouzela,409,201,208,0,0,0
Beira Baixa,2511,2120,391,22,22,0
Castelo Branco,2034,1730,304,22,22,0
Idanha-a-Nova,208,121,87,0,0,0
Oleiros,57,57,0,0,0,0
Penamacor,70,70,0,0,0,0
Proença-a-Nova,142,142,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,9140,6885,2255,54,54,0
Abrantes,1350,1328,22,0,0,0
Alcanena,430,430,0,0,0,0
Constância,120,120,0,0,0,0
Entroncamento,936,621,315,0,0,0
Ferreira do Zêzere,119,119,0,0,0,0
Mação,191,191,0,0,0,0
Ourém,2025,726,1299,0,0,0
Sardoal,87,87,0,0,0,0
Sertã,561,371,190,0,0,0
Tomar,1795,1676,119,54,54,0
Torres Novas,1308,998,310,0,0,0
Vila de Rei,57,57,0,0,0,0
Vila Nova da Barquinha,161,161,0,0,0,0
Beiras e Serra da Estrela,6727,5198,1529,32,32,0
Almeida,76,76,0,0,0,0
Belmonte,92,92,0,0,0,0
Celorico da Beira,142,142,0,0,0,0
Covilhã,1642,1538,104,0,0,0
Figueira de Castelo Rodrigo,85,85,0,0,0,0
Fornos de Algodres,100,100,0,0,0,0
Fundão,908,701,207,0,0,0
Gouveia,351,247,104,0,0,0
Guarda,1659,1129,530,32,32,0
Manteigas,82,47,35,0,0,0
Mêda,59,59,0,0,0,0
Pinhel,213,213,0,0,0,0
Sabugal,171,171,0,0,0,0
Seia,716,453,263,0,0,0
Trancoso,431,145,286,0,0,0
A. M. Lisboa,118339,89191,29148,2606,2606,0
Alcochete,762,762,0,0,0,0
Almada,7035,5566,1469,0,0,0
Amadora,6550,5418,1132,28,28,0
Barreiro,3923,3570,353,0,0,0
Cascais,8883,6202,2681,178,178,0
Lisboa,34219,19126,15093,1978,1978,0
Loures,4926,4329,597,59,59,0
Mafra,3238,2119,1119,0,0,0
Moita,1894,1353,541,0,0,0
Montijo,1923,1531,392,0,0,0
Odivelas,4426,4210,216,0,0,0
Oeiras,6034,5150,884,0,0,0
Palmela,2910,1677,1233,0,0,0
