,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado  (N.º)"
Portugal,2210,2101,109,4404,3669,735,17962,12854,5108,50082,35571,14511
Continente,1596,1487,109,4146,3411,735,16720,11615,5105,48295,33802,14493
Norte,513,445,68,1895,1328,567,6909,3505,3404,16687,8681,8006
Alto Minho,4,2,2,63,19,44,239,37,202,950,362,588
Arcos de Valdevez,0,0,0,7,0,7,11,0,11,72,0,72
Caminha,0,0,0,5,0,5,8,0,8,23,0,23
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,33,0,33,87,0,87
Paredes de Coura,0,0,0,0,0,0,0,0,0,17,0,17
Ponte da Barca,2,0,2,21,0,21,58,0,58,120,0,120
Ponte de Lima,0,0,0,23,14,9,19,0,19,181,34,147
Valença,0,0,0,0,0,0,5,5,0,28,28,0
Viana do Castelo,2,2,0,7,5,2,105,32,73,422,300,122
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,48,46,2,92,68,24,610,267,343,1691,899,792
Amares,0,0,0,4,4,0,8,8,0,46,46,0
Barcelos,0,0,0,14,0,14,177,28,149,243,55,188
Braga,27,27,0,50,50,0,308,196,112,1072,678,394
Esposende,3,3,0,3,3,0,35,35,0,109,94,15
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,18,16,2,21,11,10,82,0,82,221,26,195
Ave,43,24,19,110,92,18,422,209,213,1282,806,476
Cabeceiras de Basto,2,0,2,2,0,2,37,0,37,66,16,50
Fafe,8,0,8,0,0,0,66,0,66,143,0,143
Guimarães,10,1,9,23,22,1,119,75,44,378,258,120
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,53,35,18,69,36,33
Vieira do Minho,0,0,0,0,0,0,0,0,0,24,24,0
Vila Nova de Famalicão,22,22,0,69,69,0,100,86,14,423,406,17
Vizela,1,1,0,16,1,15,47,13,34,179,66,113
A. M. Porto,283,259,24,908,812,96,3203,2047,1156,8046,4386,3660
Arouca,0,0,0,0,0,0,33,11,22,91,0,91
Espinho,15,15,0,26,24,2,62,0,62,107,0,107
Gondomar,12,12,0,41,40,1,175,125,50,395,248,147
Maia,0,0,0,22,0,22,120,38,82,313,165,148
Matosinhos,50,42,8,131,120,11,389,278,111,674,481,193
Oliveira de Azeméis,0,0,0,14,14,0,99,83,16,184,173,11
Paredes,5,0,5,50,16,34,189,66,123,482,112,370
Porto,30,27,3,138,129,9,491,299,192,2071,1040,1031
Póvoa de Varzim,0,0,0,16,16,0,81,81,0,232,232,0
Santa Maria da Feira,12,12,0,185,185,0,462,337,125,816,574,242
Santo Tirso,21,21,0,3,3,0,56,56,0,210,210,0
São João da Madeira,0,0,0,27,27,0,80,80,0,222,222,0
Trofa,0,0,0,13,13,0,37,37,0,88,72,16
Vale de Cambra,0,0,0,0,0,0,0,0,0,27,27,0
Valongo,1,0,1,6,2,4,175,49,126,361,82,279
Vila do Conde,0,0,0,7,2,5,62,20,42,137,54,83
Vila Nova de Gaia,137,130,7,229,221,8,692,487,205,1636,694,942
Alto Tâmega,12,12,0,52,44,8,194,123,71,395,305,90
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,10,10,0,51,43,8,127,71,56,268,193,75
Montalegre,0,0,0,0,0,0,0,0,0,15,15,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,1,1,0,0,0,0,42,27,15,55,55,0
Vila Pouca de Aguiar,1,1,0,1,1,0,25,25,0,57,42,15
Tâmega e Sousa,72,63,9,340,226,114,1346,493,853,2315,994,1321
Amarante,1,1,0,53,53,0,85,85,0,211,173,38
Baião,0,0,0,0,0,0,15,0,15,105,40,65
Castelo de Paiva,0,0,0,80,0,80,222,0,222,136,0,136
Celorico de Basto,0,0,0,6,6,0,14,14,0,32,32,0
Cinfães,0,0,0,2,2,0,22,6,16,124,47,77
Felgueiras,0,0,0,32,28,4,148,78,70,318,184,134
Lousada,0,0,0,20,20,0,59,21,38,190,157,33
Marco de Canaveses,1,1,0,29,29,0,135,49,86,193,80,113
Paços de Ferreira,35,32,3,60,48,12,258,112,146,269,48,221
Penafiel,35,29,6,58,40,18,368,128,240,704,200,504
Resende,0,0,0,0,0,0,20,0,20,33,33,0
Douro,14,4,10,149,15,134,442,178,264,956,570,386
Alijó,0,0,0,0,0,0,17,17,0,23,23,0
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
