,"Quinquennial infant mortality rate (2017/2021),  ‰, 2021 (‰)","Quinquennial neonatal mortality rate (2017/2021),  ‰, 2021 (‰)","Mortality rate due to circulatory system diseases,  ‰, 2021 (‰)","Mortality rate due to malignant neoplasms,  ‰, 2021 (‰)"
Portugal,2.7,1.9,3.1,2.6
Continente,2.7,1.9,3.1,2.6
Norte,2.3,1.6,2.6,2.4
Alto Minho,3.2,2.3,4,3
Arcos de Valdevez,0,0,5.1,3.4
Caminha,2,2,5.1,3.2
Melgaço,6.5,0,8.1,3.4
Monção,2.2,2.2,6.9,3.4
Paredes de Coura,3.7,3.7,4,3.9
Ponte da Barca,3.1,0,5.5,2.8
Ponte de Lima,2.9,0.7,2.8,2.5
Valença,4.5,2.3,3.9,2.6
Viana do Castelo,4.2,3.9,3,2.9
Vila Nova de Cerveira,0,0,3.6,3.2
Cávado,1.8,1.1,1.9,1.9
Amares,2.9,0,2,2.1
Barcelos,2.6,1.4,2.2,2.1
Braga,1.2,1,1.5,1.7
Esposende,2.8,1.4,2.4,2.2
Terras de Bouro,0,0,3.6,2.3
Vila Verde,1.7,1.7,2.5,2.3
Ave,2,1.6,2.2,2.1
Cabeceiras de Basto,2,0,4.2,2.8
Fafe,1.8,0.6,2.5,2.3
Guimarães,1.5,1.1,2,2.1
Mondim de Basto,12.7,12.7,2.3,2.2
Póvoa de Lanhoso,0,0,2.4,2.2
Vieira do Minho,6.3,6.3,3.7,3.5
Vila Nova de Famalicão,2.1,1.9,2,1.9
Vizela,3.8,2.9,2.3,1.5
A. M. Porto,2.5,1.8,2.5,2.5
Arouca,0,0,2.7,2.1
Espinho,2.9,2.9,3.6,3
Gondomar,2.1,1.7,2.4,2.4
Maia,1.9,1.3,1.7,2.1
Matosinhos,2.2,1,2.3,2.4
Oliveira de Azeméis,0.4,0.4,2.7,2.2
Paredes,2.7,1.8,1.6,1.9
Porto,2.8,2,3.2,3.2
Póvoa de Varzim,2.8,1.6,2.5,2.4
Santa Maria da Feira,2.6,1.6,2,2.3
Santo Tirso,4.1,2.3,3,2.8
São João da Madeira,2.6,2.6,2,2.5
Trofa,2.6,1.9,2.2,2.3
Vale de Cambra,1.5,1.5,3.7,2.4
Valongo,3,2.5,2,2.1
Vila do Conde,2.1,1.5,2.5,2.7
Vila Nova de Gaia,3,2.4,2.5,2.4
Alto Tâmega,1.8,1.3,4.1,3.6
Boticas,0,0,5.4,2.4
Chaves,1.8,1.8,2.9,3.6
Montalegre,0,0,5.9,3.7
Ribeira de Pena,12,6,3.2,2.6
Valpaços,0,0,5.2,4.3
Vila Pouca de Aguiar,0,0,5.1,3.5
Tâmega e Sousa,2.1,1.5,2.5,2.1
Amarante,0.6,0.6,2.8,2.3
Baião,0,0,4,3
Castelo de Paiva,0,0,2.7,2.6
Celorico de Basto,5.5,3.7,4.4,2.4
Cinfães,1.6,1.6,4.6,2.8
Felgueiras,3.7,3.2,2.1,1.9
Lousada,3.1,2,1.7,1.7
Marco de Canaveses,2.9,1.1,2,2.1
Paços de Ferreira,3.1,2.7,1.8,1.7
Penafiel,0,0,2.3,1.9
Resende,0,0,3.5,1.9
Douro,2.7,1.3,4,3.1
Alijó,0,0,4.1,3.9
Armamar,0,0,4,3.3
Carrazeda de Ansiães,0,0,4.4,6
Freixo de Espada à Cinta,20.8,20.8,8.6,4.3
Lamego,0,0,3.3,3.7
Mesão Frio,10.9,0,3.7,2.5
Moimenta da Beira,3.2,3.2,3.9,2.4
Murça,0,0,3.4,3.4
Penedono,0,0,3.9,3.9
Peso da Régua,8.1,2,4.6,3.8
Sabrosa,0,0,3.6,3.1
Santa Marta de Penaguião,0,0,6.7,3.5
São João da Pesqueira,5,0,3.2,3.4
Sernancelhe,0,0,4.4,1.6
Tabuaço,7.8,0,3.2,2.4
Tarouca,0,0,2.6,2.2
Torre de Moncorvo,5.3,0,5.6,4.4
Vila Nova de Foz Côa,0,0,5.2,4.1
Vila Real,2.3,1.8,3.6,2.2
Terras de Trás-os-Montes,1.3,0.6,4.1,3.3
Alfândega da Fé,7.9,0,4.4,3.5
Bragança,0.8,0.8,3,2.8
Macedo de Cavaleiros,0,0,4.4,3.2
Miranda do Douro,0,0,5,3.1
Mirandela,0,0,3.7,3.9
Mogadouro,5.2,5.2,5.6,3.6
Vila Flor,0,0,5.3,3.9
Vimioso,8.9,0,5.8,3.4
Vinhais,0,0,5.2,2.9
Centro,2.5,1.8,3.7,2.9
Oeste,3.1,2.5,3.6,2.7
Alcobaça,2.7,2.1,3.7,2.6
Alenquer,3,2.5,3.4,2.2
Arruda dos Vinhos,0,0,3.6,2.5
Bombarral,0,0,5,3.5
Cadaval,5.2,2.6,4.9,2.7
Caldas da Rainha,1.7,1.1,3.4,2.7
Lourinhã,2.8,1.9,3.6,3.1
Nazaré,3.4,3.4,4.2,2.6
Óbidos,2.2,2.2,3.6,2.9
Peniche,4.4,4.4,3.8,3
Sobral de Monte Agraço,0,0,4,2.2
Torres Vedras,5,3.8,2.9,2.6
Região de Aveiro,2.3,1.9,3,2.7
Águeda,2.4,1.8,2.7,3.1
Albergaria-a-Velha,3.2,2.1,3.7,2.9
Anadia,3.5,2.3,4.2,2.7
Aveiro,2,2,2.6,2.6
Estarreja,0,0,2.6,3
Ílhavo,3,3,3,2.7
Murtosa,0,0,2.7,2.3
Oliveira do Bairro,2.1,1,3.3,2.3
Ovar,2.3,1.4,2.3,2.8
Sever do Vouga,0,0,5.6,2.3
Vagos,4.3,4.3,3.3,2.1
Região de Coimbra,2.2,1.6,3.8,2.9
Arganil,2.9,2.9,4.6,4.7
Cantanhede,2.5,1.7,3.6,3.2
Coimbra,1.6,1.5,2.9,2.8
Condeixa-a-Nova,3.3,1.7,2,2.5
Figueira da Foz,3.6,3.1,4.2,2.9
Góis,0,0,6.3,2.9
Lousã,1.7,1.7,2.8,1.9
Mealhada,1.6,1.6,4.9,2.5
Mira,0,0,3.8,4
Miranda do Corvo,0,0,5.2,2.5
Montemor-o-Velho,1.1,0,4.5,2.7
Mortágua,7.3,3.6,4.8,4.2
Oliveira do Hospital,1.5,0,4.3,3.3
Pampilhosa da Serra,0,0,7.6,3.2
Penacova,6.7,0,5,3.1
Penela,0,0,5.5,3.3
Soure,4.1,4.1,5.2,2.8
Tábua,2.8,2.8,4.2,4.4
Vila Nova de Poiares,0,0,4.8,2.6
Região de Leiria,2.4,1.3,3,2.7
Alvaiázere,0,0,7.1,3.7
Ansião,0,0,3.8,4.4
Batalha,3.2,3.2,2.7,2.4
Castanheira de Pêra,19.2,19.2,4.1,7.4
Figueiró dos Vinhos,6.4,0,6.8,3
Leiria,3,1.3,2.3,2.3
Marinha Grande,1.3,0.6,2.8,2.6
Pedrógão Grande,0,0,4.3,4.3
Pombal,1.7,1.1,3.6,3.1
Porto de Mós,1.2,1.2,2.9,2.6
Viseu Dão Lafões,2.7,1.3,3.8,2.9
Aguiar da Beira,0,0,8.8,4.1
Carregal do Sal,0,0,3.4,4.1
Castro Daire,2.7,2.7,5.2,3.2
Mangualde,0,0,4,3.3
Nelas,2.5,2.5,3.6,2.6
Oliveira de Frades,8.3,2.8,3,2.5
Penalva do Castelo,0,0,4.6,3.7
Santa Comba Dão,0,0,4.9,3.4
São Pedro do Sul,0,0,4.7,2.9
Sátão,0,0,4.4,2.4
Tondela,2.7,2.7,5,3
Vila Nova de Paiva,7.3,7.3,5.5,2.6
Viseu,3.6,1.3,2.7,2.7
Vouzela,3.5,0,3.5,3.2
Beira Baixa,2.5,1.2,5,3.6
Castelo Branco,3.3,1.7,3.8,3.3
Idanha-a-Nova,0,0,8.3,3.3
Oleiros,0,0,4.5,…
Penamacor,0,0,9.6,4.4
Proença-a-Nova,0,0,5.6,5
Vila Velha de Ródão,0,0,6.5,4.4
Médio Tejo,2,1,4.4,3.3
Abrantes,5.1,2,5.2,3.9
Alcanena,2.5,2.5,4.6,3.4
Constância,0,0,3.2,3.2
Entroncamento,3.6,2.4,2.6,2.8
Ferreira do Zêzere,4.3,0,5.1,3.9
Mação,0,0,8.2,5.1
Ourém,1.3,0,3.3,2.8
Sardoal,0,0,7.1,3.1
Sertã,4.7,2.4,4,3.2
Tomar,0,0,4.8,3.4
Torres Novas,0.9,0.9,4.2,3.3
Vila de Rei,0,0,8.7,3.9
Vila Nova da Barquinha,0,0,3.9,2.9
Beiras e Serra da Estrela,2.1,1.2,4.2,3.4
Almeida,0,0,5.1,4.3
Belmonte,0,0,2.1,3.4
Celorico da Beira,0,0,5.2,3.9
Covilhã,1.4,0.7,3.6,3.4
Figueira de Castelo Rodrigo,0,0,6.2,4.9
Fornos de Algodres,0,0,7.4,3.2
Fundão,5,3.7,4.4,3.8
Gouveia,0,0,4.3,3.7
Guarda,3,0.7,3.2,3
Manteigas,0,0,3.4,3.4
Mêda,9.3,0,6.9,2.2
Pinhel,0,0,5.2,3.5
Sabugal,3.7,3.7,6.5,3.3
Seia,1.6,1.6,4.5,3.6
Trancoso,0,0,4,2.4
A. M. Lisboa,3.2,2,2.9,2.6
Alcochete,1.3,1.3,2.5,1.9
Almada,3.2,1.6,3.1,2.8
Amadora,4.7,2.6,2.7,2.3
Barreiro,6,3.9,3,3
Cascais,3.3,2.3,2.9,2.8
Lisboa,2.9,1.8,3.6,3.1
Loures,3.1,1.7,3.1,2.6
Mafra,4.5,2.6,2.3,2
Moita,2.5,1.6,3,2.7
Montijo,3,1.4,3.4,2.2
Odivelas,2.6,1.6,2.6,2.3
Oeiras,2.4,1.4,2.7,2.8
Palmela,1.5,1.1,4,2.3
Seixal,3.7,3,2.5,2.6
Sesimbra,0.9,0.9,2.9,2
Setúbal,3.2,2.5,3.6,2.9
Sintra,3.3,2.4,2.3,2.1
Vila Franca de Xira,2.6,1.7,2.3,2.1
Alentejo,3.1,2.1,4.5,3.1
Alentejo Litoral,3.6,2.5,4,3
Alcácer do Sal,0,0,4.7,3.4
Grândola,4.1,2,4.3,3.4
Odemira,3.5,3.5,4.1,2.5
Santiago do Cacém,3,0,3.9,3.3
Sines,6.2,6.2,3.3,2.9
Baixo Alentejo,4.2,3.1,5.6,3.3
Aljustrel,8.3,5.6,6.1,3
Almodôvar,0,0,6.2,3
Alvito,0,0,8.7,5.2
Barrancos,0,0,7.3,2
Beja,2.6,2.6,4.8,3.2
Castro Verde,0,0,5.2,2
Cuba,16.9,16.9,7.9,2.7
Ferreira do Alentejo,9.5,9.5,5.5,3.6
Mértola,6.5,6.5,5.4,3.2
Moura,4.7,1.6,3.7,3.3
Ourique,6.9,6.9,9.5,4.5
Serpa,2,0,5.8,3.8
Vidigueira,4.3,0,6.1,3.8
Lezíria do Tejo,2.9,1.9,3.9,2.9
Almeirim,4.9,4.9,3.8,3.6
Alpiarça,4.4,0,5,2.4
Azambuja,1.2,1.2,3.9,3.3
Benavente,3.2,3.2,2.8,2.2
Cartaxo,1.2,1.2,3.8,2.9
Chamusca,0,0,4.3,5
Coruche,1.8,0,5.8,3.3
Golegã,9.5,0,4.3,5.2
Rio Maior,3.3,2.2,3.5,2.4
Salvaterra de Magos,1.3,1.3,5.4,2.5
Santarém,3.3,1.9,3.4,2.8
Alto Alentejo,3.3,1.4,5.3,3.3
Alter do Chão,0,0,7.4,2.9
Arronches,0,0,7.1,4.6
Avis,8.1,24.2,7.8,2.9
Campo Maior,3.1,0,3.7,2.8
Castelo de Vide,20.6,10.3,5.6,0.9
Crato,0,0,7.7,6.5
Elvas,3.8,2.5,4.9,3.2
Fronteira,0,0,3.7,4.1
Gavião,0,0,12.4,3.5
Marvão,0,0,4.6,4.6
Monforte,0,0,4,1.7
Nisa,0,0,7.8,5.1
Ponte de Sor,5.5,0,4,3.1
Portalegre,2.4,1.2,4.3,2.6
Sousel,0,0,6.1,4.1
Alentejo Central,1.9,1.7,4.5,3.1
Alandroal,0,0,5.8,4.4
Arraiolos,0,0,3.7,3.4
Borba,4.2,4.2,5.3,3.1
Estremoz,4.1,2,4.7,3.8
Évora,2.7,2.7,3.2,2.5
Montemor-o-Novo,0,0,5.8,3.4
Mora,9.4,9.4,10,5
Mourão,0,0,5.5,1.3
Portel,0,0,4.5,3.3
Redondo,0,0,6.7,3.6
Reguengos de Monsaraz,2.6,2.6,5.5,2.9
Vendas Novas,0,0,3.8,3.4
Viana do Alentejo,0,0,3.9,3.7
Vila Viçosa,0,0,4.6,2.2
Algarve,2.8,1.9,3.1,2.7
Albufeira,3.7,3.3,1.9,1.8
Alcoutim,0,0,9.9,5.1
Aljezur,0,0,3.7,4.4
Castro Marim,0,0,4.7,1.4
Faro,2.5,1.5,2.9,2.3
Lagoa,2.8,1.9,2,2.7
Lagos,0.8,0.8,3.4,3
Loulé,3.4,2.9,3.9,2.6
Monchique,5.7,5.7,4.6,4.2
Olhão,3,1,2.9,3
Portimão,3.1,2.7,2.4,2.9
São Brás de Alportel,4.1,2.1,2.3,3.1
Silves,2.4,1.2,3.3,2.6
Tavira,3.9,1,3.9,2.7
Vila do Bispo,4.1,0,3.8,2.8
Vila Real de Santo António,1.3,0,3.6,2.9
R. A. Açores,3.2,2.1,2.7,2.8
Santa Maria,0,0,3.3,3.3
Vila do Porto,0,0,3.3,3.3
São Miguel,3.2,2,2.4,2.4
Lagoa (R.A.A.),1.4,1.4,2.7,3.3
Nordeste,6.1,6.1,4.3,1.8
Ponta Delgada,3.8,1.9,2.4,2.3
Povoação,0,0,1.7,3.2
Ribeira Grande,3.3,2.7,1.8,2
Vila Franca do Campo,2.4,0,3.8,2.7
Terceira,2.2,1.8,2.8,3.1
Angra do Heroísmo,3.6,2.9,3.2,2.7
Vila da Praia da Vitória,0,0,2.1,3.8
Graciosa,5.6,0,4.6,1.7
Santa Cruz da Graciosa,5.6,0,4.6,1.7
São Jorge,3.3,3.3,3.7,2.8
Calheta (R.A.A.),0,0,3.4,…
Velas,5.3,5.3,3.8,3.6
Pico,1.7,1.7,2.8,2.8
Lajes do Pico,0,0,3.4,2.3
Madalena,3.5,3.5,1.7,3.3
São Roque do Pico,0,0,4,2.5
Faial,5.2,5.2,3.4,4.1
Horta,5.2,5.2,3.4,4.1
Flores,14.5,7.2,3.8,6.3
Lajes das Flores,19.2,0,4.9,9.9
Santa Cruz das Flores,11.6,11.6,…,3.9
Corvo,0,0,…,…
Corvo,0,0,…,…
R. A. Madeira,3,1.9,3.2,2.7
Calheta (R.A.M.),2.9,0,4.8,3.7
Câmara de Lobos,4,1.3,2.2,2.2
Funchal,2.9,2.1,3.6,2.9
Machico,6.3,4.7,2.5,2.6
Ponta do Sol,0,0,3.8,2.5
Porto Moniz,0,0,4.8,2
Ribeira Brava,0,0,3,2.7
Santa Cruz,3.4,2.8,2.1,2.2
Santana,0,0,4.4,3.2
São Vicente,0,0,5.9,4.1
Porto Santo,0,0,3.3,2.1
