,"Personnel employed, Total (N.º)","Personnel employed, Doctors (N.º)","Personnel employed, Nurse (N.º)","Personnel employed, Auxiliary personnel (N.º)","Personnel employed, Technician of diagnostics and therapeutics (N.º)","Personnel employed, Other (N.º)","Hospitals (emergency service), Total hospitals (N.º)","Hospitals (emergency service), Public hospitals of universal access and hospitals in public-private partnership (N.º)"
Portugal,151759,26079,49002,38381,10986,27311,6491326,5446973
Continente,142247,25046,46210,35447,10364,25180,6215614,5196340
Norte,49528,9558,16044,12101,3179,8646,2254100,1872847
Alto Minho,...,...,...,...,...,...,...,128859
Arcos de Valdevez,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0
Viana do Castelo,...,...,...,...,...,...,...,128859
Vila Nova de Cerveira,0,0,0,0,0,0,0,0
Cávado,5488,1033,1568,1473,312,1102,297908,239836
Amares,...,...,...,...,...,...,...,0
Barcelos,947,173,294,283,42,155,54106,54106
Braga,3934,813,1180,1023,210,708,212890,185730
Esposende,...,...,...,...,...,...,...,0
Terras de Bouro,0,0,0,0,0,0,0,0
Vila Verde,...,...,...,...,...,...,...,0
Ave,2848,478,951,685,192,542,188248,118988
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0
Guimarães,...,...,...,...,...,...,...,118988
Mondim de Basto,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,...,...,...,...,...,...,...,0
Vieira do Minho,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,...,...,...,...,...,...,...,0
Vizela,0,0,0,0,0,0,0,0
A. M. Porto,30803,5993,9985,7439,1937,5449,1166481,962653
Arouca,...,...,...,...,...,...,...,0
Espinho,...,...,...,...,...,...,...,0
Gondomar,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0
Matosinhos,...,...,...,...,...,...,...,84702
Oliveira de Azeméis,0,0,0,0,0,0,0,0
Paredes,...,...,...,...,...,...,...,0
Porto,17844,3505,5965,4129,1133,3112,437956,365903
Póvoa de Varzim,...,...,...,...,...,...,...,60488
Santa Maria da Feira,2375,473,766,728,139,269,179245,179245
Santo Tirso,1152,215,429,290,84,134,108965,108965
São João da Madeira,0,0,0,0,0,0,0,0
Trofa,...,...,...,...,...,...,...,0
Vale de Cambra,0,0,0,0,0,0,0,0
Valongo,...,...,...,...,...,...,...,0
Vila do Conde,...,...,...,...,...,...,...,0
Vila Nova de Gaia,4782,916,1511,1238,275,842,223559,163350
Alto Tâmega,0,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0
Tâmega e Sousa,...,...,...,...,...,...,...,182013
Amarante,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0
Felgueiras,...,...,...,...,...,...,...,0
Lousada,0,0,0,0,0,0,0,0
Marco de Canaveses,...,...,...,...,...,...,...,0
Paços de Ferreira,0,0,0,0,0,0,0,0
Penafiel,2488,487,841,666,162,332,182013,182013
Resende,0,0,0,0,0,0,0,0
Douro,...,...,...,...,...,...,...,153397
