,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Portugal,10273,1328,8945,19866,13096,2569,17297
Continente,10320,1351,8969,19901,13122,2605,17296
Norte,9349,1093,8256,18392,12331,2150,16241
Alto Minho,8617,855,7762,16755,11801,1663,15092
Arcos de Valdevez,7271,619,6652,14253,10304,1214,13040
Caminha,9436,1117,8319,17696,11996,2094,15602
Melgaço,7288,675,6613,14615,10929,1353,13262
Monção,7651,697,6954,15609,11469,1421,14188
Paredes de Coura,7425,575,6850,14730,11032,1140,13590
Ponte da Barca,7291,544,6747,13863,10074,1034,12829
Ponte de Lima,7763,660,7103,15631,11180,1328,14303
Valença,8043,643,7401,15054,11403,1203,13851
Viana do Castelo,9884,1116,8769,18992,13219,2144,16848
Vila Nova de Cerveira,8802,793,8009,16319,11988,1470,14848
Cávado,9224,1039,8185,18605,12619,2096,16509
Amares,7897,692,7206,16250,11757,1423,14826
Barcelos,8113,716,7397,16244,11695,1434,14810
Braga,10545,1381,9164,21215,14084,2779,18436
Esposende,9291,1095,8196,18356,12311,2163,16193
Terras de Bouro,7144,562,6582,14307,10684,1126,13181
Vila Verde,7267,584,6683,15245,11118,1226,14020
Ave,8788,831,7958,16930,12073,1600,15330
Cabeceiras de Basto,6603,494,6108,14394,10428,1078,13316
Fafe,7981,668,7313,15285,10938,1279,14006
Guimarães,9250,930,8320,17494,12366,1758,15735
Mondim de Basto,6512,484,6028,13492,9904,1003,12490
Póvoa de Lanhoso,6921,540,6382,14993,11046,1169,13824
Vieira do Minho,6693,520,6173,14329,10536,1113,13216
Vila Nova de Famalicão,9436,930,8506,17942,12873,1768,16174
Vizela,8578,690,7888,15898,11726,1278,14620
A. M. Porto,10436,1388,9048,20110,13161,2675,17435
Arouca,7664,646,7018,15577,11420,1313,14264
Espinho,10191,1319,8872,19596,12943,2536,17059
Gondomar,9250,981,8269,18046,12751,1914,16132
Maia,11382,1581,9800,22596,15114,3139,19457
Matosinhos,11648,1711,9937,22313,14570,3277,19035
Oliveira de Azeméis,9480,944,8536,17759,12726,1768,15991
Paredes,7438,614,6824,14796,10662,1221,13575
Porto,14122,2770,11352,25756,14200,5052,20704
Póvoa de Varzim,9204,1026,8177,17961,12132,2003,15959
Santa Maria da Feira,9105,936,8169,17650,12437,1814,15835
Santo Tirso,9284,913,8371,17258,12306,1697,15561
São João da Madeira,10000,1148,8852,18330,12318,2104,16226
Trofa,9248,921,8327,17572,12811,1750,15822
Vale de Cambra,9623,967,8656,18218,13110,1830,16388
Valongo,9354,983,8371,18414,13160,1935,16478
Vila do Conde,9808,1161,8646,19235,13006,2277,16958
Vila Nova de Gaia,10257,1329,8928,20159,13424,2612,17547
Alto Tâmega,7228,675,6553,15215,10590,1420,13795
Boticas,6350,463,5887,13527,9830,985,12541
Chaves,8217,878,7339,17038,11522,1821,15217
Montalegre,6594,577,6017,13690,9932,1199,12492
Ribeira de Pena,6526,510,6016,13806,10290,1078,12728
Valpaços,5963,432,5531,13039,9781,945,12094
Vila Pouca de Aguiar,6866,574,6292,14533,10261,1216,13317
Tâmega e Sousa,7150,565,6586,14577,10579,1151,13426
Amarante,7341,657,6684,15029,10479,1345,13683
Baião,6206,445,5761,13856,10398,994,12862
Castelo de Paiva,7047,485,6562,14216,10875,979,13237
Celorico de Basto,6072,452,5620,13603,10064,1012,12591
Cinfães,5762,389,5373,12848,9758,867,11982
Felgueiras,7721,607,7114,14836,10763,1167,13669
Lousada,7360,523,6836,14435,10654,1027,13408
Marco de Canaveses,6688,526,6162,14097,10261,1108,12988
Paços de Ferreira,7364,550,6815,14580,10661,1088,13491
Penafiel,7639,667,6972,15489,11109,1352,14137
Resende,5860,444,5416,13253,9483,1004,12248
Douro,7913,798,7115,16722,11310,1687,15035
Alijó,6783,511,6273,13778,10068,1037,12741
Armamar,6207,494,5713,14541,10479,1157,13385
Carrazeda de Ansiães,6629,528,6101,14664,10500,1169,13495
Freixo de Espada à Cinta,7292,557,6735,14842,10998,1133,13709
Lamego,8313,904,7410,17386,11381,1890,15496
Mesão Frio,6800,526,6274,13777,10174,1066,12711
Moimenta da Beira,6688,587,6102,15725,11352,1380,14345
Murça,6799,549,6250,14290,10486,1153,13136
Penedono,6319,515,5803,13654,//,1114,12540
Peso da Régua,7832,750,7081,16111,11146,1544,14568
Sabrosa,7109,508,6602,14527,10928,1037,13489
Santa Marta de Penaguião,6953,491,6462,13252,9721,936,12316
São João da Pesqueira,6487,544,5943,14081,10019,1180,12900
Sernancelhe,5619,409,5210,14148,10563,1031,13118
Tabuaço,5816,454,5363,14211,10202,1108,13103
Tarouca,6210,485,5724,14923,10983,1167,13756
Torre de Moncorvo,7457,667,6790,15076,10979,1348,13728
Vila Nova de Foz Côa,7231,686,6546,15081,10835,1430,13651
Vila Real,10158,1267,8891,20692,13492,2581,18112
Terras de Trás-os-Montes,8401,884,7517,17387,11707,1831,15557
Alfândega da Fé,7348,644,6704,15032,10702,1317,13716
Bragança,9975,1235,8740,20240,13636,2506,17734
Macedo de Cavaleiros,7389,706,6683,15723,10511,1503,14221
Miranda do Douro,8450,814,7636,16868,12268,1625,15243
Mirandela,8265,846,7419,17395,11724,1780,15615
Mogadouro,7673,734,6939,15796,10846,1511,14286
Vila Flor,6698,560,6137,15045,10866,1259,13786
Vimioso,7157,607,6551,14671,10528,1243,13428
Vinhais,6900,502,6398,13992,10221,1018,12975
Centro,9550,1073,8477,18848,13091,2118,16730
Oeste,9382,1026,8356,18199,12623,1991,16208
Alcobaça,8941,862,8079,17261,12573,1664,15597
Alenquer,9480,1017,8463,18816,13583,2019,16797
Arruda dos Vinhos,11469,1540,9929,22742,15135,3054,19688
Bombarral,8332,845,7487,16861,11881,1711,15150
Cadaval,8197,805,7391,16972,12182,1667,15305
Caldas da Rainha,9642,1103,8539,18185,12370,2081,16104
Lourinhã,8954,958,7996,17488,12132,1871,15617
Nazaré,8896,872,8023,16579,12089,1626,14953
Óbidos,9045,975,8070,18042,12388,1946,16097
Peniche,9072,918,8154,17421,12350,1763,15658
Sobral de Monte Agraço,9412,1075,8338,19216,13232,2194,17022
Torres Vedras,9829,1154,8675,18798,12527,2207,16591
Região de Aveiro,9953,1147,8806,19337,13378,2228,17108
Águeda,9632,969,8663,18192,12736,1831,16362
Albergaria-a-Velha,9215,884,8331,18064,13301,1733,16331
Anadia,9385,1025,8360,17983,12396,1964,16019
Aveiro,11914,1709,10205,22689,15075,3255,19435
Estarreja,9244,902,8342,18009,13124,1757,16252
Ílhavo,10370,1282,9087,20196,13907,2498,17698
Murtosa,7556,747,6809,16890,12149,1670,15220
Oliveira do Bairro,8744,811,7932,17769,12854,1649,16120
Ovar,9944,1101,8843,18993,13353,2103,16890
Sever do Vouga,8724,764,7959,16862,12354,1478,15384
Vagos,8169,811,7358,17011,12097,1689,15322
Região de Coimbra,10449,1327,9122,20495,13841,2603,17892
Arganil,7379,551,6828,15304,11325,1143,14161
Cantanhede,8625,860,7765,17360,12197,1732,15629
Coimbra,13412,2193,11220,25431,16389,4157,21273
Condeixa-a-Nova,10325,1190,9135,21198,15283,2443,18755
Figueira da Foz,10733,1333,9400,20677,14440,2568,18109
Góis,7676,576,7100,15042,11417,1129,13912
Lousã,9006,906,8100,18285,13627,1840,16444
Mealhada,9726,989,8737,18835,13673,1915,16920
Mira,8511,908,7603,17402,12154,1857,15545
Miranda do Corvo,8237,735,7502,16853,12510,1503,15350
Montemor-o-Velho,9265,899,8365,18760,13911,1821,16939
