,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Portugal,6143,9277,12351,19346,999968,2468092,1366271,1078339,997177,535811
Continente,6158,9283,12377,19359,951540,2357770,1302042,1035859,952806,513774
Norte,5729,8675,11250,17074,395953,957412,472401,335049,287822,146133
Alto Minho,5387,8222,10776,15583,29473,63171,32626,20971,16453,6849
Arcos de Valdevez,4562,6873,9498,13173,3645,5864,2577,1396,1064,394
Caminha,5383,8174,11009,16633,2094,4371,2163,1444,1284,624
Melgaço,4890,7553,9977,13931,1149,2086,993,588,397,159
Monção,5219,7912,10227,14536,2273,4980,2291,1371,1115,382
Paredes de Coura,4995,7296,9837,13229,1274,2637,1286,627,401,143
Ponte da Barca,4562,6848,9439,12952,2025,3298,1343,772,567,187
Ponte de Lima,5180,7749,10088,13863,5496,12047,5758,3179,2255,809
Valença,5495,8290,10648,14434,1715,3876,2184,1301,811,247
Viana do Castelo,6032,9172,11989,18034,8721,21531,12622,9347,7909,3701
Vila Nova de Cerveira,5658,8576,11025,15301,1081,2481,1409,946,650,203
Cávado,5958,8945,11376,17086,41136,109399,56895,38999,33552,16288
Amares,5422,8146,10394,14654,2194,5382,2524,1565,1221,369
Barcelos,5827,8554,10421,14310,11717,35558,17443,9942,6705,2407
Braga,6528,9513,12913,20868,16061,43583,25691,20039,20167,11268
Esposende,5642,8787,11192,16742,4033,9335,4677,3430,2650,1390
Terras de Bouro,4813,7264,9635,13580,978,1855,768,510,317,93
Vila Verde,5114,7721,9844,13769,6153,13686,5792,3513,2492,761
Ave,6028,8645,10702,15050,41907,128083,63026,38654,27982,11209
Cabeceiras de Basto,4777,7114,9351,13124,2330,4521,1553,1021,701,236
Fafe,5216,7729,9705,13766,6620,15927,6044,3570,2858,1085
Guimarães,6404,8894,10858,15204,13584,49171,25035,14653,10513,4891
Mondim de Basto,4571,6647,9306,12613,1145,1856,646,413,277,88
Póvoa de Lanhoso,5091,7761,9800,13542,2824,6183,2655,1576,1046,309
Vieira do Minho,4693,6937,9381,13291,1887,3306,1335,808,575,179
Vila Nova de Famalicão,6471,9107,11401,16220,11353,38867,21673,14471,10714,3955
Vizela,6240,8777,10395,13869,2164,8252,4085,2142,1298,466
A. M. Porto,6153,9203,12228,19200,167342,432719,231035,180225,164214,93802
Arouca,5295,7709,9887,13791,2662,6585,2795,1639,1117,420
Espinho,6160,9022,11881,19112,2935,8158,4101,2891,2864,1702
Gondomar,6005,8998,11699,17254,16398,42843,23083,17550,14426,5506
Maia,6876,10049,14160,22523,10434,28395,17296,15972,16532,9103
Matosinhos,6748,9750,13646,22134,14039,38401,22609,19408,19413,12381
Oliveira de Azeméis,6288,8998,11474,15917,6040,19298,11032,7864,5007,1847
Paredes,4780,7389,9560,13621,13611,25070,10063,6412,4500,1553
Porto,6639,10063,15663,28738,20584,45528,23852,21445,27701,27442
Póvoa de Varzim,5459,8498,11156,17063,7956,17134,8046,6083,5173,2620
Santa Maria da Feira,5927,8645,11181,15904,14078,39114,20271,13888,10217,4134
Santo Tirso,6239,8673,10884,15473,6003,21765,10573,6658,4890,2003
São João da Madeira,6212,8960,11674,17349,2070,6268,3328,2376,1889,987
Trofa,6245,9040,11382,15949,3704,11004,6109,4345,2966,1041
Vale de Cambra,6182,8978,11769,16500,1936,6047,3332,2607,1710,655
Valongo,6190,9259,12098,17780,9010,23358,13713,10810,8961,3141
Vila do Conde,6073,9027,11795,17891,7824,21536,10810,8513,7142,3528
Vila Nova de Gaia,6244,9293,12457,19514,28058,72215,40022,31764,29706,15739
Alto Tâmega,4602,6849,9560,14176,14263,22249,8695,5745,4955,1978
Boticas,4399,6455,9226,12028,900,1395,533,262,202,71
Chaves,4906,7692,10587,16454,5431,9375,4208,2932,2809,1297
Montalegre,4083,6309,9271,13044,1828,2397,951,568,478,145
Ribeira de Pena,4562,6583,9239,12976,1053,1646,577,396,276,70
Valpaços,4089,5894,8590,11955,2955,4066,1285,841,567,180
