,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Portugal,2287160,453770,254387,349029,245710,298107,163093,523064
Continente,2200594,436382,244060,334224,235932,286699,158452,504845
Norte,802614,168268,96590,133401,93004,111821,50944,148586
Alto Minho,46086,11000,5573,7629,3268,5307,4568,8741
Arcos de Valdevez,3852,974,420,489,374,186,867,542
Caminha,1820,705,298,424,178,8,44,163
Melgaço,709,228,90,162,47,107,35,40
Monção,2831,980,518,649,158,304,24,198
Paredes de Coura,1032,283,143,211,182,132,67,14
Ponte da Barca,1184,496,260,216,8,137,5,62
Ponte de Lima,7848,2281,1169,1626,283,564,122,1803
Valença,3041,919,374,452,93,223,334,646
Viana do Castelo,20243,3707,2182,3048,1763,3019,2321,4203
Vila Nova de Cerveira,3526,427,119,352,182,627,749,1070
Cávado,100923,21529,13303,18815,11834,14874,5331,15237
Amares,2782,899,500,470,412,267,205,29
Barcelos,30128,6687,4144,6070,4746,5000,1431,2050
Braga,52829,9263,6000,8721,5087,7803,3313,12642
Esposende,6653,1775,1032,1399,807,1083,341,216
Terras de Bouro,997,298,173,221,117,122,8,58
Vila Verde,7534,2607,1454,1934,665,599,33,242
Ave,104228,21297,12685,17840,14666,17539,6351,13850
Cabeceiras de Basto,1912,639,352,546,237,46,13,79
Fafe,8794,2508,1419,1973,1668,574,354,298
Guimarães,46222,8885,5546,7847,6618,9176,1834,6316
Mondim de Basto,737,245,160,133,68,112,4,15
Póvoa de Lanhoso,3283,887,511,540,318,469,444,114
Vieira do Minho,1180,454,219,260,74,112,17,44
Vila Nova de Famalicão,36509,6453,3742,5541,4867,5851,3660,6395
Vizela,5591,1226,736,1000,816,1199,25,589
A. M. Porto,413283,77138,45947,62073,43625,57099,29504,97897
Arouca,4073,1143,695,918,525,716,…,…
Espinho,4359,1286,636,544,291,857,…,…
Gondomar,16658,4693,2531,2963,1765,2264,268,2174
Maia,44862,5785,4272,6361,4180,5801,5496,12967
Matosinhos,44798,6891,4113,5640,4675,7014,2664,13801
Oliveira de Azeméis,16709,2725,1934,3512,1930,3111,933,2564
Paredes,16569,4289,2752,3059,2892,2588,518,471
Porto,96637,15723,8680,11340,8029,11100,8135,33630
