,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Portugal,1289.5,981.57,1099.35,1199.36,1312.96,1394.38,1568.75,1551.38
Continente,1294.11,984,1103.5,1204.4,1319.28,1401.61,1577.43,1551.96
Norte,1187.19,931.51,1027.55,1105.08,1196.61,1278.26,1455.9,1487.65
Alto Minho,1094.98,893.54,964.58,1042.37,1163.8,1176.71,1176.3,1359.67
Arcos de Valdevez,1004.4,849.94,912.84,980.32,1291.38,1113.86,1048.76,1068.08
Caminha,952.78,836.68,908.32,976.04,1064.24,1553.41,1021.53,1305.97
Melgaço,992.05,863.42,1019.62,1123.01,1041.08,841.29,861.4,1592.76
Monção,990.74,860.55,985.27,1022.27,1039.34,1133.16,955.63,1292.94
Paredes de Coura,1029.14,921.44,978.6,882.98,1166.31,1433.35,767.03,1585.53
Ponte da Barca,902.45,854.24,871.63,893.52,1338.04,845.34,960.67,1513.72
Ponte de Lima,994.66,861.94,914.59,1012.83,1086.49,951.93,1166.94,1185.37
Valença,1034.76,922.59,1012.65,1097.17,944.6,1162.25,1313.89,988.11
Viana do Castelo,1195.78,939.39,1002.45,1086.94,1187.31,1190.83,1271.44,1566.53
Vila Nova de Cerveira,1152.13,914.08,988.13,1075.36,1133.1,1426.61,1038.21,1212.78
Cávado,1134.32,907.5,1008.39,1062.06,1101.87,1279.56,1325.37,1470.54
Amares,1044.96,886.41,905.76,924.18,1152.61,1597.68,1354.25,1512.59
Barcelos,1033.09,871.52,938.97,978.66,1046.43,1170.02,1487.47,1229.58
Braga,1234.49,952.9,1079.54,1163.6,1150.44,1383.97,1223.53,1507.71
Esposende,1064.23,887.26,1031.81,1005.61,1169.83,1139.68,1660.5,1338.83
Terras de Bouro,994.06,789.47,899.18,883.31,896.72,1188.67,826.93,2560.28
Vila Verde,950.09,873.02,944.27,960.7,1048.1,963.38,999.98,1421.35
Ave,1080.78,898.56,941.09,986.72,1098.17,1120.06,1179.71,1496.58
Cabeceiras de Basto,873.38,819.71,849.32,852.92,915.82,1267.1,872.88,1199.54
Fafe,925.18,841.37,880.8,890.94,995.63,1131.22,947.67,1250.73
Guimarães,1061.8,917.93,962.21,1003.68,1077.46,1082.1,1018.41,1390.54
Mondim de Basto,869.54,836.73,846.76,819.12,1051.19,844.31,806.57,1477.06
Póvoa de Lanhoso,920.14,839,854.42,923.09,878.14,1050.6,931.46,1368.29
Vieira do Minho,897.1,805.24,861.29,874.73,1099.11,911.41,948.47,1759.31
Vila Nova de Famalicão,1193.51,927.12,979.21,1040.16,1157.36,1229.67,1316.68,1644.54
Vizela,978.23,855.94,852.7,905.41,1265.14,937.14,1030.26,1197.19
A. M. Porto,1301.06,990.56,1108.26,1218.3,1337.51,1405.36,1649.87,1506.46
Arouca,1022.53,841.08,963.1,1091.91,1071.07,1192.38,…,1531.13
Espinho,1094.98,938.86,972.71,1018.4,1020.47,1207.03,1054.69,1432.08
Gondomar,1080.76,901.07,1014.14,1125.97,1125.42,1184.92,1099.21,1337.6
Maia,1366.55,1045.9,1207.28,1297.2,1454.54,1518.93,1665.28,1372.94
Matosinhos,1423.73,1040.97,1181.49,1359.03,1472.81,1526.19,1595.72,1611.58
Oliveira de Azeméis,1144.22,964.42,1011.47,1114.15,1170.69,1322.11,1312.32,1179.71
Paredes,997.68,857.82,949.97,982.81,1019.88,1077.71,1483.24,1536.41
Porto,1555.37,1108.53,1262.09,1439.38,1602.2,1667.15,2110.83,1696.65
Póvoa de Varzim,1067.82,911.15,961.94,1017.35,1118.39,1201.61,1431.54,1304.49
Santa Maria da Feira,1155.77,966.23,1082.48,1148.65,1197.24,1245.2,1458.5,1310.39
Santo Tirso,1102.1,917.8,1012.49,1056.07,1072,1225.86,1294.89,1340.24
São João da Madeira,1146.67,1002.72,1092.07,1120.39,1336.68,1212.22,949.7,1158.67
Trofa,1211.49,957.1,1038.98,1174.41,1223.28,1131.2,1863.44,1199.7
Vale de Cambra,1221.79,983.33,1152.77,1211.31,1342.03,1372.25,1406.65,1235.65
Valongo,1157.58,931.57,1011.35,1136.87,1231.81,1318.29,1418.54,1408.85
Vila do Conde,1215.5,938.58,1134.17,1171.98,1437.85,1439.92,1256.77,1263.12
Vila Nova de Gaia,1241.29,979.45,1062.66,1164.75,1344.22,1340.46,1291.14,1465.76
Alto Tâmega,995.06,831.38,963.19,1020.53,948.23,1186.94,976.81,1364.6
Boticas,912.52,873.35,943.52,952.85,953.89,901.27,939.99,919.93
Chaves,1027.91,816.2,976.05,1088.08,976.66,1213.67,1032.79,1365.42
Montalegre,959.32,840.32,838.69,974.74,2365.57,967.14,1631.04,2054.78
Ribeira de Pena,1158.34,915.27,1161.85,1068.95,1332.26,1280.63,//,1853.39
Valpaços,892.54,824.58,923.06,855.69,896.52,1245.36,897.62,1904.9
