,"Total, HM (€)","Total, H (€)","Total, M (€)","Primário
CAE: A, HM (€)","Primário
CAE: A, H (€)","Primário
CAE: A, M (€)","Secundário
CAE: B - F, HM (€)","Secundário
CAE: B - F, H (€)","Secundário
CAE: B - F, M (€)","Terciário
CAE: G - U, HM (€)","Terciário
CAE: G - U, H (€)","Terciário
CAE: G - U, M (€)"
Portugal,1289.5,1389.76,1168.91,1010.74,1032.47,952.4,1213.17,1272.07,1080.58,1332.34,1483.79,1195.59
Continente,1294.11,1395.7,1172.08,1011.43,1034.29,951.29,1213.93,1274.58,1079.95,1339.44,1492.86,1200.64
Norte,1187.19,1277.46,1075.36,961.16,990.06,891.92,1122.62,1192.53,991.66,1238.28,1369.37,1117.99
Alto Minho,1094.98,1168.18,1012.04,886.99,915.18,824.12,1120.2,1182.42,1011.48,1079.49,1162.31,1015.43
Arcos de Valdevez,1004.4,1058.23,954.76,844.56,850.84,832.35,1030.56,1090.59,955.71,976.09,1009.1,956.13
Caminha,952.78,980.79,926.45,862.06,903.21,774.91,990.12,1006.9,909.29,951.11,978.34,933.63
Melgaço,992.05,1086.54,928.15,944.58,1024.46,…,1019.29,1042.78,966.61,979.87,1146.42,921.98
Monção,990.74,1058.87,912.87,852.59,872.38,818.78,1029.26,1049.86,968.1,973.64,1079.19,901.51
Paredes de Coura,1029.14,1116.48,943.48,891.78,895.09,874.66,1045.09,1084.85,994.52,1025.55,1179.87,913.67
Ponte da Barca,902.45,944.56,858,938.51,952.89,791.03,936.75,954.43,830.32,886.45,933.52,860.99
Ponte de Lima,994.66,1053.19,926.92,808.25,813.63,800.72,980.71,1021.12,928.64,1017.28,1103.26,929.41
Valença,1034.76,1130.23,927.77,807.63,806.76,809.25,1196.66,1297.08,1034.19,951.87,1022.65,887.3
Viana do Castelo,1195.78,1264.84,1110.94,999.63,1051.35,880.49,1210.07,1270.08,1072.02,1187.51,1263.76,1129.72
Vila Nova de Cerveira,1152.13,1268.17,1022.88,840.77,836.01,867.75,1168.29,1268.66,1059.79,1125.44,1293.99,933.67
Cávado,1134.32,1216.88,1031.27,864.61,894.06,812.52,1106.03,1168.98,994.44,1166.11,1287.03,1058.14
Amares,1044.96,1116.11,924.86,981.89,1054.16,903.6,1051.44,1062.86,1010.28,1045.26,1182.07,897.32
Barcelos,1033.09,1103.4,960.92,825.93,847.83,784.52,1021.17,1102.11,929.8,1065.26,1119.77,1020.28
Braga,1234.49,1323.78,1114.96,814.41,821.37,797.22,1232.32,1266.81,1143.93,1237.28,1379.25,1105.84
Esposende,1064.23,1148.94,952.7,928.84,992.95,813.81,1090.98,1156.31,960.75,1034.51,1142.23,949.49
Terras de Bouro,994.06,1169.61,846.09,703.8,…,695.17,1364.43,1455.65,945.36,914.82,1034.43,841.58
Vila Verde,950.09,986.56,894.68,858.39,893.15,783.6,920.09,956.73,831.51,991.14,1048.27,940.94
Ave,1080.78,1165.13,978.79,853.9,871.06,796.03,1075.94,1170.89,932.89,1092.55,1163.12,1032.17
Cabeceiras de Basto,873.38,888.24,853.67,979.08,985.72,921.22,789.06,807.93,750.75,917.68,943.43,892.84
Fafe,925.18,957.59,892.94,766.65,772.22,745.3,889.66,928.76,846.31,974.76,1004.93,949.08
Guimarães,1061.8,1108.13,1007.71,860.1,871.71,806.44,1024.35,1084.6,937.3,1124.5,1165.93,1090.49
Mondim de Basto,869.54,861.09,880.24,759.63,750.82,781.65,827.98,842.24,774.33,897.07,889.27,903.03
Póvoa de Lanhoso,920.14,924.88,915.83,802.64,816.11,763.88,901.51,906.49,895.89,939.98,950.51,932.37
Vieira do Minho,897.1,906.57,885.04,799.73,822.18,665,810.98,812.26,804.74,932.82,978.02,896.05
Vila Nova de Famalicão,1193.51,1328.68,1001.53,861.04,872.07,833.34,1230.59,1367.63,980.26,1133.45,1246.68,1027.74
Vizela,978.23,1088.2,881.52,733.9,798.77,718.24,926.15,998.13,858.26,1092.41,1300.86,930.81
A. M. Porto,1301.06,1406.73,1167.24,1106.75,1156.45,980.18,1224.82,1290.81,1084.88,1340.36,1487.94,1194.08
Arouca,1022.53,1089.41,914.13,968.79,988.8,854.31,1046.51,1107.98,896.24,991.63,1071.75,931.85
Espinho,1094.98,1191.66,1006.75,954.21,1085.39,735.57,1145.61,1186.06,1077.72,1073.61,1195.73,987.83
Gondomar,1080.76,1129.24,1019.59,887.14,866.75,920.89,1047.37,1072.09,979.18,1098.68,1175.94,1030.15
Maia,1366.55,1476.1,1201.71,965.05,994.12,924.12,1351.89,1395.15,1233.34,1374.04,1522.36,1195.03
Matosinhos,1423.73,1574.79,1242.74,1017.72,1064.39,906.33,1532.64,1585.34,1373.22,1397.37,1572.87,1227.16
Oliveira de Azeméis,1144.22,1255.76,972.13,833.31,909.02,757.6,1176.1,1282.87,976.77,1077.05,1182.69,967.65
Paredes,997.68,1030.41,946.12,1040.61,947.57,1104.78,949.75,973.87,892.9,1059.06,1134.54,984.35
Porto,1555.37,1748.45,1359,1949.52,2139.05,1417.03,1635.16,1714.34,1450.07,1547.9,1751.54,1354.44
Póvoa de Varzim,1067.82,1139.66,992.19,1274.5,1431.53,938.7,993.92,1068.17,877.73,1096.87,1168.64,1037.85
Santa Maria da Feira,1155.77,1238.61,1034.57,961.62,969.05,936.36,1182.42,1255.13,1055.99,1121.9,1215.21,1012.58
Santo Tirso,1102.1,1190.48,994.61,917.1,923.74,884.21,1101.29,1194.43,960.87,1107.65,1192.97,1036.25
São João da Madeira,1146.67,1264.07,1028.25,…,…,…,1151.28,1265.1,1016.4,1141.93,1262.93,1039.02
Trofa,1211.49,1277.79,1105.45,775.78,789.02,752.44,1312.67,1359.82,1230.53,1112.61,1194.72,992.63
Vale de Cambra,1221.79,1343.6,1039.13,754.5,772.9,708.49,1259.39,1339.23,1086.96,1122.77,1375.51,974.57
Valongo,1157.58,1224.93,1051.42,841.02,853.36,743.88,1165.9,1195.25,1082.61,1154.28,1262.4,1039.66
