,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Portugal,2287160,94052,314305,270239,318781,449268,23359,316470,233109,265235
Continente,2200594,91380,305878,262120,306933,426535,22352,305308,228293,249473
Norte,802614,31576,97960,89743,103611,136215,5221,149333,104379,84057
Alto Minho,46086,1438,4082,4679,5057,8132,655,9463,7091,5477
Arcos de Valdevez,3852,118,272,434,310,643,48,846,583,597
Caminha,1820,95,154,138,196,563,60,203,87,324
Melgaço,709,26,64,50,77,249,20,62,57,104
Monção,2831,89,231,231,345,656,35,497,337,410
Paredes de Coura,1032,27,70,110,78,199,17,125,254,152
Ponte da Barca,1184,24,104,68,134,367,36,216,77,157
Ponte de Lima,7848,260,427,766,813,1293,133,2039,1457,660
Valença,3041,86,139,278,331,586,61,390,530,640
Viana do Castelo,20243,619,2499,2311,2382,3206,184,4268,2486,2278
Vila Nova de Cerveira,3526,94,122,293,391,370,61,817,1223,155
Cávado,100923,3917,12196,11197,12423,15108,646,21274,14309,9765
Amares,2782,118,145,207,358,428,64,685,410,367
Barcelos,30128,1049,2199,2894,3389,3338,282,7921,6526,2524
Braga,52829,1975,8710,6825,7116,8906,142,8458,5484,5138
Esposende,6653,276,609,637,743,934,78,1761,832,781
Terras de Bouro,997,34,75,96,74,300,21,93,59,241
Vila Verde,7534,465,458,538,743,1202,59,2356,998,714
Ave,104228,3645,8058,10158,12268,13067,478,21583,24265,10666
Cabeceiras de Basto,1912,76,108,127,191,364,46,458,216,326
Fafe,8794,290,556,607,800,1338,32,2097,1927,1147
Guimarães,46222,1668,4027,4396,5585,5763,181,9111,10965,4494
Mondim de Basto,737,36,29,59,72,179,29,105,118,110
Póvoa de Lanhoso,3283,122,214,326,487,622,20,762,394,335
Vieira do Minho,1180,47,75,75,104,293,15,261,121,189
Vila Nova de Famalicão,36509,1255,2814,4126,4446,3807,145,7361,9049,3500
Vizela,5591,151,235,442,583,701,10,1428,1475,565
A. M. Porto,413283,17375,62934,52634,59525,75631,1743,61490,40707,40937
Arouca,4073,132,261,390,382,581,94,1142,548,543
Espinho,4359,…,439,403,672,1212,…,573,328,517
Gondomar,16658,693,1937,1590,2413,3639,44,3234,1269,1835
Maia,44862,1827,5087,7952,7729,7776,195,5775,3344,5136
Matosinhos,44798,1802,8621,6410,6667,9331,94,4257,3138,4441
Oliveira de Azeméis,16709,517,921,1619,1833,2007,33,4118,4066,1594
Paredes,16569,685,1056,1646,2180,1849,44,5542,1873,1693
Porto,96637,4714,27092,13897,14488,20681,83,3943,2491,9082
Póvoa de Varzim,12292,452,1287,1174,1804,2377,266,2254,1296,1382
Santa Maria da Feira,28738,1207,2099,2433,3500,4874,71,8462,3825,2263
Santo Tirso,14675,606,1029,1467,1885,1823,53,3168,3385,1254
São João da Madeira,8840,…,739,950,938,1245,…,1458,2268,927
Trofa,11847,443,1069,1394,1949,1101,61,2049,2514,1266
Vale de Cambra,5929,243,507,734,596,604,35,1730,595,883
Valongo,13671,542,1187,1615,2372,2319,50,2587,1549,1449
Vila do Conde,19422,747,1724,2444,2530,3206,514,3456,2704,2087
Vila Nova de Gaia,53204,2247,7879,6516,7587,11006,97,7742,5514,4585
Alto Tâmega,11047,464,1006,988,1173,2771,177,1465,1131,1871
Boticas,807,36,56,54,85,189,25,88,202,72
Chaves,5738,223,521,527,673,1655,47,744,454,894
Montalegre,858,68,74,80,68,212,38,99,75,144
Ribeira de Pena,886,25,116,121,56,121,14,136,134,163
Valpaços,1297,54,119,75,129,319,14,193,63,331
Vila Pouca de Aguiar,1461,58,120,131,162,275,39,205,203,267
Tâmega e Sousa,85441,3111,4944,6461,8501,10437,522,28810,13760,8889
Amarante,8472,332,727,781,868,1300,82,2711,700,969
Baião,2254,143,138,270,189,351,26,727,112,298
Castelo de Paiva,2785,108,147,144,205,388,32,986,251,523
Celorico de Basto,2101,66,109,141,149,342,69,506,339,380
Cinfães,3114,93,89,201,209,350,15,1684,184,289
Felgueiras,17077,397,594,1142,1777,1458,55,6437,4211,1006
