,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Portugal,5524988,2674971,2850017,2507922,1080493,1427429,1221668,489070,732598
Continente,5248130,2539691,2708439,2414904,1042458,1372446,1181064,474771,706293
Norte,1958705,947835,1010870,849638,370291,479347,394238,159496,234742
Alto Minho,117577,57028,60549,66750,28422,38328,33896,13370,20526
Arcos de Valdevez,9444,4648,4796,7544,3118,4426,4055,1551,2504
Caminha,8107,3869,4238,4831,2079,2752,2464,975,1489
Melgaço,3243,1569,1674,3294,1365,1929,1810,701,1109
Monção,8553,4129,4424,6186,2561,3625,3180,1215,1965
Paredes de Coura,4276,2187,2089,2693,1129,1564,1417,555,862
Ponte da Barca,5509,2672,2837,3360,1425,1935,1782,722,1060
Ponte de Lima,21561,10502,11059,10239,4308,5931,5289,2063,3226
Valença,7194,3461,3733,3682,1592,2090,1811,719,1092
Viana do Castelo,44928,21550,23378,22455,9798,12657,10851,4384,6467
Vila Nova de Cerveira,4762,2441,2321,2466,1047,1419,1237,485,752
Cávado,233899,113152,120747,86554,38177,48377,38975,15922,23053
Amares,10307,5043,5264,4272,1913,2359,2021,828,1193
Barcelos,64582,31565,33017,24267,10620,13647,10764,4310,6454
Braga,110663,53117,57546,38021,16797,21224,16527,6823,9704
Esposende,19880,9560,10320,7533,3399,4134,3399,1435,1964
Terras de Bouro,3194,1573,1621,1891,842,1049,967,396,571
Vila Verde,25273,12294,12979,10570,4606,5964,5297,2130,3167
Ave,231523,113192,118331,91768,40529,51239,40015,16209,23806
Cabeceiras de Basto,8158,4048,4110,3698,1648,2050,1814,726,1088
Fafe,25986,12581,13405,11659,5031,6628,5239,2053,3186
Guimarães,87160,42608,44552,33193,14679,18514,14018,5690,8328
Mondim de Basto,3226,1582,1644,1892,845,1047,949,380,569
Póvoa de Lanhoso,11965,5773,6192,5177,2363,2814,2350,965,1385
Vieira do Minho,6024,2951,3073,3662,1632,2030,1865,761,1104
Vila Nova de Famalicão,75044,36808,38236,28011,12320,15691,12025,4920,7105
Vizela,13960,6841,7119,4476,2011,2465,1755,714,1041
A. M. Porto,965453,463752,501701,401988,173507,228481,183645,74217,109428
Arouca,10901,5458,5443,5197,2239,2958,2461,951,1510
Espinho,16128,7742,8386,9133,3866,5267,4439,1780,2659
Gondomar,91336,43568,47768,37142,16217,20925,16404,6723,9681
