,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","0 - 14 years, MF (N.º)","0 - 14 years, M (N.º)","0 - 14 years, F (N.º)","15 - 24 years, MF (N.º)","15 - 24 years, M (N.º)","15 - 24 years, F (N.º)"
Portugal,10467366,5001811,5465555,1351011,692144,658867,1083445,554203,529242
Continente,9974165,4765525,5208640,1284542,658145,626397,1026589,525231,501358
Norte,3631502,1739802,1891700,443371,227281,216090,379788,194395,185393
Alto Minho,232220,109976,122244,25748,13145,12603,22145,11381,10764
Arcos de Valdevez,20692,9615,11077,1895,946,949,1809,903,906
Caminha,16116,7575,8541,1761,901,860,1417,726,691
Melgaço,7603,3463,4140,562,279,283,504,250,254
Monção,17877,8287,9590,1747,908,839,1391,689,702
Paredes de Coura,8668,4187,4481,910,460,450,789,411,378
Ponte da Barca,11094,5225,5869,1157,568,589,1068,560,508
Ponte de Lima,40996,19521,21475,4746,2410,2336,4450,2301,2149
Valença,13900,6607,7293,1699,880,819,1325,674,651
Viana do Castelo,86099,40971,45128,10229,5260,4969,8487,4363,4124
Vila Nova de Cerveira,9175,4525,4650,1042,533,509,905,504,401
Cávado,423377,204312,219065,55633,28756,26877,47291,24227,23064
Amares,19191,9383,9808,2432,1289,1143,2180,1138,1042
Barcelos,116493,56424,60069,14395,7376,7019,13249,6863,6386
Braga,197594,95028,102566,27043,13960,13083,21867,11154,10713
Esposende,36287,17531,18756,4944,2582,2362,3930,1990,1940
Terras de Bouro,6362,3074,3288,629,328,301,648,331,317
Vila Verde,47450,22872,24578,6190,3221,2969,5417,2751,2666
Ave,419876,203583,216293,51638,26689,24949,44947,23173,21774
Cabeceiras de Basto,15482,7576,7906,1820,936,884,1806,944,862
Fafe,48302,23177,25125,5637,2986,2651,5020,2579,2441
Guimarães,156277,75874,80403,19368,10050,9318,16556,8537,8019
Mondim de Basto,6407,3110,3297,624,333,291,665,350,315
Póvoa de Lanhoso,22299,10838,11461,2688,1409,1279,2469,1293,1176
Vieira do Minho,11967,5752,6215,1138,585,553,1143,584,559
Vila Nova de Famalicão,134883,65415,69468,17219,8784,8435,14609,7503,7106
Vizela,24259,11841,12418,3144,1606,1538,2679,1383,1296
A. M. Porto,1774104,844985,929119,222785,113883,108902,183878,93843,90035
Arouca,20903,10078,10825,2586,1293,1293,2219,1088,1131
Espinho,31778,14929,16849,3451,1718,1733,3066,1603,1463
Gondomar,166900,79361,87539,20801,10510,10291,17621,9066,8555
Maia,140041,66868,73173,18996,9655,9341,15267,7807,7460
Matosinhos,176617,83557,93060,22119,11319,10800,17198,8738,8460
Oliveira de Azeméis,66820,32501,34319,7722,4009,3713,6682,3313,3369
Paredes,85342,41379,43963,11602,5895,5707,10448,5301,5147
Porto,240592,111577,129015,28495,14571,13924,23014,11752,11262
Póvoa de Varzim,66036,31382,34654,8652,4390,4262,7439,3842,3597
Santa Maria da Feira,138344,67004,71340,17319,8909,8410,14474,7436,7038
Santo Tirso,67630,32264,35366,7340,3764,3576,6612,3322,3290
São João da Madeira,23280,11037,12243,2820,1483,1337,2399,1226,1173
Trofa,39464,19045,20419,4926,2484,2442,4167,2121,2046
Vale de Cambra,21214,10283,10931,2256,1182,1074,1909,983,926
Valongo,98231,46839,51392,13111,6741,6370,10562,5337,5225
Vila do Conde,83349,40136,43213,11323,5835,5488,8854,4509,4345
Vila Nova de Gaia,307563,146745,160818,39266,20125,19141,31947,16399,15548
Alto Tâmega,83463,39986,43477,7545,3893,3652,6877,3468,3409
Boticas,4899,2334,2565,428,217,211,368,175,193
Chaves,37306,17782,19524,3671,1906,1765,3265,1666,1599
