,"Marriages, Total (N.º)","Marriages, Opposite sex couples, Total (N.º)","Marriages, Opposite sex couples, of which, Only civil (N.º)","Marriages, Opposite sex couples, of which, Catholic (N.º)","Marriages, Same-sex couples, Male, Catholic (N.º)","Marriages, Same-sex couples, Female, Catholic (N.º)","Dissolved marriages, Same-sex couples, Total, Catholic (N.º)","Dissolved marriages, Same-sex couples, by divorce, Catholic (N.º)","Dissolved marriages, Same-sex couples, by death, Catholic (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, MF (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, M (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, F (N.º)","Foreign population with resident status, Same-sex couples, by death, MF (N.º)","Foreign population with resident status, Same-sex couples, by death, M (N.º)","Foreign population with resident status, Same-sex couples, by death, F (N.º)"
Portugal,36952,36151,26374,9662,413,388,67694,18464,49230,143081,79149,63932,781247,409258,371989
Continente,34894,34141,24926,9104,390,363,64409,17330,47079,140088,77661,62427,764349,400835,363514
Norte,13012,12832,8437,4355,95,85,22649,6371,16278,26393,14079,12314,119385,60068,59317
Alto Minho,822,819,512,305,1,2,1653,403,1250,2037,1124,913,9187,4911,4276
Arcos de Valdevez,52,52,44,8,0,0,167,39,128,74,35,39,393,182,211
Caminha,64,64,47,17,0,0,112,34,78,141,72,69,747,401,346
Melgaço,5,5,3,2,0,0,75,13,62,45,20,25,182,78,104
Monção,59,59,38,21,0,0,152,25,127,187,93,94,1014,517,497
Paredes de Coura,17,17,9,8,0,0,59,15,44,39,17,22,208,100,108
Ponte da Barca,38,38,25,13,0,0,78,18,60,34,18,16,163,83,80
Ponte de Lima,162,162,91,71,0,0,285,72,213,150,88,62,669,368,301
Valença,31,31,23,8,0,0,95,28,67,247,143,104,1263,676,587
Viana do Castelo,346,343,195,146,1,2,564,150,414,955,534,421,3815,2046,1769
Vila Nova de Cerveira,48,48,37,11,0,0,66,9,57,165,104,61,733,460,273
Cávado,1654,1633,980,650,13,8,2265,728,1537,4296,2300,1996,19947,10058,9889
Amares,79,79,55,24,0,0,105,41,64,121,66,55,533,267,266
Barcelos,433,430,238,192,2,1,651,197,454,548,316,232,2149,1133,1016
Braga,782,768,460,307,8,6,976,333,643,3137,1653,1484,14915,7407,7508
Esposende,121,121,69,50,0,0,191,64,127,257,154,103,1301,749,552
Terras de Bouro,22,21,21,0,0,1,58,17,41,19,7,12,92,35,57
Vila Verde,217,214,137,77,3,0,284,76,208,214,104,110,957,467,490
Ave,1214,1204,799,402,4,6,2414,714,1700,1653,929,724,8088,4203,3885
Cabeceiras de Basto,57,57,35,22,0,0,91,16,75,17,10,7,169,92,77
Fafe,161,161,83,76,0,0,312,94,218,125,73,52,534,266,268
Guimarães,401,396,331,65,2,3,844,261,583,696,371,325,3307,1664,1643
Mondim de Basto,29,28,18,10,0,1,61,11,50,7,2,5,59,25,34
Póvoa de Lanhoso,46,46,44,2,0,0,140,38,102,91,50,41,441,241,200
Vieira do Minho,52,52,30,22,0,0,84,20,64,34,19,15,164,79,85
Vila Nova de Famalicão,429,426,222,203,1,2,757,235,522,612,362,250,3102,1678,1424
Vizela,39,38,36,2,1,0,125,39,86,71,42,29,312,158,154
A. M. Porto,6666,6531,4678,1824,70,65,10904,3230,7674,15243,7984,7259,69038,34351,34687
Arouca,60,60,26,34,0,0,130,25,105,28,15,13,150,80,70
Espinho,241,237,194,43,1,3,223,51,172,159,78,81,937,423,514
Gondomar,325,323,228,93,2,0,1039,284,755,659,300,359,3718,1738,1980
Maia,479,473,389,81,2,4,800,291,509,928,500,428,4541,2222,2319
Matosinhos,456,447,331,113,2,7,1087,323,764,1463,729,734,7373,3556,3817
Oliveira de Azeméis,171,171,94,73,0,0,387,101,286,281,159,122,1295,645,650
Paredes,255,254,137,117,1,0,480,168,312,270,173,97,1158,589,569
Porto,1375,1308,1025,275,40,27,1516,439,1077,6349,3367,2982,23312,12037,11275
Póvoa de Varzim,331,322,270,51,5,4,408,129,279,685,369,316,3069,1548,1521
Santa Maria da Feira,448,445,238,204,2,1,857,256,601,344,183,161,2228,1042,1186
Santo Tirso,245,239,153,86,2,4,463,116,347,129,66,63,758,342,416
São João da Madeira,154,154,118,35,0,0,151,48,103,249,131,118,1208,603,605
Trofa,123,122,57,65,0,1,227,73,154,228,127,101,1021,586,435
Vale de Cambra,93,93,59,34,0,0,174,41,133,114,56,58,551,290,261
Valongo,536,532,380,150,3,1,565,183,382,375,192,183,2095,1022,1073
Vila do Conde,438,428,317,111,2,8,509,195,314,504,287,217,3252,1773,1479
Vila Nova de Gaia,936,923,662,259,8,5,1888,507,1381,2478,1252,1226,12372,5855,6517
Alto Tâmega,268,268,177,90,0,0,724,147,577,246,114,132,1479,701,778
Boticas,10,10,6,4,0,0,42,4,38,5,1,4,51,23,28
Chaves,165,165,122,43,0,0,321,80,241,168,66,102,835,352,483
Montalegre,6,6,1,5,0,0,87,18,69,16,11,5,111,58,53
Ribeira de Pena,19,19,14,5,0,0,52,6,46,11,10,1,102,75,27
Valpaços,40,40,23,16,0,0,108,19,89,23,12,11,193,76,117
Vila Pouca de Aguiar,28,28,11,17,0,0,114,20,94,23,14,9,187,117,70
Tâmega e Sousa,1548,1540,801,738,4,4,2417,697,1720,1043,673,370,4315,2310,2005
Amarante,207,207,104,103,0,0,343,104,239,98,67,31,558,289,269
Baião,54,54,26,28,0,0,99,19,80,30,16,14,143,82,61
Castelo de Paiva,34,34,20,14,0,0,68,13,55,77,52,25,190,119,71
