,"Nados-vivos, Total, HM (N.º)","Nados-vivos, Total, H (N.º)","Nados-vivos, Total, M (N.º)","Nados-vivos, Fora do casamento, Total (N.º)","Nados-vivos, Fora do casamento, Com coabitação dos pais (N.º)","Óbitos, Total, HM (N.º)","Óbitos, Total, H (N.º)","Óbitos, Total, M (N.º)","Óbitos, Com 
menos
de 1 ano, M (N.º)"
Portugal,83671,42925,40746,50329,36198,124311,61696,62615,217
Continente,79845,40956,38889,48041,34533,118489,58831,59658,208
Norte,26375,13558,12817,14407,10144,38865,19257,19608,63
Alto Minho,1558,794,764,895,746,3286,1505,1781,4
Arcos de Valdevez,113,50,63,53,46,362,160,202,1
Caminha,97,43,54,56,49,211,100,111,0
Melgaço,20,10,10,13,11,187,79,108,0
Monção,118,64,54,80,61,317,145,172,0
Paredes de Coura,45,22,23,26,25,141,66,75,0
Ponte da Barca,86,39,47,43,36,175,64,111,0
Ponte de Lima,287,159,128,133,105,549,256,293,3
Valença,104,59,45,65,50,200,89,111,0
Viana do Castelo,628,324,304,385,328,1019,486,533,0
Vila Nova de Cerveira,60,24,36,41,35,125,60,65,0
Cávado,3368,1737,1631,1625,1200,3720,1844,1876,3
Amares,123,53,70,57,39,172,95,77,0
Barcelos,841,425,416,409,287,1059,546,513,2
Braga,1673,865,808,797,605,1536,740,796,0
Esposende,338,191,147,173,127,321,148,173,0
Terras de Bouro,35,15,20,18,9,106,57,49,0
Vila Verde,358,188,170,171,133,526,258,268,1
Ave,3239,1692,1547,1644,1176,3886,1966,1920,11
Cabeceiras de Basto,96,52,44,58,41,216,107,109,1
Fafe,347,185,162,186,127,522,248,274,1
Guimarães,1203,627,576,600,416,1308,653,655,2
Mondim de Basto,39,12,27,23,18,95,55,40,0
Póvoa de Lanhoso,164,92,72,74,54,259,122,137,1
Vieira do Minho,67,36,31,35,28,169,76,93,0
Vila Nova de Famalicão,1106,570,536,541,408,1136,608,528,6
Vizela,217,118,99,127,84,181,97,84,0
A. M. Porto,13163,6742,6421,7521,5142,18089,9020,9069,31
Arouca,141,68,73,71,62,237,110,127,0
Espinho,226,122,104,132,91,428,204,224,0
Gondomar,1190,585,605,769,519,1694,905,789,3
Maia,1055,539,516,591,424,1178,589,589,3
Matosinhos,1257,635,622,738,501,1795,924,871,2
Oliveira de Azeméis,465,247,218,243,200,694,321,373,1
Paredes,657,332,325,353,239,695,367,328,3
Porto,1925,975,950,1108,656,3083,1381,1702,4
Póvoa de Varzim,521,277,244,257,187,660,329,331,0
Santa Maria da Feira,1063,563,500,566,397,1268,665,603,3
Santo Tirso,422,216,206,245,161,750,383,367,3
São João da Madeira,146,69,77,86,65,238,113,125,0
Trofa,265,134,131,136,106,332,178,154,0
